zvimbokoma 	D- 	8 	z 		zvimbokoma D- z 8 . Uku kurwa kunenge kuchiita vanhu vachikandana zvibhakera.
bvumo 	D- 	9 	z 		bvumo D- z 9 . Bvumo chiratidzo chokuwirirana nezvinenge zvaitwa kana kutaurwa.
-bvundika 	K 	9 	z 		-bvundika K z 9 it . Ku bvundika kuviga michero yatanhwa ichiri mimbishi kuti igoibvira ipapo painenge yachengeterwa. -pfimbika .
chachani 	K- 	9 	z 		chachani K- z 9 . Chachani muchero muduku wakatenderera, unoberekwa nomuti une minzwa yakaita seyechinanga asi iyo iri mitete.
chanje 	D- 	9 	z 		chanje D- z 9 . shanje .
chata 	KD 	9 	z 		chata KD z 9 . Chata ibepa rinonyorwa nehurumende yenyika ichipa munhu kana chipoka chevanhu simba rokutora kana kushandisa chimwe chinhu.
chemberedzapunzana 	DDDKDDD 	9 	z 		chemberedzapunzana DDDKDDD z 9 . chemberedzagumhana 5 .
cheno 	D- 	9 	z 		cheno D- z 9 . Cheno itsika yokufarira kupfeka nhumbi dzakachena. Mwana uyu anozoda cheno chose.
chiki 	KD 	9 	z 		chiki KD z 9 . Kanha munhu achinzi ane chiki anenge achitaura mazwi ane ukasha kana kuti okutsvinya nguva dzose.
chima 	D- 	9 	z 		chima D- z 9 . Chima rudzi rwengoma inoridzwa pachiManyika pakupira midzimu.
chimbichimbi 	KKKD 	9 	z 		chimbichimbi KKKD z 9 . Uku kuita chinhu nokukurumidza. chopuchopu 9 .
chipariso 	DKKD 	9 	z 		chipariso DKKD z 9 . chipfenuriso 7 .
chizi 	KD 	9 	z 		chizi KD z 9 . Chizi kudya kunogadzirwa neruomba rwemukaka. Chizi inonakira vana nokuti inovatondedza mukaka.
davidzo 	K- 	9 	z 		davidzo K- z 9 . Davidzo ipfungwa nemazwi ekupindura mubvunzo waunenge wabvunzwa. mhinduro 9, shanduro 9 .
Dhachi 	KD 	9 	z 		Dhachi KD z 9 . Dhachi isangano rokunamata rakauya muno richibva nokuSouth Africa.
dhambukosi 	KKDD 	9 	z 		dhambukosi KKDD z 9 . Uyu mushonga mutema unoiswa panheyo dzemba kuti munya ugorega kukwira nomudhuri.
dharakishoni 	DDKDD 	9 	z 		dharakishoni DDKDD z 9 . Uyu mutsetse weushasha unogadzirwa mumusoro nekuparadzanisa vhudzi. Baba vangu vaivhura dharakishoni mangwanani oga oga vasati vaenda kubasa. dharara 9 .
dharara 	D- 	9 	z 		dharara D- z 9 . dharakishoni 9 .
dhimba 	DK 	9 	z 		dhimba DK z 9 . Dhimba kashiri kadikidiki kanogara muuswa. timba 9 .
dhipifirizi 	KDDKD 	9 	z 		dhipifirizi KDDKD z 9 . Ichi chikamu chefiriji kana kuti firiji inotonhora zvikuru inogona kuchengeta chokudya kwenguva refu chakaomeswa kuita magodo echando.
dhiripin'i 	DKDD 	9 	z 		dhiripin'i DKDD z 9 . Aya mafuta machena akabatana nokuomarara, anobva panyama yen'ombe.
dhuropu 	DKD 	9 	z 		dhuropu DKD z 9 . Dhuropu chirwere cheunzenza chinoratidza kuvanhurume nokubuda kweurwa huchiita madonwe pachirombo.
dhuve 	KD 	9 	z 		dhuve KD z 9 . mbizi 9 .
dyidzano 	KKD 	9 	z 		dyidzano KKD z 9 . Dyidzano kushanda pamwe chete mune zvoufumi nezvimwewo, kwenyika kana kwavanhu. Dyidzano yenyika yeZimbabwe nedzakaikomberedza inoda kuvandutswa kuti vanhu vakwanisewo kushanyidzana nyore.
dyiro 	K- 	9 	z 		dyiro K- z 9 . Dyiro chikafu chokukwezva shiri, hove kana mbeva padzinoteyiwa. Hove dzinonyanyobatika kana masese akashandiswa sedyiro, nokuti anoita kuti dzidhakwe.
dzamariyata 	DDKDD 	9 	z 		dzamariyata DDKDD z 9 . Kuenda dzamariyata kuenda zvokusazodzoka futi.
dzepfunde 	KDD 	9 	z 		dzepfunde KDD z 9 . Kana munhu achiteerera ngano, anopota achidavira achiti dzepfunde .
dzete 	DK 	9 	z 		dzete DK z 9 . Dzete inzvimbo inenge yaenda munhu isingazivikanwi uye munhu wacho asingadzoki. jete 5, mazivandadzoka 17a .
dzidzo 	K- 	9 	z 		dzidzo K- z 9 . Dzidzo ruzivo runowanikwa neanenge achitsvaka mamiriro namafambiro ezvinhu zvinowanikwa muupenyu. Mazuva ano vanhu vanoenda kuzvikoro kunotsvaka dzidzo ingavabatsira kuti vawane mabasa. fundo 9 .
dzingiso 	KKD 	9 	z 		dzingiso KKD z 9 . Dzingiso maitiro echiJudha mumazuva aJesu okuchecheudza mwanakomana mumazuva masere okuzvarwa.
dzvadzvana 	DDK 	9 	z 		dzvadzvana nzvanzvana DDK z 9 . Dzvadzvana inyoka inenge ichangobva mukuvhunura. nzvenzvana 9 .
emeredhi 	KDDD 	9 	z 		emeredhi KDDD z 9 . Iri idombo rine ruvara rwemashizha manyoro rinokosha zvikuru chaizvo.
faindi 	KDD 	9 	z 		faindi KDD z 9 . Faindi imari kana umwe muripo unobhadharwa kana munhu apara mhosva.
faiti 	KDD 	9 	z 		faiti KDD z 9 . chibhakera 7 . Faiti kurwa kana kurwisana kunoita vanhu. Pamba apo paita faiti yakaoma chaizvo nhasi mangwanani.
fanano 	KKD 	9 	z 		fanano KKD z 9 . Fanano muenzano unowanikwa pakati pezvinhu kana zviri zverudzi rumwe chete, zvichingotarisikawo nenzira imwe chete. ANTONYMS siyano 9.
fanda 	KD 	9 	z 		fanda KD z 9 . Fanda rumwe rudzi rwezvinwiwa zvomumabhotoro zvino ruvara nomunakiro wemaranjisi.
fanikiso 	KDKD 	9 	z 		fanikiso KDKD z 9 . mufananidzo .
faniro 	KKD 	9 	z 		faniro KKD z 9 . Faniro magariro kana tsika kana basa, zvinotarisirwa kuno munhu kana kune chimwe chinhu. Faniro yevana kukudza vabereki.
fashoni 	KDD 	9 	z 		fashoni KDD z 9 . Fashoni inhumbi dzokupfeka dzinenge dziine mukurumbira mazuva iwawo. Sarudzai anongoramba achipfeka bhareta, asi rakabuda mufashoni kare kare.
fejafeja 	KDKD 	9 	z 		fejafeja KDKD z 9 . Fejafeja mutambo unoitwa nemakasi matatu.
fembo 	K- 	9 	z 		fembo K- z 9 . Fembo mushonga waunopuwa nen'anga kuti ugoita wokupwititidza uchifema.
fende 	DK 	9 	z 		fende fendu DK z 9 . Fende munhu anoita zvinhu zveutsvina, zvisina utsanana. chapa .
fenicha 	KDD 	9 	z 		fenicha KDD z 9 . Fenicha midziyo yomumba, kazhinji inenge yakavezwa.
fesitiedhi 	KDDKD 	9 	z 		fesitiedhi KDDKD z 9 . Fesitiedhi rubatsiro runopiwa munhu anenge akuvara kana kufenda kana kurwara, varapi kana kuti vanachiremba vasati vasvika.
fetiraiza 	KDKDD 	9 	z 		fetiraiza feteraiza KDKDD z 9 . Uhu upfu kana tsanga dzomupfudze unoita zvokugadzirwa kufekitari uchizoshandiswa kukudza zvirimwa.
fevha 	KD 	9 	z 		fevha KD z 9 . Kana ukaita fevha unenge waita rusarura, chizivano kana tsvete usingabati vanhu zvakafanana. Hatidi zvefevha pabasa nokuti tose tiri kushanda zvakafanana.
fifi 	DK 	9 	z 		fifi DK z 9 . Fifi rudzi rwekamudzi kakakora kanodyiwa.
figa 	KD 	9 	z 		figa KD z 9 . Figa chimiro chomunhukadzi. Ukati musikana ane figa yakanaka ndoupi, vamwe vanonongedzera chivhindikiti, vamwewo vachinongedzera tepi. magaro 6 < garo 5 .
findi 	K- 	9 	z 		findi K- z 9 . rwatata 11 .
firifiti 	K- 	9 	z 		firifiti K- z 9 . Urwu rudzi rwehowa hune rukanda rwakatsvuka chaizvo. tsvuketsvuke 9 .
firuwiru 	DDKD 	9 	z 		firuwiru DDKD z 9 . firiwiri 9 .
fivha 	KD 	9 	z 		fivha KD z 9 . Fivha chirwere chinoita kuti unzwe muviri wako kupinda chando, dzimwe nguva wonzwazve kupiswa. mhepo 9, chimhepo 7 .
fodya 	KD 	9 	z 		fodya KD z 9 . Fodya imbesa inorimwa ichiita mashizha makuru anozoshandiswa kuputa. Vamwe vanoputa fodya yemidzanga, vamwe yechikwepa, vamwewo yomumhino.
fodya yebveni 	KD DKD 	9 	z 		fodya yebveni KD DKD z 9 . Fodya yebveni rumwe rudzi rwehowa husingadyiwi.
fofo 	KD 	9 	z 		fofo KD z 9 . Fofo kabhokisi kanenge kane mikwene yekubatidzisa moto, kana kuti iyo mikwene yacho. machisi 9 .
fofoorwe 	D- 	9 	z 		fofoorwe D- z 9 . fofoongwe 9 .
fohora 	DKD 	9 	z 		fohora DKD z 9 . Kana ukafira fohora unenge washanda nesimba asi pasina chaunozowana. mahara 6 .
fokasi 	KDD 	9 	z 		fokasi KDD z 9 . Kana kamera iri mu fokasi inenge yakanyatsoteya kuti zviri kutorwa mifananidzo zvinyatsoonekwa, uyezve kuti zvizonyatsobuda.
fombwe 	D- 	9 	z 		fombwe D- z 9 . Fombwe chinhu chakagadzirwa chakaita zvokucherwa mukati macho, sezvakaita ndiro.
fondo 	DK 	9 	z 		fondo DK z 9 . nguruve 9 .
foro 	KD 	9 	z 		foro KD z 9 . Foro mutsetse unocherwa negejo pamunenge muchirima. muforo 3, ngare 9 .
forogo 	KDD 	9 	z 		forogo foroko KDD z 9 . Forogo kamudziyo kanoshandiswa pamwe chete nebanga nechipunu pakudya, basa rako riri rokubaya paunenge uchicheka zvidimbu nokuzozviisa mumukanwa. foko 9 .
foroma 	DKD 	9 	z 		foroma DKD z 9 . Foroma mudziyo unoshandiswa kuisa dhaka mukati muchiumba zvidhina.
fosi 	KD 	9 	z 		fosi KD z 9 . Fosi ndokuya mberi kwechiwepu kana kuti tyava kwakarukirirwa, kusiri kumubato.
fovhoro 	KDD 	9 	z 		fovhoro KDD z 9 . Kana ukashandira kana kufambira fovhoro unenge wapedza simba rako pasina chaunowana. fohora 9 .
fudza 	KD 	9 	z 		fudza KD z 9 . Fudza mweya kana kuti shungu dzokuda kuparadza muchato wevamwe pamusana pegodo.
fufute 	K- 	9 	z 		fufute K- z 9 . nhururu 9 .
fukarushesha 	DDDKD 	9 	z 		fukarushesha DDDKD z 9 . Urwu rudzi rweshiri inodya nyuchi. Urwu rudzi rwehove ine muromo murefu. ndikusi 9, hotama 9 .
fuku 	DK 	9 	z 		fuku mufuku DK z 9 . mufuku 3 . Fuku rudzi rwetsoro inotambwa nevanhu vachishandisa tutombo mumakomba ari mumutsetse.
fukusiro 	D-/KKKD 	9 	z 		fukusiro D-/KKKD z 9 . Fukusiro kuumburuka kunoita huku mudota kana kuti mubukuta.
fuma 	K- 	9 	z 		fuma K- z 9 . Fuma ndezvinhu zvose zvinonzi izvi ndezvasamusha nhingi kana zvaiswa pamwe chete. pfuma 9 . Fuma iroora rinopiwa vatezvara panowanikwa mukunda wavo. pfuma 9 .
fumbamuromo 	D- 	9 	z 		fumbamuromo D- z 9 . pfumbamuromo 9 .
fumbatidzo 	D- 	9 	z 		fumbatidzo D- z 9 . pfumbamuromo 9 .
fumbo 	D- 	9 	z 		fumbo D- z 9 . Fumbo mushonga unoshandiswa nomuroyi kurarisa munhu kuita seafa, zvokuti haazozivi zviri kuitika. muko 3 .
fundo 	KD 	9 	z 		fundo KD z 9 . dzidzo 9 .
fundumarwa 	DKDK 	9 	z 		fundumarwa DKDK z 9 . fundumwarwa 9 .
fundumwarwa 	DKDK 	9 	z 		fundumwarwa fundumarwa DKDK z 9 . Fundumwarwa munhu anongogara akatsamwa kana kuti achiratidza kugumbuka.
fungidziro 	D- 	9 	z 		fungidziro D- z 9 . fungwa 9 .
fungidzo 	D- 	9 	z 		fungidzo D- z 9 . yeuchidzo 9 .
fungiramumwoyo 	D- 	9 	z 		fungiramumwoyo D- z 9 . Fungiramumwoyo kungoita zvinhu zvako wakanyarara asi iwe uchiziva chinangwa chako. Shupikai akanga asingachadi zvokutaura-taura, ongoita fungiramumwoyo rwendo rwembwa.
fungiro 	KKD 	9 	z 		fungiro KKD z 9 . Fungiro iganda rinovhara ziso, rinomera tsiye uye rinofamba-famba kana uchibwaira.
fungwa 	DK 	9 	z 		fungwa pfungwa DK z 9 . Fungwa indangariro dzinenge dziri mumusoro mako, kana kuti maonero aunoita zvinhu mundangariro dzako.
funhiro 	KKD 	9 	z 		funhiro KKD z 9 . chikwidibiro 7 .
funye 	KD 	9 	z 		funye KD z 9 . kuwe 1a/9 .
furaimachina 	DKDDKD 	9 	z 		furaimachina furamachina DKDDKD z 9 . ndege 9 .
furanondo 	D- 	9 	z 		furanondo D- z 9 . Urwu rudzi rwemashizha anobikwa semuriwo. fetete 5 . furamera 5 .
furao 	DKD 	9 	z 		furao furau DKD z 9 . furawa 9 .
furashi 	DKD 	9 	z 		furashi DKD z 9 . Furashi chiedza chegetsi chakakura uye chinongopenya kwenguva duku. Kamera ine furashi yakanaka nokuti inotora mifananidzo chero kusina zuva.
furati 	DKD 	9 	z 		furati DKD z 9 . Ma furati dzimba dzokugara, dzinotova nemakamuri adzowo, asi idzo dziri mukati meimwe imba hombe, kazhinji kacho ichitova yemuturikidzwa.
furau 	DKD 	9 	z 		furau furao DKD z 9 . furawa 9 .
furawa 	DKD 	9 	z 		furawa DKD z 9 . Furawa upfu hwegorosi hwakatsetseka chaizvo, hunoshandiswa kubika chingwa kana makeke. furau 9 .
fureza 	DKD 	9 	z 		fureza DKD z 9 . Fureza chirwere chembwa chinoita kuti ikosore. furuwenza 9 .
furiramudenga 	DDDDKD 	9 	z 		furiramudenga DDDDKD z 9 . Iyi imhuka hombe ine mutsipa wakareba chaizvo, zvokuti inotokwanisa kudya mashizha pamusoro pemiti mirefu. twiza 9 .
furu 	DK 	9 	z 		furu DK z 9 . Furu rudzi rwehonye chena inowanzowanikwa pachinhu chakaora. honye 9 . Furu ijira dete rakapfava rinenge rakasonererwa nechomukati mechipfeko. Mabhachi ane furu mukati anodhura kupinda asina.
furusitopi 	KDDDD 	9 	z 		furusitopi furusitopu KDDDD z 9 . chimiso .
furuwenza 	DDKD 	9 	z 		furuwenza DDKD z 9 . Ichi chirwere chedzihwa chinotemesa musoro nokuvharisa mhino. bembo 5 .
futada 	DKD 	9 	z 		futada DKD z 9 . mbama 9 .
fuva 	KD 	9 	z 		fuva KD z 9 . Fuva rudzi rwetsoro inotambwa netumatombo tunenge tuchiiswa mumakomba anenge ari mumitsetse.
fuve 	KD 	9 	z 		fuve KD z 9 . Fuve kapembenene kanenge ndere kanodyiwawo uye kanowanzowanikwa pamuti womushuku.
gadzikano 	D- 	9 	z 		gadzikano D- z 9 . Uku kugara kwevanhu vakazorora, vasina zvinovanetsa.
gamanyuchi 	DDKK 	9 	z 		gamanyuchi DDKK z 9 . bonganyuchi 5 .
garaiparukukwe 	DKKDDKD 	9 	z 		garaiparukukwe DKKDDKD z 9 . Iyi imari inobiswa nevakuwasha kuti vabvumirwe kugara mumba mavanotanga kupinda kwavatezvara.
gavhumende 	KDDD 	9 	z 		gavhumende KDDD z 9 . Ichi chikwata chavanhu chinotungamirira nyika. Gavhumende ichatorera vachena minda, yopiwa vatema. hurumende 9 .
girama 	DKD 	9 	z 		girama DKD z 9 . Girama ndiwo maumbirwo nemarongerwo emazwi emutauro, sezvazvinotarisirwa pakutaura nokunyora.
girei 	DKD 	9 	z 		girei DKD z 9 . Girei ruvara rwakaita sedota.
girini 	DKD 	9 	z 		girini DKD z 9 . Girini ruvara rwemashizha emiti mizhinji kana ari manyoro.
gono 	D- 	9 	z 		gono D- z 9 . Gono zinyimo zihombe rinodema dzimwe nyimo musikiro.
gonoriya 	DKDD 	9 	z 		gonoriya DKDD z 9 . Ichi chirwere chinotapuriranwa nemukadzi nomurume mushure mokurara neanenge ainacho, uye chinokonzera kuti sikarudzi yomurume ibuditse urwa.
gumbunga 	KDK 	9 	z 		gumbunga KDK z 9 . dhumukwa 5 .
guraukama 	K- 	9 	z 		guraukama K- z 9 . Uyu muripo wokubvisa zvachose ukama huri pakati pevaviri vanoda kuroorana. chekaukama 9 .
gurumba 	KKD 	9 	z 		gurumba KKD z 9 . Gurumba muti unoita chiguri pasi, icho chinoshandiswa kuuraya hove kana kuita sipo.
gwanda 	KD 	9 	z 		gwanda KD z 9 . Gwanda ihembe yechirume ina maoko mapfupi, kana kuti yakatodimburwa maoko acho.
gwiribidi 	K- 	9 	z 		gwiribidi hwiribidi K- z 9 . gweru 9 .
hachakacha 	D- 	9 	z 		hachakacha D- z 9 . Uku kuita basa rakawanda nekukasika panguva pfupi. Yakanga iri hachakacha chaiyo pataitutira zviyo mudura, mvura yava kuda kunaya.
hafukoroni 	KDKDD 	9 	z 		hafukoroni KDKDD z 9 . Iyi imari ine uwandu hwakafanana nemashereni maviri nesusupenzi, kana kuti masendi makumi maviri nemashanu. Makarekare hafukoroni imari yairera mhuri komwedzi wose.
hafutani 	KDKD 	9 	z 		hafutani KDKD z 9 . Uhwu uremu hwemakirogiramu mazana mashanu. Iyi imotokari inotakura zvinhu zvine uremu hunokwana makirogiramu mazana mashanu. Vaitakura chibage nehafutani.
haijambu 	KDKD 	9 	z 		haijambu KDKD z 9 . Uyu mutambo wokuuruka tambo kana rumuti ruri pakakwirira, uchipota seri kwarwo. Vana vanoita makwikwi ehaijambu kuchikoro.
hambakachere 	K- 	9 	z 		hambakachere K- z 9 . Iyi imhando yederere rinomera mumunda, rinodyiwa mashizha pamwe nemidzi yaro.
hambamwoyo 	KKKD 	9 	z 		hambamwoyo KKKD z 9 . Uku kufunga zvokuita kana kusaita uri wega, pasina waunoudza pfungwa dzako.
handwa 	KD 	9 	z 		handwa KD z 9 . Handwa chipo chaunopa mumwe munhu pasina kutarisira mubhadharo kana kuzochidzoserwa. chipo 7 .
harahuru 	DDKK 	9 	z 		harahuru DDKK z 9 . Uyu mutambo wavana vadiki unosanganisira kusvetuka-svetuka pavanenge vachiutamba. arawuru 9 .
harwa 	KD 	9 	z 		harwa KD z 9 . Harwa muchinjiziri murefu wevhu rakacherwa rikaunganidzwa kuti mbesa dzizodzvarwa.
hasva 	DK 	9 	z 		hasva hasvo DK z 9 . Hasva inzvimbo iri pakati pemakumbo emunhu kana emhuka. Ukapindwa netsuro muhasva hausi muvhimi chaiye.
havi 	DK 	9 	z 		havi DK z 9 . Havi chishuwo chekuda kudya, kunwa zvinwiwa kana kuputa fodya, kana kuita zvimwewo zvinofarirwa nemunhu. Havi yefodya inotopera nokuiputa.
haya 	KD 	9 	z 		haya KD z 9 . Haya imotokari kana bhazi ramunenge mabhadhara kuti rikuendesei kwamunenge muchida. Haya mwenje unenge uri panzvimbo yakakwirira. Haya mutambo wokuti bhora rinokandwa kumutambi umwe nomumwe iye achiedza kurigamha.
hekeri 	KDD 	9 	z 		hekeri hakiri KDD z 9 . Hekeri indima yomunda inosara panguva inorimwa rimwe bandi romunda. Hekeri inzvimbo yemumunda makarimwa, iri pakati pemuchinjiziri unosiyiwa nemuforo wokutanga nemuforo wokupedzisira.
heyi 	KD 	9 	z 		heyi KD z 9 . Heyi ibundo rakakweyiwa, rikaomeswa kuti rigopiwa zvipfuwo.
hobhiya 	KDD 	9 	z 		hobhiya KDD z 9 . Hobhiya idoro rinobikwa nemaruva anenge amboomeswa.
hobho 	KD 	9 	z 		hobho KD z 9 . Hobho zvinhu zvinenge zvakawandisa. Muchadenga mune nyeredzi hobho. dutu 5 .
hochekoche 	D- 	9 	z 		hochekoche D- z 9 . Uku kubatana-batana kwezvinoshandiswa pakusunga, sezvakaita ngetani.
hofisi 	KDD 	9 	z 		hofisi ofisi KDD z 9 . Hofisi imba inoshandirwa mabasa akasiyana-siyana nevashandi nevashandirwi.
hofori 	K- 	9 	z 		hofori K- z 9 . Hofori zimunhu zirefu rakasimba.
hofu 	DK 	9 	z 		hofu hofi DK z 9 . Hofu igomba reduri, munova ndimo munoiswa mbeu pakutswa.
hohoho 	DKD 	9 	z 		hohoho DKD z 9 . Hohoho ruzha runoitwa nevanhu vakawanda vanenge vakaungana vari pamusangano, mubhawa kana pamutambo. Hohoho kutaurira pamusoro kwevanhu vatsamwisana, kana kuti ruzha runozoitika kana vorwa. bongozozo 5 .
hoka 	KD 	9 	z 		hoka KD z 9 . Hoka idoro rinobikwa, pokokorodzwa musha wose, vanhu vonwa vachibatsirana basa nemuridzi wedoro racho. humwe 9, nhimbe 9 .
hoko 	DK 	9 	z 		hoko DK z 9 . Hoko chimuti chakatesvera rimwe, divi chinoroverwa pasi kana kumadziro kwemba. Vakarovera hoko muvhu kutara muganhu womunda. mbambo 9 .
hombiro 	DKD 	9 	z 		hombiro DKD z 9 . Hombiro igudo gono rinenge riri mukuru weboka. horomba 9 .
hombodo 	D- 	9 	z 		hombodo D- z 9 . Hombodo kabhegi kakagadzirwa nedehwe remhuka. Hombodo ihomwe inowanikwa pahembe kana bhurugwa. mbudu 9 .
hombora 	KKD 	9 	z 		hombora KKD z 9 . Hombora idoro rinotanga kupiwa vanhu kuti vamwe, vasati vatanga basa panhimbe kana jakwara. chikumura 7 .
homondo 	KKD 	9 	z 		homondo KKD z 9 . Homondo muchero muhombe. Homondo izanhi hombe refodya. Homondo makoko etsvina anoonekwa pamuviri wemunhu.
hona 	D- 	9 	z 		hona D- z 9 . Hona ibvupa renyama rakakura. godo 5, bhonzo 5 .
hono 	KK 	9 	z 		hono KK z 9 . Hono imhukarume inoberekesa hadzi.
hora 	KD 	9 	z 		hora KD z 9 . Hora idamba mbishi. Hora idoro rinovava. Hora mutauro unoshatirisa, une kunyomba mukati. Hora idharamete rinoputika, rinoshandiswa kutsemura matombo.
horikotyo 	DKDD 	9 	z 		horikotyo DKDD z 9 . Uyu mutambo wavakomana wokukanda tsvimbo imwe mudenga, vamwe vachiedza kuitema isati yagunzva pasi.
horwa 	KD 	9 	z 		horwa KD z 9 . Horwa kuvava nokuipa kunoita chikafu chaora.
hosana 	DKD 	9 	z 		hosana DKD z 9 . Hosana munhu anonamatira mvura, anokumbirwa nevanhu kuti asvitse chichemo ichi kuna Mwari. Hosana munhu anokosha, ari pedyo naMwari.
hosho 	DK 	9 	z 		hosho DK z 9 . Hosho idende rine mubato, rinoboorwa roiswa tumabwe mukati, rinoridzwa pamwe chete nembira nengoma.
hosi 	KD 	9 	z 		hosi KD z 9 . Hosi mukadzi wokutanga kuroorwa pabarika kana paguru. vahosi 2a .
hosipaipi 	KKKDD 	9 	z 		hosipaipi KKKDD z 9 . Iyi ipombi yokudiridzisa zvirimwa muminda, muriwo kana maruva.
hosipitari 	KDKDD 	9 	z 		hosipitari KDKDD z 9 . Iyi imba inogara varwere vachirapiwa nanachiremba nanamukoti. chipatara 7 .
hositeri 	KDDD 	9 	z 		hositeri KDDD z 9 . Iyi imba inorara vasikana kana varume vasati varoorwa kana kuroora. nhanga 9, ruvhevhe 9 .
hosvori 	D- 	9 	z 		hosvori D- z 9 . Hosvori munhu anouya panhimbe panguva iyo doro rinenge rava kunwiwa, ozobva ipapo kana rapera kunwiwa, iye asina kuita basa. husvuri 9 .
hotakota 	D- 	9 	z 		hotakota D- z 9 . Uyu musana unenge usina kuti tasa nokuda kwekuti mwene wawo wachembera, saka otofamba kunge munhu akakotamira. Uku kukotama kunenge kwakaita vanhu vakawanda, vachiita basa rakaita sekusakura pajakwara.
hovha 	DK 	9 	z 		hovha DK z 9 . Hovha muchero womubhanana.
hozi 	KD 	9 	z 		hozi KD z 9 . Hozi imba inovakwa pamusoro pamabwe kana ruware, ine matura anoiswa mbeswa dzakasiyana. dura 5, tsapi 9 . Hozi imba yokurarira, yakasiyana neyokubikira pakuti iyo ine makona mana.
hube 	KD 	9 	z 		hube KD z 9 . Hube mutambo wevana wavanotamba vachimhanya vakachonjomara. njude 9 .
hukurahundi 	KKKKD 	9 	z 		hukurahundi KKKKD z 9 . gukurahundi 5 .
humbu 	K- 	9 	z 		humbu K- z 9 . Humbu zinyama rinomera pahuro pamusana pekushaya kumwe kudya. sokorodzi 5 . Humbu imbuva yekudya parwendo.
humbwa 	KD 	9 	z 		humbwa KD z 9 . Humbwa mutambo unotambwa vanhu vachisevenzesa makano.
humwe 	KD 	9 	z 		humwe KD z 9 . hoka 9 .
hundi 	D- 	9 	z 		hundi D- z 9 . Hundi marara anosara panenge papurwa zviyo kana mhunga.
hundwa 	DK 	9 	z 		hundwa DK z 9 . Hundwa indove yen'ombe yakaoma inokuhudzisa moto, zvikuru pakupisa hari dzabva kuumbwa.
hunga 	K- 	9 	z 		hunga K- z 9 . Hunga ihove refu, ino musoro unenge wenyoka uye inowanikwa munzizi huru. Ukabata hunga unoicheka musoro woukandira mudziva.
hungumadzi 	KKKD 	9 	z 		hungumadzi KKKD z 9 . Iri idombo rakakura. Uyu munhu anotyisa.
hungwe 	DK 	9 	z 		hungwe DK z 9 . Hungwe ishiri yorudzi rwegondo, ino musoro muchena, uye inorarama nokunyurura hove ichidya.
hunyakwose 	DDKK 	9 	z 		hunyakwose DDKK z 9 . Uyu mukombe une kaburi pamubato wawo. Uyu munhu anofambisa makuhwa, asi achinyepedzera kuva munhu kwaye kumativi maviri aari kufambisira mashoko akashata. hwenyakose 9 .
hupa 	KD 	9 	z 		hupa KD z 9 . Hupa munhu ane mumhu mukuru. Hupa munhu, mhuka kana chifambiso chakaita semotokari, chinofamba nokukasira.
