gwaronhau 	DDDK 	11 	z 		gwaronhau DDDK z 11 . Iri ibepa rinenge rakanyorwa nhau dzakasiyana-siyana asi iro risingabudi mazuva ese kana kuti pasvondo sepepanhau.
rudziyakamwe 	DKKDK 	11 	z 		rudziyakamwe DKKDK z 11 . Iyi inguva yamangwanani, zuva parinenge rava kutanga kunyatsopisa. madziyamushana 6, madziyazuva 8 .
ruenzaniso 	D- 	11 	z 		ruenzaniso D- z 11 . Uyu mutongo unopiwa munhu mumwe nomumwe ari munyaya achipiwa zvinoenderana nezvaakaita. Ishe apa ruenzaniso rwokuti mbavha ibhadhare mari, mhondi ifire mujeri. mutongo 3 .
rufambo 	DKK 	11 	z 		rufambo DKK z 11 . Rufambo itsika yokuramba uchienda kwakasiyana-siyana, usina nguva yokunatsogara pasi.
rufandichimuka 	DKDKKK 	11 	z 		rufandichimuka DKDKKK z 11 . Urwu rudzi rweuswa hunowanikwa mugomo pamwe chete nefuri, husingatani kusvibira kana kwanaya, huchikurumidza kuoma kana kusisina mvura.
rufararira 	D- 	11 	z 		rufararira D- z 11 . Uku kuwanda kunenge kwakaita vanhu kana mhuka, dzichifamba kana kuve panzvimbo yakafaranuka.
rufaro 	DKK 	11 	z 		rufaro DKK z 11 . Rufaro mweya wekunakidzwa kunoita munhu kana aita, aipiwa kana kunzwa zvinonakidza.
rufasha 	D- 	11 	z 		rufasha D- z 11 . Rufasha zvinhu zvinenge zvakawanda chaizvo panzvimbo imwe. Rufasha kuve nevana vakawanda zvikuru. Rufasha imvura kana mbeu dzinenge dzakawanda zvikuru.
rufimbi 	D- 	11 	z 		rufimbi D- z 11 . Rufimbi mushonga unoshandiswa nembavha kuti ibudirire mubasa rayo rokuba. Rufimbi mushonga unoitisa munhu chiveve kana kumbomukotsirisa, kuti kana munhu ozoitwa oparesheni asarwadziwa.
rufoyo 	D- 	11 	z 		rufoyo D- z 11 . Rufoyo itsika yokusagutsikana nokungosvora zvinoitwa, zvakanaka kana zvakaipa, kunyanya nomukadzi wako. Rufoyo itsika yokutaura zvinhu zvisiri zvechokwadi.
rufudzamombe 	D- 	11 	z 		rufudzamombe D- z 11 . fudzamombe 5 .
rufunu 	DDK 	11 	z 		rufunu DDK z 11 . Rufunu kakanda kadiki kakwatuka pamuviri. Rufunu chirwere cheganda chinoita kuti rikwatuke-kwatuke.
rufuramhebwe 	D- 	11 	z 		rufuramhebwe D- z 11 . Iyi inguva yezuva richangovira, kwava kutanga kusviba.
rufuro 	DKK 	11 	z 		rufuro DKK z 11 . Rufuro marudzi enyoka ane ruvara rwamashizha.
rufuse 	D- 	11 	z 		rufuse rupfutse D- z 11 . Rufuse ivhu nemadota zvinopisa, zvinowanikwa panenge paita moto kwenguva refu. Maputi anogona kugochwa murufuse, vanhu vari padare.
rugaba 	DDK 	11 	z 		rugaba DDK z 11 . Rugaba ndeimwe mari yeroora inobiswa nomukwasha kwatezvara, isingasanganisi mombe dzeroora.
rugande 	DKD 	11 	z 		rugande rukande DKD z 11 . Rugande kuunza zvokudya pamwe chete kunowanzoitwa nevadiki, sezvingaita vana vanenge vari kun'ombe.
rugare 	DDK 	11 	z 		rugare DDK z 11 . Rugare kurarama upenyu husina matambudziko. Rugare muriwo unorimwa turi tumhodzi kana kudyarwa ari manhungirwa, unoreba chaizvo uchinonoka kutumbuka.
rugaro 	D- 	11 	z 		rugaro D- z 11 . Rugaro mamiriro eupenyu hwemunhu. Rugaro rwake rwokudya zvokupambara, harufadzi.
rugumabeto 	D- 	11 	z 		rugumabeto D- z 11 . Iyi inguva yamangwanani, pasi pachine dova. rusvayadova 11 .
rugwezha 	D- 	11 	z 		rugwezha D- z 11 . rugwezhwa .
rugwezhwa 	D- 	11 	z 		rugwezhwa D- z 11 . Rugwezhwa inzvimbo inenge ine miti yakawanda chaizvo musango yakasiyana-siyana inotonetsa kupinda. rugwezha 11, rugwenhere 11 .
ruhwezha 	D- 	11 	z 		ruhwezha D- z 11 . Ruhwezha miti yakawanda, inenge yakamera pakanzvimbo kadiki. denhere 5 rungwenhere 5 .
rujeko 	D- 	11 	z 		rujeko D- z 11 . Rujeko kuchena kunoita nzvimbo inenge yavhenekwa. chiedza 7 . ANTONYMS rima 5.
rukakatira 	DKKDK 	11 	z 		rukakatira DKKDK z 11 . Uku kuva munhu anenge achikwanisa kuti vamwe vauye kudivi kwake, vamubatsire pane zvaanenge achiita.
rukangarabwe 	DKKDD 	11 	z 		rukangarabwe DKKDD z 11 . Iyi inzvimbo ine ivhu rakasangana notutombo. Ukafamba naparukangarabwe kuchitonhora, usina shangu, unorwadziwa narwo pasi petsoka.
rukaro 	DKK 	11 	z 		rukaro DKK z 11 . makaro 6 .
rukarwa 	DDK 	11 	z 		rukarwa DDK z 11 . Rukarwa mutaro unotarwa kuratidza panofanira kugumira rinda richacherwa.
rukato 	D- 	11 	z 		rukato D- z 11 . Rukato kamuti kadiki kane minzwa nemashizha madiki, kanotandira mimwe miti iri padyo.
rukaye 	D- 	11 	z 		rukaye D- z 11 . Rukaye imhando yamakonye anodya dzinde, kana mashizha echibage nedzimwewo mbesa.
rukisheni 	DKDD 	11 	z 		rukisheni DKDD z 11 . Idzi dzimba dzinenge dziri muguta dzakavakwa panzvimbo imwe ichishevedzwa nezita rimwe chete. Anogara kurukesheni rweDzivarasekwa.
rukodoya 	D- 	11 	z 		rukodoya D- z 11 . Iyi inzvimbo yakamanikana panopinda n'ombe dzichibayiwa majikiseni, kana kuti dzichida kundopinzwa murori kuti dzitakurwe. rumano 11, rumanimani 11 .
rukodzi 	DKD 	11 	z 		rukodzi DKD z 11 . Rukodzi ishiri inodya hukwana kana dzimwe shiri, inovaka dendere mumiti yakareba. rukodzi 11 .
rukono 	DKK 	11 	z 		rukono DKK z 11 . Rukono idambudziko risakaonekwa. Rukono kuona mazizi achitora hukwana. Rukono chirwere chinobata vanhurume voga.
rukope 	DKK 	11 	z 		rukope DKK z 11 . Rukope kunzwa uchitadza kunatsosvinura, uchinge unoda kurara. Rukope chirwere chinokupa kuda kugara wakarara. Rukope kuve nemaziso anenge anogara akatsinzinyira nguva dzose.
rukoto 	DKK 	11 	z 		rukoto DKK z 11 . Rukoto mubhadharo waunopa ishe asiri wako nokuti unenge uchirima munyika yake. Rukoto imbeu dzinenge dzichikura dzakatarangana-tarangana. mukwerera 3 .
rukudzo 	DKK 	11 	z 		rukudzo DKK z 11 . ruremekedzo 11 .
rukukundwa 	DKKD 	11 	z 		rukukundwa DKKD z 11 . Iyi inzvimbo inenge ine ivhu rinorimika shoma, nokuti pasi paro panenge pane dombo kana rimwe ivhu risingakudzi mbeu. Iri isora pfupi rinomera pavhu risina chokudya chakawanda. Izvi zvimavhu nemarara zvinokukurwa nemvura kana rwizi ruchiyerera nesimba, zvozosiyiwa kana mvura yave shoma.
rukumbiro 	DKKD 	11 	z 		rukumbiro DKKD z 11 . Iyi itsika yekuti chose chose chaunoda unoita zvokukumbira kune vamwe usingazvishandirewo wega.
rukundi 	DDK 	11 	z 		rukundi DDK z 11 . Rukundi chirwere chekuunduka mvere chinobata imbwa. chikundu 7 .
rukunha 	D- 	11 	z 		rukunha D- z 11 . Rukunha rudzi rwemashamba akaita madiki, akaomarara, asingagoni kubikisa nhopi, anowanzopiwa nguruve.
rukunzvikunzvi 	D- 	11 	z 		rukunzvikunzvi D- z 11 . rubvunzavaeni 11 .
rukusha 	DKK 	11 	z 		rukusha DKK z 11 . Rukusha ndechinosungirwa nevanhukadzi muchiuno kuti nhumbi dzakapfekwa dzimire zvakanaka pamiviri.
rukushe 	DKD 	11 	z 		rukushe DKD z 11 . makushe 6 .
rukuva 	DKK 	11 	z 		rukuva DKK z 11 . Rukuva inzvimbo inogadzikwa midziyo yomumba, kunyanya hari, poto nendiro. chikuva 7 .
rukuvhute 	DKKD 	11 	z 		rukuvhute DKKD z 11 . Iyi inhengo, yakaita seura, inobatanidza mai nemwana kana mwana ari mudumbu, pari ipozve paanotora napo chikafu kubva kuna mai.
rukwa 	D- 	11 	z 		rukwa D- z 11 . Rukwa mushonga unoteyewa pazvinhu zvakaita semichero kana zvirimwa, wokuti kana mumhu ava kuba haazokwanisi kubvapo. chipingo 7 .
rukweza 	DKK 	11 	z 		rukweza DKK z 11 . Rukweza imbesa ine tsanga diki dzinotsvuka kana dzaibva, dzichibikisa sadza kana hwahwa dzakuyiwa. zviyo 8 .
rumano 	D- 	11 	z 		rumano D- z 11 . Rumano mudziyo wokubatisa mapuranga kuti asazungunuka kana achivezwa. vhaisi 9, chimano 7 .
rumbabvu 	D- 	11 	z 		rumbabvu D- z 11 . mbabvu 9 .
rumbariro 	D- 	11 	z 		rumbariro D- z 11 . mbariro 9 .
rumborera 	DDKD 	11 	z 		rumborera DDKD z 11 . mborera .
rumhenda 	DDK 	11 	z 		rumhenda DDK z 11 . Rumhenda ndekwekupedzisira kwemuswe wenyoka. Paakarova musoro wenyoka rumhenda rwakasara ruchizvongonyoka.
rumhepu 	DDK 	11 	z 		rumhepu DDK z 11 . Rumhepu kakuita kokukasika kuvhunduka. Vana vasina kurapirwa vanoita rumhepu.
rumhepwa 	DKD 	11 	z 		rumhepwa DKD z 11 . Rumhepwa kurwara kunoitwa nemunhu wechidiki, mushure mekunge arara nomunhu mukuru semurume nemukadzi. Mwanasikana akabatwa chibharo achaita rumhepwa.
rumino 	D- 	11 	z 		rumino D- z 11 . Kana munhu ane rumino , anenge achikasika kuramwa. Baba vane rumino varamba kuroodza mwana.
rumveemvee 	DKDK 	11 	z 		rumveemvee DKDK z 11 . Uku kufamba-famba kwezvinhu zvichipesana zvisingaonekwi pazvakananga. Pakaputika bhambo, mishoni yakaita rumveemvee vanhu vachitiza.
rumveyesano 	DKKD 	11 	z 		rumveyesano rumveesano DKKD z 11 . Uku kutamba kunoitwa navanhu mumhanzi vakambundikirana. Uku kudzinganisana kwakasimba, kwakaita sekungaite imbwa netsuro.
runako 	D- 	11 	z 		runako D- z 11 . Runako kutarisika kunoyemurwa kuchigutsa meso.
rundakuda 	DDKD 	11 	z 		rundakuda DDKD z 11 . Iyi ihembe ingapihwe mumwe kana vanhu vapfimbana, kuratidza rudo. Musikana akapiwa rundakuda rwechuma.
rundanyara 	DDKD 	11 	z 		rundanyara DDKD z 11 . Ichi chuma chinosungwa mumusoro nemadzimai.
rundaza 	DDK/D- 	11 	z 		rundaza DDK/D- z 11 . Rundaza kurongana sezvingaita vanhu vari mumutsetse.
rundwara 	DDK 	11 	z 		rundwara DDK z 11 . runzara 11 .
rungano 	D- 	11 	z 		rungano D- z 11 . ngano 9 .
runhare 	DKD 	11 	z 		runhare DKD z 11 . foni 9 .
runji 	DK 	11 	z 		runji DK z 11 . Runji itsono inenge yakanaka chaizvo.
runjirusitungenguo 	DKDKDDDD 	11 	z 		runjirusitungenguo DKDKDDDD z 11 . Iri izwi rinoshandiswa kutsanangura mukadzi anenge akanaka zvakanyanya, zvokuti anofananidzwa netsono yakanakisisa zvokuti haisoneswi kuri kutyira kuti ingazokuvara.
runya 	D- 	11 	z 		runya D- z 11 . Runya katsika komunhu anenge asingatani kutsamwa nokukasika kuregera zvaanenge anga achiita.
runyanga 	DDK 	11 	z 		runyanga DDK z 11 . nyanga 9 .
runyanhiriri 	D- 	11 	z 		runyanhiriri D- z 11 . Iyi inguva yamangwanani zuva risati rabuda.
runyaradzo 	DKKD 	11 	z 		runyaradzo DKKD z 11 . Uyu mwoyo unoratidzwa nemunhu, wekuti mumwe anotambudzika kana kuchema anyarare. nyaradzo 9 .
runyararo 	DKKD 	11 	z 		runyararo DKKD z 11 . Kana panhu paine runyararo panenge pasina kana karuzha zvako. Iyi inguva yorudekaro pasina ari kukonana nomumwe.
runyerekupe 	D- 	11 	z 		runyerekupe D- z 11 . Aya mashoko anotaurwa, asina chokwadi chati chabuda. Pane runyerekupe rwekuti Kudzai ndiye akaba hembe dzavo.
runyindo 	D- 	11 	z 		runyindo D- z 11 . Runyindo kuva nokugutsikana nokusatya pane zvaunoita. Ndakanyora bvunzo ndiine runyindo.
runyoka 	DKK 	11 	z 		runyoka DKK z 11 . Runyoka urwere hunowanikwa nemurume, achinge arara nomukadzi womunhu akagadzirwa nemushonga.
runzara 	DDK 	11 	z 		runzara DDK z 11 . Runzara| kakwati kari kumberi kwechigunwe cheruoko kana chegumbo. nzara 9 .
ruomba 	D- 	11 	z 		ruomba D- z 11 . Ruomba mafuta anowanikwa mumukaka.
ruombeko 	D- 	11 	z 		ruombeko D- z 11 . rubhabhatidzo 11 .
ruomera 	DKDK 	11 	z 		ruomera DKDK z 11 . rutsuta 11 .
rupanzo 	DKK 	11 	z 		rupanzo DKK z 11 . Rupanzo kurwara kunoita munhu achinzwa mudumbu, achiburitsa tsvina yakaita mvura. manyoka 6, rupazho 11 .
ruparanganda 	D- 	11 	z 		ruparanganda D- z 11 . Uku kuvaima kunoita mheni.
rupasa 	DDK 	11 	z 		rupasa DDK z 11 . rukukwe 11 .
rupau 	D- 	11 	z 		rupau D- z 11 . Rupau runyorwa, kana chidhindo, kana chimwewo chinoiswa pamhuka kuti dzizivikanwe kuti ndedzekupi. Mbudzi dzake dzine rupau rwemhete panzeve.
rupazho 	DKK 	11 	z 		rupazho DKK z 11 . rupanzo 11 .
rupazo 	D- 	11 	z 		rupazo D- z 11 . Rupazo kuva nekunzwa kuda kungopaza zvinhu. Mbavha ine rupazo.
rupendero 	D- 	11 	z 		rupendero D- z 11 . mupendero 3 .
rupenyu 	DDK 	11 	z 		rupenyu DDK z 11 . upenyu 14 .
rupfave 	DDK 	11 	z 		rupfave DDK z 11 . mutsa 3 .
rupfumbidzo 	D- 	11 	z 		rupfumbidzo D- z 11 . Ichi chipo chinopiwa munhu neanenge achimutumidza zita. Babamukuru vakapa mwana rupfumbidzo, kuitira kuti abvume zita ravo.
rupinduko 	D- 	11 	z 		rupinduko D- z 11 . Uku kusiya zvakaipa mushure mokunge wareurura matadzo kumupirisiti.
rupipiro 	DKKD 	11 	z 		rupipiro DKKD z 11 . Uku kuita kwemunhu anenge achireverera anonenerwa mhosva kuti asabatwa nayo. Gweta raiva nerupipiro nokuti raiva rabhadharwa.
rupiza 	D- 	11 	z 		rupiza D- z 11 . Rupiza inyemba dzinokangwa dzokuyiwa, dzobikwa kuti dzizodyiwa dzakaita botabota. rutenho 11 .
rupo 	DK 	11 	z 		rupo DK z 11 . Rupo kuva nekuda kuti vamwe, vawane uchivapawo zvauinazvo.
rupokano 	D- 	11 	z 		rupokano D- z 11 . Uku kuva nekusatenderana nezvinoitwa kana zvinofungwa navamwe.
ruponeso 	DKKD 	11 	z 		ruponeso ruponiso DKKD z 11 . Uku kununurwa kunoitwa vanhu naKristu kubva muzvivi.
rupupiro 	D- 	11 	z 		rupupiro D- z 11 . Iri ifuro rinobuda pamuromo pemunhu kana ataura kwenguva refu. Uku kuva munhu anopopota kana kuti anotaurisa.
rupute 	DDK 	11 	z 		rupute DDK z 11 . Rupute iguruva rakawanda, kana chiutsi chinenge chichipwititika kuenda mudenga.
rurasademo 	DKDKK 	11 	z 		rurasademo DKDKK z 11 . Uku kutiza kunoita zvavhundutswa chimwe nechimwe chichinanga kwacho.
rurebvu 	D- 	11 	z 		rurebvu D- z 11 . Rurebvu zvitambo zvinenge ndebvu, zvinobuda kumuromo wemuguri wechibage pakufurura kwacho. rebvu 5 .
ruredzo 	DDK 	11 	z 		ruredzo DDK z 11 . Ruredzo mashizha omufeso anoshandiswa somushonga anoti ukaakwiza ukaisa mumvura anorera. Kare vasikana vaigeza vhudzi ravo neruredzo kuti rinakirire.
ruregerero 	D- 	11 	z 		ruregerero D- z 11 . Uku kuva nekunzwisisa kuti munhu zvaakutadzira hazvichina mhosva. Mbavha yakakumbira kuti ipiwe ruregerero.
ruremekedzo 	D- 	11 	z 		ruremekedzo D- z 11 . Uku kukudza munhu uchimupa chinzvimbo chikuru muupenyu, nokuda kwekuti maitire ake akanaka.
rurimi 	DKK 	11 	z 		rurimi DKK z 11 . Rurimi inhengo yemuviri iri mumuromo, inogonesa munhu kuravira, kudya nekutaura. Rurimi mutauro wemunhu. Anotaura rurimi rweChiShona here kana ChiRungu.
rurindi 	DDK 	11 	z 		rurindi DDK z 11 . Rurindi chirwere chokukosora, munhu achisvipa ropa achiperezeka muviri.
rusambo 	DKK 	11 	z 		rusambo DKK z 11 . Rusambo ndiyo mari huru inobviswa nemukuwasha pakuroora.
rusandusandu 	D- 	11 	z 		rusandusandu D- z 11 . Uku kuva nemaitiro akasiyana-siyana, uye asinganzwisisiki.
rusaririra 	DKDK 	11 	z 		rusaririra DKDK z 11 . Uku kuva namaitire okungopedzisira pane chose chaunoita navamwe.
rusariro 	DKKD 	11 	z 		rusariro DKKD z 11 . Ichi chuma chakatungwa chine chipiyaniso chokuverengesa minamato. ruzariro 11 .
rusaruraganda 	DDDDKK 	11 	z 		rusaruraganda DDDDKK z 11 . Uku kuda vanhu vane ganda serako, uchisema vamwe vasina ganda serako. rusaruro 11 .
rusaruro 	D- 	11 	z 		rusaruro D- z 11 . Uku kuitira vamwe vanhu zvakanaka, vamwe uchivaitira zvakaipa. rusaruraganda 11 .
rusenya 	DKD/D- 	11 	z 		rusenya DKD/D- z 11 . Rusenya ivhu rinenge rakanyanya kuita musheche.
rushambo 	DKK 	11 	z 		rushambo DKK z 11 . Rushambo chibhandi chakarukwa nemauswa kana netambo dzesimbi, chinopfekwa mumaoko.
rushambwa 	DDK 	11 	z 		rushambwa DDK z 11 . Kuva ne rushambwa kuva munhu uya anogara achiwirwa nematambudziko nguva nenguva. munyama 3 . ANTONYMS makomborero 6.
rushamhu 	DDK 	11 	z 		rushamhu DDK z 11 . Rushamhu kapazi kemuti kanoshandiswa kurovesa. Vana vasinganzwi vanorohwa nerushamhu. shamhu 9, mushamhu 3 .
rushanga 	D- 	11 	z 		rushanga D- z 11 . Rushanga inzvimbo iri kunze kwemusha yakagadzirirwa kupira vadzimu. Rushanga rudzi rweuswa hunomera murwizi hwakareba uye huine nhengo sepwa.
rushavashava 	D- 	11 	z 		rushavashava D- z 11 . rushambwa 11 .
rushaya 	DDK 	11 	z 		rushaya DDK z 11 . Rushaya ibhonzo rakabata mazino epazasi. shaya 9 .
rushiye 	DKD 	11 	z 		rushiye DKD z 11 . rusvava 11 .
rushoka ndibereke 	DDDKKKD 	11 	z 		rushoka ndibereke rutsoka ndibereke DDDKKKD z 11 . Uku kutiza kukuru kunoitwa nemunhu avhundutswa. Takaita rushokandibereke pakabuda bhazi mumugwagwa, rouya nekwatiri.
rushusho 	D- 	11 	z 		rushusho D- z 11 . Rushusho kungotaura nekungonetsa mumwe pasina nenyaya yese.
ruso 	DK 	11 	z 		ruso DK z 11 . Ruso kuva nekufambirana zvakanaka nezvaunoita nguva dzose.
rusosa 	DDK 	11 	z 		rusosa DDK z 11 . Rusosa matsotso anenge akakomberedzesa munda, kuti zvirimwa zvisadyiwa nezvipfuyo.
rusudzo 	D- 	11 	z 		rusudzo rusudze D- z 11 . Rusudzo mweya unonhuhwa, unobuda kusure zvisina ruzha. Kana munhu akadya nyemba anoita rusudzo.
rusumudzo 	DKKD 	11 	z 		rusumudzo DKKD z 11 . Iyi imari inobhadharwa nevakuwasha kunanatezvara, kana vava kutora mudzimai wavo kuti vachienda naye kwavo.
rusununguko 	DKKKD 	11 	z 		rusununguko DKKKD z 11 . Uku kuva norugare muchizvitonga pamadiro. MuZimbabwe vanhu vatema vakawana rusununguko kubva kuvapambepfumi mugore ra1980. ANTONYMS utapwa.
rusvava 	D- 	11 	z 		rusvava D- z 11 . Rusvava mwana achangozvarwa. rushiye 11 .
rusvayadova 	DDDDK 	11 	z 		rusvayadova DDDDK z 11 . Iyi imari inobviswa nemukwasha kunanatezvara paanoroora, kuvaripa kufamba kwavaiita makuseni vachiriritira mwanasikana wavo.
rusvingo 	D- 	11 	z 		rusvingo D- z 11 . Aya madziro akavakwa nemabwe, anogona kutenderedza guta kana musha. svingo 9 .
rusvomhorera 	D- 	11 	z 		rusvomhorera D- z 11 . Uku kutora zvinhu uchiita zvishoma nezvishoma kusvika wapedza.
rusvomhorera 	DDKKD 	11 	z 		rusvomhorera DDKKD z 11 . Uku kubhadhara chikwereti paduku napaduku.
rusvosvera 	D- 	11 	z 		rusvosvera D- z 11 . rukodzi 11 .
rutaitai 	D- 	11 	z 		rutaitai D- z 11 . Uku kungaima-ngaima kwechinhu chinenge chichipenya, chakaita semagirazi kana chiringiriro.
rutakatira 	D- 	11 	z 		rutakatira D- z 11 . Ichi chirwere chinokosoresa munhu achirutsa ropa.
rutamo 	DKK 	11 	z 		rutamo DKK z 11 . Rutamo kuva nemaitiro okuchinja misha yokugara munguva diki.
rutanjatanja 	DKDKD 	11 	z 		rutanjatanja DKDKD z 11 . Uyu munhu kana mhuka yakaonda. Kana kunze kukaoma, n'ombe dzinoita rutanjatanja.
rutapatsikidzi 	DKKDKD 	11 	z 		rutapatsikidzi DKKDKD z 11 . Aka kamuti kanoshandiswa kubata tsikidzi, kanowanzowanikwa munzvimbo dzakakwirira.
rutara 	DKK 	11 	z 		rutara DKK z 11 . Rutara kuva nemeso asingaoni zviri kure.
rute 	DK 	11 	z 		rute DK z 11 . Rute mate anosiririka, anobuda mumuromo achierera, kazhinji kana munhu akarara. siriri 5 .
rutendo 	D- 	11 	z 		rutendo D- z 11 . Rutendo kuratidza mwoyo wokufarira zvawaitirwa.
ruti 	DK 	11 	z 		ruti DK z 11 . Ruti ruruferenyurwa rwemechisi rwakavezwa rwune kamusoro kokukwenyesa moto. rumuti 11, rutanda 11 .
rutondedzo 	DKKD 	11 	z 		rutondedzo DKKD z 11 . Uyu mucherechedzo wokuyeuchidza munhu. Mudonzvo uyu rutondedzo rwasekuru vangu vakafa.
rutsanga 	D- 	11 	z 		rutsanga D- z 11 . tsanga 9 .
rutsero 	D- 	11 	z 		rutsero D- z 11 . rusarura 11 .
rutsidzo 	D- 	11 	z 		rutsidzo D- z 11 . chitsidzo 7 .
rutsigiro 	DKKD 	11 	z 		rutsigiro DKKD z 11 . Iyi imari inobviswa kuti igoshandiswa basa rinoyamura vanhu vechechi.
rutsito 	DKK 	11 	z 		rutsito DKK z 11 . Rutsito mapango nembariro zvinovakwa nokutenderedza munda. rusosa 11, rumhanda 11 .
rutsitsiriro 	D- 	11 	z 		rutsitsiriro D- z 11 . Uku kushaisa vamwe rusununguko rwavanokodzera. Ishe ane rutsitsiro anozomukirwa nevanhu.
rutsoka 	D- 	11 	z 		rutsoka D- z 11 . tsoka 9 .
rutsuta 	DDK 	11 	z 		rutsuta DDK z 11 . Rutsuta kunyanyisa kuda kuchengetedza mari kunenge kuchipfurikidza mwero. ruomera 11 .
rutsva 	DK 	11 	z 		rutsva DK z 11 . Rutsva inzvimbo yapiswa uswa.
rutsvitsvi 	DDK 	11 	z 		rutsvitsvi DDK z 11 . Rutsvitsvi kuungana kungaita zvinhu panhu pamwe, zvakabatana. Munda une rutsvitsvi rwebundo, unonetsa kusakura.
rutumo 	DKK 	11 	z 		rutumo DKK z 11 . Rutumo tsika yokukumbira vamwe kuti vakuitire zvaunoda iwe wakagara. Mbuya vane rutumo havafarirwi nevazukuru.
ruvambira 	DDKD 	11 	z 		ruvambira DDKD z 11 . Uku kuita kwekutsvaga kutsamwisa vamwe.
ruvangu 	DKK 	11 	z 		ruvangu DKK z 11 . rukodzi 11 .
ruvanze 	DKD 	11 	z 		ruvanze ruvazhe DKD z 11 . Ruvanze inharaunda yemusha inochengetedzwa ichiseswa nekutsvairwa. chivanze 7 .
ruvara 	DKK 	11 	z 		ruvara DKK z 11 . Ruvara imhando yekutaridzika kwechinhu, sekuti chitema kana kuti chitsvuku.
ruvaravando 	D- 	11 	z 		ruvaravando D- z 11 . Izvi ndezvinotaurwa kana kuitwa muchihwande. Hondo yechimurenga yaiva ruvaravando.
ruvariro 	DKKD 	11 	z 		ruvariro DKKD z 11 . vavariro 9 .
