chaamai 	KDKD 	7 	z 		chaamai KDKD z 7 . Iri izwi rinoshandiswa kutaura kuti amai vomumwe vakaita, kana kuti vakaitirwa, zvinonyadzisa.
chakwechana 	DKKK 	7 	z 		chakwechana DKKK z 7 . Iyi imhando yemhunga inotapira chaizvo.
chakweshadombo 	DKKDK 	7 	z 		chakweshadombo DKKDK z 7 . Ichi chombo kana chimwe chinhu chokushandisa chava chekarekare, asi chichikwanisa kugadzirwa kuti chigoshandiswazve.
chakweshadombo 	DKKKK 	7 	z 		chakweshadombo DKKKK z 7 . Uyu munhu akura chaizvo zvokupfuura vose vari munzvimbo maanogara. Sekuru vangu ndichakweshadombo chaiye. Hapachina wezera ravo mupenyu.
chakweshapasi 	DKKKK 	7 	z 		chakweshapasi DKKKK z 7 . chakweshadombo 7 .
chakwindi 	DKD 	7 	z 		chakwindi DKD z 7 . chahuvhe 7 .
chamagotsi 	DKDD 	7 	z 		chamagotsi DKDD z 7 . Uku kufamba uchienda kudivi rawakafuratira. Mutambo wechamagotsi haubvumirwi pamahombekombe edziva. manhendeshure 6, madududu 6 .
chamarengenya 	KKKDD 	7 	z 		chamarengenya KKKDD z 7 . Uyu munhu anogaropfeka nhumbi dzakasakara uye iye asingagezi.
chamasimba-masimba 	DKDK KDK 	7 	z 		chamasimba-masimba DKDK KDK z 7 . Uku kushandisa chisimba kuti munhu akuudze zvaanofunga maererano nenyaya yamuri kutaurirana. Kana musungwa achinetsa kutaura naye mapurisa anomuita chamasimba-masimba kuti vawane zvavanoda paari.
chamasunda 	DKDK 	7 	z 		chamasunda DKDK z 7 . chamagotsi 7 .
chamavhunduka 	KKDDD 	7 	z 		chamavhunduka KKDDD z 7 . chaguduma 7 .
chambembeza 	DKDK 	7 	z 		chambembeza DKDK z 7 . Uku kubereka mwana kumusana pasina mbereko wobva womutsigira nemaoko. Vakuru vedu vaibereka vana kumusana chambembeza nokuti mbereko dzaiva dzisiko. chimhembeza 7 .
chambiswa 	DKD 	7 	z 		chambiswa DKD z 7 . Chambiswa idhishi kana chimwe chinhu chinenge chakazara nemhashu dzakakangwa.
chamboko 	DKD 	7 	z 		chamboko DKD z 7 . Chamboko ishamhu ingagadzirwa neganda ren'ombe, remvuu kana nerabha zvakatetepa kumberi, inorova zvinorwadza. chikoti 7 .
chambwa 	D- 	7 	z 		chambwa D- z 7 . Chambwa ifodya yemumhino yakaumbana pamusana pokuti yaenda mwando. Mbuya vakashaya chokuputa fodya yavo yaita chambwa.
chamhembe 	DKK 	7 	z 		chamhembe DKK z 7 . Ku chamhembe kwenyika kudivi riri kwakapesana nokumaodzanyemba, uye kunenge kuri kurudyi kana munhu akatarisa kumabvazuva.
chamhungwe 	DKD 	7 	z 		chamhungwe DKD z 7 . Chamhungwe imhepo inovhuvhuta nokutenderera zvine simba. Chamhungwe chinowaranyura matenga edzimba pachinodarika napo. chamupupuri 7 .
chamizira 	D- 	7 	z 		chamizira D- z 7 . Uku kusavapo kwevanhu panzvimbo, umwe noumwe aenda kwake oga.
chamoto 	DKD 	7 	z 		chamoto DKD z 7 . Chamoto chimwiwa chinodhaka chaizvo chinobikwa pachisanganiswa zvinhu zvakawanda. chikokiyana 7 .
chamubandakanda 	KKKDDD 	7 	z 		chamubandakanda KKKDDD z 7 . Uku kurwadza zvakanyanya kwenhengo yemuviri.
chamubhabhabha 	KKDKD 	7 	z 		chamubhabhabha KKDKD z 7 . Uku kuita chinhu nechisimba kwenguva yakareba.
chamuchacha-muchacha 	KKKDDDD 	7 	z 		chamuchacha-muchacha KKKDDDD z 7 . Aka karuzha katetetete kanonzwika kana madonhwe emvura inonaya achirova pasi.
chamuchachu-muchachu 	KDKDDKD 	7 	z 		chamuchachu-muchachu KDKDDKD z 7 . Uku kutora zvinhu zvokudya zvichiri pamoto kunoitwa nevanhu vakawanda.
chamudai-mudai 	DKKK KDD 	7 	z 		chamudai-mudai DKKK KDD z 7 . Uku kujanhuka-janhuka kunoita munhu anenge akasimudza rimwe gumbo paanenge achiedza kumira asingahuti-huti. chamukamhina 7 .
chamudididi 	KKKDD 	7 	z 		chamudididi KKKDD z 7 . Uku kumhanya chaizvo asi munhu achiita zvinhambwe zvipfupipfupi.
chamudzungururu 	KKKDDD 	7 	z 		chamudzungururu KKKDDD z 7 . Uku kutamba kunoitwa nepwere panhu pamwe kusvika musoro wotenderera nedzungu.
chamugo 	DKD 	7 	z 		chamugo DKD z 7 . Chamugo kuisa zvinhu zvinowedzera runako kumeso kana mumusoro kunowanzoitwa nevanhukadzi.
chamuhwiriri 	DDKDD 	7 	z 		chamuhwiriri DDKDD z 7 . Uku kumhanya chaizvo zvokunge mhepo. Pakarira bhera rokupedza chikoro, vana vakaita chamuhwiriri kumhanyira kudzimba.
chamujakujaku 	KKDKDD 	7 	z 		chamujakujaku KKDKDD z 7 . Uyu mutambo wokujanhuka-janhuka unowanzoitwa nevana vachibva pakakwirira vachienda pakadzikira.
chamukamhina 	KKDKD 	7 	z 		chamukamhina KKDKD z 7 . chamudai-mudai 7 .
chamukasama 	DKKKD 	7 	z 		chamukasama DKKKD z 7 . Iyi imhuka yakada kufanana nendunguza inowanzogara pedo nemvura, uye inowanzofamba iri muboka redzimwe dzayo.
chamukuduburi 	KDKKKD 	7 	z 		chamukuduburi KDKKKD z 7 . Izvi zvidoro zvishomanene zvinopiwa munhu kuti anzwe kuti rinonaka here asati atenga nemari. Chamukuduburi chandapiwa apa chabva chandidhaka pakarepo. nzwisa 9, muraidzo 3 .
chamukumbo-mukumbo 	KKKKKDD 	7 	z 		chamukumbo-mukumbo KKKKKDD z 7 . chamudai mudai 7 .
chamumbwa 	DKD 	7 	z 		chamumbwa DKD z 7 . Chamumbwa vanhu vakaungana vakawanda chaizvo. Pandakaona chamumbwa chevanhu vaichema ndakabva ndaziva kuti paiva nerufu.
chamumhupuri 	KDKKK 	7 	z 		chamumhupuri KDKKK z 7 . Iyi imhepo inovhuvhuta ichitenderera zvine simba. chamupupuri 7 .
chamumire-mumire 	KKKKKDD 	7 	z 		chamumire-mumire KKKKKDD z 7 . Iyi imvura inoyerera ichiita karuzha.
chamunhube 	KDKD 	7 	z 		chamunhube KDKD z 7 . Uku kudhidha muviri wose wakanyura mumvura. chamunyurududu 7 .
chamunhupe 	KDKD 	7 	z 		chamunhupe KDKD z 7 . chamunhube 7 .
chamunyurududu 	KDKKKD 	7 	z 		chamunyurududu KDKKKD z 7 . Kuita chamunyurududu kutuhwina muviri wose kusanganisira musoro urimumvura.
chamunyurungundu 	KDKKKK 	7 	z 		chamunyurungundu KDKKKK z 7 . chamunhube 7 .
chamupapata 	KDKKK 	7 	z 		chamupapata KDKKK z 7 . Ichi chimuti chidukuduku chine shizha rimwe uye chiine mudzi wakaita bhora sebura.
chamupidigori 	KDKKDK 	7 	z 		chamupidigori KDKKDK z 7 . Uku kuisa makumbo mudenga musoro uri pasi.
chamupupuri 	KDKDK 	7 	z 		chamupupuri KDKDK z 7 . Iyi imhepo inovhuvhuta nokutenderera zvine simba uye inokwanisa kuwaranyura matenga edzimba.
chamupwititi 	KDKKK 	7 	z 		chamupwititi KDKKK z 7 . Iri iguruva rinosimudzwa nokutamba kwavanhu kana kurwa kwemombe. mhwititi 9 .
chamuremwaremwa 	KDKDKD 	7 	z 		chamuremwaremwa KDKDKD z 7 . chiremwaremwa 7 .
chamushapu mushapu 	KKKD DKD 	7 	z 		chamushapu mushapu KKKD DKD z 7 . Uku kubhadhara mari nguva nenguva kuti urege kusungirwa mhosva yaunenge wapara.
chamushapu-mushapu 	KDKDDKD 	7 	z 		chamushapu-mushapu KDKDDKD z 7 . Uku kubva panzvimbo vanhu vachiita mumwe mumwe kuri kuratidza kushatirwa.
chamushoniwa 	KKDKD 	7 	z 		chamushoniwa KKDKD z 7 . chamukamhina 7 .
chamushunye mushunye 	DDKK DKK 	7 	z 		chamushunye mushunye DDKK DKK z 7 . Uyu mutambo wokutsunyana nenzara kana nezvigunwe.
chamusvetu-musvetu 	KDKDDKD 	7 	z 		chamusvetu-musvetu KDKDDKD z 7 . chamujakujaku .
chamuswinye-muswinye 	KKDKDDD 	7 	z 		chamuswinye-muswinye KKDKDDD z 7 . chamushunye-mushunye .
chamutsunya-mutsunya 	KKDKDDD 	7 	z 		chamutsunya-mutsunya KKDKDDD z 7 . chamushunye-mushunye .
chamutsvare-mutsvare 	KKDKKDD 	7 	z 		chamutsvare-mutsvare KKDKKDD z 7 . Uyu mutambo wokuti munhu anonzvenzvera mumwe noruoko obva atiza, uye anzvenzverwa odzingirira umwe kuti aite zvimwe chetezvo. chitsvambe 7, chitsvare 7, chisvehu 7 .
chamutumbwi-mutumbwi 	KKDKDDK 	7 	z 		chamutumbwi-mutumbwi KKDKDDK z 7 . Uku kudhidha mumvura uchiti ukanyudza muviri wose wombobudisa musoro.
chamuvande-muvande 	KDKDDKD 	7 	z 		chamuvande-muvande chamuvandwa-muvandwa KDKDDKD z 7 . Uyu mutambo wokuti mumwe anovanda vamwe ivo vagomutsvaga kusvika vamuwana.
chamuvherere 	KDKDD 	7 	z 		chamuvherere KDKDD z 7 . chamuzerere .
chana 	DK 	7 	z 		chana DK z 7 . mwana . Kuita chana kuita zvinhu zvisina maturo semwana muduki.
chanana 	DKD 	7 	z 		chanana DKD z 7 . Chanana chinhu chine mwena pakati chinoshandiswa pakusvuta fodya. chiguba 7 .
chanana 	K- 	7 	z 		chanana K- z 7 . mwana 1 .
chando 	D- 	7 	z 		chando D- z 7 . Kana kunze kuine chando kunenge kuchitonhora. Chando imvura inenge yaita dombo nokuda kwekutonhora. mazaya 6 .
chandoma 	DKD 	7 	z 		chandoma DKD z 7 . Chandoma chitanda chine fundo mberi chinosungirirwa mberi kwemuseve usina dare. mhinha 9 .
chanduru 	DKK 	7 	z 		chanduru DKK z 7 . Chanduru kahomwe kanochengeta mvura inovava chaizvo, inobetsera pakugaya zvokudya mudumbu. nduru 9 .
changadzo 	D- 	7 	z 		changadzo D- z 7 . Changadzo itambo inosungirirwa muhuro membwa inoshandiswa pakuikweva kuti irege kuenda kure.
changaradza 	D- 	7 	z 		changaradza D- z 7 . Iri igungano revanhu vakawanda chaizvo vanenge vari muzvipoka zvipoka zviduku.
changatira 	D- 	7 	z 		changatira D- z 7 . Uku kufunga zvakasiyana chaizvo nezvinenge zvichitaurwa nevanhu vari pauri. Akanga akabatwa nechangatira zvokuti haainzwa zvose zvaitaurwa.
changatire 	D- 	7 	z 		changatire changatira D- z 7 . Uku kuyevedzwa nezvimwe zvinhu zvokuti unobva wakanganwa kuti pane chauri kuita.
changazha 	D- 	7 	z 		changazha D- z 7 . Changazha kuomarara kwakaita magaro egudo kunokonzerwa nokugara paruware panogogonera. chikuyu 7, namba 9 .
change 	D- 	7 	z 		change D- z 7 . Change imhuka huru inogara pedo nemvura uye iri yemhuri yemharapara nebimha. dhumukwa 5, chuzu 9 .
changoma 	KDD 	7 	z 		changoma KDD z 7 . Changoma ishavi rinogara munhu rozoita kuti anenge agarwa akwanise kurapa vanorwara.
chani 	DK 	7 	z 		chani DK z 7 . Chani ibundo kana mashizha anovhara nzira yaisimbofambwa.
chanja 	D- 	7 	z 		chanja D- z 7 . chanza 7 .
chanyusa 	DKD 	7 	z 		chanyusa DKD z 7 . Chanyusa munhu ane simba rokuziva zvichange zvichizoitika munguva inenge ichitevera. nyusa 9 .
chanza 	D- 	7 	z 		chanza D- z 7 . Chanza mukati menhengo yoruoko munoshandiswa kubata zvinhu.
chao 	D- 	7 	z 		chao D- z 7 . chanza 7 .
chaoo 	DKD 	7 	z 		chaoo chavovo DKD z 7 . Chaoo inhengo yomusoro iri panoperera rushaya uye pari pazasi penzeve.
chapande 	D- 	7 	z 		chapande D- z 7 . Chapande chikamu chechidziro cheimba.
chapera 	DKK 	7 	z 		chapera DKK z 7 . Chapera mukombe wedoro wekupedzisira unopiwa munhu kutaridza kuti doro racho rapera. chikwengu 7, mazvapera 10 .
chapfudu 	DKK 	7 	z 		chapfudu DKK z 7 . Chokudya chose chakanyorovera zvacho, kusanganisira mondo yezai, chinonzi chapfudu . Mwana asati amera mazino anopiwa chapfudu chechikafu.
chapfumbo 	DKK 	7 	z 		chapfumbo DKK z 7 . Chapfumbo chidyiwa chinogadzirwa nemhudzi dzakakangwa dzozotswiwa, uye chinodyiwa kana vanhu vapedza kudya sadza.
chapingemusha 	DKKDK 	7 	z 		chapingemusha DKKDK z 7 . Uyu munhukadzi akura chaizvo asi asati aroorwa.
chapungu 	DKK 	7 	z 		chapungu DKK z 7 . Chapungu ishiri iri mumhuri imwe negondo inodya nyoka, mbeva notumwe tupuka, uye inobhururukira mudengadenga.
chapupu 	DKD 	7 	z 		chapupu DKD z 7 . Chapupu munhu anosheedzwa mudare kuzotaura zvaanoziva nezvenyaya inenge iri kutongwa. mboo 9, fakazi 9 .
chapwati 	DKKD 	7 	z 		chapwati DKKD z 7 . Chapwati kuita chinhu munhu achimhanya-mhanya pamusana pokuti nguva inenge yava kupera. chipatapata 7, batapata 5 .
chapwititi 	DKKK 	7 	z 		chapwititi DKKK z 7 . Iri iguruva kana chiutsi chakawanda chaizvo chinenge chichikwira mudenga.
chara 	DK 	7 	z 		chara DK z 7 . Nzara yomunhu iri pamunwe mukuru inonzi chara .
charadza 	DKD 	7 	z 		charadza DKD z 7 . Charadza kuenda musango kundovhima vanhu vachigaramo kwamazuva ane chitsama.
charaka 	DKD 	7 	z 		charaka DKD z 7 . Charaka mukana unogadzirwa paduvo kana chikandira, panoti hove dzinogona kupinda napo asi dzisisazokwanisi kubuda. uraka 14, chikasa 7 .
charara 	K- 	7 	z 		charara K- z 7 . Charara itsika yokuenda kundovhima vanhu vachirara musango kwemazuva. charadza 7 .
charima 	DKD 	7 	z 		charima DKD z 7 . Charima kunze kwakasviba chaizvo. Kana kukaita makore usiku kunze kunoita charima. zarima 5 .
charinga 	DKD 	7 	z 		charinga DKD z 7 . Charinga kuva nechidakadaka chokuona zvakawanda-wanda, zvokuti unogara uchicheuka-cheuka.
chaso 	D- 	7 	z 		chaso D- z 7 . chaoo 7 .
chasusu 	DKK 	7 	z 		chasusu DKK z 7 . susu 5 .
chatiyani 	DKDD 	7 	z 		chatiyani DKDD z 7 . Iri ibota rinobikwa neupfu nemukaka mumbishi unenge uri iwo unoshandiswa semvura. munamba 9 .
chatsuru 	DKK 	7 	z 		chatsuru DKK z 7 . Chatsuru kurwadza kunoita mudumbu muchipisa nokuda kwekuti unenge wadya zvinhu zvakatonhora. chirungurira 7 .
chauda 	KDD 	7 	z 		chauda KDD z 7 . Chauda kusangana nezvinhu zvisingakufadzi zvinenge zvakonzerwa nezvinhu zvaunenge waita uchizvidira. mazvokuda 6 .
chaunga 	DKD 	7 	z 		chaunga DKD z 7 . Chaunga vanhu vakawanda vanenge vakamira kana kugara panhu pamwe. kokorodzano 9 .
chavakuru 	KDKK 	7 	z 		chavakuru KDKK z 7 . Iri butiro romwana achiri mudumbu, rinosariramo kana mai vachangopona mwana. musana 3, rusarira 11 .
chavhumbuka 	DKKD 	7 	z 		chavhumbuka DKKD z 7 . Iri ibundo rinomera mumunda, zvikuru pane mupfudze uye rinobereka vana vane minzwa miviri inobaya kana yaoma. chidhongi 7 .
chavhuuvhuu 	DKD 	7 	z 		chavhuuvhuu DKD z 7 . Iyi imhepo yakasimba chaizvo inovhuvhuta ichitibura guruva. chamubhabhabha 7 .
chebedyana 	DKDD 	7 	z 		chebedyana DKDD z 7 . Iyi imhando yemhunga ine shanga chena.
chedza 	DK 	7 	z 		chedza DK z 7 . Chedza chinhu chaunoita kana kutaura nechinangwa chokuda kuona kuti mumwe munhu achaitawo sei.
chehara 	DKD 	7 	z 		chehara DKD z 7 . Chehara mubato webanga refu rinocheka namativi ose.
chekiwani 	DKDD 	7 	z 		chekiwani DKDD z 7 . Izvi zvishongo, kazhinji zviri zvomuhuro, zvinokosha. chinhowe 7 .
chekudya 	KDD 	7 	z 		chekudya KDD z 7 . Chekudya ndechose chaunoisa mumuromo wotsenga nokumedza kuitira kuvharira nzara. chokudya 7 .
chekumwa 	KDK 	7 	z 		chekumwa KDK z 7 . Chekunwa ndechose chakaita mvura chaunomedza kuitira kupedza nyota. chokunwa 7 .
chemina 	D- 	7 	z 		chemina D- z 7 . chahuvhe 7 .
chemina 	DKK 	7 	z 		chemina DKK z 7 . Chemina imhosva yokuita upombwe nehama yepedo. makunakuna 6 .
chenga 	K- 	7 	z 		chenga K- z 7 . Chenga ibandi rehari yakaputsika rinoshandiswa kukangira. Kanga nzungu muchenga. chainga 7, rwenga 11 .
chengo 	DK 	7 	z 		chengo DK z 7 . Chengo mudhuri weimba. Denga reimba rakatsva chengo chikasara. chidziro 7 .
chenura 	D- 	7 	z 		chenura D- z 7 . Chenura idoro rinobikirwa mufi pasati pabikwa rekurova guva. Murume anga ava nemwedzi afa pakabikwa doro rechenura.
chenza 	DK 	7 	z 		chenza DK z 7 . Chenza maitire okutevedzera kana kuti kutaridzika zvakafanana. Mbudzana ine chenza namai vayo.
chenze 	D- 	7 	z 		chenze D- z 7 . zenze 5 .
cheo 	D- 	7 	z 		cheo D- z 7 . Cheo kukuvara kunoita mombe painenge yakasungwa makumbo kuti ikamwe. Mombe inopenga pakukamwa inoita cheo.
cheupombwe 	DKDD 	7 	z 		cheupombwe DKDD z 7 . Iyi itsika yokurara nomukadzi kana murume asiri wako. MuchiKristu hamudiwi cheupombwe. choupombwe 7 .
cheverwa 	D- 	7 	z 		cheverwa D- z 7 . Cheverwa kutarisa zvinofadza uchikangwana zvaunoda kuita. Ukaita cheverwa uchifamba mudhorobha unotsikwa nemotokari. chinyeverwa 7 .
chiandama 	DDKK 	7 	z 		chiandama DDKK z 7 . Kurwadziwa kunoita munhu nokusazeyeka kwechikafu zvakanaka. Vamwe vanoti ukadya usina kugeza kumeso mangwanani unonzwa chiandama.
chibabamunembeva 	DDKDKKD 	7 	z 		chibabamunembeva DDKDKKD z 7 . chibabamunonzwei 7 .
chibabamunini 	DDKDKD 	7 	z 		chibabamunini DDKDKD z 7 . chibabamunonzwei 7 .
chibabamunonzwei 	DDKDKDK 	7 	z 		chibabamunonzwei DDKDKDK z 7 . Iri ibhachi rakasimba chaizvo zvokuti rinodziya uye risingakasiki kupinda mvura.
chibabandagura 	DDKKKD 	7 	z 		chibabandagura DDKKKD z 7 . chibabamunonzwei 7 .
chibaduro 	DKKD 	7 	z 		chibaduro DKKD z 7 . Uyu munhu anozivikanwa kuti anogona kurwa. Jokonya chibaduro chaicho nokuti akarova Peresu akabuda ropa.
chibako 	DKK 	7 	z 		chibako DKK z 7 . Chibako kamudziyo kanochengeterwa fodya yomumhino. Mbuya vakagwengura fodya muchibako. nhekwe 9 .
chibakobwerabwera 	DKKDKDD 	7 	z 		chibakobwerabwera DKKDKDD z 7 . Iyi ishiri inokwanisa kubhururuka ichimbomira panzvimbo imwe chete mudenga. Chibakombwerambwera changa chichiona mbeva pachanga chiri mudenga.
chibambana 	DDDK 	7 	z 		chibambana DDDK z 7 . chidhongi 7 .
chibambomuponje 	DDDDKD 	7 	z 		chibambomuponje DDDDKD z 7 . Iyi imhando yemhashu inodyiwa asi iri huru kudarika dzimwe dzose. bambomukota 5, bambamukota 5 .
chibanda 	D- 	7 	z 		chibanda D- z 7 . chidhongi 7 .
chibandanamapfupa 	DDDKDKK 	7 	z 		chibandanamapfupa DDDKDKK z 7 . Iyi imombe ichiri diki, yasvika pazera retsiru kana jongosi yakakora. Nyama yechibandanamapfupa yakanyorovera uye izere mafuta. chibwanyanenyanga 7, chipwanyanenyanga 7 .
chibanze 	DKD 	7 	z 		chibanze DKD z 7 . Chibanze ihari yedoro kana zvimwewo zvinosiyirwa muvakidzani.
chibanzuro 	D- 	7 	z 		chibanzuro D- z 7 . Uyu mudziyo ungashandiswa kubandura sezvakaita matombo kana zvimwewo. Gura dombo iro nechibanzuro.
chibari 	DKD 	7 	z 		chibari DKD z 7 . Chibari muti mukuru unenge uchionekwa vana vawo vakamera kuupoteredza. Chibari kutaurirana kune kukakavadzana mukati.
Chibarirwe 	DKKK 	7 	z 		Chibarirwe DKKK z 7 . Iyi ikereke yechitema inotendera zvose kupira midzimu nechiKristu.
chibarwe 	DKD 	7 	z 		chibarwe DKD z 7 . chibage 7 .
chibatabata 	DKDKD 	7 	z 		chibatabata DKDKD z 7 . Chibatabata kuvhiringidzana vanhu vachitukana nokurwa vakawanda. bongozozo 5 .
chibatabishi 	DKKDK 	7 	z 		chibatabishi DKKDK z 7 . Iri ibasa rinorema kuitwa. bwanyanhekwe 5 .
chibataimwana 	DKKDDK 	7 	z 		chibataimwana DKKDDK z 7 . iri ibasa romusha rinoda simba romurumwe nomumwe pakuita.
chibatanwa 	DKDK 	7 	z 		chibatanwa DKDK z 7 . Iri ibasi rinoitwa navanhu vazhinji vane pfungwa dzakafanana nechinangwa chimwe. Mabhiridha ose edunhu aita chabatanwa kuvaka chipatara. gutse 5, mushandirapamwe 3, .
chibatapamwe 	DKKDDK 	7 	z 		chibatapamwe DKKDDK z 7 . chibatanwa 6 .
chibatauta 	DKKKK 	7 	z 		chibatauta DKKKK z 7 . chibatabishi 7 .
chibatebate 	DKKDK 	7 	z 		chibatebate DKKDK z 7 . Uyu munhu anogara achingoita twakawandawanda nguva dzose. Mwana wake chibatebate zvokuti atova nemusha nemotokari munguva pfupi.
chibatirapamwe 	DKKDKK 	7 	z 		chibatirapamwe DKKDKK z 7 . chibatanwa 7 .
chibatiro 	DKKD 	7 	z 		chibatiro DKKD z 7 . Uyu mudziyo mudiki unoshanda mabasa mazhinji.
chibato 	DKK 	7 	z 		chibato DKK z 7 . Chibato ndepakagadzirirwa kubata kana munhu achisimudza kana kushandisa mudziyo. Musikana abata chibato chepoto kuti abike zvakanaka. mubato 3, mupakato 3 .
chibayamahure 	DDDDKD 	7 	z 		chibayamahure DDDDKD z 7 . chidhongi 7 .
chibayamakono 	DDDDKK 	7 	z 		chibayamakono DDDDKK z 7 . chidhongi 7 .
chibayambeva 	D- 	7 	z 		chibayambeva D- z 7 . Ichi chimuti chinomera musango, chine mashizha akatesvera uye chinoita maruva.
chibayamwoyo 	D- 	7 	z 		chibayamwoyo D- z 7 . Ichi chinhu chaunodisa nomwoyo wako chichikugutsa kuona. Tsungai chibayamwoyo chaTawanda.
chibayiro 	D- 	7 	z 		chibayiro D- z 7 . Ichi chipfuyo chinourayiwa pakupira Mwari. Vanhu vakawanda vomuBhaibheri vaishandisa makwai sezvibairo. Iyi inzvimbo inoshandiswa kuurayira mhuka, zvakaita sen'ombe. Tinoda varume vakasimba kuchibayiro nokuti tinouraya bhuru. siraha 9 .
chibayirwa 	DDKD 	7 	z 		chibayirwa DDKD z 7 . chibayiro 7 .
chibayo 	D- 	7 	z 		chibayo D- z 7 . Chibayo kurwadziwa nemuviri uchiita seune chinhu chinodyunga dyunga.
chibechibe 	DKKD 	7 	z 		chibechibe DKKD z 7 . Iyi itsika yokuramba munhu achingoba. Ukajairira chibechibe, rimwe gore zvinozokuwana.
chibedyana 	DKDK 	7 	z 		chibedyana DKDK z 7 . Urwu rudzi rwemhunga yakaita chena.
chibende 	D- 	7 	z 		chibende D- z 7 . Urwu rudzi rwehove yegwaya ine chipfuva chitsvuku.
