chiuno 	DKK 	3 	z 		chiuno DKK z 3 . Chiuno inzvimbo yomuviri womunhu yakadzvinyingikira mukati, panobatana hudyu, dumbu nemusana. Chiuno chinobatsira kuti kana munhu apfeka bhurugwa risadonha. Chiuno itsika yomunhurume anenge achinyanya kuda kurara nevakadzi. Iwe shamwari, uchasiya watiparira mhosva, nechiuno chako ichocho.
mubayiro 	D- 	3 	z 		mubayiro D- z 3 . Uyu mugove unopiwa munhu kana akunda vamwe, kana kuti aita chimwe chinhu chinorumbidzwa. Iyi imari kana zvimwewo zvaunogona kupihwa mushure mekunge washandira mumwe munhu. mubhadharo 3, muripo 3 .
mubhadha 	D- 	3 	z 		mubhadha D- z 3 . Mubhadha muti unoshandiswa pakufamba nevakuru vachembera, vasisanyatsogona kufamba vega. tsvimbo 9 .
mubhadharo 	D- 	3 	z 		mubhadharo D- z 3 . Ichi ndechinobviswa pakutenga chinhu, kazhinji iri mari. muripo 3 . Ichi ndechinopihwa munhu anenge akushandira. muripo 3 . Ichi ndechinobviswa neanenge atadzira mumwe kuti mumwe wake amuregerere. muripo 3 .
mubhanana 	DDKD 	3 	z 		mubhanana DDKD z 3 . Uyu muti une hunde yakapfava nemashizha marefu akapamhama, unobereka michero inodyiwa, inonzi mabhanana.
mubhedha 	DKD 	3 	z 		mubhedha DKD z 3 . Mubhedha chivakwa chinorarirwa pane matiresi pamusoro, chakagadzirwa nesimbi kana mapuranga. Mubhedha inzvimbo inogadzirwa, yozodyarwa muriwo, mbambaira kana maruva. muhomba 3 .
mubhemhe 	DKK 	3 	z 		mubhemhe DKK z 3 . mbongoro 9 .
mubhonda 	D- 	3 	z 		mubhonda mumhonda D- z 3 . Mubhonda rudzi rwemuti une mapazi matsva, makobvu, ane mvere neruvara rweyero.
mubikirwa 	DDKD 	3 	z 		mubikirwa DDKD z 3 . Ichi chibage chinyoro chinogochwa chiri mumashizha acho. mubikwa 3 .
mubikwa 	DDK 	3 	z 		mubikwa DDK z 3 . mubikirwa 3 .
mubobo 	D- 	3 	z 		mubobo D- z 3 . Mubobo inyoka huru yakasvibirira inowanzoonekwa mumakomo, ine uturu hunouraya. rovambira 5, nzayo 9 .
mubobobo 	D- 	3 	z 		mubobobo D- z 3 . Mubobobo mushonga unonzi unoshandiswa nevarume kupindira nekunorara nevakadzi nevanhukadzi, kana varume vavo varere navo vasingazive kuti ndizvo zviri kuitika. muchemedzambuya 3 .
mubondorokoto 	D- 	3 	z 		mubondorokoto D- z 3 . Urwu rudzi rwemuti unowanzowanikwa panzvimbo dziri pedyo nenzizi kanoita maruva machena pakati pegore.
muboora 	DDDK 	3 	z 		muboora mubovora DDDK z 3 . Uyu muriwo wemashizha emunhanga. mumanga 3, muhwandanyoka 3 .
mubura 	D- 	3 	z 		mubura D- z 3 . Mubura muti wakasimba unowanzomera pedyo nerwizi. mupimbiri 3, mutehwa 3, mutongoro 3 .
mubvamaropa 	D- 	3 	z 		mubvamaropa mubvaropa D- z 3 . Uyu muti unoburitsa muto unenge ropa, wakasimba zvekuti unowanzogadziriswa zvinhu zvakaita sematafura nezvigaro. mubvamakovo 3, mubvinzamaropa 3 .
mubvinzamaropa 	D- 	3 	z 		mubvinzamaropa D- z 3 . mubvamaropa 3 .
mubvumbi 	DDK 	3 	z 		mubvumbi DDK z 3 . Mubvumbi imvura nhete inenge yakawanda, inonaya kwenguva refu.
mubvumira 	D- 	3 	z 		mubvumira D- z 3 . Urwu rudzi rwemuti unoreba chaizvo, nekumera chitumbu chemashizha kunoperera mapazi.
mubvunzandadya 	DDDKD 	3 	z 		mubvunzandadya DDDKD z 3 . Uyu muriwo une tushizha, unomera padhuze nerukova, unonaka zvekuti zvinonzi unotozobvunza wapedza kudya kuti chiiko chandanga ndichidya.
mubvunzo 	D- 	3 	z 		mubvunzo muvhunzo D- z 3 . Mubvunzo mazwi anotaurwa munhu achida kupihwa mhinduro. ANTONYMS mhinduro 9.
muchacha 	D- 	3 	z 		muchacha D- z 3 . Muchacha ibhora rinenge rarohwa zvakasimba mumutambo wenhabvu, richienda nechepasi. bara 5 .
muchacha 	DKK 	3 	z 		muchacha DKK z 3 . Muchacha muriwo unomera pazhizha une mashizha akada kuita semugaka.
muchadya 	D- 	3 	z 		muchadya D- z 3 . Muchadya ishiri huru ine makumbo marefu nemutsipa mutete, inowanzofamba mumapani. gumbwi 5, gunja 5 .
muchakata 	D- 	3 	z 		muchakata D- z 3 . Uyu muti une hunde yakaswatuka, ine man'aran'azhu nemashizha ane pasi pakapfumburuka, asingazunziki kana kuoma ese pachando, unobereka michero inonzi hacha, inodyiwa. muhacha 3, musha 3, muura 3 .
muchakata pasi 	DDDD DK 	3 	z 		muchakata pasi DDDD DK z 3 . Aka kamuchakata kadiki, kanokura kachiti ware pasi.
muchato 	D- 	3 	z 		muchato D- z 3 . Muchato kubatanidzwa kwevaviri vanenge vafunga zvekuroorana. Muchato mabiko anoitirwa vaviri vanenge vachiroorana. Takadya tikazvimbirwa kumuchato waMai naBaba Tinarwo.
muchayiwa 	DDKD 	3 	z 		muchayiwa DDKD z 3 . Uhwu hwahwa hunosvinwa kubva mumasese akadirwa mvura, anenge ambosara panenge pasvinwa doro kwaro.
muchecheni 	DKKD 	3 	z 		muchecheni DKKD z 3 . Uyu muti mudiki une minzwa, unobereka vana vanonzi checheni, vanodyiwa, vakada kufanana nemasau.
muchechete 	D- 	3 	z 		muchechete D- z 3 . Uyu muti unowanzomera pachuru, mumakomo nemunzizi, unoita muchero unonzi chechete dzine ruvara rwemondo yemazai.
muchechetere 	D- 	3 	z 		muchechetere D- z 3 . Kana munhu uri pa muchechetere unenge ugere murunyararo, zvinhu zvichifamba zvakanaka.
muchecheto 	D- 	3 	z 		muchecheto D- z 3 . Apa ndepaya paunoona pachisangana denga nenyika, kana ukatarisa kunoguma kuona maziso. jengachenga 5 .
mucheka 	DKD 	3 	z 		mucheka DKD z 3 . Mucheka ishinda dzakarukwa nemishina, dzinoshandiswa mabasa akasiyana, akaita sekusona hembe dzatinopfeka. jira 5 .
muchekameno 	DKKDK 	3 	z 		muchekameno DKKDK z 3 . Uyu mushonga unoita kuti imbwa iite hasha.
muchekechera 	D- 	3 	z 		muchekechera D- z 3 . Aya maruva machena anotumbuka pamusoro pechibage chinenge chichikura. ngara 9 .
muchekesani 	DDDKD 	3 	z 		muchekesani DDDKD z 3 . Uyu muti une hunde nhete netumapazi tune tsarapu dzakawanda netumashizha tudiki, unobereka tuvana twakawanda, tunoibva twuri tutema.
muchemedzambuya 	DKKDKD 	3 	z 		muchemedzambuya DKKDKD z 3 . mubobobo 3 .
muchenje 	D- 	3 	z 		muchenje D- z 3 . Muchenje tumajuru tudiki tune dumbu jena, tunowanzodya uswa, miti nezvimwewo. mujuru 3 .
mucherechese 	DDDKK 	3 	z 		mucherechese mucherekese, mutserekese DDDKK z 3 . Uyu muti murefu unobereka vana vanoshandiswa pakuredzesa hove.
mucheri 	DKD 	3 	z 		mucheri DKD z 3 . Mucheri muti unobereka michero inodyiwa, inenge yakatsvukira kana kusvibirira kana yaibva.
muchero 	D- 	3 	z 		muchero D- z 3 . Muchero mwana wemiti, angava anodyiwa kana asingadyiwi.
mucheto 	D- 	3 	z 		mucheto D- z 3 . Uku kumagumiro kwezvinhu zvakaita senzvimbo, mubhedha kana munda.
muchetura 	D- 	3 	z 		muchetura D- z 3 . Uyu mushonga unouraya chese chese chinenge chaudya. Nduru yegarwe muchetura unouraya chinhu pasina kana nenguva. chefu 9 .
muchina 	DKD 	3 	z 		muchina mushina DKD z 3 . Uyu mudziyo wakagadzirwa navanhu unokwanisa kushanda wega, nesimba revanhu, nemhepo kana nedzimwewo nzira. Baba vakatenga muchina wokusonesa unoshanda negetsi. mushini 3 .
muchindwi 	DKK 	3 	z 		muchindwi muchingwi DKK z 3 . Muchindwi rudzi rwemuti unomera pane mvura kana mugure, une mashizha anoshandiswa paPasika nemaKristu kurangarira rufu rwaJesu. murara 3 .
muchinjiko 	DKKD 	3 	z 		muchinjiko muchinjikwa DKKD z 3 . Iyi miti miviri yakapesana nechekumusoro, pairoverwa vanhu nemaJudha kana vavapa chirango chorufu. Jesu akaroverwa pamuchinjiko nemaJudha. chipiyaniso 7 . Iyi miti miviri yakapesana. chipiyaniso 7 .
muchiso 	DKK 	3 	z 		muchiso DKK z 3 . Muchiso kamutsetse kanosara pajira rinenge raainwa. Muchiso ukaenda nepadivi pehanzu, inonyadzisa kupfeka. mupono 3, mupani 3 . Muchiso mucherechedzo unoiswa pamombe nesimbi inopisa. chidhindo 7 .
muchiuno 	DDKK 	3 	z 		muchiuno DDKK z 3 . Kuva ne muchiuno kufarira zvekuda kusangana nemurume kana mukadzi zvakanyanyisa, zvisina mwero. Murume wake ane muchiuno zvekuti, akangoona rokwe kupfuura haazokwanisi kugadzikana.
muchochororo 	D- 	3 	z 		muchochororo muchochorondo D- z 3 . Ichi chinyama chitsvuku chiri pamusoro wehuku chakati swatu.
muchokochiyana 	DDDKDD 	3 	z 		muchokochiyana DDDKDD z 3 . Uyu muti unokura pachuru, unoita vana vachena vakawanda, une mashizha anofarirwa nembudzi. musosoti 3 .
muchokoto 	D- 	3 	z 		muchokoto D- z 3 . Iyi imheremhere inoitika panenge pava kuda kurwiwa. Zirume riya rekushusha rakasvikomutsa muchokoto, parakawana mukadzi asina kurisiira musoro wehove. musindo 3 .
mudanhatsindi 	DDDKK 	3 	z 		mudanhatsindi DDDKK z 3 . Urwu rudzi rwemuti une mudzi unoshandiswa semushonga wemusana uye une mashizha asingaome gore rese.
mudapakati 	DK- 	3 	z 		mudapakati DK- z 3 . Uyu munwe wepakati wakareba kudarika mimwe minwe yose.
mudeme mudeme 	DKD+ 	3 	z 		mudeme mudeme DKD+ z 3 . Iyi inzira yokuunganidza zvinhu zvakaita sekudya kana zvokupfeka, vanhu vachibatsirana kunyanya panhamo. Mari yomudeme mudeme ndiyo yakazotengesa bhokisi rechitunha.
mudhadhadha 	D- 	3 	z 		mudhadhadha D- z 3 . Uyu mutsetse wezvinhu wakareba, wakaita sewedzimba.
mudhanda 	DKK 	3 	z 		mudhanda DKK z 3 . Mudhanda iriva rinoteyeswa mhuka hombe dzemusango. Kuteya mhuka nomudhanda zvinosungisa. mukuni 3 .
mudhebhe 	D- 	3 	z 		mudhebhe D- z 3 . Mudhebhe chipfeko chine makumbo marefu chinotangira muchiuno chichidzika kutsoka. bhurukwa 5 .
mudhefudhefu 	DDKDD 	3 	z 		mudhefudhefu DDKDD z 3 . Iri idanho rinondengendera, rakatetepa, rinoyambukisa vanhu rwizi.
mudhende 	DDK 	3 	z 		mudhende dhende DDK z 3 . mudune 3 .
mudhindwa 	DDK 	3 	z 		mudhindwa DDK z 3 . Mudhindwa kunyora munhu achishandisa mavara makuru erunyoro. Runyoro rwomudhindwa rwunotora nzvimbo yakakura pakunyora. Mudhindwa ibhurukwa rekadubura rine ruvara rwekaki, uye rakasonwa zvakaipa zvekumhanya-mhanya. Pfuti ye mudhindwa ndeiya yerudzi rwakare yaiitwa zvekupakirwa unga, ichizongopfura nebara rimwe chete panguva imwe chete.
mudhombo 	DDK 	3 	z 		mudhombo DDK z 3 . Mudhombo isoda kana madota emiti anoiswa mufodya yebute kuti ikorongonye mumhuno kana yaputwa.
mudhori 	DDK 	3 	z 		mudhori DDK z 3 . chidhori 7 .
mudhorodhoro 	D- 	3 	z 		mudhorodhoro D- z 3 . Iyi imotokari yasakara, inotinhira ichiputika-putika. muchovha 3, sikorokoro 9 .
mudhorofiyo 	DDDKD 	3 	z 		mudhorofiyo DDDKD z 3 . Uyu muti une minzwa mitete inobaya, unomera munzvimbo dzisina mvura yakawanda.
mudhudhudhu 	D- 	3 	z 		mudhudhudhu D- z 3 . Uyu mushini wekufambisa, une mavhiri maviri sebhasikoro, asi uine injini uye uchishandisa peturu. motobhaiki 9, motobheki 3 .
mudhunduzuru 	D- 	3 	z 		mudhunduzuru D- z 3 . Uyu mupanje unosara usina kurimwa mumunda nekuda kwekuti gejo ranzvenga, kana kuti panenge pane ibwe kana muti. Aka kakoronga kari pakati pamagaro emunhu.
mudhuri 	DDK 	3 	z 		mudhuri DDK z 3 . Mudhuri chidziro chemba kana chimwewo chivakwa. Mota yamai yakabondereswa pamudhuri wepamba naNyasha.
mudido 	D- 	3 	z 		mudido D- z 3 . Kuita mudido kuramba munhu achingodzokera kunzvimbo imwecheteyo kwenguva refu. Jaya rakaita mudido mhiri kwerwizi kwaive kwamuka mhandara yakaritosvora mwoyo.
mudiwadiwa 	DKDKD 	3 	z 		mudiwadiwa DKDKD z 3 . Uyu muti une midzi inotsengwa navakomana kuti vadiwe nevasikana. Gomana parakaona kuti zvekusvika panaChido feya feya zvairinetsa, rakabva ramutsengera mudiwadiwa kuti riwane ushingi hwekumusvikira. muhatura 3 .
mudodo 	DKK 	3 	z 		mudodo DKK z 3 . Mudodo kabwe kana mhodzi inoshandiswa ichikandwa mudenga, pakutamba mutambo wevana wenhodo.
mudomasi 	D- 	3 	z 		mudomasi mutomati D- z 3 . Aka kamuti kanorimwa mubundo, kanoita vana vanoti kana vaibva vanenge vakatsvukurukira, vanokangiswa muriwo uchiita muto.
mudonzvo 	DKK 	3 	z 		mudonzvo DKK z 3 . Mudonzvo muti unoshandiswa pakufamba navanhu vanenge vakwegura, kana kuti nemunhu anenge akuvara gumbo. Mutana akatorerwa mudonzvo, haakwanise kufamba. mubhadha 3 .
mududu 	DDK 	3 	z 		mududu DDK z 3 . Mududu igomba rakadirwa mvura, rinocherwa ivhu rekuitisa mabasa akasiyana seepakuvaka.
mudune 	DDK 	3 	z 		mudune mutune DDK z 3 . Aka kambeva kanogara musango, kane muromo murefu nemakumbo ekumashure marefu, kanosvetuka zvikuru. mudhende 3 .
mudunge mudunge 	DKD+ 	3 	z 		mudunge mudunge DKD+ z 3 . Kuita mudunge mudunge kuramba munhu achingomedza kudya pasina zororo.
mudungiro 	DKKD 	3 	z 		mudungiro DKKD z 3 . Iyi itambo kana tsanga inopakirwa hove, majenya kana hwiza dzinenge dzabatwa, kuti zvirambe zviri pamwe pazvinenge zvakachengeterwa.
mudungwe 	DKD 	3 	z 		mudungwe dungwe DKD z 3 . Uyu mutsara wevanhu kana mhuka. Nzou dzinofamba dzakaita mudungwe kana dzichiyambuka mugwagwa. rundaza 11, mutsetse 3 .
mudungwerungwe 	DKKKD 	3 	z 		mudungwerungwe DKKKD z 3 . Aya makomo akabatana-batana akatanda. KuNyanga kune mudungwerungwe wemakomo.
mudyabveni 	DKKD 	3 	z 		mudyabveni DKKD z 3 . Urwu rudzi rwemuti une mapazi akasvibira, unokora kubva pakati kusvika kumusoro, uye unobuda mukaka. muruguru 3, mudzambara 3 .
mudyagava 	DKKK 	3 	z 		mudyagava DKKK z 3 . mutsubvu 3 .
mudyahuku 	DKKK 	3 	z 		mudyahuku DKKK z 3 . Uyu muti unoita chitsokotsoko chemapazi akawanda-wanda, unobereka muchero unotapira chaizvo. munwahuku 3 .
mudyakuwe 	DKDD 	3 	z 		mudyakuwe DKDD z 3 . Uyu muti unoreba chaizvo, kunyanya kana uri pachidzere. mudyambira 3, mukavi 3, mudanhapfunye 3 .
mudyambudzi 	DKKK 	3 	z 		mudyambudzi DKKK z 3 . Uyu muti unomera pachuru, unoberaka vana vanodyiwa. musangaoma 3, musosoti 3, mutakunanzva 3 .
mudyamhara 	DKDK 	3 	z 		mudyamhara DKDK z 3 . Uyu muti unomera mumapani unoshandiswa kuveza mipinyi, majoki nezvimwewo zvakadaro. mugopa 3, mubikanyemba 3, mutsikanyati 3 .
mudyamhembwe 	DKKD 	3 	z 		mudyamhembwe DKKD z 3 . Iyi imhando yemuti unobereka muchero unodyiwa nemhuka, uye uine mwoyo wavo wakatsvukuruka wakanaka kugadzirisa zvishongo. mutsonzowa 3, mutoto 3, mukuvazviyo 3, musamba 3 .
mudyamhofu 	DKKD 	3 	z 		mudyamhofu DKKD z 3 . Iyi imhando yemuti une mashizha anotsvukuruka munguva dzechirimo, uye unoita mapazi anoita dumbu remashizha kwekupedzisira kwawo. munyimonyimo 3, mudyavarungu 3, mukwiramhofu 3 .
mudyamhungu 	DKKK 	3 	z 		mudyamhungu DKKK z 3 . Uyu muti unowanzoonekwa pachuru uchiita vana vane mhodzi dzakawanda. mutandanyoka 3, mukundanyoka 3 .
mudyandigere 	DKKDK 	3 	z 		mudyandigere DKKDK z 3 . Uku kuda kunoita munhu kuguta asi iye asingadi kushanda, kana kungoda kupona nezvaasina kushandira. mudyandirere 1 . Iyi imari inozotambirwa nemunhu asisasevenzi nekukura, yaanenge anga achimbobatirwa achiri kushanda. penjeni 9, mudyandirere 1 .
mudyandirere 	DKKDK 	3 	z 		mudyandirere DKKDK z 3 . mudyandigere 3 .
mudyapfunde 	DKDD 	3 	z 		mudyapfunde mudyabvunde DKDD z 3 . Iyi imhando yemapfunde anobudisa muto unotapirira. mudyakwose 3 .
mudyaroro 	DKKD 	3 	z 		mudyaroro DKKD z 3 . Iyi imhando yemuti unoita mashizha akapfava, ane mvere uye ganda gobvu, unowanikwa munzvimbo dzine matombo. mukuhunu 3, mufunuka 3, mutsvedzambudzi 3, chiwirowiro 7 .
mudzamba 	DKK 	3 	z 		mudzamba DKK z 3 . Mudzamba ibota rinobikwa nemukaka wekutanga kukamwa pamombe ichangobereka. Vakomana vanotemana nebota romudzamba kuti vasimbisane. munamba 3 .
mudzambara 	D- 	3 	z 		mudzambara D- z 3 . muruguru 3 .
mudzambiringwa 	DDKDD 	3 	z 		mudzambiringwa mudzambiringa DDKDD z 3 . Uyu muti unoita zvekutanda uchimonera mimwe miti, unobereka tuvana tudiki tunovavira.
mudzanga 	D- 	3 	z 		mudzanga D- z 3 . Mudzanga ifodya, yakati rebei, yakamonerwa mupepa.
mudzeerere 	DKKDD 	3 	z 		mudzeerere DKKDD z 3 . Apa ndepanotambira vana vachizeya kuenda mudenga nekudzoka, pavanenge vachidhaiwa vari pachigaro chakabatwa nemisungo miviri. mudzuwerere 3 .
mudzepete 	DKDD 	3 	z 		mudzepete munzepete DKDD z 3 . Ichi chiruva chine mudzi unobumba pasi, une mvura inodhaka munhu zvekufa. Ukanwa mvura yekutanga yakafashaidzwa mudzepete unosiya nyemba.
mudzi 	D- 	3 	z 		mudzi D- z 3 . Mudzi inhengo yemuti inenge iri muvhu, inopa kudya nemvura kumuti wese kuti ukure. Mudzi mushonga unorapa kana kukuvadza, unocherwa kana kuwanikwa pazvimerwa zvakasiyana-siyana. Nyaviri yaMunya yakapedzwa nemudzi waakagezeswa nawo nambuya.
mudzimundione 	DKKKDK 	3 	z 		mudzimundione DKKKDK z 3 . mudzimundiripe 3 .
mudzimundiringe 	DKKKDK 	3 	z 		mudzimundiringe DKKKDK z 3 . Iri idambudziko rekuti hamheno munhu akabuda mariri, zvekuti anenge okumbira vadzimu kuti vamutarire kuti vamubatsire. mudzimundione 3 .
mudziti 	DKK 	3 	z 		mudziti DKK z 3 . Mudziti kamuti katete kanonamirwa urimbo, koteyeswa shiri.
mudziyo 	DKK 	3 	z 		mudziyo DKK z 3 . Mudziyo ndechipi nechipi zvacho chinoshandiswa pamusha chakaita sehari, ndiro kana majoki ekurimisa.
mudzonga 	DKD 	3 	z 		mudzonga DKD z 3 . Mudzonga inyama inenge yakachekwa kana kuvedzengwa, ichisara iri nhete kuti iyanikwe kana kubikwa.
mudzonzo 	DKK 	3 	z 		mudzonzo DKK z 3 . Mudzonzo itsika yekuparadza zvinenge zvaitwa nevamwe, apo zvinenge zvava kubudirira.
mudzuwerere 	DKKDD 	3 	z 		mudzuwerere DKKDD z 3 . mudzeerere 3 .
mudzvurwa 	DKD 	3 	z 		mudzvurwa DKD z 3 . Mudzvurwa upfu hwechibage chakatswiwa muduri. mutwiwa 3, duure 5 .
muenzaniso 	D- 	3 	z 		muenzaniso D- z 3 . Kupa muenzaniso kuratidza vamwe zvavangaite, kana kuti kufananidza zvinhu. mufananidzo 3 .
muenzano 	D- 	3 	z 		muenzano D- z 3 . Aya magariro ekuti vanhu kana zvinhu zvinenge zvakafanana kana, kuti zvichibatwa zvakaenzana, pasina rusarura.
mueresero 	D- 	3 	z 		mueresero D- z 3 . Uyu mupimo wouwandu hunodiwa chaihwo, wakaringana, pasina kushomeka kana kuwandisa.
mufakamwe 	DKKK 	3 	z 		mufakamwe DKKK z 3 . Uku kushingirira kuita basa rakaoma rese nguva imwe, kuti zvibve zvangopera nguva iyoyo. Murimi akaita mufakamwe kurima zvese nekukavira, paakaona kuti mvura yakanga yazadza denga.
mufakaviri 	DKKDK 	3 	z 		mufakaviri DKKDK z 3 . Uku kuita chinhu uchifunga kuti wapedza, wozoona kuti unenge uchifanira kuchidzokorora zvakare, nokuti chinenge chisina kubuda sezvaunoda. Mukadzi akaita mufakaviri apo akapedza kutsvaira pachivanzi mhepo ichibva yauya ichiisa marara akachizotangazve.
mufake 	DKD 	3 	z 		mufake DKD z 3 . Mufake mupunga wakaiswa dovi. mashakada 6 .
mufambo 	DKK 	3 	z 		mufambo DKK z 3 . Mufambo kuteera nyika uchienda kwaunenge uchida kusvika. rwendo 11 . Mufambo mutunhu wakareba pakufamba rwendo. KuMazowe kure zvakadii? Aa, pane mufambo.
mufananidzo 	DKKKD 	3 	z 		mufananidzo DKKKD z 3 . Uyu mufanikiso wemunhu kana chimwewo chinenge chatorwa nemushini. Chipo naCharisi pavakadanana, vakapanana mifananidzo yavo kuratidza rudo rwavo. pikicha 9 . Ichi chinhu chinenge chichienzaniswa nechimwe. MuBhaibheri zvinonzi Mwari akasika munhu nemufananidzo wake. Urwu runyaya rwunobuda rwuine mapikicha anenge atorwa kuti vanhu vagozoona. Takaona mufananidzo wa"Neria" nezuro patiivhii. firimu 5, bhaisikopo 5 . Iyi inyaya ine chinangwa chekudzidzisa vateereri.
mufanawembudzi 	DKDKDD 	3 	z 		mufanawembudzi DKDKDD z 3 . Aka kamuti kanokura munzvimbo nyoro munenge munine uswa uzhinji, kane mashizha anovava zvekuti huyai muone. Tiri vadiki taishinhirwa nevakomana vakuru kumombe tichidyiswa mufanawembudzi.
mufandaedza 	DKKDK 	3 	z 		mufandaedza DKKDK z 3 . Uku kushinga kuita chinhu chaunenge usina chokwadi kuti chinobudirira, asi uchingoti dzimwe nguva zvingangofamba, saka zviri nani kuedza pane kungogara.
mufandichimuka 	DKDKKK 	3 	z 		mufandichimuka DKDKKK z 3 . Aka kamuti kasingafi mangamanga, kanombooma kozobukira zvekare, kanokura pakati pemabwe. mupfakwenye 3, rufandichimuka 11 .
mufanikiso 	DKKKD 	3 	z 		mufanikiso DKKKD z 3 . mufananidzo 3 .
mufarinya 	DDKD 	3 	z 		mufarinya DDKD z 3 . Urwu rudzi rwemuti unorimwa nokudyiwa midzi yawo inenge mbambaira. mujumbura 3 .
mufaro 	DKK 	3 	z 		mufaro DKK z 3 . Mufaro manyawi anonzwika nemunhu kana zvinhu zvichimufambira zvakanaka, kana kuti kana pane chakanaka chinenge chaitika. rufaro 11 .
mufenje 	DKK 	3 	z 		mufenje DKK z 3 . Mufenje muti une ganda gobvu rakabanzuka-banzuka kunze kwaro, asi mukati maro rakapfava, unoita mashizha anofarirwa nembudzi. Mbudzi kudya mufenje hufana nyina.
mufere 	D- 	3 	z 		mufere D- z 3 . Mufere muti unodyarwa uchikura wakatambarara, unokubereka vana vanonzi mashamba, vanobikiswa nhopi kana kupihwa mombe. mushamba 3 .
mufokosiyana 	DDDKDD 	3 	z 		mufokosiyana DDDKDD z 3 . Uyu muti unokura munzvimbo nyoro, wakatwasanuka, une mapazi anorembera. mutepe 3 .
muforo 	DKD 	3 	z 		muforo DKD z 3 . Muforo indima inenge yarimwa kana kuti icharimwa, panotenderera mombe negejo panguva imwe.
mufote 	DKD 	3 	z 		mufote DKD z 3 . Mufote inyimo dzakabikwa kuita mutakura, unoitwa mbuva.
mufoyi 	DDK 	3 	z 		mufoyi mufoi DDK z 3 . Mufoyi ijira rinoiswa pakati pemakumbo nevanhu vechikadzi kuti vasapindwe nemhepo kana kuti vari kumwedzi. mugwada 3 .
mufudze 	DKD 	3 	z 		mufudze mupfudze DKD z 3 . mupfudze 3 .
mufuku 	DDK 	3 	z 		mufuku DDK z 3 . Mufuku igomba rinocherwa mujecha kuti vanhu vawane mvura, kana rwizi rwuchinge rwaoma.
mufuramhembwe 	D- 	3 	z 		mufuramhembwe D- z 3 . Iri igwenzi rine midzi inorapa chikosoro, rine mashizha anofarirwa nemhembwe.
mufushwa 	DKD 	3 	z 		mufushwa mufuswa, mufusha DKD z 3 . Mufushwa muriwo wakabikwa ukayanikwa. mutsotso 3, musone 3 .
mufuta 	DKK 	3 	z 		mufuta mupfuta DKK z 3 . mupfuta 3 .
mugaka 	DKD 	3 	z 		mugaka mukaka DKD z 3 . Mugaka muchero unorimwa, unotanda uchibereka vana vane minzwa kana vasina, vanodyiwa mhodzi nemuto wacho.
mugan'acha 	DKDK 	3 	z 		mugan'acha DKDK z 3 . Uyu muti une zvana zvinodyiwa, zvinoita zvipfumbu kana zvaibva, zvichidaidza mhamhatsi chaizvo. mushamba 3 .
muganhu 	DKD 	3 	z 		muganhu muganho DKD z 3 . Muganhu inzvimbo inoperera chero chinhu.
