apuro 	KDD 	5 	z 		apuro epuro KDD z 5 . Apuro rudzi rwemuchero unoberekwa nemuapuro.
beto 	K- 	5 	z 		beto beta K- z 5 . Beto imvura inofuma iri pauswa kana pamashizha mangwanani. dova 5 .
beu 	DK 	5 	z 		beu DK z 5 . Beu kugerwa musoro uchisara usina kunyatsopera.
beya 	KD 	5 	z 		beya KD z 5 . Kana zvichinzi munhu akagara beya, anenge akagara asina kunyatsa kuvharidzira hembe yake, kana kuti aine kabudura inenge yakashama makumbo agere, achionesa zviri mukati.
beyapeya 	DKDD 	5 	z 		beyapeya DKDD z 5 . Uku kufamba kunoita munhu achiita kunge ari kuda kupunzika, fanika zvinoita munhu akadhakwa.
bhabharasi 	DKDD 	5 	z 		bhabharasi bhabharazi DKDD z 5 . Uku kurukutika kunofuma kwakaita munhu kana arara akanyanya kudhakwa nohwahwa.
bhachi 	KD 	5 	z 		bhachi bhatye KD z 5 . Bhachi ihanzu inopfekwa pamusoro pehembe kana juzi semucheno kana kuti kuvharira chando.
bhagidhi 	KDD 	5 	z 		bhagidhi bhagedhe KDD z 5 . Bhagidhi mudziyo wesimbi unochereswa mvura kana kutakuriswa zvinhu.
bhahari 	KDD 	5 	z 		bhahari KDD z 5 . nyanza 9 .
bhaibheri 	KDDD 	5 	z 		bhaibheri KDDD z 5 . Iri ibhuku rakanyorwa zvaMwari nezvechitenderano chemakristu.
bhaira 	D- 	5 	z 		bhaira D- z 5 . Bhaira inzvimbo inenge iine moto wakawanda unopisa.
bhaisikopo 	KKDDD 	5 	z 		bhaisikopo KKDDD z 5 . Iyi mifananidzo inotorwa nemishini yozobuda ichiratidza zvose zvaiitika.
bhakani 	KDD 	5 	z 		bhakani KDD z 5 . ndima 9 .
bhakiti 	KDD 	5 	z 		bhakiti bhaketi KDD z 5 . Bhakiti mudziyo une chekubata unochereswa mvura.
bhanan'ana 	D- 	5 	z 		bhanan'ana D- z 5 . Uku kutinhira kunonzwika kana kuchinaya.
bhanana 	DKD 	5 	z 		bhanana DKD z 5 . Bhanana muchero wakati rebei zvishoma unoibva uri yero wakapfava pakudya.
bhandi 	KD 	5 	z 		bhandi bhande KD z 5 . Bhandi musungo unoshandiswa kubata bhurukwa kana rokwe muchiuno kuti zvizadonhe kana kuti zvinyatsomira zvakanaka.
bhandiji 	KDD 	5 	z 		bhandiji bhandichi KDD z 5 . Bhandiji mucheka mutete unoshandiswa kuvhara maronda nokubata mushonga kana munhu akuvara.
bhanditi 	DKK 	5 	z 		bhanditi DKK z 5 . Bhanditi munhu ari kupika jeri, anoshanda pasina mubairo waanowana sechirango chemhosva yaakapara.
bhangi 	KD 	5 	z 		bhangi KD z 5 . Bhangi indima diki inosaririra pakati kana vanhu vachirima.
bhangu 	DK 	5 	z 		bhangu DK z 5 . Bhangu munhu ane musoro mukuru.
bhanhire 	DKD 	5 	z 		bhanhire DKD z 5 . Bhanhire ihomwe dzakawanda dzakasonerwa pamwepo dzinowanzoshandiswa nemasoja.
bhanzi 	KD 	5 	z 		bhanzi KD z 5 . Bhanzi chidyiwa chinobikwa nefurawu sechingwa asi icho chiri chidiki.
bhara 	KD 	5 	z 		bhara KD z 5 . Bhara chingoro chine vhiri rimwe chete nemakumbo maviri, chinosundwa nemunhu mumwe chete.
bharaziya 		5 	z 		bharaziya z 5 .
bhareta 	DKD 	5 	z 		bhareta DKD z 5 . Bhareta inguwani isina chidhongo sedzinowanzopfekwa namauto.
bhasera 	DKD 	5 	z 		bhasera DKD z 5 . Bhasera chipo chinopihwa kumunhu anenge aitira mumwe basa kana kuti anenge atenga zvinhu zvemari zhinji muchitoro.
bhasikiti 	D- 	5 	z 		bhasikiti D- z 5 . Uyu mudziyo wemumba wakangoita setswanda asi iwo uine mipakato.
bhasikoro 	KDDD 	5 	z 		bhasikoro KDDD z 5 . Uyu mudziyo wekufamba munhu akatasva, une mavhiri maviri, rimwe mberi rimwe shure. bhizautare 5 .
bhata 	KD 	5 	z 		bhata KD z 5 . Bhata kudya kwakakorera kunogadzirwa neruomba rwemukaka, kunozorwa sezvakaita pachingwa kana kuiswa mubota.
bhatani 	KDD 	5 	z 		bhatani KDD z 5 . Bhatani chinhu chinopfekerwa paburi rehembe kuti ivharike.
bhatiri 	KDD 	5 	z 		bhatiri KDD z 5 . Bhatiri mudziyo unobata nekuchengeta moto wemagetsi unozoshandiswa pazvinhu zvakaita semaredhiyo kana mota kana mimwewo midziyo inoda moto.
bhaudhi 	KDD 	5 	z 		bhaudhi KDD z 5 . Bhaudhi isimbi inosungwa nechipanera kuitira kusungawo dzimwe simbi dzinenge dzichidiwa kuti dzibate.
bhavhu 	KD 	5 	z 		bhavhu KD z 5 . Bhavhu rudzi rwedhishi hombe rinogezerwa kana kuwachirwa. Bhavhu imba yekugezera muviri.
bhawa 	KD 	5 	z 		bhawa KD z 5 . Bhawa imba inotengeserwa nekunwirwa hwahwa.
bhazi 	KD 	5 	z 		bhazi KD z 5 . Bhazi zimota zihombe rine zvigaro zvakawanda zvinotakura vanhu vazhinji vari parwendo.
bhebhi 	DK 	5 	z 		bhebhi DK z 5 . Bhebhi izwi rinonyanyoshandiswa nevechidiki kureva mudikani.
bhechu 	DK 	5 	z 		bhechu DK z 5 . Bhechu ibesu rinenge riri sure kwebhachi.
bhegi 	KD 	5 	z 		bhegi KD z 5 . Bhegi ihomwe yakagadzirirwa kutakura mari kana mbatya.
bheke 	KD 	5 	z 		bheke KD z 5 . Bheke ihomwe hombe yokutakurira zvinhu.
bhemba 	KD 	5 	z 		bhemba KD z 5 . Bhemba zisimbi rakareba rinoshandiswa kutema kana sezvakaita nzimbe kana masora.
bhende 	D 	5 	z 		bhende D z 5 . Bhende mutauro wokupesedzera kuitira kuti asingafaniri kuziva zviri kutaurwa nezvazvo asazvinzwisisa. chibhende 7 .
bheneti 	KDD 	5 	z 		bheneti KDD z 5 . Bheneti zibanga guru rekuti munhu anozvigadzirira kazhinji kacho.
bhenji 	KD 	5 	z 		bhenji KD z 5 . Bhenji chigaro chinogara vanhu vazhinji, chinowanzosevenzeswa muzvikoro.
bhenzini 	DKD 	5 	z 		bhenzini DKD z 5 . Bhenzini ndezvinenge parafini zhinoshandiswa kusuka zvinhu zvisingakwanisi kana zvisigafanirwi kusukwa nemvura.
bhera 	KD 	5 	z 		bhera bhero KD z 5 . Bhera chisimbi kana huta kana chimwewo chinoridzwa kunyevera vanhu pamusoro pezvakasiyana. Pakasvika Mucha auya kuzonditora kuti tiende kumba, akangoridza bhera chete, ini ndichibva ndatotakura mabhegi ndomhanya kumota. dare 5 .
bheri 	KD 	5 	z 		bheri KD z 5 . Bheri kamuchero kadiki kakatenderera kane ruvara rwakasvibira, kanodyiwa uye kanogadziriswa jamhu.
bheseni 	KDD 	5 	z 		bheseni KDD z 5 . Bheseni mudziyo wekuchengetera shuga.
bhesi 	KD 	5 	z 		bhesi KD z 5 . bhazi 5 . Bhesi izwi romunhu rinenge riri gobvu.
bheura 	KKD 	5 	z 		bheura KKD z 5 . Bheura idemo hombe rinoitwa zvekupfekerwa mumupinyi.
bhezari 	KDD 	5 	z 		bhezari KDD z 5 . Bhezari imari inopihwa munhu nehurumende kana kambani kuti akwanise kudzidza.
bhidha 	KD 	5 	z 		bhidha KD z 5 . Bhidha ibadza nedemo zvinenge zviri pamupinyi mumwe.
bhigiri 	KDK 	5 	z 		bhigiri KDK z 5 . Bhigiri ikomichi huru.
bhii 	KD 	5 	z 		bhii KD z 5 . Bhii nderimwe chete chete remavara anonyoresa mutauro sezvakaita a, b, na z.
bhindepinde 	DKDD 	5 	z 		bhindepinde bindepinde DKDD z 5 . Iyi itambo hobvu yakarukwa tutambo twacho tudiki tuchipesana-pesana. Uyu mutambo wevana wekuuruka tambo hobvu. Iyi inzvimbo inogona kupindwa nemunhu wose.
bhini 	KD 	5 	z 		bhini KD z 5 . Bhini igaba kana mumwewo mudziyo unoiswa marara.
bhinya 	D- 	5 	z 		bhinya D- z 5 . Bhinya munhu anoita zvekupamba zvinhu zvevamwe nechisimba. Bhinya munhu anobata mumwe chibharo achimumanikidza kurara naye iye asingadi.
bhinyupinyu 	DKDD 	5 	z 		bhinyupinyu DKDD z 5 . Iri idanda rakatsigirwa nechapakati panotamba vana, vachiti mumwe anoenda mudenga mumwe achidzika pasi. binyumupinyu 5 .
bhinzi 	KD 	5 	z 		bhinzi KD z 5 . Bhinzi rudzi rwenyemba inogona kuitwa usavi kana kubikiswa mutakura.
bhiri 	KD 	5 	z 		bhiri KD z 5 . Bhiri chitsamba chinonyorwa mari yechikwereti chaunacho pane zvawakashandisa kana zvawakaitirwa. Bhiri remvura yemwedzi wapera rauya asi remagetsi harisati.
bhirifi 	DKD 	5 	z 		bhirifi DKD z 5 . Bhirifi chipfeko chinopfekwa kuzasi pasi pehembe.
bhiriji 	DKD 	5 	z 		bhiriji DKD z 5 . Bhiriji izambuko riri pamusoro pemvura, rakavakwa rakachinjika rwizi, rinoyambuka nemota kana nevanhu.
bhisikiti 	KDDD 	5 	z 		bhisikiti KDDD z 5 . Iyi imhando yezvipapata zvakabhekwa.
bhiza 	DK 	5 	z 		bhiza DK z 5 . Bhiza imhuka yakareba, yakada kuita sedhongi, asi iyo iri hombe, inotasvwa nekumhanyiswa pamijahwo. hachi 5 .
bhizautare 	DKDKD 	5 	z 		bhizautare DKDKD z 5 . bhasikoro 5 .
bhizimisi 	KDDD 	5 	z 		bhizimisi KDDD z 5 . Ichi chitoro, hotera, bhawa kana imwewo nzira inopinza mari kumuridzi.
bhobhojani 	DDKD 	5 	z 		bhobhojani DDKD z 5 . Ichi chipanera chinofambiswa kuti chishame zvakaenzana nepaunoda kubata.
bhodhingi 	KDD 	5 	z 		bhodhingi KDD z 5 . Bhodhingi chikoro chinopa vamwe vana mukana wekuti vagarepo vachidziidzirapo.
bhodho 	D- 	5 	z 		bhodho D- z 5 . Bhodho ipoto huru yesimbi ine makumbo matatu.
bhodhoro 	KDD 	5 	z 		bhodhoro bhodyera KDD z 5 . Bhodhoro mudziyo wekuchengetera zvinhu wakagadzirwa negirazi.
bhoki 	DK 	5 	z 		bhoki DK z 5 . Bhoki munhu anoda kuzvionesa uye anozvida zviya zvokuti vanhu vaone. jita 5 .
bhokiseni 	KKDD 	5 	z 		bhokiseni KKDD z 5 . Uyu mutambo wevanhu vaviri vanenge vachirovana nezvibhakera vakapfeka magirovhisi.
bhokisi 	KDD 	5 	z 		bhokisi KDD z 5 . Bhokisi mudziyo unoshandiswa kutakurira kana kuchengetera zvinhu mumba. Bhokisi chivezwa chinoiswa chitunha kana chondovigwa.
bhorani 	KKD 	5 	z 		bhorani KKD z 5 . Bhorani itsime rakavharwa rinobuda mvura ichidhaiwa.
bhori 	DK 	5 	z 		bhori DK z 5 . Bhori kureva kuti hapana zviripo uye kuti zvinhu zvacho hazvina basa.
bhosvo 	D- 	5 	z 		bhosvo D- z 5 . Bhosvo ndechinoridzwa nevanoita zvemimhanzi, chinorira chichiita zvekufuridzwa.
bhovha 	KD 	5 	z 		bhovha KD z 5 . -bhinya 5 .
bhucha 	KD 	5 	z 		bhucha KD z 5 . Bhucha imba inotengeserwa nyama.
bhugujo 	D- 	5 	z 		bhugujo bvugujo D- z 5 . Bhugujo idziva rinodhigidha vanhu. dhidho 5, duhwino 5 .
bhunu 	DK 	5 	z 		bhunu DK z 5 . Bhunu izita rokutsvinyira rinotumidzwa vachena.
bhunyepfunye 	DKDD 	5 	z 		bhunyepfunye bvunyupunyu DKDD z 5 . Uyu mutambo wevana unotambwa vachipa mhosva kumunhu anenge aburitsa mweya.
bhurakwacha 	DKKD 	5 	z 		bhurakwacha DKKD z 5 . Iri izita raipihwa mapurisa echitema kare.
bhurasho 	DKD 	5 	z 		bhurasho bhuracho DKD z 5 . Bhurasho kamudziyo kakapfirirwa netupfari kanoshandiswa kuita mabasa akasiyana, akaita sekuisa mushonga pabhutsu nekukamisa vhudzi.
bhurauzi 	DKDD 	5 	z 		bhurauzi DKDD z 5 . Bhurauzi ihembe yechikadzi inogumira muchiuno, inopfekwa nesiketi.
bhuraziya 	DKDD 	5 	z 		bhuraziya DKDD z 5 . Ichi chirwere chinoita kuti munhu aite weti ine ropa chinoitwa kana munhu akatsika mumvura isingaereri inenge ine tupuka tunonzi hozhwa.
bhureki 	DKD 	5 	z 		bhureki DKD z 5 . Bhureki ndechinotsikwa kana kudzvanywa pamishini yakaita semotokari chinoita kuti zvimire kana kufamba zvishoma pane zvazvinenge ichimboita.
bhureza 	DKD 	5 	z 		bhureza DKD z 5 . Bhureza rudzi rwebhachi ratinoona kazhinji richipfekwa nevana vechikoro seyunifomu yavo.
bhuru 	KD 	5 	z 		bhuru KD z 5 . Bhuru imombe nzombe isina kuchekwa.
bhurukwa 	DKD 	5 	z 		bhurukwa bhurukwe DKD z 5 . Bhurukwa chipfeko chinopfekwa kubva kumakumbo chichizosungirwa muchiuno.
bhurura 	D- 	5 	z 		bhurura D- z 5 . Bhurura chipuka chinenge nhunzi chinoruma chichikonzera zvirwere mumhuka uye vanhu.
bhururaiti 	KKKDD 	5 	z 		bhururaiti KKKDD z 5 . Iri irambi repabhasikoro rinopfuta kana bhasikoro richifamba.
bhuruu 	DKD 	5 	z 		bhuruu DKD z 5 . Bhuruu ruvara rwakaita sezvinenge zvakaita denga risina makore.
bhutau 	DKD 	5 	z 		bhutau DKD z 5 . bhatani 5 .
bhuti 	K- 	5 	z 		bhuti K- z 5 . Bhuti ndekakaita kaimba kanovharwa pamotokari munoiswa zvinenge zvakatakurwa kana vanhu vachifamba rwendo.
bhutisi 	KD 	5 	z 		bhutisi KD z 5 . Bhutisi chipfeko chemwana chemutsoka cheshinda.
bibibi 	D- 	5 	z 		bibibi D- z 5 . Bibibi munhu asingagoni kunyatsotaura, anondandama.
bidi 	D- 	5 	z 		bidi D- z 5 . Bidi ndezvinoitwa zvinoshamisa. Muporofita akaita bidi kubata nyanga yaiva nomushonga. shiripiti 5, pipi 5 .
bikakamwe 	DDKK 	5 	z 		bikakamwe DDKK z 5 . Ichi ndechokunwa chinobikwa nezviyo chakaita sedoro asi chichitapira uye chisingadhakisi. bumhe 5 .
bikiro 	D- 	5 	z 		bikiro D- z 5 . Bikiro ihari yevhu inoisirwa doro kuti rivire. gate 5 . Bikiro inzvimbo inobikirwa hwahwa hwakawanda uye hwendudzi dzakasiyana. bhurure 5 . Bikiro mupiro wefodya inopiwa tezvara uchibva kumukwasha.
bikita 	DDK 	5 	z 		bikita DDK z 5 . Bikita imhuka huru inogara mumwena wainochera, inofamba usiku uye inodya majuru nemasvosve. dzimba 9, hwiribidi 9 .
biko 	D- 	5 	z 		biko D- z 5 . Biko ndezvinotenderanwa nekuyereswa navanhu vomutupo mumwe. Vakapana biko rokuti havaizodya nyama yenguruve neyetsuro.
biku 	KD 	5 	z 		biku KD z 5 . Biku kurara vanhu vakakwatidzirana.
bimbi 	K- 	5 	z 		bimbi K- z 5 . Bimbi urefu hwemucheka unenge wachekwa.
bimbimbi 	K- 	5 	z 		bimbimbi K- z 5 . Bimbimbi rukweza runokohwewa rwakawanda kupfuura mamwe makore.
bimbiri 	K- 	5 	z 		bimbiri K- z 5 . Bimbiri kunyepedzera kurwa kwevana vari kutamba. Endai munoitira bimbiri renyu kure, muri kutizadza guruva.
bimha 	D- 	5 	z 		bimha D- z 5 . Bimha rudzi rwemhuka yemusango,iri pakati pemhembwe nenhoro pakukura.
bimhidza 	DKD 	5 	z 		bimhidza DKD z 5 . Bimhidza chirwere chechipfuva chinokonzera kuti munhu apindwe nechando.
bimhimhi 	DKD 	5 	z 		bimhimhi DKD z 5 . Bimhimhi kurova nezvibhakera. Murume akaita bimhimhi kurova mukadzi wake.
bimhiri 	D- 	5 	z 		bimhiri D- z 5 . Bimhiri chibage chakasvodogorwa kubva padzinde racho. muguri 3 .
bimvu 	KD 	5 	z 		bimvu KD z 5 . Bimvu inhango yenyama yakakura yakabikwa. bivhu 5, chinhindi 7 .
bimwa 	DK 	5 	z 		bimwa DK z 5 . Bimwa chinhu chinenge chayerewa, sokuti mukaka, chibage kana mvura. Tora bimwa rechibage iro uriise musaga unogayisa.
bina 	DK 	5 	z 		bina DK z 5 . Bina ibango rinoshandiswa kumisa denga pakuturika imba.
binamhina 	DDK 	5 	z 		binamhina DDK z 5 . Ichi chinhu chinoitwa chisina maturo kana kuti chisina musoro.
bindawapinda 	DDDKD 	5 	z 		bindawapinda DDDKD z 5 . Uyu mutambo wevana wavanotamba vakabatana maoko vachitenderera. Iyi inzvimbo inokwanisa kupindwa nemunhu wese. bindepinde 5, bhindepinde 5 .
bindepinde 	KKDD 	5 	z 		bindepinde KKDD z 5 . Iyi itambo inenge yakarukwa ndandi dzichipesana-pesana.
bindi 	D- 	5 	z 		bindi D- z 5 . Bindi chikomba chinobuda padama kana munhu akasekerera kana kuti akaseka. sekero 5, tswiti 5 . Bindi mutsara wakasvibira uri pamusana wenyoka.
bindirira 	D- 	5 	z 		bindirira D- z 5 . Uku kuramba munhu achienderera nerwendo rwake asingamiri munzira chero akaona vanhu vaanoziva.
bindu 	DK 	5 	z 		bindu DK z 5 . Bindu inzvimbo inorimwa sezvakaita muriwo, hanyanisi, mapuno kana maruva.
bindu 	K- 	5 	z 		bindu K- z 5 . Bindu ibazi remuti rine kumusoro kwakatsaukana. mhonda 9 .
bindudzambwa 	KKDD 	5 	z 		bindudzambwa KKDD z 5 . Urwu rudzi rwetsuro inomhanya chaizvo.
binduko 	D- 	5 	z 		binduko D- z 5 . Binduko chiitiko chinoomesa upenyu kana kuti chinhu chinokumanikidza kuita zvimwe zvinhu zvawanga usingamboiti.
bindupindu 	DKDD 	5 	z 		bindupindu DKDD z 5 . Uku kushena-shena kunoita munhu achida kuwana zvingamubatsire. upanga upanga 14 .
binga 	D- 	5 	z 		binga D- z 5 . Binga inzvimbo yakakomberedzwa ine dzimba dzashe.
binga 	KD 	5 	z 		binga KD z 5 . Binga isango rine miti yakabatana iri mizhinji pane dzimwe nzvimbo dzine mvura. Binga muti wakapfumvutira zvikuru kumusoro kwawo.
binganyanga 	KKDD 	5 	z 		binganyanga KKDD z 5 . Iyi itambo yakasimba inodhonzeswa mombe dzisati dzadhambiswa. pinganyanga 9 .
binyi 	K- 	5 	z 		binyi bini K- z 5 . Binyi idanda rakakorera rakareberera.
binyumupinyu 	DKKDK 	5 	z 		binyumupinyu DKKDK z 5 . Iri idanda rakatsigirwa nechapakati panotamba pwere richirerekera divi nedivi vanhu vachidhayana.
binza 	K- 	5 	z 		binza K- z 5 . Binza kamhuka kane makumbo mapfupi nomuswe murefu, kanogara mumvura kachidya tupuka twakaita sehove nematatya. denhe 5, mbiti 9 .
bipi 	K- 	5 	z 		bipi pipi K- z 5 . Bipi chiitiko chinoshamisa. makundano 6 .
bipito 	KKD 	5 	z 		bipito KKD z 5 . Bipito inhengo yemuviri iri pakati pehuro nepanotangira musoro. pfudzi 5 .
bipwi 	DK 	5 	z 		bipwi DK z 5 . bwipwi 5 .
bira 	KD 	5 	z 		bira KD z 5 . Bira mutambo unoitwa wekushumira vadzimu.
biravira 	K- 	5 	z 		biravira K- z 5 . bererevere 5 .
birimo 	D- 	5 	z 		birimo D- z 5 . Birimo kumahombekombe kwerwizi kwakakwirira uye kune matombo. Birimo ihari hombe, inotakurika, inoisirwa hwahwa. mhirimo 9 .
biripiri 	D- 	5 	z 		biripiri D- z 5 . gwirikwiti 5 . Apa ndepakakoromoka peruware. mawere 6 . Iri idutu guru rejecha kana rembesa dzakaita semhunga.
biripiti 	D- 	5 	z 		biripiti D- z 5 . Ichi chirwere chinopedzisira munhu ava nemhizi muviri wose.
biripiti 	K- 	5 	z 		biripiti K- z 5 . Iri igomba rine mativi akatwasuka. rupanana 5 .
birira 	DKD 	5 	z 		birira DKD z 5 . Birira chivakwa chinopisirwa zvidhinha nezvimwe zvinogadzirwa nedhaka. bisiro 5 .
