mabadu 	D 	6 	z 		mabadu D z 6 . Mabadu chiitikwa chinofadza, chakanaka. Kumutambo kwaFadzi kwakanga kuri kumabadu. madambu 6, makuwerere 6 .
madeko 	DKD 	6 	z 		madeko DKD z 6 . Madeko inguva inenge kunze kwasviba. Ari kusvika madeko. manheru 6 . Madeko usiku hwapfuura. Akasvika madeko. manheru 6 .
madekwana 	DKDK 	6 	z 		madekwana DKDK z 6 . Iyi inguva inenge zuva roda kudoka kana kuti richangovira. Bhazi richasvika madekwana. manheru 6, manhoko 6 .
madembetedzo 	DKKKD 	6 	z 		madembetedzo DKKKD z 6 . madetembedzo 6 .
madendere 	DDDK 	6 	z 		madendere DDDK z 6 . Uku kuneta kana kunyara mushure mokunge munhu aita basa rinorwadza, kana kufamba kwenguva refu. maneto 6, manyaro 6 .
madetembedzo 	DKKKD 	6 	z 		madetembedzo DKKKD z 6 . Aya mazita kana nhetembo dzokurumbidza dzinza. madembetedzo 6 .
madeukazuva 	DKKDKK 	6 	z 		madeukazuva DKKDKK z 6 . Iyi inguva yezuva rarereka, roda kuvira. mavirazuva 6 .
madhambitanana 	DDKDDD 	6 	z 		madhambitanana DDKDDD z 6 . Izvi zvinhu zvinoitwa nemunhu zvinoshamisa, uye zvisina musoro. mahumbwe 6, matakanana 6 .
madhodhodho 	DKKK 	6 	z 		madhodhodho DKKK z 6 . Aya mavara anoimbwa kana vanu muchitanga kudzidziswa manotsi erwuyo, rwuyo rwacho musati morwuimba namazwi acho.
madhunamutuna 	DDDDKK 	6 	z 		madhunamutuna DDDDKK z 6 . Aya manyongori anoitika pakati pevanhu munyika, nekuda kwekuti vatongi vanenge vachitonga nyika zvisingafadzi vamwe.
madimbu 	DDK 	6 	z 		madimbu DDK z 6 . Madimbu kusangana nezvinonaka kana zvinofadza zvawanga usingafungiri.
madirano 	D- 	6 	z 		madirano madirirano D- z 6 . Iyi inzvimbo inosangana nzizi. madiro 6 .
madiro 	D- 	6 	z 		madiro D- z 6 . madirano 6 .
madiro 	DKK 	6 	z 		madiro DKK z 6 . Kuita madiro kuita zvaunoda, zvinofadza mwoyo wako. Mombe ye madiro imombe inourayiwa naambuya, vachipemberera mombe dzavo dzeumai dzinenge dzawanda.
madirwa 	DDK 	6 	z 		madirwa DDK z 6 . Madirwa masvusvu nemhanga zvakavhenganiswa, zvisingadhaki nekuti zvinenge zvisati zvavira.
madokera 	DKKD 	6 	z 		madokera DKKD z 6 . Iri idivi rinonyurira zuva. mavirira 6 .
madongoro 	DKKK 	6 	z 		madongoro DKKK z 6 . mukanwa 3 .
madororo 	D- 	6 	z 		madororo D- z 6 . Iyi itsvina yeshiri, kusanganisira nedzinopfuyiwa dzakaita sehuku kana madhadha.
madududu 	DKKK 	6 	z 		madududu DKKK z 6 . Madududu kufamba uchidzokera kumashure. pfundamutete 9, nhendeshure 9 .
madunhurirwa 	DKKDK 	6 	z 		madunhurirwa DKKDK z 6 . Iri izita rinopihwa munhu richikudziridza zviito zvake. mukatirwa 3 .
madurungundu 	DKKKK 	6 	z 		madurungundu DKKKK z 6 . Ichi chinwiwa kana chidyiwa chinovava semunyu.
madyangwe 	D- 	6 	z 		madyangwe D- z 6 . Aya maitiro kana kutaura kunoita kuti vanhu vaseke. muyembe 3 .
madyo 	DK 	6 	z 		madyo DK z 6 . Madyo mutambo unenge une zvekudya zvakawanda chaizvo. mabiko 6 . Madyo kudya uchikurumidza, sezvinoita munhu anokara. makaro 6 .
madzanambwa 	DDDK 	6 	z 		madzanambwa DDDK z 6 . Madzanambwa ibasa rakakanywa, risina musoro.
madzanambwanana 	DDDKDK 	6 	z 		madzanambwanana DDDKDK z 6 . Izvi zvinhu zvisina nemusoro wese.
madzatsatsa 	D- 	6 	z 		madzatsatsa matsatsatsa D- z 6 . Uhwu ura hwetsuro kana tumwe tupuka tudiki.
madzengere 	D- 	6 	z 		madzengere madzengerere D- z 6 . Uku kusanyatsoona zvakanaka kunokonzerwa nekuti kunze kunenge kwasviba, kana kuti kune mhute kana utsi. madzerere 6 .
madzerere 	D- 	6 	z 		madzerere D- z 6 . madzengere 6 .
madzihwa 	D- 	6 	z 		madzihwa D- z 6 . Madzihwa zvimvura zvakakorera, zvichena, zvinobuda mumhuno.
madzikinywa 	DDKK 	6 	z 		madzikinywa machikinywa DDKK z 6 . Aya mazidovi anoponorwa kubva paguyo kana dovi chairo rabviswa.
madzimo 	DKK 	6 	z 		madzimo DKK z 6 . Aya matavi emiti manyoro kana chimwe chinhu chinoshandiswa kudzima moto wemudondo.
madzinganyadzi 	DKDKK 	6 	z 		madzinganyadzi DKDKK z 6 . Aya maitiro ekuvanza, kunyara kana kusvoda. matandanyadzi 6 .
madziro 	D- 	6 	z 		madziro D- z 6 . Madziro mudhuri kana chimwe chinhu chinovharidzira kuti zviri mukati zvisaonekwe. Madziro emba yake matetetete, zvekuti unotonzwa zvinenge zvichitaurwa nevanenge vari mune imwe kamuri.
madziurachando 	D- 	6 	z 		madziurachando D- z 6 . Iyi imvura inonaya kana chando chava kuda kutanga.
madziuranzeve 	DDDDDK 	6 	z 		madziuranzeve DDDDDK z 6 . Iyi inguva iyo mukadzi anenge asununguka, yekuti mukadzi nemurume vanokwanisa kuchisangana mushure mekunge vamborega, vachinzi vanodziura mwana nzeve.
madziya 	DKD 	6 	z 		madziya DKD z 6 . Madziya inguva yezuva inenge kunze kwava kupisirira, munguva yechando.
maedzera 	D- 	6 	z 		maedzera D- z 6 . Maedzera kuona mifananidzo yezvinhu kana chinhu mudenga, kusina nekakore kose, kuchipisa. chadzera 7 .
maenza 	DDK 	6 	z 		maenza DDK z 6 . Iyi inguva inonaya mvura, mbesa dziri pasi. zhizha 5 .
maererano 	D- 	6 	z 		maererano D- z 6 . Uku kuenderana kunoita zvinhu, sezvakaita mibairo ingapihwa vana vechikoro, zvichienderana nekugona kwavanenge vaita zvidzidzo zvavo. Sevanhu vemaricho kudai, tinongobhadharwawo maererano nekushanda kwatinenge taita musi iwoyo.
mafadzahanzvadzi 	DKDDKD 	6 	z 		mafadzahanzvadzi DKDDKD z 6 . Aya maitiro okungofadza mumwe munhu pasina chokwadi chauri kureva kana kuita.
mafaki 	DKD 	6 	z 		mafaki DKD z 6 . Uyu mupunga kana chibage zvakaiswa dovi ndokumonwa. mashagada 6, mashakada 6 .
mafararira 	D- 	6 	z 		mafararira mufararira D- z 6 . Ava vanhu kana mhuka dzakawanda chaizvo, dzakazadza nzvimbo. rufararira 11 .
mafaro 	DKD 	6 	z 		mafaro DKD z 6 . Mafaro kunakidzwa kukuru kana kuti kuva muchiitiko chinonakidza kana kufadza zvikuru.
mafashafasha 	D- 	6 	z 		mafashafasha D- z 6 . Uku kuzara kwemvura inoerera murwizi kana pamwewo zvapo, mushure mekunaya kwemvura zhinji. guve 5 .
mafashufashu 	DKDKD 	6 	z 		mafashufashu DKDKD z 6 . Uku kuwandisa kwezvinhu zvakaita semvura kana mbesa.
mafemo 	D- 	6 	z 		mafemo D- z 6 . Uku kufema kunoitwa nemunhu mushure mokunge aita chinhu chinonetesa, kana kuti achirangarira matambudziko.
mafi 	DK 	6 	z 		mafi DK z 6 . Mafi kugara uchinzwa kuvenga mumwe munhu. daka 5, chigumbu 7, bundu 5, rutodo 11 .
mafo 	DK 	6 	z 		mafo DK z 6 . Mafo ndekwekupedzisira kwenguva yechiitiko, kana kufa kwemunhu kana mhuka.
mafoyo 	D- 	6 	z 		mafoyo D- z 6 . nhema 10 .
mafufu 	DKD 	6 	z 		mafufu DKD z 6 . Mafufu umvurumvuru hunosara hwakangomwararika kubva pane zvamanga muchidya, zvakaita sechingwa. Mafufu makanda anoputira tsanga dzechibage kana kuti nzungu kana zvimwewo zvirimwa.
mafundo 	D- 	6 	z 		mafundo D- z 6 . Mafundo kungobadarika-badarika kunoita munhu pakurara. mavato 6, mararo 6 .
mafunga mafunga 	D-+ 	6 	z 		mafunga mafunga D-+ z 6 . Idzi indangariro dzakasiyana dzinenge dzawandira munhu nguva imwe chete.
mafunga mafunga 	D- D- 	6 	z 		mafunga mafunga D- D- z 6 . Kuita mafunga mafunga kubatikana nendangariro.
mafunzi 	DKD 	6 	z 		mafunzi mafunzu DKD z 6 . Iyi inamo inoita munzeve memunhu.
mafuramhepo 	DKDKK 	6 	z 		mafuramhepo DKDKK z 6 . Iyi inzvimbo yakanyatsotambanuka, kumafaro kusina vanhu vakanyanya kuwanda. Iyi inguva pabasa apo mukuru webasa anenge asipo, zvekuti vashandi vanenge vachishanda pavanodira vasina anovati heyi.
mafuro 	D- 	6 	z 		mafuro D- z 6 . Iyi inzvimbo inowana zvipfuyo uswa. ufuro 14 .
mafururwa 	DDKD 	6 	z 		mafururwa DDKD z 6 . Mafururwa mashizha echibage kana muriwo wakaita semuboora.
mafushe 	DKD 	6 	z 		mafushe DKD z 6 . Aya mabarwe manyoro akabikwa, ndokuomeswa pazuva dziri hupi. mumhare 3 .
mafuta 	DKK 	6 	z 		mafuta DKK z 6 . Mafuta muto unosvinwa kubva muzvirimwa zvakaita senzungu, unoshandiswa pakubikisa. Mafuta ruomba runozorwa mumuviri kana munhu apedza kugeza. Mafuta idikitiki rinoiswa pasimbi dzezvinofamba kuti dzisakwesherana, dzinyatsofamba zvakanaka.
magada 	D- 	6 	z 		magada D- z 6 . maheu 6 .
magamuchidzanwa 	DDKKDK 	6 	z 		magamuchidzanwa DDKKDK z 6 . Iyi itsika inoitwa nevanhu, yavakawana iripo kubva kumadziteteguru avo. matambidzanwa 6 .
maganzvo 	DKK 	6 	z 		maganzvo DKK z 6 . Maganzvo ibira rekukumbira mvura kuvadzimu. mukwerera 3, chipwa 7, marenje 6, mutoro 3 .
magaramwoyo 	D- 	6 	z 		magaramwoyo D- z 6 . Aya mazwi anorwadza nekukododzvora zvikuru. Paakadzingwa basa, akasiya audza vanhu vepabasa pake magaramwoyo.
magariro 	DDKK 	6 	z 		magariro mugariro DDKK z 6 . Iyi itsika inowanzoitwa nemunhu nguva zhinji. maitiro 6 .
magaro 	D- 	6 	z 		magaro D- z 6 . Magaro inhengo dzomuviri dziri pazasi pomusana uye pamusoro pezvidya dzatinogara pasi nadzo. magadziko 6, matako 6 .
magazhurwa 	DKDK 	6 	z 		magazhurwa DKDK z 6 . Uhwu upfu hwakakuyiwa kana kugayiwa, hukasara nemabande makuru akawanda. magangazhurwa 6 .
magetsi 	DKD 	6 	z 		magetsi DKD z 6 . Magetsi moto unofamba nemuwaya, uchizopfuta kuita chiedza kana simba rinobikisa kana kufambisa michina.
magirazi 	DDKD 	6 	z 		magirazi DDKD z 6 . Ichi chiwanikwa chinogadziriswa mahwindo kana mabhotoro. Izvi zvipfekwa zvokumaziso zvinobatsira pakuona kune avo vasinganyatsoona nemaziso avo, uye zvinoshandiswawo pakudzivirira zuva. magogorosi 6 .
magobo 	DDK 	6 	z 		magobo DDK z 6 . Magobo ibasa rekutema miti nekubvisa zvigutswa zvemiti zvakasaririra mumunda unoda kurimwa.
magogorosi 	DKDDD 	6 	z 		magogorosi DKDDD z 6 . Aya magirazi anopfekwa kudzivirira maziso, kunyanya kuzuva rinopenya.
magome 	DKD 	6 	z 		magome DKD z 6 . Magome usimbe hwemunhu anenge achida zvekutuma-tuma vamwe kuti vamuitire basa.
magovero 	DDKK 	6 	z 		magovero DDKK z 6 . Aya maitiro anoita munhu kana achipa vanhu zvinhu zvakaita sehembe dzemufi parufu. mapiro 6 .
magufu 	D- 	6 	z 		magufu mafufu D- z 6 . mafufu 6 .
magumiro 	DKKK 	6 	z 		magumiro DKKK z 6 . magumo 6 .
magumo 	DKK 	6 	z 		magumo DKK z 6 . Magumo ndepanoperera nyaya kana nzvimbo.
maguta 	DKD 	6 	z 		maguta magutwa DKD z 6 . Maguta kuvako kwezvirimwa nekudya zvakawanda chaizvo. ANTONYMS nzara 9.
magwendere 	DKKK 	6 	z 		magwendere DKKK z 6 . Izvi ndezvinosungirwa patambo kuti zviite ruzha rwekudzinga shiri mumunda. muzerwe 3, muzengure 3 .
magwinhi 	DKK 	6 	z 		magwinhi DKK z 6 . bere 5 .
magwiriri 	D- 	6 	z 		magwiriri D- z 6 . Uku kufema kune kamhere mukati, kunoitika kazhinji kana munhu akarara zvisina kunaka, kana kuti akarara akadhakwa. ngonono 10 .
mahakurimwi 	DDKDK 	6 	z 		mahakurimwi DDKDK z 6 . Iyi inguva inomborega vanhu kuita basa, mushure mekunge hama kana muvakidzani afa. chikaro 7 .
mahakurimwi 	DDKKK 	6 	z 		mahakurimwi DDKKK z 6 . Uku kusawirirana kunotora nguva hombe kuchienderera mberi pakati pevakatadzirana.
mahanya 	DKK 	6 	z 		mahanya DKK z 6 . Mahanya ihacha nyoro dzinodyiwa dzakatswiwa.
mahapa 	DKK 	6 	z 		mahapa DKK z 6 . Mahapa mashizha mahombe anokura ari pamusoro pemvura.
mahara 	DKD 	6 	z 		mahara DKD z 6 . Mahara kushandira pasina muripo. Mukomana uyu ndiye wekafambira mahara, asvika akawana musikana wake akatoroorwa nemumwewo. Mahara kuwana chinhu pachena. Mahara ndechinhu chisingakosheswi. Zvekudadira hama zvinhu zvemahara, nekuti rimwe zuva unozodzitsvaga ukadzishaya.
maheu 	D- 	6 	z 		maheu D- z 6 . Maheu chinwiwa chinokanyiwa nesadza nemvura, chozoiswa mamera kuti chivire. magada 6 .
mahohoho 	D- 	6 	z 		mahohoho hohoho D- z 6 . Uku kutaudzana zvikuru kune ruzha mukati. mheremhere 9 .
mahon'era 	D- 	6 	z 		mahon'era D- z 6 . Uku kutaurira pasi zvisinganyatsonzwika, zvikuru kana munhu asina kugutsikana nezvataurwa. Aya mazwi akakorera anonzwika pakuimba.
mahumbwe 	D- 	6 	z 		mahumbwe D- z 6 . Mahumbwe mutambo wevana vaduku, vati kurei, wavanenge vachitevedzera zvinowanzoitwa mudzimba nevakuru, sekuita baba naamai, vachibikirana sadza panguva yavanodzidza kubika zvinodyiwa chaizvo. matumba 6 . Mahumbwe zvinhu zvechipwere zvisina musoro kuvakuru. Vana pavakarwa pamusha, madzimai avo akavapopotera kuti varege zvemahumbwe zvavaiita. dambe 5 .
mahwekwe 	DKK 	6 	z 		mahwekwe DKK z 6 . Mahwekwe kusangana nemunhu kana chinhu chawanga usingafungire kusangana nacho. Mbavha nemuridzi wemba zvakaita mahwekwe pamusuwo, pakamuka chitsvuku vorovana. mambunga 6, masanga 6 .
mahwinya 	DKK 	6 	z 		mahwinya DKK z 6 . Mahwinya mamino ehembe ayakasonwa inawo. Akatenga hembe dziya dzemahwinya dziri mufashoni mazuva ano. Mahwinya zvimamino zvinokonzerwa nekuunyana kwehembe. Ndasangana naye akapfeka hembe yakaunyana, ine mahwinya anoita kunge yabuda mukanwa medhongi.
maibveibve 	DKDKD 	6 	z 		maibveibve DKDKD z 6 . Uyu muchero wava kuda kusvika, unenge wotebvenyuka-tebvenyuka. Maibveibve emazhanje anoitisa hambe.
majarini 	DDKD 	6 	z 		majarini majarinhi DDKD z 6 . Aya mafuta anobva muzvirimwa, anozorwa pachingwa kazhinji, kana kubikiswa.
maji 	DK 	6 	z 		maji maja DK z 6 . Maji kurara kana kuzorora musana uri pasi, iwe wakatarisa mudenga. manhede 6 .
makakatanwa 	DKKKK 	6 	z 		makakatanwa DKKKK z 6 . Uku kusawirirana kukuru pakati pevanhu, umwe noumwe wavo achiti zvaari kutaura iye ndizvozvo.
makako 	DKD 	6 	z 		makako DKD z 6 . Makako mushini wekudhonzesa nawo waya kana kusimudzisa zvinorema. Hembe dzinotakurwa nechikepe dzinotutirwa nemakako. Makako imota inodhonzeswa dzimwe motokari.
makanywa 	DDK 	6 	z 		makanywa DDK z 6 . Makanywa isadza rakamedurwa-medurwa, rikasanganiswa nemukaka kana chimwe chinhu chakaita mvura mvura.
makanywa 	DKK 	6 	z 		makanywa DKK z 6 . Makanywa chingwa chinobikwa nefurawu yakasanganiswa neupfu.
makarekare 	D- 	6 	z 		makarekare D- z 6 . Idzi inguva dzemadziteteguru dzakapfuura kudharadhara.
makaro 	DKK 	6 	z 		makaro DKK z 6 . Makaro kunyanyoda zvekudya zvinopfuura mwero. madyo 6, mbayo 9 .
makarukaru 	D- 	6 	z 		makarukaru D- z 6 . Uku kuratidza kutya kuya kwemunhu ane mhosva.
makasi 	D- 	6 	z 		makasi D- z 6 . Makasi makadhi ekutambisa mutambo wenjuga. Makasi mutambo wenjuga. Makasi mamiriro ezvinhu asingazivikanwi maperero awo. Amai vangu vaigara vachititaurira kuti upenyu makasa, saka tinofanira kugara takagadzirira nekuti hatizivi zvinoitika mangwana.
makata 	D- 	6 	z 		makata D- z 6 . Makata inzvimbo yakakwirira inokwidza nenzira ichibva kumateru. Mota dzasakara dzinonetsa pakukwira makata. mukwidza 3 . ANTONYMS materu 6.
makei 	DKD 	6 	z 		makei DKD z 6 . Makei igore rakapera kana kuti gore rinouya. Makei izwi rinoshandiswa nevechidiki kureva kuti munhu akura kana kuti ava mudhara.
makodzero 	DDKK 	6 	z 		makodzero DDKK z 6 . Iyi inzira yekupa mombe kana dzimwe mhuka zvekudya nechinangwa chekuti dzikure.
makokotere 	DKKDK 	6 	z 		makokotere DKKDK z 6 . Uku kudya kwakatsviririra kunosaririra muhari yabikirwa kudya kwakaita serupiza kana nhopi. Idzi inhengo dzemombe yauraiwa dzisingabikwi pamwe neimwe nyama.
makomberwa 	DDKD 	6 	z 		makomberwa DDKD z 6 . Iri idoro riya raunochengeta panhimbe, uchiti ukagashidzwa mukombe wodira mugaba rako, wozoenda naro kumba rawanda.
makomu 	DKD 	6 	z 		makomu DKD z 6 . Makomu inzvimbo inoperera muforo, uko kunodzokera mombe kana dzichirima mumunda.
makope 	DKK 	6 	z 		makope DKK z 6 . Makope kunzwa kuda kurara zvakanyanya. Makope kukasira kurara kana munhu angotsirama.
makorokoto 	DKKKK 	6 	z 		makorokoto DKKKK z 6 . Kuita munhu makorokoto kumupembedza pane zvaanenge aita zvakanaka zvekubudirira, zvakaita sekubatsirwa mwana kana kubudirira mubvunzo kana kupona mutsaona.
makorosibhandi 	D- 	6 	z 		makorosibhandi makurusibhandi D- z 6 . Iyi micheka inopfuura nepamapipito, inobata masiketi kana mabhurukwa asingasungwe nebhandi kuti asadonha.
makoto 	DKK 	6 	z 		makoto DKK z 6 . Makoto marara anosara panopurwa rukweza, anogona kuzopurwazve kuti turukweza twunenge twasara twudonhe.
makuku 	DKK 	6 	z 		makuku DKK z 6 . Makuku muripo unobhadharwa nemunhu anenge achiratidza rukudzo kumunhu waanenge akanganisira. Joramu akabatiswa makuku natezvara vake mushure mekunge arova mukadzi wake.
makukumira 	D- 	6 	z 		makukumira D- z 6 . Aya mapundu anoita pachirebvu anokonzerwa nekubvisa ndebvu. Izvi zvitsitsi zvendebvu zvinobaya-baya.
makunakuna 	D- 	6 	z 		makunakuna D- z 6 . Kana munhu akaita makunakuna anenge aroorana nemunhukadzi kana munhurume wepaukama. Uku kusangana kwomunhukadzi nemunhurume vane ukama huri pedyo, sezvakaita baba nemwanasikana wavo.
makundano 	DKKD 	6 	z 		makundano DKKD z 6 . Uku kumhanya kana kuita chimwe chinhu makawanda, nechinangwa chekuda kuona anogona kudarika vamwe vose. makwikwi 6, mapitse 6 .
makushamhuru 	DKKDK 	6 	z 		makushamhuru DKKDK z 6 . Urwu rundebvu runotanga kumera pachirebvu kana pamatama emunhurume.
makutukutu 	D- 	6 	z 		makutukutu D- z 6 . Izvi zvinhu zvakawanda chaizvo. Baba ava vakaripisa mukuwasha wavo makutukutu emazimari paakaroora mwana wavo ane dgigirii.
makuwerere 	DKKKK 	6 	z 		makuwerere DKKKK z 6 . Iyi imheremhere yekufara kwevanhu. Nhasi kumba kwedu kune makuwerere nekuti mukoma wangu ari kuchata. mabadu 6 .
makwa 	D- 	6 	z 		makwa D- z 6 . Makwa kuuchira kunoita vanhu, vachifarira kana kukurudzira zvinenge zvichiitwa kuti zvipfumbire.
makwati 	DDK 	6 	z 		makwati DDK z 6 . Makwati makanda anowanikwa pamiti. Makwati makanda akaomarara chaizvo, anodzivirira tupuka tune makanda matete twakaita sekamba. mari 9 . Makwati ndeimwe yemari inobviswa nemunhu kana achida kuroora nenzira yekukumbira.
makwato 	D- 	6 	z 		makwato D- z 6 . Makwato kudya kumba kusiri kwako, iwe usina kukokwa. maruwo 6 .
makwenu 	DKK 	6 	z 		makwenu makwene DKK z 6 . Makwenu tukoko tuchena turi mumusoro, tunokonzerwa nekufa kweganda remusoro, tunozokwaturwa nekamu kana munhu achikama.
