kabayo 	D- 	12 	z 		kabayo D- z 12 . mabayo .
katodzvo 	DDK 	12 	z 		katodzvo DDK z 12 . Katodzvo kashiri kane muromo murefu, mutete, wakajongamira pasi, unoita kuti kagone kumwa muto mukati memaruva. tsodzo 9 .
katseta 	D- 	12 	z 		katseta D- z 12 . Katseta rundadzi rumwe chete chete rweshinda. Katseta kanhu kadikidiki, chero korudzi rupi zvarwo. kai 12 .
katunzvi 	D- 	12 	z 		katunzvi D- z 12 . Katunzvi izita rinopiwa chero shiri diki hadzi.
katurike 	DKDK 	12 	z 		katurike DKDK z 12 . Katurike imhosva isati yatongwa kana kuti isati yapera kutongwa. Munhu anonzi ane katurike anenge aine chaanotyira kuti angangobatwa, kana kuti chingangobudiswa pachena.
kazevezeve 	D- 	12 	z 		kazevezeve kazeezee D- z 12 . Uku kutaurira pasi pasi, kazhinji kuri kuitira kuti musanzwikwa zvamuri kutaura. Gomba raiita kazevezeve nemukadzi wemunhu murimamo.
kazhumu 	DDK 	12 	z 		kazhumu DDK z 12 . Kazhumu tuvhudzi tunosara pakanzvimbo kadiki, panogerwa munhu musoro.
kazizimbori 	DDDDK 	12 	z 		kazizimbori DDDDK z 12 . Urwu rumwe rudzi rwezizi diki pamumhu waro. chimbori .
tudyo 	DK 	12 	z 		tudyo DK z 12 . Tudyo svinhu zvekudya zvakasiyana-siyana, zvokungodyira kunakirwa, zvisiri zvokutsvaka kuguta.
tumbare 	D- 	12 	z 		tumbare D- z 12 . Tumbare igonye rinozviputira nenamo yaro, rinorezuka pamuti wakaita semukarati.
kadikwadikwa 	DKDKD 	13 	z 		kadikwadikwa DKDKD z 13 . chidikwadikwa 7 .
kakodzi 	DKD 	13 	z 		kakodzi DKD z 13 . rukodzi 11 .
kandondo 	DKK 	13 	z 		kandondo DKK z 13 . Kandondo idombo rinoshandiswa kurodza mapanga namatemo.
kaudziudzi 	DKDKD 	13 	z 		kaudziudzi DKDKD z 13 . Urwu rumwewo rudzi rwekamuti kadiki. musvosvanyoka 3, mutandanyoka 3, mukundanyoka 3 .
udyire 	DKD 	13 	z 		udyire DKD z 13 . undyire 14 .
unga 	K- 	13 	z 		unga K- z 13 . Unga upfu hunogadzirwa nesimbi, hunopa mbumburu yepfuti simba rekutsva kana pfuti yaridzwa. Takapakira unga muhweda dzoruware, kuti rwutsemuke panozoputika unga hwapiswa nomoto. 
bwadzira 	DKD 	14 	z 		bwadzira DKD z 14 . Bwadzira kunzwa mazino achiteta kutsenga mushure mokudya michero inovavira. Akatetena mandimu mambishi akanzwa bwadzira. ugugu 14 .
bwamba 	DK 	14 	z 		bwamba DK z 14 . Bwamba muzasi memhuka munosanganisa dumbu rayo. hwamba 14 .
bwambo 	D- 	14 	z 		bwambo D- z 14 . Bwambo chinhu chinoshandiswa kukwezva chimwe sezvakaita sehonye inoiswa pachirauro.
bwana 	DK 	14 	z 		bwana DK z 14 . Bwana turimwa tunenge tuchiri tudiki tunogona kudyarururwa tuchidyarwa zvakare pane imwe nzvimbo.
bwanamai 	DKDD 	14 	z 		bwanamai DKDD z 14 . Uhwu ukama huri pakati pevana vakazvarwa nemadzimai akaberekwa nababa vamwe. hwanamai 14 .
bwanashupa 	DDKK 	14 	z 		bwanashupa DDKK z 14 . Urwu rudzi rwemuti mudukuduku.
bwandadza 	D- 	14 	z 		bwandadza D- z 14 . matadza 6 .
bwanyenze 	DKK 	14 	z 		bwanyenze bwanyanza DKK z 14 . Bwanyenze idivi remusana riri kumusoro kumafudzi.
bwasha 	DK 	14 	z 		bwasha DK z 14 . Bwasha kufara kana upamhi hwechinhu. hwashu 14 .
bwazvo 	D- 	14 	z 		bwazvo D- z 14 . Bwazvo chinhu chingashandiswa kukwezva chimwe chinenge chakateyiwa, sezvinoita gonye rinoshandiswa kukwezva hove pakuredza. dyiro 9, hwambo 14 .
bwema 	D- 	14 	z 		bwema D- z 14 . Kana imbwa ichitevedza bwema inenge ichitevera pafamba nemhuka ichinzwa munhuwi wayo. hwema 14 .
bwendedzo 	D- 	14 	z 		bwendedzo D- z 14 . Bwendedzo igwara rinonanga kune chimwe chinhu. Mwena une bwendedzo unosvika kuna majuru. hwendedzo 14 . Bwendedzo kuita chinhu zvekungoda kufadza asi usingarevesi. uminimini 14 .
bweni 	D- 	14 	z 		bweni D- z 14 . Bweni kuva mutsva kana mushanyi panzvimbo. Rega ndiende kumba kwangu, ndine bweni. hweni 14 .
bwenje 	DK 	14 	z 		bwenje DK z 14 . Bwenje idziva rinonyudza. hwenje 14 .
bwerere 	DKD 	14 	z 		bwerere DKD z 14 . Bwerere ivhudzi remwana achangozvarwa kana remunhu anenge aine ropa shoma mumuviri.
bweve 	DK 	14 	z 		bweve DK z 14 . Bweve inyama inosara yakanamira padehwe remhuka yavhiiwa. pfendu 9, ururu 14 .
bwoni 	DK 	14 	z 		bwoni DK z 14 . Kuitira chinhu bwoni kuita chakaipa munhu achiziva kuti zvaari kuita zvakaipa. maune 6 .
horera 	DKD 	14 	z 		horera DKD z 14 . Horera kanhu kanenge kamunzwa kane uturu, kanosiyiwa munyama nenyuchi painoruma munhu kana mhuka. mborera 9 .
howa 	D- 	14 	z 		howa D- z 14 . hwowa 14 .
hudzi 	K- 	14 	z 		hudzi K- z 14 . hwudzi 14 .
hwahwa 	D- 	14 	z 		hwahwa D- z 14 . Hwahwa kunwa kunodhaka, kunonwirwa kufara kana kutandara. doro 5, mhamba 5 .
hwana 	DK 	14 	z 		hwana DK z 14 . twana 13 . Hwana chirimwa chisati chakura sezvakaita nhondo dzemuriwo.
hwanga 	D- 	14 	z 		hwanga bwanga D- z 14 . Hwanga mushonga wechivanhu.
hwaro 	D- 	14 	z 		hwaro bwaro D- z 14 . Hwaro uriri hwedura hwakakwirira, hunochengeterwa mbesa.
hwasha 	DK 	14 	z 		hwasha DK z 14 . Hwasha kufema kusina kunaka. Hwasha inzvimbo inobatira mazino munyama yomumuromo. Akajuja ropa nomuhwasha mushure mokukwesha mazino. Hwasha mupendero wepoto yevhu kana kuti hari.
hwato 	DK 	14 	z 		hwato bwato DK z 14 . Hwato igwa rakavezwa kubva pahunde yomuti. mwadiya 3 .
hwavhu-utete 	D- 	14 	z 		hwavhu-utete D- z 14 . Iri iganda nebvupa rokumusoro komukanwa.
hwema 	D- 	14 	z 		hwema bwema D- z 14 . Hwema munhuhwi wemhuka kana womunhu unonzikwa nembwa nedzimwe mhuka, zvikuru pakuvhima kana kuvhimwa. Imbwa inovhima ichironda hwema hwemhuka kusvika yawana pairi.
hwenda 	DK 	14 	z 		hwenda DK z 14 . Hwenda itsika yokugara vanhu vachifambidzana kana kushanyirana.
hwendaenda 	D- 	14 	z 		hwendaenda D- z 14 . Aya maitiro ane gwara rakarurama rinoyemurika.
hwendedzo 	D- 	14 	z 		hwendedzo bwendedzo D- z 14 . Hwendedzo urongwa hunokwanisa kukusvitsa pachinangwa chako.
hwenderera 	D- 	14 	z 		hwenderera D- z 14 . Aya matanho anotorwa nemunhu kusvikra abudirira pane zvaanenge achiita.
hweni 	D- 	14 	z 		hweni D- z 14 . Hweni maitiro anoratidza vagari venzvimbo kuti ari kutaurwa nezvake mutsva munzvimbo iyoyo. Hweni kugara wakashanyirwa nevanhu vasiri vepamba pako.
hwenje 	DK 	14 	z 		hwenje bwenje DK z 14 . Hwenje idziva rakadzika, rinotyisa.
hwenye 	D- 	14 	z 		hwenye D- z 14 . Hwenye mashoko, nyaya kana makuhwa anenge ichitaurwa nezvawo mazuva iwayo.
hwira 	D- 	14 	z 		hwira D- z 14 . Hwira chikafu, mari kana zvimwewo zvaunopiwa asi zvisingakwanirani newe. Tapiwa shuga hwira, tikanwa putugadzike isinganaki.
hwoni 	DK 	14 	z 		hwoni bwoni DK z 14 . Hwoni kuitira munhu utsinye uchimurwadzisa asi pasina chaanyanya kukutadzira. Kuita chinhu ne hwoni kuita zvisiri izvo iwe uchiziva kuti uri kutokanganisa.
hwowa 	D- 	14 	z 		hwowa D- z 14 . Hwowa chidyiwa chinorimwa kana kumera choga musango, uye chine kadzindi kadiki, kumusoro kuchinge denga rakafukidza. Hwowa hwandinofarira ini izheveyambuya, asi vamwe vanoti firifiti ndiyo iri pamberi kunaka. howa 14 .
hwudzi 	K- 	14 	z 		hwudzi K- z 14 . Hwudzi munhuwi unobva pamuviri. hunzi 14 .
ubasa 	DDK 	14 	z 		ubasa DDK z 14 . Ubasa isimba nechido chokuita chose chose wakagwinya.
ubatwa 	D- 	14 	z 		ubatwa D- z 14 . Ubatwa kuve pasi poumwe munhu zvine chisimba, zvokuti anoita zvaanoda newe.
ubenzi 	DKK 	14 	z 		ubenzi upenzi DKK z 14 . Ubenzi kusakwana kana kupenga kunoita munhu.
ubhanditi 	DDKK 	14 	z 		ubhanditi DDKK z 14 . Uku kuva musungwa zvekuti unenge uchipika jeri, uchishandiswa zvakaoma.
ubhinya 	D- 	14 	z 		ubhinya D- z 14 . Ubhinya maitiro okuve munhu anobata vakadzi nokuvamanikidza kuti varare newe. Ubhinya itsika yekuponda kana kukuvadza vamwe.
ubvana 	DDK 	14 	z 		ubvana DDK z 14 . Ubvana chinhanho chinenge chiine munhukadzi mudiki anenge akambozvara, uye achiri kukwanisa kubarazve. umvana 14 .
ubvirinyinyi 	D- 	14 	z 		ubvirinyinyi D- z 14 . Izvi zvishinda zvitete zvinomira-mira pakaita sepajira rasakara kana risina.
ubvurubvuru 	D- 	14 	z 		ubvurubvuru uvhuruvhuru, umvurumvuru D- z 14 . Izvi zvimabandi kana zvimafufu zvinosarira panochekwa nyama, chingwa nezvimwewo. ubvurunyunyu 14 .
ubvururu 	D- 	14 	z 		ubvururu uvhururu D- z 14 . Ubvururu kumwararika kwezvinhu mumba, kana pane imwewo nzvimbo. Sei chingwa changova ubvururu patafura kudai?
uchanja 	DDK 	14 	z 		uchanja DDK z 14 . Uchanja mudziyo usingaremi wokurarira, unogona kushandiswa kutakura nawo munhu akuvara.
uchapupu 	DDKK 	14 	z 		uchapupu DDKK z 14 . Kupa uchapupu kutsigira kuti zvataurwa nomumwe wakazviona kana kuti unozviziva. ufakazi 14, umboo 14 .
ucheche 	D- 	14 	z 		ucheche D- z 14 . Ucheche inguva yekunge munhu achiri mwana mudiki, mumazuva ake ekutanga achangozvarwa.
uchembere 	D- 	14 	z 		uchembere D- z 14 . Iyi inguva yokunge munhukadzi akura chaizvo, akwegura.
uchenjeri 	DKKD 	14 	z 		uchenjeri DKKD z 14 . Uku kupinza kwepfungwa kana kungwara kwemunhu. ungwaru 14 . ANTONYMS ufuza 14, urema 14.
uchi 	DK 	14 	z 		uchi DK z 14 . Uchi kudya kunotapira kunogadzirwa nenyuchi, kunogona kudyiwa kwakadaro kana kuiswa pachikafu chakasiyana-siyana. Paunobura uchi haushayi nyuchi inokuruma.
uchingi 	DKK 	14 	z 		uchingi DKK z 14 . Uchingi mubhadharo unopiwa mudzimai anenge agamuchira mwana paanozvarwa.
uchiro 	KKD 	14 	z 		uchiro KKD z 14 . Uchiro mubhadharo unoita kuti mukuwasha achikwanisa kubvunza vatezvara upenyu.
udekaro 	DKKD 	14 	z 		udekaro DKKD z 14 . Uku kugara zvakanaka.
udendemaro 	DKKKD 	14 	z 		udendemaro DKKKD z 14 . Uhu upenyu hune rugare, runyararo nerudekaro.
udhadha 	D- 	14 	z 		udhadha D- z 14 . Udhadha kuve munhu akapusa, asingakwanisi kuita kana kuzadzikisa zvanofanirwa kuita. ufuza 14, uduutuu 14, ututa 14 .
udhiraivha 	DDKDD 	14 	z 		udhiraivha DDKDD z 14 . Iri ibasa rokuchaira motokari kana zvimwe zvinochairwa.
udhokota 	DKDD 	14 	z 		udhokota DKDD z 14 . Iri ibasa rekuongorora vanorwara nokuvapa mishonga kana kuvanyorera mishonga ingavarape. Mwana wangu akadzidzira udhokota pachikoro chikuru chomuZimbabwe.
udiki 	DKD 	14 	z 		udiki uduku DKD z 14 . Udiki inguva yokunge mwana asati ava munhu mukuru, anogona kuzviriritira.
udobodobo 	D- 	14 	z 		udobodobo D- z 14 . Uku kuibvisa kwemuchero kunenge kwanyanyisa, kwava kunge kuora.
udobori 	DKKK 	14 	z 		udobori DKKK z 14 . Uku kudya kunoisvonaka kwazvo.
udodyo udodyo 	DDK KKD 	14 	z 		udodyo udodyo DDK KKD z 14 . Aya makomba anenge akawanda, ari panzvimbo kana pachinhu chimwe chete.
udorongashwa 	DKKDK 	14 	z 		udorongashwa DKKDK z 14 . Iyi itsanangudzo yakatsetsenuka, ine udzamu.
uduku 	DKD 	14 	z 		uduku udiki DKD z 14 . udiki 14 .
udundwe 	D- 	14 	z 		udundwe D- z 14 . Udundwe kutadza kushandisa pfungwa zvakadzama, uchiita zvinhu kunge uri mwana mudiki.
udununu 	D- 	14 	z 		udununu utununu D- z 14 . Udununu kuva munhu akavhiringika, anotadza kunyatsofunga pane zvaanofanirwa kuita. ufuza 14 .
uduutuu 	D- 	14 	z 		uduutuu D- z 14 . Uku kuva munhu akapusa zvakanyanya.
udyi 	DK 	14 	z 		udyi DK z 14 . Udyi imhuka kana shiri dzinoparadza mbeu dzichiri mumunda.
udzamu 	D- 	14 	z 		udzamu udzami D- z 14 . Udzamu kudzika kwechinhu. Mashoko ane udzamu anenge ari mashoko kwawo kwawo.
udzanga 	D- 	14 	z 		udzanga D- z 14 . Udzanga kuve munhu asina hanya nokushambidzika kwake. ufende 14, utsvina 14, uyanga 14 .
udzenga 	D- 	14 	z 		udzenga D- z 14 . Udzenga itsika yekuita zvisingatarisirwi nguva zhinji. Udzenga hwake ndihwo hwakaita kuti arove amai.
udzimba 	D- 	14 	z 		udzimba D- z 14 . Udzimba ruzivo pakuvhima.
udzvinyiriri 	D- 	14 	z 		udzvinyiriri D- z 14 . Iyi itsika yekusaona vamwe vanhu sevanhu vakaenzana newe, uchigara uchivashandisa nekuvabata sevanhu vako, usingateereri zvavanodawo.
ufakazi 	D- 	14 	z 		ufakazi D- z 14 . uchapupu 14 .
ufende 	DDK 	14 	z 		ufende DDK z 14 . Ufende kushaya njere dzekugara munhu akatsvinda. udzanga 14, upfende 14 .
ufeve 	D- 	14 	z 		ufeve D- z 14 . Ufeve magariro ekuti chero mukadzi kana murume wawaona worara naye. uhure 14, ujoki 14 .
ufudzi 	D- 	14 	z 		ufudzi D- z 14 . Ufudzi imombe kana chimwewo chipo chinopiwa sekutenda kumunhu anokuchengetera kana akakuchengetera zvipfuyo. Sekuru pavakauraya mombe yavo ndakapiwa bandauko roufudzi.
ufuro 	D- 	14 	z 		ufuro D- z 14 . Ufuro inzvimbo ine uswa hunodyiwa nezvipfuyo. Mazuvano ufuro hune uswa nokuti mvura yakanaya.
ufuza 	D- 	14 	z 		ufuza D- z 14 . Kana munhu achiita zvo ufuza , anenge achiita zvakapusa kana kuti zvisina njere.
ugamba 	D- 	14 	z 		ugamba D- z 14 . Ugamba kuita kunoratidza kusatya. Akazoona kuti kutiza chikoro uchinonwa doro hausi ugamba afoira. Ugamba ibudiriro pane zvinoda kuzvipira noushingi.
ugariri 	D- 	14 	z 		ugariri D- z 14 . Iyi itsika yekuroora yaiitwa kare, murume achigara pamusha patezvara achivaitira basa, kuti vazomupa mwanasikana wavo.
ugeben'a 	DDKD 	14 	z 		ugeben'a DDKD z 14 . Uku kuita zvinhu zvisina unhu, zvechitsotsi.
ugevha 	DDK 	14 	z 		ugevha DDK z 14 . Ugevha maitiro echitsotsi ekuda kutora zvevamwe nekuvakorovhera. Ugevha hwaTendai hwakamuindisa kujeri. ujarijari 14 .
