apo 	D- 		bat 		apo D- bat . Izwi iri rinoshandiswa kuratidza nguva yakaitika chinhu mushure mokunge chimwezve chinhu chaitika. Vana vose vakafara apo vakazomuona mukuru wechikoro.
bopomo 	D- 	5 	z 		bopomo D- z 5 . bopopo 5 .
botyopotyo 	D- 	5 	z 		botyopotyo D- z 5 . Aya mabudiro ekukurumidza angaite zvakaita mbeva mumwena mainenge ichicherwa.
botyopotyo 	KKKD 	5 	z 		botyopotyo KKKD z 5 . Ichi chinhu chakareba chisingatani kutyoka.
bovovo 	K- 		ny 		bovovo K- ny . Kuti bovovo kupinda panzvimbo inenge isingabvumirwi.
budandibudewo 	K- 	1a 	z 		budandibudewo K- z 1a . Uyu mwana waamai vako waunenge uchiteedzana naye pakuzvarwa.
budiriko 	KKKD 	5 	z 		budiriko KKKD z 5 . Uku kududzirwa kunoitwa vanhu mushure mekunyora bvunzo.
budiriro 	KKKD 	9 	z 		budiriro KKKD z 9 . Uku kufamba negwara sekurongwa kunenge kwakaita zvinhu.
bumho 	D- 	5 	z 		bumho D- z 5 . Bumho itsono yekusonesa masaga. dumbo 5, dungo 5 .
bunhuro 	D- 	5 	z 		bunhuro D- z 5 . Bunhuro imbesa dzinenge dzisati dzapepetwa.
buno 	D- 	5 	z 		buno bino D- z 5 . Buno imhuno hombe. Buno muchero unoibva wakatenderera, uri mutsvuku, unorimwa mumapindu uchizobikiswa usavi kuti hunake. domasi 5 .
buriro 	D- 	5 	z 		buriro D- z 5 . Buriro ihari inoshandiswa kubikira doro.
buro 	K- 	5 	z 		buro K- z 5 . Buro ishamhu yekurovesa mbeu yakaita sezviyo kuti idonhe pakukohwa. Buro murwi wezvinhu zvinoda kupurwa kana kuti zvatopurwa. Buro idoro riri kupisa.
burutso 	D- 	5 	z 		burutso D- z 5 . Burutso ndechekukwirisa nekudzikisa dzimba dzakakwira mudenga. ANTONYMS chikwidzo 7.
butiramwoyo 	D- 	5 	z 		butiramwoyo D- z 5 . Uku kuva munhu anongozvifunga iye pachake asineyi nevamwe vanhu.
bvochopfocho 	D- 	5 	z 		bvochopfocho D- z 5 . Uku kumhanya kwevanhu vazhinji nemativi akasiyana.
bvojo 	KD 		ny 		bvojo KD ny . Kana munhu achinzi ati bvodyo anenge angokaruka ataura zvisina kukodzera.
bvokocho 	D- 		ny 		bvokocho D- ny . Kuti bvokocho ruzha runoitwa nechinenge chapotserwa mune miti yakawanda pachinzvimbo chimwecho.
bvokopfoko 	D- 	5 	z 		bvokopfoko D- z 5 . Urwu ruzha rwunoitika pakufamba mumashizha akaoma.
bvoo 	DK 		ny 		bvoo DK ny . Kuti bvoo kubaya zvinobuda seri neseri.
bvorototo 	D- 		ny 		bvorototo D- ny . Kuti bvorototo kupera mweya kunoita chubhu yevhiri kana bhora.
bvoto 	K- 	5 	z 		bvoto K- z 5 . Bvoto mubvunzo unobvunzwa nemunhu achiita seasina chaanoziva asi iye achiziva zvake.
bvovo 	DK 		ny 		bvovo DK ny . Kuti bvovo kutaura zvaunoziva samamirire azvo chaiwo.
bvumbunuro 	D- 	9 	z 		bvumbunuro D- z 9 . Uhwu unyanzwi hunokatyamadza hwekugona kufembera.
bvumo 	D- 	9 	z 		bvumo D- z 9 . Bvumo chiratidzo chokuwirirana nezvinenge zvaitwa kana kutaurwa.
bvunzo 	D- 	9>10 	z 		bvunzo vhunzo D- z 9>10 . Bvunzo inzira inoshandiswa kupima ruzivo rwemudzidzi achipindura mibvunzo iri maererano nezvaakadzidza. zamanishoni 5 .
bvuururo 	D- 	5 	z 		bvuururo D- z 5 . Iri isakura rechipiri kana rechitatu. Izvi ndezvekudya kana zvinwiwa zvepasakuro rechipiri kana rechitatu.
bwato 	D- 	5 	z 		bwato D- z 5 . Bwato mudziyo unopapamara pamusoro pemvura, unogona kutakurisa vanhu. hwato 14, mwandiya 3, igwa 5 .
bwazvo 	D- 	14 	z 		bwazvo D- z 14 . Bwazvo chinhu chingashandiswa kukwezva chimwe chinenge chakateyiwa, sezvinoita gonye rinoshandiswa kukwezva hove pakuredza. dyiro 9, hwambo 14 .
bwiro 	D- 	5\14 	z 		bwiro hwiro D- z 5\14 . Bwiro inzvimbo inovigwa munhu anenge afa. rinda 5, guva 5 .
bwodo 	KD 		ny 		bwodo KD ny . Kuti bwodo kutaura zvisina maturo.
bwodomo 	KKD 		ny 		bwodomo KKD ny . Kuti bwodomo kutaura zvisina maturo. bwodo, bvotomo .
chaizvo 	DKD 		dc 		chaizvo DKD dc . Iri izwi rinoshandiswa kuratidza kuti zvinhu zvaitwa kusvika pakuperevedza. Baba namai vakafara chaizvo vaona kukunda kwandakaita muzvidzidzo zvangu zvose. chose, zvomene, zvikuru .
chaizvo izvo 	DKD KD 		dc 		chaizvo izvo DKD KD dc . Iri izwi rinoshandiswa kutaridza zvinhu zvakanyanya kuperevedza.
chakweshadombo 	DKKDK 	7 	z 		chakweshadombo DKKDK z 7 . Ichi chombo kana chimwe chinhu chokushandisa chava chekarekare, asi chichikwanisa kugadzirwa kuti chigoshandiswazve.
chamboko 	DKD 	7 	z 		chamboko DKD z 7 . Chamboko ishamhu ingagadzirwa neganda ren'ombe, remvuu kana nerabha zvakatetepa kumberi, inorova zvinorwadza. chikoti 7 .
chamukumbo-mukumbo 	KKKKKDD 	7 	z 		chamukumbo-mukumbo KKKKKDD z 7 . chamudai mudai 7 .
chando 	D- 	7 	z 		chando D- z 7 . Kana kunze kuine chando kunenge kuchitonhora. Chando imvura inenge yaita dombo nokuda kwekutonhora. mazaya 6 .
changano 	D- 	9>10 	z 		changano D- z 9>10 . Changano chaunga chevanhu vakawanda vanenge vane nyaya yavanenge vachitaura nezvayo. musangano 3 .
chao 	D- 	7 	z 		chao D- z 7 . chanza 7 .
chaoo 	DKD 	7 	z 		chaoo chavovo DKD z 7 . Chaoo inhengo yomusoro iri panoperera rushaya uye pari pazasi penzeve.
chapfumbo 	DKK 	7 	z 		chapfumbo DKK z 7 . Chapfumbo chidyiwa chinogadzirwa nemhudzi dzakakangwa dzozotswiwa, uye chinodyiwa kana vanhu vapedza kudya sadza.
chapopo 	DKD 		pr 		chapopo DKD pr . Iri izwi rinoshandiswa kuratidza kuti chiri kutaurwa nezvacho chakawanda chaizvo. Nhaka kune chikafu chapopo.
chariradombo 	DKKKK 	9>10 	z 		chariradombo DKKKK z 9>10 . Iyi imhando yenyoka pfupi hobvu isingatani kuuraya chayaruma uye inonzi inobhururuka.
chebundo 	DKD 	1a 	z 		chebundo DKD z 1a . Chebundo munhu asingawanzowanikwa pamusha pake nokuda kokuti anowanzofamba nzendo. mugaradzakasungwa 1a .
chemo 	K- 	9>10 	z 		chemo K- z 9>10 . chema 9 .
chengo 	DK 	7 	z 		chengo DK z 7 . Chengo mudhuri weimba. Denga reimba rakatsva chengo chikasara. chidziro 7 .
chibanzuro 	D- 	7 	z 		chibanzuro D- z 7 . Uyu mudziyo ungashandiswa kubandura sezvakaita matombo kana zvimwewo. Gura dombo iro nechibanzuro.
chibatiro 	DKKD 	7 	z 		chibatiro DKKD z 7 . Uyu mudziyo mudiki unoshanda mabasa mazhinji.
chibayamakono 	DDDDKK 	7 	z 		chibayamakono DDDDKK z 7 . chidhongi 7 .
chibayamwoyo 	D- 	7 	z 		chibayamwoyo D- z 7 . Ichi chinhu chaunodisa nomwoyo wako chichikugutsa kuona. Tsungai chibayamwoyo chaTawanda.
chibayo 	D- 	7 	z 		chibayo D- z 7 . Chibayo kurwadziwa nemuviri uchiita seune chinhu chinodyunga dyunga.
chibeto 	DDK 	7 	z 		chibeto DDK z 7 . Chibeto mudziyo unoshandiswa kuparadzanisa musvo namarara. Kana uchida kunwa putugadzike isina masamba unoshandisa chibeto. chiketo 7 .
chibofo 	DKK 	7 	z 		chibofo DKK z 7 . Chibofo kusure komunhu kunobuda netsvina, kunenge kuchigara kwakashama. mugofongo 3 .
chibombo 	D- 	7 	z 		chibombo D- z 7 . Chibombo chitota chidiki chinenge chisati chamera mapapiro.
chibvanzvimbo 	D- 	7 	z 		chibvanzvimbo D- z 7 . Iyi inzvimbo iri chinhambwe chidiki kubva panotangira makwikwi okumanya.
chibvaro 	DKK 	7 	z 		chibvaro DKK z 7 . chipfeko 7 .
chibvinho 	D- 	7 	z 		chibvinho D- z 7 . chikwizo 7 .
chibviriso 	D- 	7 	z 		chibviriso D- z 7 . Ichi ndicho chinokonzera kuti mwenje upfute kufanana nezvinoita parafini.
chibvirwo 	DDK 	7 	z 		chibvirwo DDK z 7 . chibviriro 7 .
chibvumirano 	D- 	7 	z 		chibvumirano D- z 7 . Chibvumirano kutenderana pachinhu chimwe chete. chirangano 7 .
chibvunuro 	DKKD 	7 	z 		chibvunuro DKKD z 7 . vhunurwa 5 .
chibwadaguro 	DKKKD 	7 	z 		chibwadaguro DKKKD z 7 . Uyu munhu anogaroputsa midziyo yomumba nokuda kokuregedzeka kwamaoko.
chibwanyo 	D- 	7 	z 		chibwanyo D- z 7 . chibwanyiso 7 .
chichiso 	KKD 	7 	z 		chichiso KKD z 7 . aini 9 .
chidaviramo 	DKKKK 	7 	z 		chidaviramo DKKKK z 7 . Uyu munhu anobvuma zvese zvese kuti agonzi akanaka.
chidembo 	D- 	7 	z 		chidembo D- z 7 . Chidembo chimhuka chakaenzana nekiti, chinobata mbeva chadzibudisira mweya wacho unonhuhwa kuti dzibude mumwena.
chidhauro 	DKKD 	7 	z 		chidhauro DKKD z 7 . Uyu munhu anorova zvakanyanya zvokukuvadza.
chidhekesero 	DKDDD 	7 	z 		chidhekesero DKDDD z 7 . Uyu muvharo wegaba kana bhureke.
chidhengesero 	DKKKK 	7 	z 		chidhengesero DKKKK z 7 . gwati 5 .
chidhindo 	D- 	7 	z 		chidhindo D- z 7 . Chidhindo chitsikiso chine mavara akavezwa pachiri, chinonyikwa muingi chotsimbirirwa pabepa kuti mavara abude.
chidhongo 	DDK 	7 	z 		chidhongo DDK z 7 . Chidhongo kaputwa kadiki kanenge kakaiswa pamusoro pekamwe kanhu. Kana uchiruka musoro unotanga waita chidhongo wozochibatanidza nezvimwe.
chidimburiso 	DKKKD 	7 	z 		chidimburiso DKKKD z 7 . Uyu mudziyo unosevenzeswa kucheka nokupfupisa zvinhu zvinenge zvakarebesa, chakaita sebanga, pinjisi, demo, chigero, nezvimwe zvakadaro.
chiduumiro 	DKKKD 	7 	z 		chiduumiro DKKKD z 7 . Uyu mudziyo wokurasira marara pamusha. chiduumiriro 7 .
chidyavohwo 	DKDK 	7 	z 		chidyavohwo DKDK z 7 . Uyu mugove unopiwa muridzi wedoro kana wechikafu chinenge chichigohwa. Paakauraya n'ombe akatora chidyavohwo chechiropa.
chidzayo 	D- 	7 	z 		chidzayo D- z 7 . chidza 7 .
chidzidziso 	DKKD 	7 	z 		chidzidziso DKKD z 7 . chidzidzo 7 .
chidzikatiro 	DKKKD 	7 	z 		chidzikatiro DKKKD z 7 . Ichi chinhu chinokutadzisa kuona.
chidziro 	D- 	7 	z 		chidziro D- z 7 . mudhuri 3 .
chidziviriro 	D- 	7 	z 		chidziviriro D- z 7 . Ichi chinhu chinoshandiswa kudzivirira munhu kubva kune zvimwe zvinhu zvingangogona kumukuvadza.
chidziviro 	D- 	7 	z 		chidziviro D- z 7 . chidzivo 7 .
chidzoto 	D- 	7 	z 		chidzoto D- z 7 . Chidzoto chimwanda chouswa chakasungwa negavi rimwe.
chidzvo 	DK 	7 	z 		chidzvo DK z 7 . chibodzwa 7 .
chiedzo 	D- 	7 	z 		chiedzo D- z 7 . Ichi chinhu chinokwezva munhu kuti aite zvinhu zvaanoziva kuti hazvina kufanira.
chienzaniso 	D- 	7 	z 		chienzaniso D- z 7 . chiero 7 .
chiereso 	D- 	7 	z 		chiereso D- z 7 . chipimo 7 .
chifambiramo 	DKKKK 	7 	z 		chifambiramo DKKKK z 7 . Kuita zvinhu zvausina ruzivo nazvo rwakakwana. mafambiramo 6 .
chifeturo 	DKKD 	7 	z 		chifeturo DKKD z 7 . Uyu mudziyo unoshandisira kukwenenzvera zvinoumbwa nevhu.
chififiro 	DKKD 	7 	z 		chififiro DKKD z 7 . Umu ndimo munogayiwa chikafu chinenge chadyiwa nehuku. chihururu 7, chikanganwahama 7 .
chifo 	DK 	7 	z 		chifo DK z 7 . Chifo kuita kwekurava pasina icho unonzwa.
chifokombo 	DDDK 	7 	z 		chifokombo DDDK z 7 . Iyi indiro yakakombera inowanzoisirwa muto.
chiforimbo 	DDKD 	7 	z 		chiforimbo DDKD z 7 . Uku kunyengedza pakutenga kana kutengesera. Ukajairira kuita chiforimbo rimwe zuva uchasungwa.
chifugo 	DKK 	7 	z 		chifugo DKK z 7 . Chifugo ndechekuvharidzira muviri, kunyanya pakuvata manheru.
chifundiso 	DKKD 	7 	z 		chifundiso DKKD z 7 . chidzidzo 7 .
chifurofuro 	DKKKK 	7 	z 		chifurofuro DKKKK z 7 . Iyi imhando yemurivo unoshandiswa sesipo, mushonga nekuuraya hove. Ukaisa chifurofuro mumvura hove dzinofa. chamutupatupa .
chifururo 	D- 	7 	z 		chifururo D- z 7 . Uyu munhu anonyanya kudisa kudya. berenzvere 5, mutare 3 .
chifuzho 	DKK 	7 	z 		chifuzho DKK z 7 . Chifuzho idoro rinopiwa vanobvisa chibarwe pachinenge chakafanochengeterwa kuti chigoiswa mudura. Vanhu vanwa chifuzho vakadhakwa.
chigadzo 	D- 	7 	z 		chigadzo D- z 7 . Chigadzo chinzvimbo chinovakirwa mumba, chinoiswa zvikomba pamusoro zvokugadzika hari kuti dzisadonha. chigadziko 7 .
chigamhiso 	D- 	7 	z 		chigamhiso D- z 7 . Ichi ndechinoshandiswa kubata zvinhu kuti zvisadonha kana kutsvedza. Isa chigamhiso kuti majanga asadonha pamutanhu.
chigariro 	DDKK 	7 	z 		chigariro DDKK z 7 . Uku kuva nemaitiro anozikanwa kuti ndiwo agara ari ako kwenguva refu. Chigariro chake kugara achibatsira vanotambudzika.
chigondero 	DKKD 	7 	z 		chigondero DKKD z 7 . Uyu munhu anoonekwa navanhu saiye mupari wemhosva nguva dzose.
chiguro 	DKK 	7 	z 		chiguro DKK z 7 . Chiguro mutongo unopiwa munhu panopera kutongwa mhosva.
chihodyo 	D- 	7 	z 		chihodyo D- z 7 . Chihodyo chitara chinovakirwa kuchengetera manhanga.
chiito 	D- 	7 	z 		chiito D- z 7 . Chiito izita rorudzi rwemazwi anoshandiswa kuratidza chinhu chinoitwa kana kuti chinoitika.
chikamuriso 	DKKKD 	7 	z 		chikamuriso DKKKD z 7 . Ichi chimudziyo chinoshandiswa kupangura zvinhu.
chikango 	DKK 	7 	z 		chikango DKK z 7 . Chikango kakari kadiki kokugochera nzungu.
chikatyamadzo 	DKKKD 	7 	z 		chikatyamadzo DKKKD z 7 . chishamiso7 .
chikogoro 	DKDK 	7 	z 		chikogoro DKDK z 7 . Uku kutsva nokunhuhwa kungaita sadza kana doro riri kubikwa.
chikohwiro 	DDKD 	7 	z 		chikohwiro DDKD z 7 . Uku kurira kunoitika uchifuridza mumukana, uri pakati pezvanza zvemaoko zviviri zvakabatanidzwa.
chikokoono 	D- 	7 	z 		chikokoono D- z 7 . Ichi chimuti kana chimwe chinhu chokukokova michero. chikokovo 7, ngovo 9, gokovonho 5 .
chikomborero 	DKKKD 	7 	z 		chikomborero DKKKD z 7 . Ichi chipo chakanaka chinopuwa munhu nomusiki, kana chinoitika kumunhu.
chikonono 	D- 	7 	z 		chikonono D- z 7 . Ichi chinono chinoitwa nomunhu anoita zvaatumwa iye asingadi.
chikoron'ozho 	DDDKD 	7 	z 		chikoron'ozho DDDKD z 7 . Ichi chinhu chine kunze kwakakasharara.
chikumbaridzo 	D- 	7 	z 		chikumbaridzo D- z 7 . chiguvare 7 .
chikumbiro 	DKKD 		z 		chikumbiro DKKD z . Aya mazwi anotaurwa nomunhu achida kuitirwa chimwe chinhu. mukumbiro 3 .
chikumo 	D- 	7 	z 		chikumo D- z 7 . Chikumo kapuka kadikidiki kanenge svosve, kanodya mukati memhodzi kana muti muchiora. chipfuto 7 .
chikundo 	DKD 	7 	z 		chikundo DKD z 7 . Chikundo kuita zvinhu zvisingadiwi navamwe uchishandisa chisimba. mukundo 3 .
chikupo 	D- 	7 	z 		chikupo D- z 7 . chimviriri 7 .
chikuuniso 	DKKKD 	7 	z 		chikuuniso DKKKD z 7 . Ichi chiitiko chinokonzera nyadzi nokufumuka.
chikuvauro 	D- 	7 	z 		chikuvauro chikwauro D- z 7 . chirovero 7 .
chikuwo 	DKK 	7 	z 		chikuwo DKK z 7 . Chikuwo ndechinoshandiswa mumutauro kuratidza kuti munhu akataura akakwidza izwi. Mbuya vakangoti, A!
chikwambo 	DKD 	7 	z 		chikwambo DKD z 7 . Chikwambo mishonga inoita kuti munhu atore upfumi hwavamwe, asi kazhinji mishonga iyi inozodzoka yonetsa muridzi wayo.
chikwapuro 	D- 	7 	z 		chikwapuro D- z 7 . Uyu munhu anonyatsogona kuita chimwe chinhu. Mukoma wake chikwapuro chechikoro.
chikwengo 	DKK 	7 	z 		chikwengo DKK z 7 . Chikwengo kasimbi kana karata kanoshandiswa pakubvisa tsvina pamidziyo yokubikira, zvikuru makoko.
chikwinyanguo 	D- 	7 	z 		chikwinyanguo D- z 7 . benzi 5 .
chimano 	DKK 	7 	z 		chimano DKK z 7 . Chimano chipanera kana mudziyo unoshandiswa kudzvanya simbi pakugadzira zvinhu.
chimbwamupengo 	DKDKK 	7 	z 		chimbwamupengo DKDKK z 7 . chigeven'a 7 .
chimhonzo 	DKK 	7 	z 		chimhonzo DKK z 7 . Chimhonzo nderumwe rudzi rwehove.
chimiso 	DKK 	7 	z 		chimiso DKK z 7 . Chimiso kadodzi kanoiswa pokupedzisira pomutsetse wanyorwa, kuratidza kuti ndipo panoperera chirevo.
chimukiro 	DDKK 	7 	z 		chimukiro DDKK z 7 . Kana munhu achiti chimukiro anenge achireva kuti kubvira nguva yaamuka. Handina chandadya chimukiro.
chimukombwiro 	DDDKD 	7 	z 		chimukombwiro DDDKD z 7 . Urwu rudzi rweshiri ine maziso matema. gwenhure 5, mugweture 3 .
chimwango 	D- 	7 	z 		chimwango D- z 7 . Chimwango ibadza diki rinenge rasara mushure mokunge rapera nekushandiswa.
chin'ono 	D- 	7 	z 		chin'ono D- z 7 . Ichi chibhururukwa chakaita senhunzi, chinoruma nokusveta ropa kunyanya pan'ombe.
chindadonyo 	DKDK 	7 	z 		chindadonyo DKDK z 7 . chindakwenya 7 .
chindoendawo 	DKKDK 	7 	z 		chindoendawo DKKDK z 7 . Uyu munhu anongotevera vanhu asinganyatsofunga kuti zvakakodzera here.
chinjikano 	KKKD 	9>10 	z 		chinjikano KKKD z 9>10 . chipiyaniso 7 .
chinokoro 	D- 	7 	z 		chinokoro D- z 7 . Uyu mudziyo unoshandiswa pakuchera zvinhu zvakaita seupfu kana munhu achibika.
chinongedzero 	DKKKD 	7 	z 		chinongedzero DKKKD z 7 . Ichi chinhu chinobatsira kutaridza pane chimwezve chinhu.
chinono 	DDK 	7 	z 		chinono DDK z 7 . Chinono itsika yokuita zvinhu zvichikutorera nguva yakarebesa.
chinyahwaiko 	DDDKD 	7 	z 		chinyahwaiko DDDKD z 7 . Iri izwi rinoshandiswa kubvunza zvinhu zvanetsa kunzwisisa. Chinyahwaiko chokuti haudi kuterera vabereki.
chinyeperano 	D- 	7 	z 		chinyeperano D- z 7 . Uku kutaurirana kwamunenge muchiita pamusoro peimwewo nyaya. chibhuyirano 7, nhaurirano 9 .
chiodzanzondo 	DDDDK 	7 	z 		chiodzanzondo DDDDK z 7 . Ichi chirwere chinoodza tsoka, chinobata zvipfuwo, kunyanya makwai.
chioko chegudo 	DKK DKD 	7 	z 		chioko chegudo DKK DKD z 7 . chioko chebveni 7 .
chiororo 	D- 	7 	z 		chiororo D- z 7 . Chiororo chinhu chinokukunda kana kukupfidzisa. Mhiri kwemakungwa kwakanaka zvako asi chando ndochiororo. Uyu munhu anonyatsa kugona zvaanenge ari kuita. Tinashe chioororo chechikoro.
chipako 	DKK 	7 	z 		chipako DKK z 7 . Chipako kudya kunenge kwaburwa kuri komunhu mumwe chete.
chipariso 	DKKD 	9 	z 		chipariso DKKD z 9 . chipfenuriso 7 .
chipfenuriso 	D- 	7 	z 		chipfenuriso chibvenyuriso D- z 7 . Uyu mudziyo wakapinza unoshandiswa pakupara kana pakuvhiya. chipariso 7 .
chipfuko 	D- 	7 	z 		chipfuko D- z 7 . Chipfuko ihari yevhu inoshandiswa kuchengetera mvura kana maheu kana hwahwa.
chipfundo 	DKK 	7 	z 		chipfundo DKK z 7 . Chipfundo ndepanobatana magodo maviri emarangwanda.
chipfunhaniso 	D- 	7 	z 		chipfunhaniso D- z 7 . Uyu mudziyo wokudiridzisa, unobudisa mvura yave madonhwe anoenda kure, asi asina simba.
chipfuto 	D- 	7 	z 		chipfuto D- z 7 . chipfukuto 7 .
chipfuwo 	DKK 	7 	z 		chipfuwo chipfuyo DKK z 7 . Chipfuwo imhuka inochengetwa pamusha yakaita semombe, hwai kana nguruve. Chipfuwo chakaita semombe chinobetsera mabasa pamusha.
chipiro 	DKK 	7 	z 		chipiro DKK z 7 . chipiriso .
chipo 	DK 	7 	z 		chipo DK z 7 . Chipo ndechese zvacho chinopiwa mumwe munhu asina kukumbira, uye asingatengeserwi. Ndakapiwa mabhuku nomudzidzisi sechipo. chipiwa 7 . Chipo chikomborero kana tarenda rinopiwa munhu rokugona kuita zvinotadzwa nevamwe. Mwana wangu ane chipo chokuveza migwaku. chipiwa 7 .
chiponeso 	DKKD 	7 	z 		chiponeso DKKD z 7 . Chiponeso imhindupindu yokurarama nayo. Vazhinji vanotengesa mazai kuti vawane chiponeso. ndaramo 9 .
chipukutiso 	D- 	7 	z 		chipukutiso D- z 7 . Ichi chinhu chinhu chese zvacho chinoshandiswa pakupukuta. chikorobho 7 .
chipuriro 	DKKD 	7 	z 		chipuriro DKKD z 7 . Iyi inzvimbo inopurirwa zviyo, inowanza kuva paruware. Hundi inosara pachipuriro, musvo uchiiswa mudura. bondero 5 .
