kudya 	DK 	15 	z 		kudya DK z 15 . Kudya chinhu chese chinoiswa mudumbu, chinovaka muviri, chichipa upenyu nokupedza nzara. zvokudya 8, chikafu 7 .
kumazivandadzoka 	DDKKKDK 	17 	z 		kumazivandadzoka DDKKKDK z 17 . Uku ndekuya kunonzi munhu akaendako haazodzoki, adyiwa nezvikara kana kungokurirwa nezveko. Kare kumaguta kwainzi kumazivandadzoka nokuti vazhinji vairoverako, vatokanganwa kumusha nokuda kwezvikonzero zvakasiyana-siyana.
kumusoro 	DDKK 	17 	z 		kumusoro DDKK z 17 . Kumusoro kudenga kana kuti kurutivi rwuri kwakakwirira. Kumosoro kudivi renyika kwakatarisa kumaodzanyemba.
kunhu 	D- 	17 	z 		kunhu D- z 17 . nzvimbo 9 .
kunyasi 	DDK 	17 	z 		kunyasi DDK z 17 . nyasi 17a .
kunze 	DK 	17 	z 		kunze DK z 17 . Kunze ndiyo nyika yose nezvakaititenderedza pasi patinenge tigere. Nhasi kunze kwakaipirwa nemhepo nechando. Iri izwi rinosevenzeswa kutaridza anenge achisiyiwa pane zvinenge zvichitaurwa. Vamwe vese vanenge varipo pamba, kunze kwangu ini ndiri kuenda kuMhondoro. -siya, -banzi .
kunze kunze 	DK KD 	17 	z 		kunze kunze DK KD z 17 . Kunze kunze kunhu kunenge kuri kurekure nepanenge pachitaurwa. Pandakagerwa musoro, ambuya vangu vakandiudza kuti ndirasire vhudzi rangu kunze kunze, kwarisingaonekwi nevaroyi.
kure 	D- 	17 	z 		kure D- z 17 . Kure inzvimbo inenge isiri padyo nepaunenge uri. Tinoenda kuchikoro nebhazi nokuti kure.
kure kure 	D- 	17 	z 		kure kure D- z 17 . Kure kure kunhu kunenge kuine mufambo mukuru chaizvo kubva pane munhu anenge achitaura.
kusi 	DK 	17 	z 		kusi DK z 17 . Kusi pasi pechimwe chinhu chinogona kunge chakakutsimbirira. Vekuchipatara vanoti ivo murwere wekutsikwa nemota uya akazofira kusi kwehope. kutsi . Kusi izwi rinoshandiswa kureva nhengo dzemunhukadzi kana munhurume dziri panyasi pavo, dzinonyadzisa kudzitaura.
kusweramangwana 	DDDDKK 	17 	z 		kusweramangwana DDDDKK z 17 . Kusweramangwana izuva rinotevera ramangwana.
kutsi 	D- 	17 	z 		kutsi D- z 17 . kusi .
kuuzuru 	D- 	17 	z 		kuuzuru D- z 17 . kumusoro 17 .
kuzasi 	DDK 	17 	z 		kuzasi DDK z 17 . zasi 17 .
kuzhe 	DK 	17 	z 		kuzhe DK z 17 . kunze 17 .
mukati 	DDK 	18 	z 		mukati DDK z 18 . Mukati inzvimbo inenge yakakomberedzwa kana kuvhariwa. Kazhinji usiku vanhu vanorara mukati memba.
mumashure 	DDKD 	18 	z 		mumashure DDKD z 18 . shure 17a .
mushure 	DKD 	18 	z 		mushure DKD z 18 . shure 17a .
