Agasiti 	KDDD 	1a 	z 		Agasiti KDDD z 1a . Iri izita romwedzi wechisere pamwedzi gumi nemiviri yegore. Nyamavhuvhu 1a .
bhobhojani 	DDKD 	5 	z 		bhobhojani DDKD z 5 . Ichi chipanera chinofambiswa kuti chishame zvakaenzana nepaunoda kubata.
bhodhin'i 	KDD 	5/9>6 	z 		bhodhin'i KDD z 5/9>6 . bhodhingi 5/9 .
bhogadhi 	KDD 	9>10/6 	z 		bhogadhi KDD z 9>10/6 . Bhoghadhi rudzi rwebhurukwe resatani.
bhokiseni 	KKDD 	5 	z 		bhokiseni KKDD z 5 . Uyu mutambo wevanhu vaviri vanenge vachirovana nezvibhakera vakapfeka magirovhisi.
bhotai 	KDD 	9>10/6 	z 		bhotai KDD z 9>10/6 . Bhotai rudzi rwetai isingaremberi kudumbu yakagadzirwa nomucheka ichigara pabhatani rokumusoro rehembe.
bhudhiri 	D- 		ny 		bhudhiri D- ny . Kuti bhidhiri kukunguruka kwezvinhu zvinorema.
bhurauzi 	DKDD 	5 	z 		bhurauzi DKDD z 5 . Bhurauzi ihembe yechikadzi inogumira muchiuno, inopfekwa nesiketi.
bhururaiti 	KKKDD 	5 	z 		bhururaiti KKKDD z 5 . Iri irambi repabhasikoro rinopfuta kana bhasikoro richifamba.
bhutisi 	KD 	5 	z 		bhutisi KD z 5 . Bhutisi chipfeko chemwana chemutsoka cheshinda.
bi 	D 		ny 		bi D ny . Kuti bi kudonha kwechinhu zvine mutsindo sezvinoita damba.
bi bi bi 	D- 		ny 		bi bi bi D- ny . Kuti bi bi bi kumhanya kwemunhu ane muviri mukuru.
bidiri 	D- 		ny 		bidiri D- ny . Kuti bidiri kudonha kwechinhu chobva chaumburuka chichizara tsvina.
bidiri bidiri 	D- 		ny 		bidiri bidiri D- ny . Kuti bidiri bidiri kumhanya zvine mutsindo, kunyanya zvinoitwa nebhiza. gagachi gagachi .
bimbi 	K- 	5 	z 		bimbi K- z 5 . Bimbi urefu hwemucheka unenge wachekwa.
bimbiri 	K- 	5 	z 		bimbiri K- z 5 . Bimbiri kunyepedzera kurwa kwevana vari kutamba. Endai munoitira bimbiri renyu kure, muri kutizadza guruva.
bimhimhi 	DKD 	5 	z 		bimhimhi DKD z 5 . Bimhimhi kurova nezvibhakera. Murume akaita bimhimhi kurova mukadzi wake.
bindi 	KD 		ny 		bindi KD ny . Kuti bindi kugadziridza hembe kana kuti kugadziridza magariro kuitira kuti munhu aratidzike zvakanaka.
bingi 	D- 		ny 		bingi D- ny . Kana munhu achiita bingi anenge achibvunza mibvunzo yakadzama.
binyi 	K- 	5 	z 		binyi bini K- z 5 . Binyi idanda rakakorera rakareberera.
bipi 	K- 	5 	z 		bipi pipi K- z 5 . Bipi chiitiko chinoshamisa. makundano 6 .
bipwi 	DK 	5 	z 		bipwi DK z 5 . bwipwi 5 .
biripiri 	D- 	5 	z 		biripiri D- z 5 . gwirikwiti 5 . Apa ndepakakoromoka peruware. mawere 6 . Iri idutu guru rejecha kana rembesa dzakaita semhunga.
biripiti 	K- 	5 	z 		biripiti K- z 5 . Iri igomba rine mativi akatwasuka. rupanana 5 .
biti 	K- 	5 	z 		biti K- z 5 . Biti hwahwa hwunotapira hwusingadhakisi.
bodzi 	KD 	9 	z 		bodzi KD z 9 . Bodzi chinhu chimwe chete kana chinhu chinoitika kamwe chete. Gore rino rese akaendako kabodzi. motsi 9, potsi 9 .
boi boi 	KD+ 		ny 		boi boi KD+ ny . Kuti boi boi kubwaira maziso nokukasika. Taona maziso kuti boi boi tikaziva kuti achiri mupenyu.
bokoshindi 	DDKK 	5 	z 		bokoshindi DDKK z 5 . Iyi imhomho yevanhu vakawanda vanenge vachiita basa zvisina kunyatsoona kuti zviri kufamba sei, nekuti vanenge vachingoti uyu aita zvake, auya aita zvake.
bonganyuchi 	DDKK 	5 	z 		bonganyuchi DDKK z 5 . Iyi ishiri inodya nyuchi.
botedzi 	KKD 	5 	z 		botedzi KKD z 5 . Botedzi munhu anosvikirwa nemudzimu. Botedzi munhu asingagari pasi anongoita basa rokufamba.
bumbururwi 	KKDK 	5 	z 		bumbururwi KKDK z 5 . Iyi imhuka yemusango yakafanana nembwa.
bumhi 	DK 	5 	z 		bumhi DK z 5 . Bumhi imhuka yomusango, yakafanana nembwa, inogara mumapako. mhumhi 9 .
bumhuri 	D- 	5 	z 		bumhuri D- z 5 . Bumhuri muti upi zvawo uchiri mudiki.
bungumupinyi 	KKDKK 	5 	z 		bungumupinyi KKDKK z 5 . bungumupe-e 5 .
bunzvi 	K- 	5 	z 		bunzvi K- z 5 . Bunzvi uswa hwakarukwa hunogadziriswa chireyi chinonzi sandanga.
bureteutsi 	DKKDK 	5 	z 		bureteutsi DKKDK z 5 . Uku kutamba kana kudzana zvinobudisa huruva. buruutsi 5 .
buri 	KD 		ny 		buri KD ny . Kana munhu ati buri anenge abva pavanhu achikasika.
buzvi 	K- 	5 	z 		buzvi K- z 5 . Buzvi rudzi rwetsanga hombe yemurwizi isina mwena pakati.
bvavi 	KD 	5 	z 		bvavi KD z 5 . bvauti 5 .
bvavisi 	KKD 	5 	z 		bvavisi KKD z 5 . bvauti 5 .
bvi 	D 		ny 		bvi D ny . Kuti bvi kupfekera chinhu pane chimwe kana kuti mukati mechimwe chinhu.
bvi 	K 	5 	z 		bvi K z 5 . ibvi 5 .
bvirinyinyi 	D- 	5 	z 		bvirinyinyi D- z 5 . Aya mambava emhuka kana shiri anenge akapfava.
bvoripfori 	DKDD 	5 	z 		bvoripfori DKDD z 5 . bvopfopfo 5 .
bvumbanyuchi 	DDKK 	5 	z 		bvumbanyuchi DDKK z 5 . Uyu muchero unobereka tuvana tudikidiki twune muto unotsvukisa rurimi. chimande 7, murungamunyu 3, musambaramabwabwa 3 .
bvumbi 	DK 	9>10 	z 		bvumbi DK z 9>10 . Bvumbi inyoka yakasvibira yakafanana nechiva ine uturu chaizvo.
bwai 	DK 	5 	z 		bwai DK z 5 . Ma bwai inzungu kana magwere anenge asati anyatsosvika zvakakwana. bwati 5, ibu 5, rwezu 5 .
bwairani 	DKKK 	5 	z 		bwairani DKKK z 5 . Bwairani kamwana kemhashu. uyani 14 .
bwandi 	KD 		ny 		bwandi KD ny . Kuti bwandi kugadzira hembe dzaunenge wakapfeka kana wava kunogara pasi kuti dzisaonesa zviri mukati.
bwatipwati 	KKKD 	5 	z 		bwatipwati KKKD z 5 . Iyi inzungu inenge isina vana mukati. bobo 5 .
bweni 	D- 	14 	z 		bweni D- z 14 . Bweni kuva mutsva kana mushanyi panzvimbo. Rega ndiende kumba kwangu, ndine bweni. hweni 14 .
bwibwi 	DK 		ny 		bwibwi DK ny . Kana chinhu chakati bwibwi chinenge chakazvimba zvakanyanyisa. Paakarohwa chibhakera paziso, rakabva rati bwibwi kuzvimba.
bwindi 	KD 		ny 		bwindi KD ny . Kuti bwindi kupunzika uchinorovera nokumeso. nyondo .
bwipwi 	D- 	5 	z 		bwipwi D- z 5 . Bwipwi mwana weshiri asati agona kunyatsobhururuka. n'yana 5, nyana 5, bipwi .
bwititi 	K- 		ny 		bwititi K- ny . Kuti bwititi kufamba kwevanhu vakawanda vari muboka, vachienda kwakasiyana-siyana kana kuti vachiita zhowezha.
bwititi 	K- 	5 	z 		bwititi K- z 5 . Bwititi munhu akapusa anoratidza kusaziva zvaari kuita. Bwititi kuita chinhu nemwoyo wose. bishi 5 .
chaamai 	KDKD 	7 	z 		chaamai KDKD z 7 . Iri izwi rinoshandiswa kutaura kuti amai vomumwe vakaita, kana kuti vakaitirwa, zvinonyadzisa.
chabwi chabwi 	DK+ 		ny 		chabwi chabwi DK+ ny . Kuti chabwi chabwi kufamba kwemunhu mumvura isina kudzika kana mumachakwi. Takazongonzwa yava chabwi chabwi makumbo atsika mvura, tisingaoni murima.
chachari chachari 	DDK+ 		ny 		chachari chachari DDK+ ny . Kana uchiti chachari chachari unenge uchitsika-tsika pasi zvine simba, sezvinoita anenge achitamba. Zvidhakwa zvaitamba ngoma zvichiti chachari chachari sezvichatsemura imba.
chagwindi 	D- 	7 	z 		chagwindi D- z 7 . gwindi 5 .
chahwihwi 	D- 	7 	z 		chahwihwi D- z 7 . Chahwihwi kuvhiringika kwepfungwa dzemunhu kwenguva duku kunokonzera kuti aone zvinhu zvakapidiguka. Ndakaita chahwihwi ndavharwa mbama kumeso ndisingaoni.
chai chai 	D- 		ny 		chai chai D- ny . Kuti chai chai kushambira sezvinoita hove dziri mudziva.
chakapiti 	DDKK 		ny 		chakapiti DDKK ny . Kuti chakapiti kutora chinhu pamwe nokuchisimudza.
chakweshapasi 	DKKKK 	7 	z 		chakweshapasi DKKKK z 7 . chakweshadombo 7 .
chakwindi 	DKD 	7 	z 		chakwindi DKD z 7 . chahuvhe 7 .
chamagotsi 	DKDD 	7 	z 		chamagotsi DKDD z 7 . Uku kufamba uchienda kudivi rawakafuratira. Mutambo wechamagotsi haubvumirwi pamahombekombe edziva. manhendeshure 6, madududu 6 .
chamandiriri 	KDKKK 	1a 	z 		chamandiriri KDKKK z 1a . Uyu munhu anorwa chaizvo uye anonetsa kukurira.
chamudididi 	KKKDD 	7 	z 		chamudididi KKKDD z 7 . Uku kumhanya chaizvo asi munhu achiita zvinhambwe zvipfupipfupi.
chamumhupuri 	KDKKK 	7 	z 		chamumhupuri KDKKK z 7 . Iyi imhepo inovhuvhuta ichitenderera zvine simba. chamupupuri 7 .
chamupidigori 	KDKKDK 	7 	z 		chamupidigori KDKKDK z 7 . Uku kuisa makumbo mudenga musoro uri pasi.
chamupwititi 	KDKKK 	7 	z 		chamupwititi KDKKK z 7 . Iri iguruva rinosimudzwa nokutamba kwavanhu kana kurwa kwemombe. mhwititi 9 .
chamutumbwi-mutumbwi 	KKDKDDK 	7 	z 		chamutumbwi-mutumbwi KKDKDDK z 7 . Uku kudhidha mumvura uchiti ukanyudza muviri wose wombobudisa musoro.
chani 	DK 	7 	z 		chani DK z 7 . Chani ibundo kana mashizha anovhara nzira yaisimbofambwa.
chapwati 	KKD 		ny 		chapwati KKD ny . chapwa .
chapwititi 	DKKK 	7 	z 		chapwititi DKKK z 7 . Iri iguruva kana chiutsi chakawanda chaizvo chinenge chichikwira mudenga.
chari 	KD 	7/9>10 	z 		chari KD z 7/9>10 . Chari mucheka wakarukwa neshinda dzakakora, unoshandiswa kuputira vana vadiki kuti vasapindwa nechando, kana kufukidza mapendekete emadzimai kana kumonera muchiuno.
checheni 	KKD 	9>10 	z 		checheni KKD z 9>10 . Checheni muchero womuti womuchecheni unotsvukuruka pakuibva. chachani 9 .
cheki 	KD 	9>10/6 	z 		cheki KD z 9>10/6 . Cheki chipepa chinonyorwa zita remunhu uye uwandu hwemari yaanofanirwa kupiwa kubhangi kana kune dzimwe nzvimbo dzokuchinjira mari.
chemberebwaibwai 	DDDKDKD 	9>10 	z 		chemberebwaibwai DDDKDKD z 9>10 . Iyi imhando yemuti usinganyanyi kureba kuenda mudenga.
cheni 	KD 	9>10 	z 		cheni KD z 9>10 . Cheni muronga wezvisimbi zvakakochekerana zvakabatanidzwa kuita rundaza. Cheni ndiyo inofambisa vhiri rebhasikoro. ngetani 9 .
chenji 	KD 	9>10 	z 		chenji chinji KD z 9>10 . Chenji imari yaunodzorerwa pabviswa yomutengo wechaunotenga.
chi chi chi 	D- 		ny 		chi chi chi D- ny . Kuti chi chi chi kumira kungaitwa navanhu vose vakatarisa chinhu chimwe chete. Vana vechikoro vakanga vati chi chi chi vakatarisa mota dzakanga dzabonderana.
chibabamunonzwei 	DDKDKDK 	7 	z 		chibabamunonzwei DDKDKDK z 7 . Iri ibhachi rakasimba chaizvo zvokuti rinodziya uye risingakasiki kupinda mvura.
chibatabishi 	DKKDK 	7 	z 		chibatabishi DKKDK z 7 . Iri ibasa rinorema kuitwa. bwanyanhekwe 5 .
chibhobhiri 	DKDD 	7 	z 		chibhobhiri DKDD z 7 . chivhimbo 7 .
chibibi 	D- 	7 	z 		chibibi D- z 7 . Chibibi munhu akaremara makumbo. Ndayamura chibibi kukwira bhazi.
chibingamupinyi 	DKKDKK 	7 	z 		chibingamupinyi DKKDKK z 7 . chipingamupinyi 7 .
chiboniboni 	DKKKK 	7 	z 		chiboniboni DKKKK z 7 . chionioni 7 .
chiboori 	D- 	7 	z 		chiboori D- z 7 . Uyu mudziyo unoshandisa magetsi, une simbi mberi, unoshandiswa kuboora mabwe kana simbi.
chibvindiri-bvindiri 	DKKKDDD 	7 	z 		chibvindiri-bvindiri DKKKDDD z 7 . Uku kuva noushamwari, vanhu vachifamba vose.
chibvukuti 	DKKK 	7 	z 		chibvukuti DKKK z 7 . mugaragunguo 3 .
chibwindikiti 	D- 	7 	z 		chibwindikiti D- z 7 . Uyu mwana akasimba, ane utano hwakanaka. chivhindikiti 7 .
chichaichai 	D- 	7 	z 		chichaichai D- z 7 . Uku kubata chibharo mwana mudiki asati oenda kumwedzi.
chichi 	D- 	5 	z 		chichi D- z 5 . mhete 9 .
chichichi 	D- 		ny 		chichichi D- ny . Kana vanhu vachinzi vakati chichichi vanenge vakamira vakawanda vakatarisa chinhu chimwe.
chidapakati 	DKKDK 	7 	z 		chidapakati DKKDK z 7 . mudapakati 3 .
chidhokwani 	DDKK 	7 	z 		chidhokwani DDKK z 7 . chidhoma 7 .
chidhukwani 	DDKK 	7 	z 		chidhukwani DDKK z 7 . chidhoma 7 .
chidhuri 	DDK 	7 	z 		chidhuri DDK z 7 . mudhuri 3 .
chidigi 	KKD 		ny 		chidigi KKD ny . Kuti chidigi kuisa munyu wakawandisa muusavi.
chidokohori 	DKKKD 	7 	z 		chidokohori DKKKD z 7 . Idzi inzungu dzakadzvurwa muduri, dzekugadzirisa dovi.
chidyamadari 	DKKDK 	7 	z 		chidyamadari DKKDK z 7 . Iyi imhando yeshiri inomhara pamusana wemhuka yakaita semombe, ichitsotsonya nekudya tupuka twakaita semagupa kana nhata dzinenge dziri mumvere dzemhuka yacho.
chidzimai 	DDKK 	7 	z 		chidzimai DDKK z 7 . Uku kuita maitire anotarisirwa madzimai.
chifakawi 	DKKK 	7 	z 		chifakawi DKKK z 7 . Urwu rudzi rwechikwenzi chine mapazi akawanda, chisina hunde hombe. chinama 7, chitunguru 7 .
chifumi 	DKK 	7 	z 		chifumi DKK z 7 . Chifumi mangwanani-ngwanani zuva roda kubuda, pazuva rinenge richizotevera. Chifumi izuva rinenge richizotevera rimwe racho rinenge riri kutaurwa nezvaro.
chifundi 	DDK 	7 	z 		chifundi DDK z 7 . Chifundi imvura inobuda mumuviri kana munhu anyanya kupiswa kana kuti asevenzesa muviri wake zvine simba. dikita 5 .
chigidi 	K- 		ny 		chigidi K- ny . Kuti chigidi kuwanza munyu muusavi kana mafuta kumeso. puvu, chinginjingi .
chigidirigidiri 	D- 	7 	z 		chigidirigidiri D- z 7 . chidigidigi 7 .
chigwiri 	D- 	7 	z 		chigwiri D- z 7 . Chigwiri munhu ane mari zhinji kana kuti akapfuma. gwiri 5, njonda 9, huzvu 9 .
chihuduri 	DKKK 	7 	z 		chihuduri DKKK z 7 . Uyu munhu mupfupi mukobvu.
chihwai 	D- 	7 	z 		chihwai D- z 7 . Chihwai rudzi rwemhunga ine ruvara rwakajeka.
chihwindikwindi 	D- 	7 	z 		chihwindikwindi D- z 7 . chivhindikiti 7 .
chihwitsi 	DKD 	7 	z 		chihwitsi DKD z 7 . Chihwitsi kagodo kezvimwe zvakasanganiswa neshuga kanowanzodyiwa munhu achiita zvokumunyungira.
chii 	D- 		bvunz 		chii D- bvunz . Iri izwi rinoshandiswa mumubvunzo, kazhinji uchida kuziva kuti chiri kutaurwa nezvacho chakamira sei. Wati chii nenyaya iya? Chii ichocho chawakabata?
chikangiri 	DKDD 	7 	z 		chikangiri DKDD z 7 . Ichi chirwere chinokonzera imbwa kupenga. chimbwamupengo 7 .
chiki 	KD 	9 	z 		chiki KD z 9 . Kanha munhu achinzi ane chiki anenge achitaura mazwi ane ukasha kana kuti okutsvinya nguva dzose.
chikochikari 	DKDDD 	7 	z 		chikochikari DKDDD z 7 . Uyu mudziyo une mavhiri maviri, unodhonzwa nen'ombe, kazhinji unoshandiswa kutakura zvinhu. kochikari 9, ngoro 9 .
chikokotamugoti 	DKKKDKD 	7 	z 		chikokotamugoti DKKKDKD z 7 . Uyu munwe wechipiri tichibva pachimunwe chikobvukobvu unoshandiswa pakutendeka. munongedzo 3 .
chikonzi 	DKD 	7 	z 		chikonzi DKD z 7 . Chikonzi munhu anotumwa nevematare kuzotaurira munhu zvaanenge ari kutarisirwa kuti azoita kana kuzomusunga.
chikororodzi 	DKKKD 	7 	z 		chikororodzi DKKKD z 7 . Ichi chipuka chitema chakafanana negurwe, chinowanikwa pane mvura. chikokorodzi 7, chikororo 7, chikudyu 7 .
chikotsikotsi 	D- 	7 	z 		chikotsikotsi D- z 7 . Iyi inzvimbo iri pazasi pedehenya nechepamusoro pomutsipa. gotsi 5 .
chikunguo musori 	DKKD DDK 	7 	z 		chikunguo musori DKKD DDK z 7 . chikunguwobaya 7 .
chikururamabhachi 	DKKKDKD 	7 	z 		chikururamabhachi DKKKDKD z 7 . Iri idoro rinombonwiwa vanhu vasati vatanga basa pahumwe kana kuti panhimbe. chikumura 7 .
chikwereti 	DKDD 	7 	z 		chikwereti DKDD z 7 . Iyi imari inopiwa munhu kuti ambofana kushandisa agozodzosera kana aiwana.
chimanzi 	DDK 	7 	z 		chimanzi DDK z 7 . Urwu rudzi rwenyoka. chindaramembwe 7 .
chimbichimbi 	KKKD 	9 	z 		chimbichimbi KKKD z 9 . Uku kuita chinhu nokukurumidza. chopuchopu 9 .
chimbuzi 	D- 	7 	z 		chimbuzi D- z 7 . Chimbuzi imba yakagadzirirwa kuitirwa tsvina navanhu.
chimhingamupinyi 	DKKDKK 	7 	z 		chimhingamupinyi chipingamupinyi DKKDKK z 7 . Ichi chiitiko chinovhiringidza munhu pane zvaanenge akaronga.
chimini 	KDD 	9>10 	z 		chimini KDD z 9>10 . Chimini ndepakagadzirirwa kuti pagobuda neutsi mumba.
chimvari 	DKD 	7 	z 		chimvari DKD z 7 . Chimvari ndechimwe chezvinodauka zvichidonha kana munhu achitema muti.
Chimwenyi 	DDK 	7 	z 		Chimwenyi DDK z 7 . Uku kuita kwavanhu vanotendera muna mwari anonzi Allah.
chin'ai 	D- 	7 	z 		chin'ai D- z 7 . Chin'ai kusviba kunoita denga reimba nokuda kweutsi hwava nenguva refu huchipwititikamo.
chinanazi 	DKDK 	7 	z 		chinanazi DKDK z 7 . Uyu muchero une minzwa, une dzinde rinenge gavakava.
chindarimani 	DDKDD 	7 	z 		chindarimani DDKDD z 7 . Ichi chirwere chinoti kana chikabata imbwa inogara ichingogwinha muviri wayo.
chindori 	DDK 	7 	z 		chindori DDK z 7 . gongo 5 .
chinembiri 	DKDD 	7 	z 		chinembiri DKDD z 7 . Uyu munhu anozivikanwa chaizvo pamusana pezvinhu zvakanaka.
chingezi 	D- 	1a 	z 		chingezi D- z 1a . Chingezi mutauro netsika dzechirungu. Chirungu 1a, chirumbi 1a .
chingwingwi 	D- 	7 	z 		chingwingwi D- z 7 . Uyu munhu anenge aine mamvere akawanda pamuviri.
chinhoi 	DKD 	7 	z 		chinhoi DKD z 7 . Aka kambuyu kanofamba kachibudisa moto manheru.
chinji 	KD 	9>10 	z 		chinji KD z 9>10 . Chinji inhumbi dzokupfeka kana wabvisa dzaunenge wambopfeka. Chinji imari yaunodzoserwa kana wambotenga neyakakura kudarika mutengo wechaunoda.
chinjinji 	K- 		ny 		chinjinji K- ny . Kuti chinjinji kumira kwematanda kana zvimwewo zvakaomarara, zvakatarisa mudenga. chinjiri .
chinjiri 	K- 		ny 		chinjiri K- ny . chinjinji .
chinjiziri 	D_ 		ny 		chinjiziri D_ ny . Kuti chinjiziri kuzvimbirira kunotandira, asi kwakatetepera kuchitevedza musana wemhuka.
chinzvinzvi 	D- 	7 	z 		chinzvinzvi D- z 7 . Chinzvinzvi ndezvekudya zvinenge zvisati zvanyatsa kugayiwa.
chionioni 	DKKKK 	7 	z 		chionioni DKKKK z 7 . chiringiriro 7 .
chipambureki 	DKDDD 	7 	z 		chipambureki DKDDD z 7 . Apa panzvimbo pokuzororera kana muri parwendo makasunga mombe pangoro. Iyi inzvimbo isiri yanhingi yokuti chero munhu wese anokwanisa kungoendawo paanodira.
chipandi 	D- 	7 	z 		chipandi D- z 7 . Chipandi chidimbu chidiki chinenge chatsemurwa padanda kana pamwewo pakadaro.
chipanji 	DKD 	7 	z 		chipanji DKD z 7 . Chipanji chimwana chomuti unotanda, chine maburi maburi, chinowanzoshandiswa pakugezesa chaoma.
chipendani 	DKDD 	7 	z 		chipendani DKDD z 7 . Ichi chiridzwa chine danda rakakombamiswa ndokusungwa nechikashu kana waya, chinoridzwa nokukwenya waya iyoyi kune rimwe divi kokupedzisira kuri mumuromo.
chipenzi 	DKK 	7 	z 		chipenzi DKK z 7 . Chipenzi mushonga wokubvisa ndebvu unoshandiswa navanhu verudzi rwechiChangani.
chipfarivari 	D- 	7 	z 		chipfarivari D- z 7 . Aka kamoto kane kamvari, kanenge kachimhanya mumhepo kachibva panenge parovana matombo.
chipfichi 	D- 	7 	z 		chipfichi D- z 7 . Chipfichi munhuwi unokachidza.
chipikiri 	DKDK 	7 	z 		chipikiri DKDK z 7 . Ichi chisimbi chakaomarara, chino muromo unopinza, chinowanzoshandiswa kuroverera mapuranga kana matanda kuti abatane. Mota ikabayiwa nechipikiri inoponja.
chipingamupinyi 	DKKDKK 	7 	z 		chipingamupinyi DKKDKK z 7 . Ichi chiitiko kana chinetso chinokanganisa zvanga zvakarongwa kana kuti zvinotarisirwa. mhingamupinyi 9, mhingidzo 9, chikoneso 7, chidzivaidzo 7 .
chipisi 	D- 	9>10 	z 		chipisi D- z 9>10 . Chipisi mutambiro wokufambisa muchiuno munhu achimbotenderera. Takaswerotamba chipisi pamabiko egore idzva.
chipitipiti 	D- 	7 	z 		chipitipiti D- z 7 . Uku kupinda nokukasira muchinhu chimwe chete kwezvinhu zvakawanda. Chakave chipitipiti kupinda mumba mvura yonaya panhimbe. pindepinde 9 .
