ba 	D 		ny 		ba D ny . Kuti ba kukaruka waona zvawanga usingafungiri. Pandakangoti ba kuona bhinya, ndakamhanya kunge ndichadambura gumbo.
bhumu 	KD 		ny 		bhumu KD ny . Kuti bhumu kudeuka kwezvinhu mushure mokunge munhu aputsa mudziyo wazvanga zviri.
bhurukutu bhurukutu 	D- 		ny 		bhurukutu bhurukutu D- ny . Kuti bhurukutu bhurukutu kufamba kunoratidza kuneta.
bi 	D 		ny 		bi D ny . Kuti bi kudonha kwechinhu zvine mutsindo sezvinoita damba.
bi bi bi 	D- 		ny 		bi bi bi D- ny . Kuti bi bi bi kumhanya kwemunhu ane muviri mukuru.
bibinu 	D- 		ny 		bibinu D- ny . Kuti bibinu kubuda kwezvinhu zvakawanda pamwe chete kubva mazvanga zviri. Pakapera musangano vanhu vakati bibinu kubuda munhandare.
bida bida 	KD+ 		ny 		bida bida KD+ ny . Kana munhu achifamba achiti bida bida anenge achifambisa hudyu kumativi nokukurumidza.
bidiri 	D- 		ny 		bidiri D- ny . Kuti bidiri kudonha kwechinhu chobva chaumburuka chichizara tsvina.
bidiri bidiri 	D- 		ny 		bidiri bidiri D- ny . Kuti bidiri bidiri kumhanya zvine mutsindo, kunyanya zvinoitwa nebhiza. gagachi gagachi .
bidyu 	KD 		ny 		bidyu KD ny . Kuti bidyu kusimudza nekutakura chinhu chinorema. Amai vakati bidyu saga rechibage ndokunanga kuchigayo. mhidzu .
biku 	KD 		ny 		biku KD ny . Kuti biku kubvuta chinhu chinoti remei.
bindi 	KD 		ny 		bindi KD ny . Kuti bindi kugadziridza hembe kana kuti kugadziridza magariro kuitira kuti munhu aratidzike zvakanaka.
bindu 	KD 		ny 		bindu KD ny . Kuti bindu kutsvaga chinhu nesimba uye neshungu.
bingi 	D- 		ny 		bingi D- ny . Kana munhu achiita bingi anenge achibvunza mibvunzo yakadzama.
bizu 	D- 		ny 		bizu D- ny . Kuti bizu kuita basa rinoshandiswa simba rakawanda.
bo bo bo 	D- 		ny 		bo bo bo D- ny . Kuti bo bo bo kuuchira maoko sezvinoita mukuwasha kuna ambuya.
bo bo bo 	K- 		ny 		bo bo bo K- ny . Kuti bo bo bo kuramba wakavhara muromo.
bobo 	DK 		ny 		bobo dodo DK ny . Kuti bobo kudonha kwemadonhwe emvura achibva pakakwirira.
bobobo 	K- 		ny 		bobobo K- ny . Kuti bobobo kuvhara maziso sezvinoita munhu ava kurara.
boche 	D- 		ny 		boche D- ny . Kuti boche kugamuchira zvaunenge uchipihwa uchiratidza kusatenda. Kuti boche kuuya pamwe chete kwevanhu vakawanda. unga unga .
boche-e 	KD 		ny 		boche-e KD ny . Kuti boche-e kunyenyeredza pane vanhu kuti vasakuone. Akati boche-e neseri kwedanga kuti asaonekwa nevaiva pachivanze.
boi boi 	KD+ 		ny 		boi boi KD+ ny . Kuti boi boi kubwaira maziso nokukasika. Taona maziso kuti boi boi tikaziva kuti achiri mupenyu.
bondokoto 	D- 		ny 		bondokoto D- ny . Kuti bondokoto kugara kwemunhu anenge asina, kana kuti asingazivi zvekuita.
bongo 	KD 		ny 		bongo KD ny . Kuti bongo kupanga chokudya kana kunwa.
bongozozo 	D- 		ny 		bongozozo D- ny . Kuti bongozozo kugara munhu achitaridza kutambudzika.
bonho 	KD 		ny 		bonho KD ny . Kuti bonho kurova nekusvuura ganda pamuti. Aingunoti muti bonho achikanda makanda acho pasi.
bono 	KD 		ny 		bono KD ny . Kuti bono kubwaira maziso komunhu apererwa nemazano.
bopo 	D- 		ny 		bopo D- ny . Bopo imvura inenge yanaya yakawanda zvikuru.
bove 	D- 		ny 		bove D- ny . Kuti bove kuisa kunoita munhu chidimbu chezvokudya mumukanwa panguva imwe.
bovovo 	K- 		ny 		bovovo K- ny . Kuti bovovo kupinda panzvimbo inenge isingabvumirwi.
bu bu 	K- 		ny 		bu bu bhu bhu K- ny . Kuti bu bu kubanda zvinhu zvakaomarara nemazino.
bu bu bu 	D- 		ny 		bu bu bu D- ny . Kuti bu bu bu kuombera, sezvinenge zvichiita vanhu panenge pachiitwa zvirango.
bubudu 	DDK 		ny 		bubudu DDK ny . Kuti bubudu kuzadza kunoita munhu kamudziyo kadiki nezvinhu.
bubundu 	DDK 		ny 		bubundu DDK ny . Kuti bubundu kutsenga kunoita munhu zvinhu zvakaoma, zvakaita senyimo.
bufu 	KD 		ny 		bufu KD ny . Kuti bufu kutaura izwi rokupikisa munhu anenge ati vanhu vanyarare. Kana uchiti ndinonyepa, iti bufu, uvaone vachipinda muno iye zvino.
bugumu 	KKD 		ny 		bugumu KKD ny . Kuti bugumu kudonhedza mudziyo pasi sezvakaita chirongo chemvura, chichibva chaputsika.
buku 	KD 		ny 		buku KD ny . Kuti buku kurutsa kunongoitika chiriporipocho munhu asingafungiri kuti angarutsa.
buma 	KD 		ny 		buma KD ny . Kuti buma kuratidza kushamisika.
bumbunu 	D- 		ny 		bumbunu D- ny . Kuti bumbunu kusimba zvakare kunoita munhu mushure mokurwara.
bumu pumu 	DK DD 		ny 		bumu pumu DK DD ny . Aya maurayiro aunoita huku kana chimwe chinhu.
bunduku 	KKD 		ny 		bunduku KKD ny . Kana munhu ati bunduku anenge azvikandira pasi nenzira yekutaridza kushushikana.
bundunu 	KKD 		ny 		bundunu KKD ny . Kuti bundunu kusimba kunoita munhu mushure mekurwara.
buri 	KD 		ny 		buri KD ny . Kana munhu ati buri anenge abva pavanhu achikasika.
buru 	KD 		ny 		buru KD ny . Kuti buru kubva pakakwirira uchienda pasi.
busungu 	K- 		ny 		busungu K- ny . Kuti busungu kuita zvinhu chinyararire.
bvabvamata 	D- 		ny 		bvabvamata D- ny . Kuti bvabvamata kugara munhu asina zvaari kuita. pwasha .
bvaju 	KD 		ny 		bvaju KD ny . Kuti bvaju kubvaruka kunoita saga kana chipepa chine zvinhu izvo zvichibva zvadeuka.
bvambu 	KD 		ny 		bvambu KD ny . Kuti chinhu bvambu kuchidambura nemazino.
bvandanu 	KKD 		ny 		bvandanu KKD ny . Kuti bvandanyu kuparadzanisa zvinhu zvinenge zvakaita dutu kana kurongedzwa. bvanganyu .
bvanga 	DK 		ny 		bvanga DK ny . Ku bvanga kusangana nemumwe munhu kana chinhu usingafungidziri.
bvanyangu 	KKD 		ny 		bvanyangu KKD ny . Kuti bvanyangu maitiro anoita munhu achirongonora zvinhu zvanga zvakarongedzeka. bvanganyu .
bvanzu 	KD 		ny 		bvanzu KD ny . Kuti bvanzu kudimbura chinhu chakaita senyama. bvambu .
bvaranyu 	KKD 		ny 		bvaranyu KKD ny . Kuti bvaranyu kubvisa tudimbu tudiki pane chihombe uchiita kudambura.
bvaru 	KD 		ny 		bvaru KD ny . Kuti bvaru kumwauka kana kukaruka chinhu chakaita sebepa chava zvipenga zviviri.
bve 	K 		ny 		bve K ny . Kana chinhu chichinzi chati bve chinenge chabva pane imwe nzvimbo nekukasika.
bvebvema 	KKD 		ny 		bvebvema KKD ny . Kuti bvebvema magariro anoita munhu achiratidza kuzvikudza.
bvebveva 	KKD 		ny 		bvebveva KKD ny . Kuti bvebveva kugara munhu achiratidza kusafara.
bvembere 	KDD 		ny 		bvembere KDD ny . Kuti bvembere kutiza-tiza kana kunzvenga-nzvenga kuti usabatwe kana kuonekwa.
bvendu 	KD 		ny 		bvendu KD ny . Kuti bvendu kupa kana kuwanisa zvakawanda. Kuti bvendu kusvika pane imwe nzvimbo usingafungidzirwe.
bvenyu 	DK 		ny 		bvenyu DK ny . Kuti bvenyu kupara kana kukuzvura zvinyoronyoro.
bvere 	D- 		ny 		bvere bveru D- ny . Kuti bvere kugara munhu achiratidza kudekara kana kuti kugadzikana.
bveru 	KD 		ny 		bveru KD ny . Kuti bveru kugara munhu achiratidza kugadzikana. tendekeshe, dedede .
bvi 	D 		ny 		bvi D ny . Kuti bvi kupfekera chinhu pane chimwe kana kuti mukati mechimwe chinhu.
bvojo 	KD 		ny 		bvojo KD ny . Kana munhu achinzi ati bvodyo anenge angokaruka ataura zvisina kukodzera.
bvokocho 	D- 		ny 		bvokocho D- ny . Kuti bvokocho ruzha runoitwa nechinenge chapotserwa mune miti yakawanda pachinzvimbo chimwecho.
bvoo 	DK 		ny 		bvoo DK ny . Kuti bvoo kubaya zvinobuda seri neseri.
bvorototo 	D- 		ny 		bvorototo D- ny . Kuti bvorototo kupera mweya kunoita chubhu yevhiri kana bhora.
bvovo 	DK 		ny 		bvovo DK ny . Kuti bvovo kutaura zvaunoziva samamirire azvo chaiwo.
bvu bvu bvu 	D- 		ny 		bvu bvu bvu D- ny . Kuti bvu bvu bvu kuva neutano hwakadzikira. Muviri wanga wati bvu bvu bvu nokuda kwekurwara. Kuti bvu bvu bvu kuzunza muviri kwechimwe chinhu. Shiri yakati bvu bvu bvu ichibva yabhururuka.
bvubvuva 	KKD 		ny 		bvubvuva KKD ny . Kuti bvubvuva kuundundika uchiratidza kurwara kana kunzwa chando.
bvuchu 	D- 		ny 		bvuchu D- ny . Kuti bvuchu kuburitsa zvinhu mumudziyo uchizviita dutu.
bvugada 	D- 		ny 		bvugada D- ny . kuti bvugada kugara nemabvi uchiratidza rukudzo.
bvuju 	KD 		ny 		bvuju KD ny . Kuti bvuju kubuda kwezvinhu zvakawanda mumudziyo unenge wabvaruka. Shuga yakati bvuju ndokuti waa pasi.
bvukuchu 	D- 		ny 		bvukuchu D- ny . Kuti bvukuchu kupfava kwechinhu. Dehwe rakasukutwa ndiro rinenge rakati bvukuchu.
bvukutu 	KKD 		ny 		bvukutu KKD ny . Kuti bvukutu chinhu kuchitora muruoko memumwe pasina kutenderana. bvutu .
bvumbunu 	D- 		ny 		bvumbunu D- ny . Kuti bvumbunu kuburitsa chinhu changa chakavigwa. vhumbunu .
bvumburu 	K- 		ny 		bvumburu K- ny . Kuti bvumburu kubidirika muvhu sezvinoitwa nemadhongi.
bvundu 	DK 		ny 		bvundu DK ny . Kuti bvundu kukodzonga zvinhu zvakaita mvura mvura zvanga zvakagadzikana, zvekuti zviri pasi zvinopedzisira zvakwira kumusoro.
bvure 	D- 		ny 		bvure D- ny . Kuti bvure kugara kunoita vanhu vazhinji vakanyarara sezvinoitwa pakafiwa. bvurere .
bvurubvuju 	D- 		ny 		bvurubvuju D- ny . Kuti bvurubvuju kuvhunduka kwemhuka.
bvururu 	D- 		ny 		bvururu bvarara D- ny . Kuti bvururu kurasika-rasika kwezvinhu pese pese. Mateko enzungu anga akati bvururu paruvanze.
bvutu 	DK 		ny 		bvutu bvute DK ny . Kuti bvutu kutora chinhu zvine mukundo uye nechimbi-chimbi.
bvuu 	DK 		ny 		bvuu DK ny . Kuti bvuu kubatwa nokutya. Pandakaona shumba, hana yangu yakati bvuu.
bvuva 	D- 		ny 		bvuva D- ny . Kuti bvuva kudonhera kwemunhu, mhuka kana chinhu mumvura.
bwabwa 	K- 		ny 		bwabwa K- ny . Kuti bwabwa kutaura nekukasira.
bwadagu 	KKD 		ny 		bwadagu KKD ny . Chinhu chinonzi chati bwadagu kana chikarovera pakaoma chikabva chatsemuka-tsemuka. Nhanga rakadonha mungoro rikabva rati bwadagu.
bwaga 	DK 		ny 		bwaga DK ny . Kuti bwaga kuvhunika kana kuputsika kuita zvidimbu zvidimbu. Kunzi bwaga kutswanywa nechinhu chinorema. Akanzi bwaga nedombo.
bwagamu 	D- 		ny 		bwagamu D- ny . Kuti bwagamu kuputsira chimwe chinhu pasi.
bwandi 	KD 		ny 		bwandi KD ny . Kuti bwandi kugadzira hembe dzaunenge wakapfeka kana wava kunogara pasi kuti dzisaonesa zviri mukati.
bwazhamu 	KKD 		ny 		bwazhamu KKD ny . Kuti bwazhamu kuputsa chinhu. Akati hari yaambuya vake yavaiumba bwazhamu. Kuti bwazhamu kurova munhu kana mhuka nesanzu diki risina kubviswa mashizha.
bwe 	K 		ny 		bwe K ny . Kuti bwe kutya.
bwedere bwedere 	KKK KDD 		ny 		bwedere bwedere KKK KDD ny . Kuti bwedere bwedere kutaura zvisina maturo. Usati bwedere bwedere uri padyo neni. Ndinokudira tsvimbo.
bwenge 	DK 		ny 		bwenge DK ny . Zvokudya kana zvokunwa zvikati bwenge zvinenge zvakawanda.
bwengezu 	KKD 		ny 		bwengezu KKD ny . Kuti bwengezu kutora chinhu mumaoko emumwe nokuchimbidza.
bweshe 	D- 		ny 		bweshe D- ny . bwerekeshe .
bwibwi 	DK 		ny 		bwibwi DK ny . Kana chinhu chakati bwibwi chinenge chakazvimba zvakanyanyisa. Paakarohwa chibhakera paziso, rakabva rati bwibwi kuzvimba.
bwindi 	KD 		ny 		bwindi KD ny . Kuti bwindi kupunzika uchinorovera nokumeso. nyondo .
bwingu 	KD 		ny 		bwingu KD ny . Kuti bwingu kutaridza chiedza nokukasira wobva wachidzima pakarepo. nyetu .
bwinyu 	DK 		ny 		bwinyu DK ny . Kuti bwinyu kuvaima kunoita chiedza chinovako kwenguva pfupi.
bwiru 	KD 		ny 		bwiru KD ny . Kuti bwiru kudya zvinhu zvakaita sembwirembwire nekukasika. Paakati bwiru mukaka weupfu wakabva wamukachidza, zvekuti akaburitsa madzihwa nemisodzi.
bwititi 	K- 		ny 		bwititi K- ny . Kuti bwititi kufamba kwevanhu vakawanda vari muboka, vachienda kwakasiyana-siyana kana kuti vachiita zhowezha.
bwodo 	KD 		ny 		bwodo KD ny . Kuti bwodo kutaura zvisina maturo.
bwodomo 	KKD 		ny 		bwodomo KKD ny . Kuti bwodomo kutaura zvisina maturo. bwodo, bvotomo .
cha 	D 		ny 		cha D ny . Kuti cha kurira kunoita chinhu chinenge chadonhera mumvura. Kuti cha kutorera munhu chinhu chaakabata nokukasika uchishandisa chisimba.
chabhu chabhu 	DK DK 		ny 		chabhu chabhu DK DK ny . chabwi chabwi .
chabvu 	DK 		ny 		chabvu DK ny . Kuti chabvu kuwacha nhumbi usina sipo. Nherera isina vanoiriritira inowanza kuti hembe dzayo chabvu.
chabwi chabwi 	DK+ 		ny 		chabwi chabwi DK+ ny . Kuti chabwi chabwi kufamba kwemunhu mumvura isina kudzika kana mumachakwi. Takazongonzwa yava chabwi chabwi makumbo atsika mvura, tisingaoni murima.
chachacha 	D- 		ny 		chachacha D- ny . Kuti chachacha kudonha kwemadonhwe emvura panhu patonyorova kare. Mvura yomubvumbi inonaya ichiti chachacha usiku hwose.
chachacha 	K- 		ny 		chachacha K- ny . Kana mvura ichiti chachacha inenge ichibva pakakwirira ichindowira pasi. chachama .
chachanana 	D- 		ny 		chachanana D- ny . Kuti chachanana kugadzira panhu panobvira kuyambuka netsoka kana chimwe chinhu parwizi rwakadira. chachananda .
chachananda 	D- 		ny 		chachananda D- ny . chachanana .
chachapu 	KKD 		ny 		chachapu KKD ny . Kuti chachapu kutorera munhu chaange akabata nokukasira uye uchishandisa chisimba. chapu, chachapuru, bvutu .
chacharakacha 	D- 		ny 		chacharakacha D- ny . Kuti chacharakacha kuyambuka rwizi kana chikova chine mvura yakawanda.
chacharara 	K- 		ny 		chacharara K- ny . chachama .
chachari chachari 	DDK+ 		ny 		chachari chachari DDK+ ny . Kana uchiti chachari chachari unenge uchitsika-tsika pasi zvine simba, sezvinoita anenge achitamba. Zvidhakwa zvaitamba ngoma zvichiti chachari chachari sezvichatsemura imba.
chachu 	DK 		ny 		chachu DK ny . Kuti chachu kutema mashanga seemabarwe nebadza kana chimwe chinobvira kutema nacho.
chai chai 	D- 		ny 		chai chai D- ny . Kuti chai chai kushambira sezvinoita hove dziri mudziva.
chaka-a 	D- 		ny 		chaka-a D- ny . Kuti chaka-a kudira munhu mvura asingafungire, kuti avhunduke nokutonhorwa.
chakapiti 	DDKK 		ny 		chakapiti DDKK ny . Kuti chakapiti kutora chinhu pamwe nokuchisimudza.
chakata 	D- 		ny 		chakata D- ny . Kana zvinhu zvakati chakata zvinenge zvakawanda, zvichiwanikwa pose pose.
chaku chaku 	KD+ 		ny 		chaku chaku KD+ ny . Uku kutsenga chokudya zvinyoronyoro asi chichisara chaota. Nguruve inodya ichiti chaku chaku.
chambwa 	DK 		ny 		chambwa DK ny . Kuti chambwa kuzadza mvura pose pose uchiita yokupfachura- pfachura.
chanjandara 	K- 		ny 		chanjandara K- ny . chachama .
chanjanja 	K- 		ny 		chanjanja K- ny . chanjama .
chanyau 	KKD 		ny 		chanyau KKD ny . Kuti chanyau kucheka chinhu usingambotarisa kuti pauri kucheka ndipo pakafanira here.
chanyu chanyu 	KD+ 		ny 		chanyu chanyu KD+ ny . Kuti chanyu chanyu kutsenga chinhu mumuromo zvine karuzha.
chapwati 	KKD 		ny 		chapwati KKD ny . chapwa .
charanjanja 	K- 		ny 		charanjanja K- ny . chachama .
chata 	D- 		ny 		chata D- ny . Kuti chata kuvata hope dzinotapira. Ukanzwa nzeve haungadziti chata hope.
chava 	KD 		ny 		chava KD ny . Kuti chava kuramba chaunenge uchipomerwa kana chaunenge wanzi uite. Nyakuponda munhu akati chava kuramba mhosva pamberi pedare.
chavangu 	DDK 		ny 		chavangu DDK ny . Kuti chavangu kutema kana kucheka chinhu zvakadzika. kabvau .
che che che 	K- 		ny 		che che che K- ny . Kuti che che che kuita ruzha rwuri pamusoro-soro kunoitwa neshiri kana tumwe tupukanana twakaungana.
cheche 	DK 		ny 		cheche DK ny . Kuti cheche kuenzana kwezvinhu pakukura kana pauwandu. gwedegwe, kweche .
chechene 	KKD 		ny 		chechene KKD ny . Kuti chechene kubvisa chinhu uchiita zvokucheka kana kupara nebanga. seseu, checheu .
chechepfu 	KKD 		ny 		chechepfu KKD ny . Kuti chechepfu kuruma chinhu chakanyorovera uye chisinganetsi kutsenga.
checherere 	D- 		ny 		checherere D- ny . Kuti chechere kumisa nokukasira basikoro ranga richimhanya chaizvo.
checheu 	KKD 		ny 		checheu KKD ny . chechene .
chechu 	D- 		ny 		chechu D- ny . Kuti chechu kuyeuka chinhu chakakosha chawambenge wakanganwa.
chedebu 	KKD 		ny 		chedebu KKD ny . Kuti chedebu kutema kana kuruma chinhu zvokubvisa ganda. Kuti chedebu kuvhura sikarudzi chemusikana anga asati amborara nemurume.
chehenu 	D- 		ny 		chehenu D- ny . cheenene .
cheke cheke 	D- 		ny 		cheke cheke D- ny . cheke .
chekeche 	DDK 		ny 		chekeche DDK ny . cheke .
chekepfu 	KKD 		ny 		chekepfu KKD ny . Kuti chekepfu kuruma chinhu chakanyorovera nemazino.
chena 	KD 		ny 		chena KD ny . Kuti chena kubudisa mazino panze sezvinoita imbwa inoda kuruma imwe.
chenda 	DK 		ny 		chenda DK ny . Kuti chenda kugara pamusoro pemagaro kunowanzoitwa nemunhu akaberekwa kumusana. dzvenda .
chenu 	DK 		ny 		chenu DK ny . Kuti chenu kupera kweruvara pahembe kana pamudziyo. Hembe yangu yati chenu nokuda kwezuva.
chenuru 	D- 		ny 		chenuru D- ny . chenu .
chenyengu 	KKD 		ny 		chenyengu KKD ny . Kuti chenyengu kubva kweganda pachionekwa zviri pasi. Akanzi chenyengu nereza akasara ava nezironda.
chepfenyu 	DDK 		ny 		chepfenyu DDK ny . Kuti chepfenyu kuruma chibandi uchisiya zvimwe.
cherengu 	KKD 		ny 		cherengu KKD ny . Kuti cherengu kukuvadza pachibva pasara vanga rinoonekwa.
chetu 	KD 		ny 		chetu KD ny . Kuti chetu kudambuka kunoita chinhu chachekwa nomudziyo unopinza. Mombe payanga yodzipwa mukomana asvikoti chetu chitoropo nebanga.
chevhu 	KD 		ny 		chevhu KD ny . Kuti chevhu kucheka zvakadzika nemudziyo unopinza. Akanzi chevhu paruoko nereza.
chezu 	KD 		ny 		chezu KD ny . Kuti chezu kuvesa moto muzhinji. Pavakangoti moto chezu mabhodho ose akabva avira.
chi chi chi 	D- 		ny 		chi chi chi D- ny . Kuti chi chi chi kumira kungaitwa navanhu vose vakatarisa chinhu chimwe chete. Vana vechikoro vakanga vati chi chi chi vakatarisa mota dzakanga dzabonderana.
chichichi 	D- 		ny 		chichichi D- ny . Kana vanhu vachinzi vakati chichichi vanenge vakamira vakawanda vakatarisa chinhu chimwe.
chichinu 	D- 		ny 		chichinu D- ny . Kuti chichinu kufamba kwavanhu vakawanda vakananga divi rimwe. Vanhu vakati chichinu vakananga kuguva kundoviga mushakabvu.
chidigi 	KKD 		ny 		chidigi KKD ny . Kuti chidigi kuisa munyu wakawandisa muusavi.
chigidi 	K- 		ny 		chigidi K- ny . Kuti chigidi kuwanza munyu muusavi kana mafuta kumeso. puvu, chinginjingi .
chinjinji 	K- 		ny 		chinjinji K- ny . Kuti chinjinji kumira kwematanda kana zvimwewo zvakaomarara, zvakatarisa mudenga. chinjiri .
chinjiri 	K- 		ny 		chinjiri K- ny . chinjinji .
chinjiziri 	D_ 		ny 		chinjiziri D_ ny . Kuti chinjiziri kuzvimbirira kunotandira, asi kwakatetepera kuchitevedza musana wemhuka.
chiru 	KD 		ny 		chiru KD ny . Kuti chiru kuuruka.
chivhu 	KD 		ny 		chivhu KD ny . Kuti chivhu kucheka chinhu zvakadzika uye nokukasika.
cho cho cho 	D- 		ny 		cho cho cho D- ny . Uku kuridza zvinhu zvakaita zvisimbi zvichirovana. Mukomana aiti homwe yake cho cho cho kuti tizive kuti ane mari. Uku kuchovha bhasikoro zvine chimbi chimbi, sapamujaho.
cho-o cho-o 	D- 		ny 		cho-o cho-o D- ny . Kuti cho-o cho-o kuchovha bhasikoro zvinyoronyoro. Vamukaka vanomukira kuti cho-o cho-o bhasikoro ravo vachiteedza dzimba.
chogodo 	DDK 		ny 		chogodo DDK ny . Kuti chogodo kubvisa madota kana chimwe chinhu nokugumha.
chomwa 	DK 		ny 		chomwa DK ny . Kuti chomwa kuswatudza mutsipa paunenge uchifamba.
chororo 	K- 		ny 		chororo K- ny . Kuti chororo kuchururuka kunoita zvinhu zvakaita mvura, zvichienda pasi.
chubu 	DK 		ny 		chubu DK ny . Kuti chubu kuwira mumvura kwechinenge chapotserwa, kana chakaruka changopindamo. Ndakati chubu mumvura usiku ndichifunga kuti ndatsika paruware. chabwi .
chubvu 	DK 		ny 		chubvu DK ny . Kuti chubvu kukurunga zvinenge zviri muhari kana mugate nomugoti. Masvusvu aingunonzi chubvu chubvu kusvika aibva.
churi 	DK 		ny 		churi DK ny . Kuti churi ruzha runoitwa nechinhu chichiwira mumvura. Akakanda chitombo mutsime chikati churi.
chuvhu 	DK 		ny 		chuvhu DK ny . Kuti chuvhu kukamira mukaka munenge mava kuzara nomumwe mukaka uye nefuro. Manzuma inosisa zvokuti mukaka unopedzisira wava kungoti chuvhu chuvhu zuva nezuva.
d 	D 		nzv 		d D nzv . Iyi inzvanyira inodaidzwa ichinzi di inowanikwa pakati pa chi na dhi mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
da 	K 		ny 		da K ny . Kuti da kutomuka nenhano pfupi, kubva pane imwe nzvimbo uchienda pane imwe. Kana ndaburuka bhazi, ndinongoti da karukova, ndobva ndatosvika pamba pedu.
da da 	K- 		ny 		da da K- ny . Kuti da da kuenda mberi uchiita zvokusvetuka kana kukanda nhanho refu.
dada dada 	D- 		ny 		dada dada D- ny . Kuti dada dada kufamba kunoita mwana mudiki netunhano tupfupi. Kana uchiyambuka pane mvura uchiti dada dada , unenge uchiuruka nenhano dzakaita pfupi, uchitya kunyorova makumbo.
dadzu 	KD 		ny 		dadzu danzu KD ny . Kana ukati tambo kana nyama kana jira dadzu , unenge waita zvokudambura kana kubvarura zvine simba.
