aini 	KDD 	9>10 	z 		aini KDD z 9>10 . Aini isimbi yokuchisisa mbatya inodziyiswa uchishandisa maratya kana magetsi. Hembe dzinoita mupono kana ukadzichisa neaini.
changano 	D- 	9>10 	z 		changano D- z 9>10 . Changano chaunga chevanhu vakawanda vanenge vane nyaya yavanenge vachitaura nezvayo. musangano 3 .
chanja 	KD 	9>10 	z 		chanja KD z 9>10 . Chanja idanda rinowanzoiswa pamusoro pechidziro cheimba kuti ritsigire vanenge vachirura denga reimba iyoyo.
chanzi 	KD 	9>10 	z 		chanzi KD z 9>10 . Chanzi mukana wokuita chimwe chinhu unenge usiri nyore kuwana. Ndakatoti ndawana chanzi yokuenderera mberi nechikoro, pandakawana aindibhadharira mari mushure mokunge baba vangu vashaya. Chanzi imhanza kana rombo rakanaka rinowira munhu kashoma muupenyu. Ukawana chanzi yokuita mari unenge wava mambo pasi pano. mukana 3 .
chapa 	DK 	9>10 	z 		chapa DK z 9>10 . Chapa munhu asingagoni kunyatsorongedza zvinhu zvake pakafanira, asingagezi uye anogara nenhumbi dzine tsvina. fende 9 .
chapewa 	DKD 	9>10 	z 		chapewa DKD z 9>10 . Chapewa chipfeko chinopfekwa mumusoro kuvharidzira chando kana zuva. ngowani 9 .
chapu 	KD 	9>10 	z 		chapu KD z 9>10 . Chapu idemo duku risina mupini.
charavanda 	D- 	9>10 	z 		charavanda D- z 9>10 . Uyu mukaka mumbishi kana wakakora unomwiwa kana kudyiwa vanhu vapedza kusvusvura.
chariradombo 	DKKKK 	9>10 	z 		chariradombo DKKKK z 9>10 . Iyi imhando yenyoka pfupi hobvu isingatani kuuraya chayaruma uye inonzi inobhururuka.
chechekunde 	K- 	9>10 	z 		chechekunde sheshekunde K- z 9>10 . Ichi chimera chine mudzi wakaita chibhora, unodyiwa.
checheni 	KKD 	9>10 	z 		checheni KKD z 9>10 . Checheni muchero womuti womuchecheni unotsvukuruka pakuibva. chachani 9 .
chechete 	DDK 	9>10 	z 		chechete DDK z 9>10 . Chechete muchero unodyiwa wakafanana neshumha asi muti wacho unomera pachuru.
chekaukama 	K- 	9>10 	z 		chekaukama K- z 9>10 . Iyi in'ombe, zvikuru chena, inobviswa nemunhu anenge achida kuroora musikana waaine ukama naye. guraukama 9 .
chekausiye 	KKKKD 	9>10 	z 		chekausiye KKKKD z 9>10 . Iyi imhando yehove inofungirwa kuti munhu wose anouya akacheka nyama yaanoda akangoisiya yakadaro. jekawacheka 5 .
chekechera 	KDDD 	9>10 	z 		chekechera KDDD z 9>10 . hosho .
chema 	KD 	9>10 	z 		chema KD z 9>10 . Chema chipo chinobviswa nemunhu parufu. Patakaenda kurufu tose takabvisa chema yepondo.
chemba 	KD 	9>10 	z 		chemba KD z 9>10 . Chemba chikwata chevanhu vanoshandira kusimudzira zveupfumi hwenzvimbo kana nyika yavo. Chemba ihofisi dzinowanzoshandirwa nevatongi vedzimhosva. Chemba ndepatinogara kana tichiita tsvina muchimbuzi.
chembere 	D- 	9>10 	z 		chembere D- z 9>10 . Chembere munhu ane muviri woratidza kuti ararama kwenguva refu. Chembere haigoni kuita basa rinorema. mukweguru 1, mutana 1 .
chemberebwaibwai 	DDDKDKD 	9>10 	z 		chemberebwaibwai DDDKDKD z 9>10 . Iyi imhando yemuti usinganyanyi kureba kuenda mudenga.
chemberedzagumana 	DDDKKDD 	9>10 	z 		chemberedzagumana DDDKKDD z 9>10 . chemberedzagumhana 9 .
chemberedzagumhana 	DDDKKDD 	9>10 	z 		chemberedzagumhana DDDKKDD z 9>10 . Iyi imhando yomuriwo unorimwa mugadheni, unovavavira zvishoma.
chemera 	K- 	9>10 	z 		chemera K- z 9>10 . Chemera mwana wemhembwe. tsvana 9 .
chemo 	K- 	9>10 	z 		chemo K- z 9>10 . chema 9 .
chena 	DK 	9>10 	z 		chena DK z 9>10 . Chena kuparuka kunoita muviri mushure mukunge munhu ashandira kana kutambira muguruva. shena 9 .
chenda 	DK 	9>10 	z 		chenda DK z 9>10 . Chenda igudo gonho rinofamba riri rimwe chete. werera 9 .
cheni 	KD 	9>10 	z 		cheni KD z 9>10 . Cheni muronga wezvisimbi zvakakochekerana zvakabatanidzwa kuita rundaza. Cheni ndiyo inofambisa vhiri rebhasikoro. ngetani 9 .
chenje 	DK 	9>10 	z 		chenje DK z 9>10 . Chenje musvo wechirimwa unenge wabviswa hundi kana maguri.
chenji 	KD 	9>10 	z 		chenji chinji KD z 9>10 . Chenji imari yaunodzorerwa pabviswa yomutengo wechaunotenga.
chenuro 	D- 	9>10 	z 		chenuro D- z 9>10 . chenura 9 .
chepfu 	KD 	9>10 	z 		chepfu KD z 9>10 . Chepfu mushonga unouraya. Mwana akadya chepfu akafa.
cherechere 	DKDD 	9>10 	z 		cherechere DKDD z 9>10 . mbikiza 9 .
chese 	K- 	9>10 	z 		chese K- z 9>10 . Chese ibanga, badza kana sanhu risina mubato. Banga chese rinonetsa kuchekesa zviyo nokuti rinorwadza kubata.
chevecheve 	DDKK 	9>10 	z 		chevecheve DDKK z 9>10 . jecha 6 .
cheya 	KD 	9>10 	z 		cheya KD z 9>10 . Cheya mudziyo wokugara ungava wesimbi kana kuti wedanda una makumbo. Mudzidzisi anga akagara pacheya achimaka mabhuku. chigaro 7 .
chezero 	D- 	9>10 	z 		chezero D- z 9>10 . Chezero isimbi ine divi rakapinza inoshandiswa pakuveza mapuranga. Akakwatsura mapuranga achishandisa chezero. chiziri 9 .
chimini 	KDD 	9>10 	z 		chimini KDD z 9>10 . Chimini ndepakagadzirirwa kuti pagobuda neutsi mumba.
chinda 	D- 	9>10 	z 		chinda D- z 9>10 . shinda 9 .
chingamidzo 	KKKD 	9>10 	z 		chingamidzo KKKD z 9>10 . Chingamidzo kusangana nekumhorosa munhu ari kuuya kwauri.
chinji 	KD 	9>10 	z 		chinji KD z 9>10 . Chinji inhumbi dzokupfeka kana wabvisa dzaunenge wambopfeka. Chinji imari yaunodzoserwa kana wambotenga neyakakura kudarika mutengo wechaunoda.
chinjikano 	KKKD 	9>10 	z 		chinjikano KKKD z 9>10 . chipiyaniso 7 .
chipisi 	D- 	9>10 	z 		chipisi D- z 9>10 . Chipisi mutambiro wokufambisa muchiuno munhu achimbotenderera. Takaswerotamba chipisi pamabiko egore idzva.
chirikadzi 	KDKD 	9>10 	z 		chirikadzi KDKD z 9>10 . Uyu mudzimai akafirwa nemurume. shirikadzi 9 .
choko 	KD 	9>10 	z 		choko KD z 9>10 . Choko chinyoreso chinoshandiswa kunyora pachidziro chitema muchikoro.
chomoriya 	DKDD 	9>10 	z 		chomoriya DKDD z 9>10 . Uyu muriwo wamashizha unorimwa mumapindu munguva dzechirimo.
chovha 	DK 	9>10 	z 		chovha DK z 9>10 . Chovha imotokari inoita basa rokutakura vanhu, isingataridziki zvakanaka nokuda kwebasa rayo kana kusakara.
chovhamubayiwa 	DKKDKD 	9>10 	z 		chovhamubayiwa DKKDKD z 9>10 . chovha .
choya 	DK 	9>10 	z 		choya DK z 9>10 . Choya ivhudzi rinomera pamunhu ayaruka panzvimbo inoperera dumbu nechepakati pezvidya. mavhere 6 .
chubhu 	KD 	9>10 	z 		chubhu KD z 9>10 . Chubhu indande yakaita denderedzwa, iine mwena mukati, inochengeta mweya unopomberwa muvhiri. Vhiri rebhasikoro kana remotokari haribati mweya kana chubhu yakabooka.
chukasi 	KDD 	9>10 	z 		chukasi KDD z 9>10 . Chukasi musikana akanaka kana kuti anoyemurika. Ndakadiwa nechukasi, ikandibonderesa nerimwe fero pasina svondo mbiri.
chumi 	K- 	9>10 	z 		chumi K- z 9>10 . Chumi imari yekare yaiita mashereni gumi, yakazotsihwa nedhora. Kare vamwe vashandi vaitambiriswa chumi pamwedzi vachitadza kuipedza.
chuti 	DK 	9>10 	z 		chuti DK z 9>10 . Chuti mutambo wokutemana nebhora, vamwe vanenge vari pakati vachinzvenga.
daidzo 	KKD 	9>10 	z 		daidzo KKD z 9>10 . davidzo 9 .
dairo 	K- 	9>10 	z 		dairo K- z 9>10 . davidzo 9 .
dhai 	KD 	9>10 	z 		dhai KD z 9>10 . Dhai mushonga unoshandiswa kuchinja ruvara rwenhumbi kana micheka kana vhudzi.
dododza 	K- 	9>10 	z 		dododza K- z 9>10 . Dododza ishiri duku ina makumbo marefu, inogara mubani, inomhanya napasi zvikuru. ndondodza 9 .
ekisero 	KDDD 	9>10 	z 		ekisero ekisari KDDD z 9>10 . Iyi isimbi iri pakati pevhiri, inova ndiyo inobatsira kuti vhiri ritenderere zvakanaka.
ekiserogiya 	KDDDKD 	9>10 	z 		ekiserogiya KDDDKD z 9>10 . Iyi isimbi inobata pasi peekisero yebhasikoro.
ekisirei 	KDDDD 	9>10 	z 		ekisirei KDDDD z 9>10 . Uyu mushini unoshandiswa pakuvheneka mabhonzo emuviri nenyama dziri mukati meganda, zvikuru kana munhu aita tsaona, kana kuti achirwadziwa nechinhu chiri mukati memuviri asi chisingazikanwi kuti chii.
emvuropu 	KDDD 	9>10 	z 		emvuropu KDDD z 9>10 . Iyi ihomwe inogadzirwa nepepa, rinopetwa kumativi achinamirwa pamwe chete, yozoshandiswa kuisa tsamba kana kuti magwaro mukati mayo. hamvuropu 9 .
fadhuku 	KDD 	9>10 	z 		fadhuku KDD z 9>10 . Fadhuku mucheka kana jira rinoshandiswa kubata chimwe chinhu, kunyanya zviya kana chinhu chacho chichinyanya kupisa kana kutonhora.
faira 	KDD 	9>10 	z 		faira KDD z 9>10 . Faira mudziyo wesimbi unoshandiswa pakukwiza dzimwe simbi, kuti dzitsetseke kana kuita ukuru hwaunenge uchida. Faira ihommwe yakagadzirirwa kuchengetera mapepa kana kuti magwaro, kuitira kuti uzoabhedhenura uchiita nyore kuwana aunenge uchida.
fakazi 	D- 	9>10 	z 		fakazi D- z 9>10 . mufakazi 1 .
fambi 	K- 	9>10 	z 		fambi K- z 9>10 . pfambi 9 .
fananidzo 	KKKD 	9>10 	z 		fananidzo KKKD z 9>10 . Uyu muenzaniso ungashandiswa muchinyorwa, kuitira kuti muverengi aone ega zviri kutaurwa zvacho mumusoro make. Munyori uyu anoshandisa fananidzo dzinoyevedza munhetembo dzake.
fanera 	KDD 	9>10 	z 		fanera KDD z 9>10 . Fanera mudziyo wesimbi kana purasitiki wakakura kumusoro asi uri mudiki kuzasi, unobatsira kudirisa zvinhu mukati momudziyo uno muromo mudiki. Hauna fanera here tikudirire imwe peturo iyi mumota mako?
fasikoti 	KDDD 	9>10 	z 		fasikoti KDDD z 9>10 . epuroni 9 .
faundesheni 	DDKDD 	9>10 	z 		faundesheni fandesheni DDKDD z 9>10 . Aya mabwe, semende, nezvimwe zvinoiswa pamigero panenge pambocherwa, kuti zvisimbise imba inenge ichizovakwa pamusoro pazvo.
fenzi 	KD 	9>10 	z 		fenzi KD z 9>10 . Fenzi ruzhowa rwewaya inenge yakatenderedza nzvimbo. Kana musingadi zvokuswera muchifudza n'ombe, isai fenzi mapadhoki enyu ose.
fikisi 	KDD 	9>10 	z 		fikisi KDD z 9>10 . Fikisi rudzi rwebhasikoro rinotenderedzwa cheni richienda mberi bedzi, rozomiswa nokutsika zvitivhiri uchidzorera kumashure. peri 9 . ANTONYMS firiwiri 9.
fimbi 	KK 	9>10 	z 		fimbi KK z 9>10 . Fimbi igomba rinocherwa kuti mugovharira mbambaira kana michero mukati, kuti zvichengeteke kana kuibviramo, mozovhukunyura kana mava kuda kuzvidya. pfimbi .
findimagon'a 	KKDKD 	9>10 	z 		findimagon'a KKDKD z 9>10 . Iri zimunhu zihombe rakanyangara.
firiji 	KDD 	9>10 	z 		firiji KDD z 9>10 . Firiji mudziyo unoita chando chinoita kuti zvinoiswa mukati mawo zvichengetedzwe kwenguva refu zvisingaori kana kuipa. Kana ukatenga nyama yakawanda iwe usina firiji, unotoita yokusasika.
firita 	KDD 	9>10 	z 		firita KDD z 9>10 . Firita kadende kane sefa mukati kanogamha tsvina mumafuta kuti isapinda muinjini.
firiwiri 	DDKD 	9>10 	z 		firiwiri firuwiru DDKD z 9>10 . Urwu rudzi rwebhasikoro raunokwanisa kutenderedza cheni uchichovhera sure, asi iro rakamira kana kuti richitofamba kuenda mberi. ANTONYMS fikisi 9, peri 9.
firo 	K- 	9>10 	z 		firo K- z 9>10 . Firo inzira inenge yafa nayo munhu.
firosofi 	DKDD 	9>10 	z 		firosofi DKDD z 9>10 . Aya mafungiro ano udzamu anotungamirira vanhu pamaitiro avo nounhu hwavo, tsika dzavo namagariro avo. Firosofi yechivanhu inonyanya kutungamidza pamberi ukama nokugarisana zvakanaka. Ichi chidzidzo chokutsvaga uzivi neungwaru hwakadzama, zvikuru maererano nemafungiro anotungamirira vanhu pamagariro avo netsika dzavo. Chidzidzo cheFirosofi chinoitwa kuyunivhesiti chete, kwete kusekondari.
fofoongwe 	D- 	9>10 	z 		fofoongwe D- z 9>10 . Uyu munhu akafuta chaizvo uye aine muviri muhombe. hofori 9 .
foko 	KD 	9>10 	z 		foko KD z 9>10 . forogo 9 .
foni 	KD 	9>10 	z 		foni KD z 9>10 . runhare 11 .
foshoro 	KDD 	9>10 	z 		foshoro KDD z 9>10 . Foshoro mudziyo uno mubato murefu unoshandiswa kuchera nokuraichira ivhu kana mupfudze.
foto 	KD 	9>10 	z 		foto KD z 9>10 . Foto mufananidzo wakatorwa nekamera. pikicha 9 . Foto mudziyo kana kuti muchina wokutoresa mifananidzo. kamera 9 .
fufuro 	D- 	9>10 	z 		fufuro chifufuro D- z 9>10 . Fufuro mubhadharo wokutenga munhu kuti asadura zvakaipa zvaunenge waita. pfumbamuromo 9, rutsikidzo 11 .
fuko 	D- 	9>10 	z 		fuko D- z 9>10 . pfuko .
fukuso 	D- 	9>10 	z 		fukuso D- z 9>10 . Fukuso chimuti kana kuti chisimbi chokugofesa mwoto kuti unyatsobaka.
furete 	DKK 	9>10 	z 		furete DKK z 9>10 . Furete kamudziyo kemhanzi kanoridzwa nomuromo, uchiita zvokufuridza mweya.
habha 	KD 	9>10 	z 		habha KD z 9>10 . Habha imwe yesimbi dzakabata mavhiri ebhasikoro, inova ndiyo musimboti webhasikoro rose.
hacha 	D- 	9>10 	z 		hacha D- z 9>10 . chakata 7 .
hadyana 	KDK 	9>10 	z 		hadyana KDK z 9>10 . Hadyana ihari yevhu inobikirwa muriwo mudzimba. Ukadongorera muhadyana unoita mahobi.
hadzi 	K- 	9>10 	z 		hadzi K- z 9>10 . Hadzi imhuka ipi zvayo inoberekeswa mwana nemhuka honho.
haka 	KD 	9>10 	z 		haka KD z 9>10 . hambakabvuka 9 .
hakata 	KKD 	9>10 	z 		hakata KKD z 9>10 . Hakata zvombo zvinoshandiswa nen'anga pakushopera, zvakaita semabhonzo kana zvimiti zvakavezwa. Hakata dzen'anga inogona kushopera dzinotaridza dambudziko riripo, uye kuti ringapedzwa sei.
hakisoo 	KDKD 	9>10 	z 		hakisoo KDKD z 9>10 . Uyu mudziyo une tumazino twakapinza, unoshandiswa kucheka mapuranga kana kuwisa miti.
hama 	K- 	9>10 	z 		hama K- z 9>10 . Hama yako munhu weropa rimwe chete, newe kana kuti munhu anoera mutupo umwe chete newe kana, kuti umwewo anobatanidzwa newe pakuroorerana. Pachivanhu hama dzomunhu hadziperi. ANTONYMS mutorwa 3.
hama 	KD 	9>10 	z 		hama KD z 9>10 . Hama isimbi ine musoro mukuru wesimbi unorema, uye ine tunzeve nomubato murefu, inoshandiswa kurovera zvipikiri pamwe nokuzvibvisa pazvambenge zvakaroverwa. nyundo 9 .
hamba 	K- 	9>10 	z 		hamba K- z 9>10 . Hamba chipuka china makwati, chinogara mumvura kana kunze, chisingakwanisi kufamba nokukurumidza. kamba 9 .
hambakabvuka 	KKKDD 	9>10 	z 		hambakabvuka KKKDD z 9>10 . Aka kapuka kaduku, kane musoro muduku nemakwati makwati muviri wose, kusiya kwemusoro, uye kanodya masvosve, ishwa nemajuru. haka 9, harakabvuka 9 .
hambamakaka 	D- 	9>10 	z 		hambamakaka D- z 9>10 . Uyu munhu ane mumhu mukuru chaizvo uye akasimba chose. hamburamakaka 9 .
hambarara 	KDKD 	9>10 	z 		hambarara KDKD z 9>10 . Iyi ikapu yakakura zviri pakati nepakati, ine mubato, uye inoshandiswa pakumwa mvura kana doro. Ndakanwa hambarara imwe chete ndikanzwa kudhakwa.
hambautare 	KKDKD 	9>10 	z 		hambautare KKDKD z 9>10 . motokari 9 .
hamburamakaka 	D- 	9>10 	z 		hamburamakaka D- z 9>10 . Uyu munhu kana mhuka ine mumhu mukuru, uye yakasimba chaizvo. Shumba ihamburamakaka yesango isina mhuka yainozeza. chikara 7, hambamakaka 9 .
hamiro 	KKD 	9>10 	z 		hamiro KKD z 9>10 . Hamiro mudziyo wedanda rakavezwa, eunokamirwa mukaka wemombe. hwedza 9, mutumba 3 .
hamvuropu 	KDDD 	9>10 	z 		hamvuropu KDDD z 9>10 . Iri ibutiro repepa rinoiswa tsamba isati yaindiswa kuposvo. Ndakaputira tsamba yomudiwa wangu muhamviropu ina maruva.
han'a 	DK 	9>10 	z 		han'a DK z 9>10 . Han'a mukadzi kana mhuka hadzi isingabereki zvachose. Ukaroora mukadzi han'a vakuru vanokupa chimutsamapfihwa. ANTONYMS ngomwa 9.
hana 	K- 	9>10 	z 		hana K- z 9>10 . moyo 9 . Kubata hana kudzikama kana kutsiga kwakaita munhu. Bata hana nokuti kwatiri kuenda kwakaoma. Ndakarohwa nehana ndanzwa kuti ndakundikana mubvunzo dzangu. Kurohwa nehana kuvhunduswa kana kutyiswa nechimwe chinhu.
handa 	D- 	9>10 	z 		handa D- z 9>10 . Handa mwana wembwa. mbwanana 9 .
handa 	K- 	9>10 	z 		handa K- z 9>10 . Handa itambo inosungiswa shangu.
handakamwe 	DDKK 	9>10 	z 		handakamwe DDKK z 9>10 . Uyu mukadzi akazvara kamwe chete. Iri izita rinopiwa imbwa yakazvara chimbwanana chimwe chete.
handira 	DDK 	9>10 	z 		handira DDK z 9>10 . Handira imombe nzombe isina kuchekwa uye inoberekesa mhou. bhuru 5, mukono 3, hando 9 .
handuro 	KDD 	9>10 	z 		handuro KDD z 9>10 . Handuro isimbi dzinobatwa namaoko pakufambisa nekururamisa bhasikoro kana mudhudhudhu. mibato 4 .
hanga 	K- 	9>10 	z 		hanga K- z 9>10 . Hanga ishiri yomusango yakafanana nehuku, ine ruvara rutema nemadodzi machena.
hangachepfu 	KDDD 	9>10 	z 		hangachepfu hengechepfu KDDD z 9>10 . Iri ijira diki rinoshandiswa kufurisa madzihwa kana kupukuta dikita. Hangachepfu yevanoputa bute haitani kusviba.
hangaiwa 	KKDK 	9>10 	z 		hangaiwa KKDK z 9>10 . Iyi ishiri inopfuyiwa yakafanana nenjiva. Hangaiwa dzikaenda kure sei, hadzirasiki pamusha. njiva varungu 9 .
hangara 	DDK 	9>10 	z 		hangara DDK z 9>10 . Hangara imhando yenyoka yakasvibirira, inogara mumvura, inodya hove doko uye matafi.
hangatoni 	K- 	9>10 	z 		hangatoni K- z 9>10 . Iyi ishiri yorudzi rwehanga.
hanwa 	KD 	9>10 	z 		hanwa KD z 9>10 . Hanwa chinzvimbo chiri pakati pezvinhu zviviri. Hanwa mudziyo unoshandiswa kutaridza uwandu hwezvinhu zvakaita semvura.
hanya 	D- 	9>10 	z 		hanya D- z 9>10 . Hanya kuva nechido nezvinoitwa navamwe, utano hwavo kana matambudziko avo. Munhu ane hanya nevamwe anobatsira vose vaanoona vachitambura.
hanya 	K- 	9>10 	z 		hanya K- z 9>10 . Hanya imhando yegwenzi rine hwema hwunonhuhwirira.
hanyanisi 	KDDD 	9>10 	z 		hanyanisi KDDD z 9>10 . Ichi chirimwa chino mudzi wakabunda, chinorungiswa muriwo, uye chinoti vavirei nokutosvora maziso kana chichichekererwa.
hanzu 	DK 	9>10 	z 		hanzu DK z 9>10 . Hanzu inguo kana nhumbi inopfekwa nomunhu. hembe 9, .
hanzvadzi 	KKD 	9>10 	z 		hanzvadzi KKD z 9>10 . Hanzvadzi izwi rinoshandisa kuratidza ukama huripo pakati pevanakomana nevanasikana vababa naamai vamwe chete, kana vanakomana nevanasikana vomukoma nemuninina wababa kana wamai. hazvanzi 9 .
hanzvadzikomana 	KKDKDK 	9>10 	z 		hanzvadzikomana KKDKDK z 9>10 . Uyu mukomana kana munhurume akaberekwa mudumbu rimwe nemusikana, kana kuti mwanakomana wokwamaiguru, mainini, babamukuru kana babamunini. hazvanzikomana 9 . ANTONYMS hanzvadzisikana 9.
hanzvadzisikana 	KKDKDK 	9>10 	z 		hanzvadzisikana KKDKDK z 9>10 . Uyu musikana kana munhukadzi akaberekwa mudumbu rimwe nemukomana kana kuti mwanasikana wokwamaiguru, mainini, babamukuru kana babamunini. hazvanzisikana 9 .
hapwa 	DK 	9>10 	z 		hapwa DK z 9>10 . Hapwa inhengo yomuviri iri muzasi mebipito, panosangana ruoko nomuviri, uye inomera vhudzi diki.
hara 	KD 	9>10 	z 		hara KD z 9>10 . Hara mudziyo wesimbi unoshandiswa nevarimi kuputsa mavhinga mumunda, kana kukura marara pachivanze.
harahwa 	DDD 	9>10 	z 		harahwa DDD z 9>10 . Harahwa murume anenge akura zvokutofamba akakotamira, uye achishandisa mudonzvo. mutana 1, mudhara 1 . ANTONYMS chembere 9.
harakabvuka 	K- 	9>10 	z 		harakabvuka K- z 9>10 . haka 9 .
harani 	KDD 	9>10 	z 		harani KDD z 9>10 . shinda 9 .
harati 	KKD 	9>10 	z 		harati KKD z 9>10 . Harati igonye rinodyiwa uye rinowanikwa mumuti womukarati munguva dzezhizha.
hari 	K- 	9>10 	z 		hari K- z 9>10 . Hari chiumbwa chevhu chinobikirwa zvokudya pachoto, kana kuchengeterwa zvinwiwa nezvimwewo zvokudya. Varimi vakagadzikirwa hari yechikumura kuti vawane rimwe simba. honzwa 9 .
haro 	K- 	9>10 	z 		haro K- z 9>10 . Haro inzvimbo inosara pakati pezvinhu zviviri zvakagarisana. hanu 9 . Haro inzvimbo yakadzikira inoganhura makomo maviri ari pedo napedo. mupata 3 .
harurwa 	KDK 	9>10 	z 		harurwa KDK z 9>10 . Harurwa zvipembenene zvinodyiwa, zvinonhuwa uye zvakachenuruka, zvinogara mumishuku munguva dzechirimo.
hasha 	DK 	9>10 	z 		hasha DK z 9>10 . Hasha rumuti rutete, runotepfa, runoshandiswa pakupfurira imba youswa.
hata 	K- 	9>10 	z 		hata K- z 9>10 . Hata uswa kana chichira chinomonwa choiswa pakati pamusoro usati watakura zvinorema zvakaita sehuni kana chirongo.
hatsakatsa 	D- 	9>10 	z 		hatsakatsa D- z 9>10 . Uyu munhu kana mhuka yakasimba uye inorema chaizvo.
hazvanzi 	KKD 	9>10 	z 		hazvanzi KKD z 9>10 . hanzvadzi 9 .
hazvanzikomana 	KKDKDK 	9>10 	z 		hazvanzikomana KKDKDK z 9>10 . hanzvadzikomana 9 .
hazvanzisikana 	KKDKDK 	9>10 	z 		hazvanzisikana KKDKDK z 9>10 . hanzvadzisikana 9 .
hembe 	KD 	9>10 	z 		hembe KD z 9>10 . Hembe chipfeko chinovhara kumusoro kwemuviri, kubva muchiuno, kusingasvikwi nebhurugwa. dhirezi .
hengechepfu 	KDDD 	9>10 	z 		hengechepfu KDDD z 9>10 . hangachepfu .
heti 	KD 	9>10 	z 		heti KD z 9>10 . Heti chishongo chomumusoro chinopfekwa nevarume nevakadzi. nguwani .
hochekeso 	D- 	9>10 	z 		hochekeso D- z 9>10 . Ichi chisimbi kana chitanda chakakombama chinoshandiswa kuhaka chimwe chinhu. Matiroko echitima ane hochekeso pakati pawo.
