bahwe 	KD 	5 	z 		bahwe KD z 5 . chibage 7 .
burishashike 	DKDDD 	5 	z 		burishashike DKDDD z 5 . Uku kusevenza kusina zororo.
burunzeve 	KKDK 	5 	z 		burunzeve KKDK z 5 . Uyu munhu ane nzeve dzisinganzwi. matsi 9 .
burushashike 	DKDDD 	5 	z 		burushashike DKDDD z 5 . Iyi ibvongamupopoto hombe.
buse 	K- 	5 	z 		buse K- z 5 . besu 5 .
butepute 	D- 	5 	z 		butepute D- z 5 . Ichi chinhu chisina kupetwa kana kupfekwa zvakanaka.
butepute 	DKDD 	5 	z 		butepute DKDD z 5 . Uku kuputa fodya munhu asingazvipi mukana wekuzorora, achingoti akapedza iyi otanga imwe.
bve 	K 		ny 		bve K ny . Kana chinhu chichinzi chati bve chinenge chabva pane imwe nzvimbo nekukasika.
bvekepfeke 	D- 	5 	z 		bvekepfeke D- z 5 . bvekechera 5 .
bvembere 	KDD 		ny 		bvembere KDD ny . Kuti bvembere kutiza-tiza kana kunzvenga-nzvenga kuti usabatwe kana kuonekwa.
bvere 	D- 		ny 		bvere bveru D- ny . Kuti bvere kugara munhu achiratidza kudekara kana kuti kugadzikana.
bveve 	D- 	5 	z 		bveve D- z 5 . bvee .
bveverere 	D- 	5 	z 		bveverere D- z 5 . runyerekupe 11 .
bvuche 	D- 	5 	z 		bvuche D- z 5 . Bvuche ironda rinorwadza, rinoita kazhinji murutsoka.
bvungepfunge 	DDKK 	5 	z 		bvungepfunge DDKK z 5 . Uyu mutambo unoitwa nepwere vachitsvaka kuona kuti anenge asura pane vamwe ndiani. bhunyupunyu 5 .
bvunzandibvume 	DKKKD 	1a 	z 		bvunzandibvume DKKKD z 1a . Uyu munhu anongobvuma zvose zvose. dzvetera 5 .
bvure 	D- 		ny 		bvure D- ny . Kuti bvure kugara kunoita vanhu vazhinji vakanyarara sezvinoitwa pakafiwa. bvurere .
bvurunyenye 	D- 	5 	z 		bvurunyenye D- z 5 . Urwu rutambo rwunenge rwabva patambo kana gumbeze rasakara.
bvute 	D- 	5 	z 		bvute bvure D- z 5 . Bvute irima rinokonzerwa nokudzikatirwa kwezuva kana mwenje.
bwanyanhekwe 	D- 	5 	z 		bwanyanhekwe D- z 5 . Iri ibasa rinorema zvikuru.
bwanyenze 	DKK 	14 	z 		bwanyenze bwanyanza DKK z 14 . Bwanyenze idivi remusana riri kumusoro kumafudzi.
bwe 	K 		ny 		bwe K ny . Kuti bwe kutya.
bwedere bwedere 	KKK KDD 		ny 		bwedere bwedere KKK KDD ny . Kuti bwedere bwedere kutaura zvisina maturo. Usati bwedere bwedere uri padyo neni. Ndinokudira tsvimbo.
bwenanguruve 	D- 	5 	z 		bwenanguruve D- z 5 . Urwu rudzi rwegwenzi rinokura richitandira mimwe miti. gwenanguruve 5 .
bwenge 	DK 		ny 		bwenge DK ny . Zvokudya kana zvokunwa zvikati bwenge zvinenge zvakawanda.
bweshe 	D- 		ny 		bweshe D- ny . bwerekeshe .
bweshepweshe 	D- 	5 	z 		bweshepweshe D- z 5 . Uku kugara pasi kwemunhu akaneta kana akatsamwa. Izvi zvinhu zvakaita madhaka.
bwetete 	DKD 	5 	z 		bwetete DKD z 5 . Bwetete zvinhu zvinenge zvakaita madhaka. Bwetete kurohwa kwemunhu mumwe nevanhu vakawanda.
chahuvhe 	DKD 	7 	z 		chahuvhe DKD z 7 . chakuvhe 7 .
chamhembe 	DKK 	7 	z 		chamhembe DKK z 7 . Ku chamhembe kwenyika kudivi riri kwakapesana nokumaodzanyemba, uye kunenge kuri kurudyi kana munhu akatarisa kumabvazuva.
chamumire-mumire 	KKKKKDD 	7 	z 		chamumire-mumire KKKKKDD z 7 . Iyi imvura inoyerera ichiita karuzha.
chamunhupe 	KDKD 	7 	z 		chamunhupe KDKD z 7 . chamunhube 7 .
chamushunye mushunye 	DDKK DKK 	7 	z 		chamushunye mushunye DDKK DKK z 7 . Uyu mutambo wokutsunyana nenzara kana nezvigunwe.
chamuswinye-muswinye 	KKDKDDD 	7 	z 		chamuswinye-muswinye KKDKDDD z 7 . chamushunye-mushunye .
chamuvherere 	KDKDD 	7 	z 		chamuvherere KDKDD z 7 . chamuzerere .
changatire 	D- 	7 	z 		changatire changatira D- z 7 . Uku kuyevedzwa nezvimwe zvinhu zvokuti unobva wakanganwa kuti pane chauri kuita.
change 	D- 	7 	z 		change D- z 7 . Change imhuka huru inogara pedo nemvura uye iri yemhuri yemharapara nebimha. dhumukwa 5, chuzu 9 .
chapande 	D- 	7 	z 		chapande D- z 7 . Chapande chikamu chechidziro cheimba.
che che che 	K- 		ny 		che che che K- ny . Kuti che che che kuita ruzha rwuri pamusoro-soro kunoitwa neshiri kana tumwe tupukanana twakaungana.
cheche 	DK 		ny 		cheche DK ny . Kuti cheche kuenzana kwezvinhu pakukura kana pauwandu. gwedegwe, kweche .
chechene 	KKD 		ny 		chechene KKD ny . Kuti chechene kubvisa chinhu uchiita zvokucheka kana kupara nebanga. seseu, checheu .
checherere 	D- 		ny 		checherere D- ny . Kuti chechere kumisa nokukasira basikoro ranga richimhanya chaizvo.
chechete 	DDK 	9>10 	z 		chechete DDK z 9>10 . Chechete muchero unodyiwa wakafanana neshumha asi muti wacho unomera pachuru.
chekausiye 	KKKKD 	9>10 	z 		chekausiye KKKKD z 9>10 . Iyi imhando yehove inofungirwa kuti munhu wose anouya akacheka nyama yaanoda akangoisiya yakadaro. jekawacheka 5 .
cheke cheke 	D- 		ny 		cheke cheke D- ny . cheke .
chekeche 	DDK 		ny 		chekeche DDK ny . cheke .
chenjereke 	KKDD 	1a 	z 		chenjereke KKDD z 1a . Uyu munhu akangwarisa zvakapfurikidza chipimo.
chenze 	D- 	7 	z 		chenze D- z 7 . zenze 5 .
chere 	D- 		bvunz 		chere D- bvunz . here .
cherechere 	DKDD 	9>10 	z 		cherechere DKDD z 9>10 . mbikiza 9 .
cherenje 	DDK 	5 	z 		cherenje DDK z 5 . Cherenje inhokwara dzomuti unonzi mucherenje.
chese 	K- 	9>10 	z 		chese K- z 9>10 . Chese ibanga, badza kana sanhu risina mubato. Banga chese rinonetsa kuchekesa zviyo nokuti rinorwadza kubata.
chibage 	DDK 	7>6 	z 		chibage DDK z 7>6 . Chibage imbeu inorimwa ichiita vana vane tsanga dzinogaiwa kuita upfu hunobikisa sadza. Baba vakarima chibage choga. magwere 6, mabarwe 6 .
chibanze 	DKD 	7 	z 		chibanze DKD z 7 . Chibanze ihari yedoro kana zvimwewo zvinosiyirwa muvakidzani.
Chibarirwe 	DKKK 	7 	z 		Chibarirwe DKKK z 7 . Iyi ikereke yechitema inotendera zvose kupira midzimu nechiKristu.
chibatapamwe 	DKKDDK 	7 	z 		chibatapamwe DKKDDK z 7 . chibatanwa 6 .
chibatirapamwe 	DKKDKK 	7 	z 		chibatirapamwe DKKDKK z 7 . chibatanwa 7 .
chibayamahure 	DDDDKD 	7 	z 		chibayamahure DDDDKD z 7 . chidhongi 7 .
chibhebhe 	D- 	7 	z 		chibhebhe D- z 7 . Chibhebhe mwana akachenjera. Chibhebhe musikana unoyevedza kuona. Manu unodanana nechibhebhe chokwaMugaisi.
chibhende 	D- 	7 	z 		chibhende D- z 7 . Chibhende mutauro wokupesedzera kuti vamwe vasaziva zvinorehwa. Takamunyeya nechibhende aripo.
chiboshwe 	DDK 	7 	z 		chiboshwe DDK z 7 . Iyi itsika yokunyanya kushandisa ruoko rweruboshwe. chimhindiboshwe 7, nyamanzere 1a .
chibvukebvuke 	DKDKD 	7 	z 		chibvukebvuke DKDKD z 7 . chipakirwa 7 .
chibvuwere 	DKKK 	7 	z 		chibvuwere DKKK z 7 . Aka kasadza kanobikirwa baba makuseni kakakora.
chibwe 	D- 	7 	z 		chibwe D- z 7 . Chibwe idombo diki rinokwanisa kusumudzika.
chidaurangende 	DKKKKK 	7 	z 		chidaurangende DKKKKK z 7 . Iyi isiketi inonyatsoendarana nemunhu akaipfeka.
chidhaurangende 	DKKKKK 	7 	z 		chidhaurangende DKKKKK z 7 . Iyi isiketi inenge ichinyatsa kukwana muridzi wayo.
chidyashe 	DKD 	7 	z 		chidyashe DKD z 7 . Chidyashe idoro shoma rinopiwa sabhuku panenge pachinwiwa doro.
chidzemwe 	DDK 	7 	z 		chidzemwe DDK z 7 . Uyu munhu asina tsika dzinofarirwa.
chifefe 	D- 	7 	z 		chifefe D- z 7 . Chifefe rudzi rwepfuti inobuda bara rimwe chete panguva.
chigaramunhembe 	DDDDDK 	7 	z 		chigaramunhembe DDDDDK z 7 . Uyu munhu ane maitire anenge omunhukadzi.
chigare 	DDK 	7 	z 		chigare DDK z 7 . Chigare itsika yokupandukira vari padyo newe, vangaita vabereki, vaunoshandira, kana vamwewo.
chigezamusoronebwe 	DDDDKKDK 	7 	z 		chigezamusoronebwe DDDDKKDK z 7 . Uyu musikana anenge achionekwa seasingazivi zvokuzvishambidza zvinoenderana nenguva yacho. chitiburahuruva 7, chigezanemugovera 7, chigeza 7 .
chigumamandere 	D- 	7 	z 		chigumamandere D- z 7 . Uyu munhu anenge asina kunyatsa kungwara.
chigumegume 	DKDKD 	7 	z 		chigumegume DKDKD z 7 . Ichi chinhu chinoitwa chichibva chakasika kupera.
chigumwe 	D- 	7 	z 		chigumwe D- z 7 . chigunwe 7 .
chigunwe 	D- 	7 	z 		chigunwe D- z 7 . Chigunwe chimwe chete chezvipatsanurwa zvishanu zviri kumberi kwetsoka kwakapatsanuka.
chigware 	D- 	7 	z 		chigware D- z 7 . chikumbaridzo 7 .
chigwayambanje 	DDKDK 	7 	z 		chigwayambanje DDKDK z 7 . chikwayambanje 7 .
chigwende 	D- 	7 	z 		chigwende D- z 7 . Chigwende mutevedzeri womumwe pabasa.
chigwenhure 	DDKD 	7 	z 		chigwenhure DDKD z 7 . gwenhure 5 .
chigweve 	DKD 	7 	z 		chigweve DKD z 7 . chigwesha 7 .
chihwe 	D- 	7 	z 		chihwe D- z 7 . chishwe 7 .
chihwehwe 	DDK 	7 	z 		chihwehwe DDK z 7 . chihwenga 7 .
chijongwe 	DDK 	7 	z 		chijongwe DDK z 7 . Chijongwe ishiri hono yakati kurei.
chikakaumbe 	D- 	7 	z 		chikakaumbe D- z 7 . chigwa 7 .
chikende 	DDK 	7 	z 		chikende DDK z 7 . Chikende igomba rinocherwa kuiswa mbambo dzinotara muganhu womunda.
chikondohwe 	DDKD 	7 	z 		chikondohwe DDKD z 7 . Iyi imbudzi honho inenge isina kuchekwa.
chiKorekore 	D- 	7 	z 		chiKorekore D- z 7 . Iri nderimwe remazita anonzi ndiwo marudzi evaShona, vanhu vacho vachigara kumatunhu ekumaodzanyemba kwaanaChipuriro, Dharuweni neMutoko.
chikwaire 	DKDK 	7 	z 		chikwaire DKDK z 7 . Uyu munhu mupfupi anoratidza kudya achiguta. mbozha 9, njonda 9 .
chikwape 	D- 	7 	z 		chikwape D- z 7 . Chikwape rudzi rwemakwai ane misoro mitema.
chikwe-e 	DKD 	7 	z 		chikwe-e DKD z 7 . Uku kuseka kanoitwa munhu achidaidzira kanowanzoitwa navasikana namadzimai. chikuwe 7 .
chikwembe 	DKD 	7 	z 		chikwembe DKD z 7 . Chikwembe kamweya kakashata kanowanzoitwa nevanhu kana mbudzi. gwembe 5 .
chimhare 	DDK 	7 	z 		chimhare DDK z 7 . Chimhare inzvimbo inenge iine ivhu rakaita chidhaka chakatsetseka.
chimvuramabwe 	DKKKD 	7 	z 		chimvuramabwe chimvuramahwe DKKKD z 7 . Iyi imvura yakagwamba kuita chando inenge ichinaya.
chinamwe 	DKD 	7 	z 		chinamwe DKD z 7 . Chinamwe ivhu dete rinokwanisa kunama.
chindarumebwe 	DDKDD 	7 	z 		chindarumebwe DDKDD z 7 . Urwu rumwewo rudzi rwenyoka. chindarumabwe 7, chimanzi 7 .
chingure 	DKD 	7 	z 		chingure DKD z 7 . Chingure izwi rinenge riri pamusoro kana vanhu vachikayanisa izwi pakuimba. chigure 7, magure 6 .
chinyakamwe 	DDKK 	7 	z 		chinyakamwe DDKK z 7 . Uku kubatanidza zvaungaite nguva dzakasiyana-siyana, wongozviita panguva imwe chete. mukamwe 3 .
chinyakasheche 	DDDKD 	7 	z 		chinyakasheche DDDKD z 7 . Urwu rudzi hwehowa hunowanza kumera muvhu rakaita musheche, hunowanzofushwa.
chinyamande 	D- 	7 	z 		chinyamande D- z 7 . Urwu rudzi rwenhanga.
chinyange 	DDK 	7 	z 		chinyange DDK z 7 . Chinyange kuumbiridza zvakaita sesadza kana ivhu, zvichiurungana kuita misuva kana tubhora. gube .
chinyararire 	DKKDK 	7 	z 		chinyararire DKKDK z 7 . chimhukutira 7 .
chinyerere 	DKKK 	1a 	z 		chinyerere DKKK z 1a . Chinyerere munhu asingawanzofariri zvokutaura. sinyerere 1a .
chinzve-enzve-e 	DKK 	7 	z 		chinzve-enzve-e DKK z 7 . Uku kupfuura-pfuura kunenge kuchiita zvinhu zvaunoona nepamberi pako.
chiokomhende 	DKKDK 	7 	z 		chiokomhende DKKDK z 7 . Uyu munhu anenge ane ruoko rwakaremara.
chiome 	DKD 	7 	z 		chiome chiwome DKD z 7 . Chiome munhu asingapi nhando zvaanenge anazvo. chin'ogoro 7, mupazvaora 7 .
chipavhurire 	DKKDK 	7 	z 		chipavhurire mapavhurire DKKDK z 7 . Uyu munhu akasununguka kupa zvinhu kune vamwe vanhu.
chipembere 	D- 	7 	z 		chipembere D- z 7 . Iyi imhuka huru ine runyanga rumwe rurefu nechapamusoro pemhino yayo. Chipembere chinonzi chinopenga kana chadya mukonde. nhema 9 .
chipepe 	DKK 	7 	z 		chipepe DKK z 7 . kepisi 9 .
chipere 	D- 	7 	z 		chipere D- z 7 . Chipere ibere rine mavara-mavara. svitsi 9 .
chipfumbamwe 	D- 	7 	z 		chipfumbamwe D- z 7 . Iri izita rinoreva chiverengwa chiri pakati pesere negumi.
chipukandipemwenje 	DDKKDDD 	7 	z 		chipukandipemwenje DDKKDDD z 7 . Uyu munhu akashata kumeso zvakanyanya.
chirahwe 	DKD 	7 	z 		chirahwe chirabwe DKD z 7 . chipari 7 .
chirevereve 	DKDKD 	7 	z 		chirevereve DKDKD z 7 . Iyi inhetembo inodetembwa nomurume kutenda mukadzi pakumubata zvakanaka mugudza. madanha 6 .
chirwirangwe 	D- 	7 	z 		chirwirangwe D- z 7 . Chirwirangwe kukutsirana kurova munhu mumwe chete. Chirwirangwe kuita muonerapamwe pabasa kana kudzivirira tsaona. mushandirapamwe 3 .
chisere 	DKK 	7 	z 		chisere DKK z 7 . Iri izita rinoreva chiverengwa chinotevera mushure mechinomwe.
chisimbachebere 	DDK DKD 	7 	z 		chisimbachebere DDK DKD z 7 . Uku kushereketa kuita basa kwenguva diki zvobva zvapera.
chitsere 	D- 	7 	z 		chitsere chisere D- z 7 . Chitsere kamhuka kane musana muchena nomunhumbu mutema, kane mbiri yokudya uchi.
chitsvare 	DDK 	7 	z 		chitsvare DDK z 7 . chitsveru 7 .
chitumbuzenene 	DDDKKK 	7 	z 		chitumbuzenene DDDKKK z 7 . tagutapadare 1a .
chivakashure 	DKDKD 	7 	z 		chivakashure DKDKD z 7 . Ichi chivakiso chinoiswa kunotangira shoko chichiwedzera zvarinoreva. Dzinde rokuti -komana raiswa chivakashure mu- pakabuda izwi rokuti mukomana.
chivande 	DKD 	7 	z 		chivande DKD z 7 . Chivande kuita zvinhu pasina mumwe anozviziva. Mufundisi vakaenda kun'anga kundoshopera muchivande. chihwande 7, chirevere 7 .
chivanze 	DKD 	7 	z 		chivanze DKD z 7 . Chivanze inhandare inoratidza panogumira musha. Imbwa haifaniri kuruma munhu ari kunze kwechivanze. ruvanze 11, ruvazhe 11 .
chivavane 	DKKD 	7 	z 		chivavane chivavani DKKD z 7 . Iri ivhu rinenge richivavira munyu, rinofarirwa kunanzvwa nen'ombe kana nembudzi.
chiverere 	D- 	7 	z 		chiverere D- z 7 . chiverevere 7 .
chivhuramahwe 	DKKKD 	7 	z 		chivhuramahwe DKKKD z 7 . chimvuramabwe 7 .
chiwareware 	D- 	7 	z 		chiwareware D- z 7 . Uku kupararana kweboka ravanhu kana mhuka. Pakaputika bhomba pakati peguta, vanhu vakaita chiwareware kutiza vose. chimwandamwanda 7 .
chose 	K- 		dc 		chose K- dc . Iri izwi rinoshandiswa kuratidza kupererera kwechiito, richitsinhiridza zvachinenge chichireva. Mukomana uyu anofara chose. fani .
dandare 	D- 	5>6 	z 		dandare D- z 5>6 . Dandare inzvimbo isina zvimwe zvinhu zviri pairi asi pari pamusha, uye inoitisiwa zvakasiyana-siyana. ruvazhe 11 . Dandare kanzvimbo kadiki kakakomberedzwa mumunda, kanosiyirwa kazhinji kuti kagorimwa fodya.
dande 	KD 	5 	z 		dande KD z 5 . Dande inzvimbo inotevedzana negomo inenge yakareburuka. Dande rudzi rwemhunga ine tsanga dzakakura kudarika dzemamwe marudzi.
dangwe 	KD 	5 	z 		dangwe KD z 5 . Dangwe mwana anotanga kuzvarwa mumhuri. Dangwe rinotarisirwa kupa vamwe vana muenzaniso wokugara zvakanaka.
dare 	KD 	5>6 	z 		dare KD z 5>6 . Dare isimbi unoridzwa kutaridza kupera kana kutanga kwenguva inenge yakatarwa. Mangwanani ogaoga tinomira pamutsetse kana dare richinge rarira. bhero 5 . Dare rudzi rwehowa hunokura kudarika mamwe marudzi ose ehowa. Mai vakanga vakabata dare rakakura senzeve yenzou.
dasvemutasve 	KDDKD 	5 	z 		dasvemutasve KDDKD z 5 . Urwu rudzi rwemuti unokura uchimonera imwe miti yakasimba.
de 	K 		bat 		de K bat . dai .
de 	K 		ny 		de K ny . Kuti de kutema munhu netsvimbo uchibva warova chaipo paunoda. Karikoga kakati Benyumundiro de netsvimbo pabvi.
debwe 	D- 	5>6 	z 		debwe D- z 5>6 . dehwe 5 .
demahope 	KDKK 	5 	z 		demahope KDKK z 5 . Uyu musoro unorwadza uchiita zvokutema nechokumusorosoro kwemhino. chomusoro 5 .
demhe 	DK 	5>6 	z 		demhe DK z 5>6 . Demhe chimedu chinobva panenge paputsika dende kana damba. Vana vadiki vanoshandisa matemhe amatamba kubikira matakanana. Demhe iganda rakaomarara redende, munoiswa mbira. deze 5 .
dende 	K- 	5>6 	z 		dende K- z 5>6 . Dende mudziyo uogadzirwa nemanhanga akaoma, unogona kuchereswa mvura kana kuchengeterwa mukaka.
dendere 	K- 		ny 		dendere K- ny . Munhu akati dendere nenzira anofamba achingotevedza iyo chete asingatsauki. Mai pavakaona mwana odziya muviri, vakamubereka ndokuti dendere nenzira yokuchipatara.
denhe 	DK 		ny 		denhe DK ny . denhu .
denhe 	K- 	5>6 	z 		denhe K- z 5>6 . Denhe mudziyo mukuru unochengeterwa upfu.
denhere 	D- 	5>6 	z 		denhere D- z 5>6 . Denhere inzvimbo ine miti neuswa zvakabatana chaizvo, zvokuti zvinonetsa kupindamo.
dete 	KD 	5 	z 		dete KD z 5 . Dete inzvimbo yakazara miti mitete kana tsanga.
dhege 	DK 		ny 		dhege bhege DK ny . Kuti dhege kuwira pasi kwechinhu chinorema chichiputsika kuita zvipandi. Kuti dhege kubika kudya kwakawanda zvikuru.
dhende 	D- 	5 	z 		dhende D- z 5 . Dhende inhumbi yabvaruka, isisapfekwi.
dhumbe 	KD 	5 	z 		dhumbe KD z 5 . Dhumbe chirimwa chinoberekera pasi chakada kuita sembambaira.
dhungetunge 	DDKK 	5 	z 		dhungetunge dungetunge DDKK z 5 . Aya masonero anoitwa shinda dzichitaranganiswa, kuitira kukasika kupedza kusona.
dhuve 	KD 	9 	z 		dhuve KD z 9 . mbizi 9 .
dome 	DK 	5 	z 		dome DK z 5 . Kuenda dome kurasika gwara rezvinofanira kuitwa.
donje 	D- 	5 	z 		donje D- z 5 . Donje chirimwa chinoita zvibhora zvichena zveshinda, chisingaremi, chinogadzirisa micheka. tonje 9, shinda 9, kotoni 9 .
dore 	D- 	5>6 	z 		dore D- z 5>6 . Dore in'ombe yakwegura zvokuti inenge yonetseka nokufamba. gwachara 5 .
duche 	KD 	5 	z 		duche KD z 5 . Duche imhunga ichangobva mukuchekwa mumunda.
dumbetumbe 	D- 	5 	z 		dumbetumbe D- z 5 . Uku kupinda vanhu vachitevedzana, vakakotamisa misana kuti vakwane.
dyorahope 	DDKK 	5 	z 		dyorahope DDKK z 5 . Uku kudya kwamangwanani kunopiwa vanhu vachangomuka.
dywedywe 	KD 	5 	z 		dywedywe KD z 5 . Dywedywe rudzi rweshiri inodya tupukanana, inoonekwa ichifamba pasi nedzimwe dzayo ichitsvaka chokudya. jese 5, zhogozhogo 5 .
dzamachechetere 	KKKDDD 	10 	z 		dzamachechetere KKKDDD z 10 . Aya maitiro ejongwe okuzarura bapiro raro, richirinzvenzveresa pagumbo richitenderera sheche kana mhambo.
dzande 	D 	5 	z 		dzande D z 5 . Dzande rudzi rwenzungu yakaita diki.
dze dze dze 	D- 		ny 		dze dze dze D- ny . Kuti dze dze dze kutadza kufamba zvakanaka komunhu anenge akatakura zvinhu zvinorema.
dzepfunde 	KDD 	9 	z 		dzepfunde KDD z 9 . Kana munhu achiteerera ngano, anopota achidavira achiti dzepfunde .
dzere 	D- 	5 	z 		dzere D- z 5 . dacha 5 .
dzetse 	DK 	5 	z 		dzetse DK z 5 . Dzetse idafi guru kupinda mamwe ose.
dzinde 	KD 	5 	z 		dzinde KD z 5 . Dzinde ndechinomera muvhu chichireba, mapazi nemashizha achizomerawo kubva pachiri.
dzoke 	DK 		bat 		dzoke dzokei DK bat . Izwi iri rinoshandiswa kuratidza zvinozotevera mumashure. Akabvunzurudzwa nemapurisa, dzoke ofushunura zvose zvavaimboita nevamwe vake. dzokono, dzokonoko, ndokubva .
dzoran'ombe 	D- 	5 	z 		dzoran'ombe D- z 5 . fudzamombe 5 .
dzuramombe 	D- 	5 	z 		dzuramombe D- z 5 . Urwu rudzi rwetsuro hombe. shurodanda 9 .
dzvatarume 	D- 	5 	z 		dzvatarume D- z 5 . jaya 5 .
-dzvene 	DK 		pr 		-dzvene DK pr . Ichi chipauro chemupanda chinoreva chinhu chakanaka. -tsvene .
dzvuketsvuke 	DKDD 	5 	z 		dzvuketsvuke DKDD z 5 . Urwu rudzi rwehwowa hunodyiwa, hune nzeve tsvuku. tsvuketsvuke 9 .
e 	K 	1a\9 	vm 		e K vm 1a\9 . Iri ivaramwana rinodaidzwa richinzi e-e riri pakati pa dhi na efu mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
e-e-e 	K- 		kanu 		e-e-e K- kanu . Tinoshandisa e-e-e kuratidza kuti hatibvumirani nezvinhu zvinenge zvava kuda kuitwa nemumwe munhu. E-e-e, ini zvekuteedzerwa vasikana handizvide. Tinoshandisa e-e-e kuratidza kukatyamara.
ee 	DK 		kanu 		ee DK kanu . Tinoshandisa ee kubvuma zvinenge zvavhunzwa.
eezve 	D- 		kanu 		eezve D- kanu . eeka .
ehe 	DK 		kanu 		ehe DK kanu . Tinoshandisa ehe kubvumirana nezvinenge zvichitaurwa kana kuvhunzwa. Tinoshandisa ehe kana tichigutsurira nekukurudzira kuti munhu aenderere mberi nenyaya.
ehunde 	DKD 		kanu 		ehunde DKD kanu . Tinoshandisa ehunde kubvumirana nezvinenge zvichivhunzwa kana kutaurwa. hongu .
ende 	D- 		bat 		ende D- bat . uyezve .
