a 	K 	1a\9 	vm 		a K vm 1a\9 . Iri ivaramwana rinodaidzwa richinzi a-a , riri pekutanga mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
banya 	KD 	5 	z 		banya KD z 5 . Banya rudzi rwembeva huru inogara mumakura.
-banzura 	D 				-banzura D it . Ku banzura kutsemura sezvakaita rumuti kana danda nepakati. -rova .
-bara 	K 				-bara K it . -zvara .
bara 	KD 	5 	z 		bara KD z 5 . Bara chisimbi chakaurungana chinobuda mukasha yepfuti chichinobaya wacho anenge achipfurwa. mbumburu 9 .
baradzamusasa 	D- 	5 	z 		baradzamusasa D- z 5 . Iyi ihari yehwahwa yokupedzisira inonwiwa vanhu voparadzana kuenda kudzimba.
baradzanwa 	DDKD 	5 	z 		baradzanwa DDKD z 5 . Uku kutsaukana kwenzira dzanga dziri mugwagwa mumwe chete.
baravara 	K- 	5>6 	z 		baravara K- z 5>6 . Uyu musoro wakaveurwa kana kubviswa vhudzi rose kusara wava musvuu.
-bata-bata 	D 				-bata-bata D itik . Kubata-bata kuedza kuita zvinhu zvakawanda nechimbichimbi, muchiti chino ite morega, moitazve chimwe. Kana munhu achi bata-bata anenge achidanana nevanhu vakawanda.
-batana 	K 				-batana K it . Ku batana kuva vanhu vanopindirana pamwe chete mudonzvo ravanenge vainaro. Varwiri verusununguko vaiva vakabatana zvokuti vashoma vavo vakapanduka.
-batika 	K 				-batika K itik . Ku batika kunge munhu aine basa kana zvimwe zvinhu zvinomutadzisa kuita mamwe mabasa panguva imweyo. -manikidza .
-batikana 	K 				-batikana K itik . Ku batikana kuva nebasa rakawanda rinokutadzisa kuita mamwe mabasa. -batika .
-batsira 	K 				-batsira K it . Kana uka batsira munhu unenge wamupa ruyamuro kana kumuitira zvakanaka.
-bedura 	K 				-bedura K it . Kubedura kugura chidimbu kubva pachinhu chihombe. Pedura chidhinha ichi chigokwana patinoda kuchitsveta.
benyera 	D- 	5 	z 		benyera D- z 5 . Benyera chinyavada chihombe chinondurira nekumashure.
bepa 	D- 	5>6 	z 		bepa D- z 5>6 . Bepa ishizha rimwe rekunyorera. Bepa igwaro rinodhindwa nhau. pepanhau 5 .
-berebeda 	K 				-berebeda K it . Ku berebeda kudya chibage munhu achiruma dzimwe tsanga nemazino, dzimwe achisiyirira.
-bereka 	D 				-bereka D it . Kana munhu achi bereka anenge achikwanisa kuita mwana. -zvara . Ku bereka kutakura mwana kumusana.
berera 	DKD 	1a 	z 		berera DKD z 1a . Berera igudo guru gonho rinochengetedza mamwe ose anenge ari muchikwata charo. hombiro 5, mombo 9 .
besanwa 	DKD 	5 	z 		besanwa DKD z 5 . Besanwa imhomho yavanhu vanofamba vachienda kwakasiyana panguva imwe.
-betsera 	K 				-betsera K . -batsira .
beya 	KD 	5 	z 		beya KD z 5 . Kana zvichinzi munhu akagara beya, anenge akagara asina kunyatsa kuvharidzira hembe yake, kana kuti aine kabudura inenge yakashama makumbo agere, achionesa zviri mukati.
beza 	D- 		ny 		beza D- ny . Kuti beza kugara munhu akangonyarara.
bha 	K 		ny 		bha K ny . Kuti bha kurira kunoita chinhu charohwa zvakasimba.
-bhabhadzira 	K 				-bhabhadzira K it . Ku bhabhadzira kurova nhengo yemuviri wemunhu kana mhuka zvinyoronyoro kuri kuratidza rudo kana kufarira.
-bhabhama 	D 				-bhabhama D it . Ku bhabhama kurovanisa mapapiro pamuviri sezvinoita jongwe roda kurira.
-bhabhanura 	D 				-bhabhanura D it . Ku bhadhanura kuvhura gwaro kana jira rinenge rakavharwa kana kuputirwa.
-bhabhatidza 	K 				-bhabhatidza bhapatidza K it . Kana mupirisiti achi bhabhatidza munhu anenge achimunyika mumvura senzira yekumusuka zvitadzo zvake kuti achitanga kuva mutendi akakwana.
-bhadhara 	D 				-bhadhara D it . Kana uchi bhadhara unenge uchibvisa mari kana zvimwewo zvinenge zvarehwa kuti uwane chaunenge uchida.
-bhadhura 	K 				-bhadhura K it . Ku bhadhura kurova munhu kumeso kana mumusoro nembama.
bhaira 	D- 	5 	z 		bhaira D- z 5 . Bhaira inzvimbo inenge iine moto wakawanda unopisa.
-bhamaradza 	K 				-bhamaradza K it . -bamhadza .
-bhamhadza 	K 				-bhamhadza -bhamadza K it . Ku bhamhadza kurova munhu neruoko.
bhara 	KD 	5 	z 		bhara KD z 5 . Bhara chingoro chine vhiri rimwe chete nemakumbo maviri, chinosundwa nemunhu mumwe chete.
bharaziya 		5 	z 		bharaziya z 5 .
-bharura 	K 				-bharura K it . -bvarura .
bhasa 	KD 	1a 	z 		bhasa KD z 1a . Bhasa izwi rinoreva mukuru pabasa.
bhata 	KD 	5 	z 		bhata KD z 5 . Bhata kudya kwakakorera kunogadzirwa neruomba rwemukaka, kunozorwa sezvakaita pachingwa kana kuiswa mubota.
bhawa 	KD 	5 	z 		bhawa KD z 5 . Bhawa imba inotengeserwa nekunwirwa hwahwa.
-bhebhudza 	D 				-bhebhudza D it . Ku bhebhudza kubatsira munhu kutakura mwana kumusana.
-bhedhenura 	D 				-bhedhenura D it . Ku bhedhenura kuvhura chinhu changa chakapetwa kuti mukati macho muonekwe.
-bheka 	D 				-bheka D it . Ku bheka kudzika nguwani yakarerekera parutivi.
-bheka 	K 				-bheka K it . Ku bheka kubika chingwa kana zvimwewo zvingangobikirwa muhovhoni.
-bhema 	D 				-bhema D it . -puta .
-bhenda 	K 				-bhenda K itik . -kombama .
-bhendenura 	D 				-bhendenura D it . -bhedhenura .
-bhenga 	K 				-bhenga K it . Ku bhenga kuisa mari yako muimba inochengeterwa mari wozoitora kana woda kuishandisa.
bhera 	KD 	5 	z 		bhera bhero KD z 5 . Bhera chisimbi kana huta kana chimwewo chinoridzwa kunyevera vanhu pamusoro pezvakasiyana. Pakasvika Mucha auya kuzonditora kuti tiende kumba, akangoridza bhera chete, ini ndichibva ndatotakura mabhegi ndomhanya kumota. dare 5 .
bheriya 	KKD 	9>10 	z 		bheriya KKD z 9>10 . Bheriya musangano wekuti nhengo dzinoisa mari muhomwe imwe chete kuitira kuzobatsirika kana mumwe afirwa kana kuti imwe yenhengo yafa.
bheura 	KKD 	5 	z 		bheura KKD z 5 . Bheura idemo hombe rinoitwa zvekupfekerwa mumupinyi.
-bhidhaira 	D 				-bhidhaira D itik . Ku bhidhaira kufamba zvine hasha uchitsika pasi zvine simba.
-bhidhirika 	D 				-bhidhirika D itik . Ku bhidhirika kukunguruka kana kungoshiringinya kwechinhu.
-bhigidhidza 	D 				-bhigidhidza D it . Ku bhigidhidza kurova pasi zvine simba pasina kumira.
-bhimhidza 	K 				-bhimhidza K it . Ku bhimhidza kurova nechibhakera kumusana kana mudumbu.
bhinya 	D- 	5 	z 		bhinya D- z 5 . Bhinya munhu anoita zvekupamba zvinhu zvevamwe nechisimba. Bhinya munhu anobata mumwe chibharo achimumanikidza kurara naye iye asingadi.
-bhiridha 	K 				-bhiridha K itik . Ku bhiridha kupiringana kunoita mombe dzinenge dzakasungwa pajoko, imwe yakatarisa shure imwe mberi, asi dziri pajoki rimwe chete.
bhiridha 	KDD 	1a 	z 		bhiridha KDD z 1a . Bhiridha munhu anoita basa rekuvaka dzimba.
-bhodyora 	D 				-bhodyora -bhodyodza D it . Ku bhodyora kuboora chimwe chinhu.
-bhofodza 	D 				-bhofodza D it . Ku bhofodza kubvoora kana kuti kuita kuti munhu aboore chinhu chakatefeteka.
-bhogodza 	K 				-bhogodza K it . Ku bhogodza kudimura chinhu kuti chive zvimedu zvimedu.
-bhomudza 	K 				-bhomudza K it . Ku bhomudza kurova munhu nechibhakera kamwe chete zvine simba.
-bhonda 	D 				-bhonda D . Ku bhonda kurovera pane chimwe chinhu.
-bhongozhora 	K 				-bhongozhora K it . Ku bhongozhora kurova munhu nechitanda chikobvu.
bhovha 	KD 	5 	z 		bhovha KD z 5 . -bhinya 5 .
-bhovhora 	D 				-bhovhora D it . Ku bhovhora kuboora chinhu chakatefeteka.
-bhubhudyura 	D 				-bhubhudyura D it . Ku bhubhudyura kutsenga nyama yakaita serunda zvinoratidza kuti nyakudya mukari. -zhanyura .
-bhubhuma 	D 				-bhubhuma D itik . Ku bhubhuma kurovanisa mapapiro zvakanyanya kweshiri yavhunduka uye inenge ichida kutiza.
-bhucha 	D 				-bhucha D it . Ku bhucha kuita tsvina kwemunhu. Enda nemwana anobhucha kuchimbuzi.
bhucha 	KD 	5 	z 		bhucha KD z 5 . Bhucha imba inotengeserwa nyama.
-bhuguja 	D 				-bhuguja D . Ku bhuguja kurova mvura nemakumbo nemaoko pakushambira. Nyanzvi chaidzo dzekushambira hadziiti zvekubhuguja kana kurova bhangu zvauri kuita izvi. Ko, zvakasiyana here?
-bhugumuka 	K 				-bhugumuka K itik . Ku bhugumuka kuwira pasi kwechinhu chine zvinhu mukati chichiwira pasi.
-bhugumura 	K 				-bhugumura K it . Ku bhugumura kudonhedza chinhu chine zvinhu mukati chobva chaputsika.
-bhura 	K 				-bhura K . Ku bhura kurova munhu zvakanyanya.
bhurakwacha 	DKKD 	5 	z 		bhurakwacha DKKD z 5 . Iri izita raipihwa mapurisa echitema kare.
-bhurasha 	D 				-bhurasha bhuracha D it . Ku bhurasha kuchenesa chinhu uchiita sekunge uri kuchikama iwe uchishandisa chimudziyo chine zvipfari zvipfupi. Bhurasha bhachi rangu machira ari pariri abve.
bhuraziya 	DKDD 	5 	z 		bhuraziya DKDD z 5 . Ichi chirwere chinoita kuti munhu aite weti ine ropa chinoitwa kana munhu akatsika mumvura isingaereri inenge ine tupuka tunonzi hozhwa.
bhureza 	DKD 	5 	z 		bhureza DKD z 5 . Bhureza rudzi rwebhachi ratinoona kazhinji richipfekwa nevana vechikoro seyunifomu yavo.
bhurukwa 	DKD 	5 	z 		bhurukwa bhurukwe DKD z 5 . Bhurukwa chipfeko chinopfekwa kubva kumakumbo chichizosungirwa muchiuno.
-bhuya 	D 				-bhuya D it . Ku bhuya kukurukurirana nyaya.
-bibinuka 	D 				-bibinuka D itik . Ku bibinuka kuenda kana kubuda kwezvinhu zvakawanda pamwe chete. Vanhu vakabibinuka kuenda kuminda pakamira mvura kunaya.
-bibirika 	D 				-bibirika bidirika D itik . Ku bibirika kushereketa wakarara kazhinji pari pamusana pokuti uri kurwadziwa.
-bibiritsa 	D 				-bibiritsa D it . -kungurutsa .
-bibitsa 	K 				-bibitsa K it . Uku kutakudza munhu kana chimwe chinhu zvinorema. -bibidza, -pipita .
bida bida 	KD+ 		ny 		bida bida KD+ ny . Kana munhu achifamba achiti bida bida anenge achifambisa hudyu kumativi nokukurumidza.
-bidinuka 	D 				-bidinuka D itik . Ku bidinuka kwechinhu chihombe kukwanisika kwacho kuvhukunurwa. Kana chinhu changa chakavanzika chichi bidinuka chinenge chichikwanisa kuburitswa pachena.
-bidinura 	D 				-bidinura D it . Ku bidinura kuvhukunura chinhu chihombe kana kuburitsa pachena chinhu changa chakavanzika.
-bidyudza 	K 				-bidyudza K it . Ku bidyudza kusimudza nokutakura chinhu chinorema.
-bika 	D 				-bika D it . Ku bika kugadza zvinhu zvimbishi pamoto kuti zviibve.
bikita 	DDK 	5 	z 		bikita DDK z 5 . Bikita imhuka huru inogara mumwena wainochera, inofamba usiku uye inodya majuru nemasvosve. dzimba 9, hwiribidi 9 .
-bima 	K 				-bima K itik . Ku bima kugara munhu anyerere sezvinoita muenzi.
bina 	DK 	5 	z 		bina DK z 5 . Bina ibango rinoshandiswa kumisa denga pakuturika imba.
-binda 	K 				-binda K it . Ku binda kupfekedza kana kuti kuzvipfekedza nechinhu chichibva muchiuno kusvika muzvidya.
-bindikita 	K 				-bindikita K itik . Ku bundikita kuita chinhu nesimba wakaisa pfungwa dzako dzese ipapo.
bindudzambwa 	KKDD 	5 	z 		bindudzambwa KKDD z 5 . Urwu rudzi rwetsuro inomhanya chaizvo.
binga 	D- 	5 	z 		binga D- z 5 . Binga inzvimbo yakakomberedzwa ine dzimba dzashe.
binga 	KD 	5 	z 		binga KD z 5 . Binga isango rine miti yakabatana iri mizhinji pane dzimwe nzvimbo dzine mvura. Binga muti wakapfumvutira zvikuru kumusoro kwawo.
-bingunura 	K 				-bingunura K it . Ku bingunura kugadziridza zvichemo zvevanhu.
-binya 	D 				-binya D it . Ku binya kusimudza chinhu wochitakura papfudzi. Binya saga reupfu iro tiende. Ku binya kunyengedza vamwe vanhu kuitira kuti uwane zvaunoda kubva kwavari. -korovhera .
binya 	KD 				binya KD . Binya inhindi yenyama yakarebenuka.
-binza 	K 				-binza K it . Ku binza kuita kuti munhu ashatirwe kana kuti aite hasha.
-bipitira 	K 				-bipitira K it . Ku bipitira kutakura zvinhu zvose zvinokwanisika panguva imwe chete.
bira 	KD 	5 	z 		bira KD z 5 . Bira mutambo unoitwa wekushumira vadzimu.
-biribididza 	D 				-biribididza D it . Ku biribididza kukonzera munhu kuti atsike-tsike pasi pakurwisana. -bhibhiritsa .
-biribidika 	D 				-biribidika D itik . Ku biribidika kudzana-dzana pasi pakurwisana nemumwe munhu.
-birisha 	K 				-birisha K itik . Ku birisha kushanda zvine simba. Vaiita birisha vachivaka imba yavo. -bishinga .
-bisa 	D 				-bisa D it . -bvisa .
-bisha 	D 				-bisha D itik . Ku bisha kushanda nesimba zvichizopa mubairo.
-bishinga 	K 				-bishinga K itik . Ku bishinga kushanda nesimba.
-bitita 	K 				-bitita K it . Ku bitita kurova zvakasimba. -nera .
biya 	DK 	5 	z 		biya DK z 5 . gango 5 .
-biyinga 	K 				-biyinga K it . Ku biyinga kupfeka nhumbi dzine ruvara rwakajeka.
biza 	D- 	5 	z 		biza D- z 5 . Biza urefu hwemucheka.
-bobodza 	K 				-bobodza K it . Ku bobodza kurova muromo. Mai vakabobodza mwana paaichema kuti anyarare. -bomodza .
-bodana 	D 				-bodana D itik . Ku bodana kuibvisa kwechinhu chabikwa. Nyama yakanga yabodana zvekuti yanga yanyanya kupfava. -dhogodhera .
-bodoka 	D 				-bodoka D itik . Ku bodoka kunyorovera sezvinoita chinhu chabikwa. -tokota .
-bodora 	K 				-bodora K it . Ku bodora kurova sezvakaita munhu kana imbwa panhengo yomuviri yakanyorovera.
boka 	D- 	5>6 	z 		boka D- z 5>6 . Boka chikwata chevanhu vane chinangwa chimwe.
-bokonora 	D 				-bokonora D it . Ku bokonora kudzidzisa munhu kuzvidzora uye kudzidzisa munhu kusanyima.
-bokora 	K 				-bokora K it . Ku bokora kurutsa zvine simba.
boma 	KD 	5 	z 		boma KD z 5 . Boma ndepanenge pakuzvuka pamuti nemhaka yemhuka dzinozvikwizira ipapo.
bombera 	D 	5 	z 		bombera D z 5 . Bombera ibota rinonamatira pamugoti rinopihwa semubairo kumunhu anenge achizousuka.
bomera 	KDK 	5 	z 		bomera KDK z 5 . Bomera chirwere chinopararira muvanhu chichipomeranwa.
-bomha 	D 				-bomha D itik . Ku bomha kuwa kwechinhu chakaita semvura chine madonhwe madiki.
-bomhaira 	K 				-bomhaira K it . Ku bomhaira kutambanudza maoko kwemunhu asiri kuona chaari kuda. -tsvanzvadzira .
-bomodza 	K 				-bomodza K it . Ku bomodza kurova pamuromo.
-bomoka 	K 				-bomoka K itik . Ku bomoka kutaura zvinhu zvisingatarisirwi.
bona 	KD 	5 	z 		bona KD z 5 . Bona itsika yekudzosa vakafa mumusha kuti vazotarisa mhuri dzavo. kurova guva 17 .
bondaponda 	D- 	5 	z 		bondaponda D- z 5 . Ichi chinhu chinokwanisa kushandiswa nemunhu wose pasina muripo. bondeponde 5, bonderere 5 .
-bondera 	K 				-bondera K it . Ku bondera kurovera pane chimwe chinhu. Acheuka achibva abondera pamudhuri. -dhumira .
-bondokota 	D 				-bondokota D it . Ku bondokota kugara pasi wakapeta makumbo.
-bongoka 	D 				-bongoka D itik . Ku bongoka kupanga chimwe chinhu chokudya kana kuti chokunwa. Ku bongoka kuva nekusuwa kukuru kuti dai wanga wakwanisa kubuda mumatambudziko aunenge wapinda.
-bongomora 	K 				-bongomora K it . Ku bongomora kusheedzera kana kuchema kune ruzha kwemunhu ari kutambudzika.
-bongozeka 	D 				-bongozeka D itik . Ku bongozeka kupanga chokudya.
bonhora 	D 	5 	z 		bonhora D z 5 . urume 14 .
-bonya 	K 				-bonya K it . Ku bonya kushonyorora nekugwedura chinhu. Bonya chibage ichi kubva padzinde racho.
bonza 	D- 	5 	z 		bonza D- z 5 . Bonza chimuti chikobvu chinoshandiswa kurova kana kuponda chinhu.
-booka 	D 				-booka D itik . Kana mudziyo waka booka unenge uine buri rinenge richirasa zvawakatakura. Ku booka kuwanikwa kwechinhu zviri nyore.
boora 	DDK 	5 	z 		boora DDK z 5 . muboora 3 .
-bopomeka 	D 				-bopomeka D itik . -bvajuka .
-boponora 	K 				-boponora K it . Ku boponora kusunungura chinenge chakasungwa. Tinoboponora mombe kuti dzizorore.
-boreka 	K 				-boreka K it . -kwereta .
boromokwa 	KKDK 	5 	z 		boromokwa KKDK z 5 . Iyi inzvimbo inofamba nemvura, yakadzikira.
bota 	K- 	5 	z 		bota K- z 5 . Bota kudya kwakatetepera, kwamangwanani, kunobikwa neupfu nemvura.
botsakufa 	DDDK 	5 	z 		botsakufa DDDK z 5 . Uku kurwara kana kurohwa nokuitwa zvimwewo zvinoita kuti munhu asare padikidiki kushaya.
bovha 	D- 	5 	z 		bovha D- z 5 . Bovha chibage chisati chasimba.
-boya 	D 				-boya D it . Ku boya kunhonga chinhu usingafungiri. -boza .
-bozva 	K 				-bozva K it . Ku bozva kudya uchiratidza kunakirwa. -chapfanya .
-buba 	D 				-buba D itik . Ku buba kuenda zvachose zvokusazodzoka. -rova .
-bubudura 	K 				-bubudura K it . Ku bubudura kudya kunoita munhu chinhu chakaita sembambaira mbishi.
-bubunuka 	K 				-bubunuka bubunyuka K itik . Ku bubunuka kukwanisika kutsengeka kungaita zvinhu zvakaita semakodo.
-bubunyura 	K 				-bubunyura K it . Ku bubunyura kutsenga chikafu chakaomarara.
-budikidza 	K 				-budikidza K itik . -burikidza .
-budirira 	K 				-budirira K itik . Kana munhu achinzi aka budirira anenge aine upfumi hwakawanda kana basa rakanaka.
-bududza 	K 				-bududza K itik . Ku bududza kutyora zvinhu zvakapfava.
-bufura 	K 				-bufura K it . Ku bufura kutaura panenge pachitarisirwa kuti vanhu vanyarare.
buka 	DK 	5 	z 		buka DK z 5 . Kana mwana kana munhu mukuru aine buka anenge aine hana nhete asingatane kuvhunduka.
bukapuka 	KDKD 	5 	z 		bukapuka KDKD z 5 . Uku kumhanya-mhanya kunoita vanhu vachitsvaga chimwe chinhu chinenge chashaikwa.
bukuta 	DDK 	5 	z 		bukuta DDK z 5 . Bukuta ivhu rakatsetseka kwazvo rinopupurutswa nemhepo. guruva 5 .
bukwa 	KD 	5 	z 		bukwa KD z 5 . Bukwa idzinde rimwe rinenge rava kumera kubva pazimai racho zihombe. sakatire 5, chirekera 7 .
buma 	KD 		ny 		buma KD ny . Kuti buma kuratidza kushamisika.
-bumaura 	K 				-bumaura K it . Ku bumaura kusairira munhu nemusoro wake kuti murwisane.
-bumbunuka 	D 				-bumbunuka D itik . Ku bumbunuka kusimba munhu achibva mukurwara. -pora .
-bumbunura 	K 				-bumbunura K it . Ku bumbunura kuita kuti munhu apore kubva mukurwara. -bundunura .
-bumbuzira 	K 				-bumbuzira K itik . -tsvanzvadzira .
bumha 	KD 	5 	z 		bumha KD z 5 . Bumha zvinhu zvakaita bundu pamwe chete, senyuchi.
bumhanhuka 	D- 	5 	z 		bumhanhuka D- z 5 . Urwu rudzi rwemushonga wemusango unoshandiswa kudzinga tsikidzi. dapatsikidzi 5 , ruwaranhata 11 .
bumhudza 	DKD 	5 	z 		bumhudza DKD z 5 . Bumhudza uswa utsva huchangomera.
buna 	K- 	5 	z 		buna K- z 5 . Buna kamhuka kanonzi kanofamba usiku kane maziso nemaoko akada kuita seemunhu. gwee 5, chinhavira 7 .
-bunda 	K 				-bunda K itik . Ku bunda kuurungana kungaite chinhu.
-bundudza 	K 				-bundudza K it . Ku bundudza kuvhura maziso zvakanyanya.
-bunga 	K 				-bunga K it . Ku bunga kutsvaga huni. -oza, -teza .
-bungadza 	K 				-bungadza K it . Kana munhu aka bungadza anenge akagukuchira zvaakatakura paditi rake.
-bunhira 	D 				-bunhira D it . Ku bunhira kuvhara chinhu nechivharo. -kwidibira .
-bunya 	K 				-bunya K it . Ku bunya kutyora uchiita zvokumonya chinhu chakaita sechibage. -svodogora .
-bupunga 	K 				-bupunga K it . Ku bupunga munhu kumurova munhu zvakasimba. -zvinda .
bura 	DK 	5 	z 		bura DK z 5 . Bura chirimwa chinoibva chakabumba muvhu, chinotapirira chaizvo, chinogona kudyiwa chakadaro kana kunwiswa netii. mbambaira 9, dima 5 .
burapura 	DKDD 	5 	z 		burapura DKDD z 5 . Uyu munhu wechidiki murefu.
-burika 	K 				-burika K itik . Ku burika kubva mune imwe nzvimbo.
-burikira 	K 				-burikira K . Ku burikira kubaya kubva kuseri zvichibuda nekune rimwe divi rechinenge chabaiwa chacho. Ku burikira kusuduruka kuti mumwe munhu apfuure kana kuti chimwe chinhu chipfuure.
-buruka 	K 				-buruka K itik . Ku buruka kudzika sezvakaita kubva pahachi kana mubhazi, kana papi zvapo paunenge wakakwira.
-burukuta 	K 				-burukuta K itik . -bundukuta .
burumbwa 	KDK 	5 	z 		burumbwa KDK z 5 . bumburu 9 .
burunga 	DDK 	5 	z 		burunga DDK z 5 . Burunga mwana wedatya, achiri mudikidiki, ane musoro muhombe. zunguzurwa 5, buruuru 5 .
-bururana 	D 				-bururana D itik . Ku bururana kuenzana pakukwikwidzana kwamunenge muri kuita.
burwa 	KD 	5>6 	z 		burwa KD z 5>6 . Burwa chipuka chinenge dzvinyu icho chiri chihombe, chinombogara mumvura, chine muswe une muchinjiziri uye chinonzi chinokama mombe. mupurwa 3 .
busha 	KD 	5 	z 		busha KD z 5 . Busha inhekwe kana kuti nyere yefodya isina chinhu.
-butika 	K 				-butika K itik . -putika .
butishwa 	DKD 	5 	z 		butishwa DKD z 5 . zhowezhowe 5 .
-butsa 	D 				-butsa D it . Ku butsa kudonhedza riva ranga rakateyiwa. -dhigusa .
butsamusha 	KKDK 	5 	z 		butsamusha KKDK z 5 . Uyu munhu anonyonganisa vanhu vanenge vachiyanana.
butwa 	D- 	5 	z 		butwa D- z 5 . Butwa zvinhu zvakaputirwa mujira.
-buura 	D 				-buura D it . Ku buura kubvisa gavi pamuti. -svuura .
-buurura 	K 				-buurura K it . -bvoora .
buwa 	D- 	5 	z 		buwa D- z 5 . Buwa chita chevanhu vari kubva panzvimbo imwe chete.
buzha 	KD 	5 	z 		buzha KD z 5 . Buzha munhu akapusa. zingairwa 5 .
buzinyika 	K- 	5 	z 		buzinyika K- z 5 . Uyu munhu akatsvuka chaizvo. dzvukudende 5 .
-bvabvadza 	D 				-bvabvadza -mvamvadza D itik . Ku bvabvadza kusuka nhumbi uchiita zvokudzitsika-tsika.
bvabvamata 	D- 		ny 		bvabvamata D- ny . Kuti bvabvamata kugara munhu asina zvaari kuita. pwasha .
bvabvanyura 	D 				bvabvanyura D it . Ku bvabvanyura kudambura nyama nemazino.
-bvakacha 	K 				-bvakacha K itik . Ku bvakacha kushanyira munhu kana nzvimbo.
bvakapfaka 	D- 	5 	z 		bvakapfaka D- z 5 . Uku kufamba kwemhuka kana vanhu vakawanda.
bvanga 	DK 		ny 		bvanga DK ny . Ku bvanga kusangana nemumwe munhu kana chinhu usingafungidziri.
-bvanganyidza 	K 				-bvanganyidza K it . Ku bvanganyidza kurongonora zvanga zvakarongedzwa.
-bvanganyura 	K 				-bvanganyura K it . Ku bvanganyura kukonzera kusarongedzeka kwezvinhu.
