amaiguru 	DKKKK 	2b 	z 		amaiguru DKKKK z 2b . maiguru 2a .
bhuguju 	D- 		ny 		bhuguju D- ny . Kuti bhuguju kurova mvura nemakumbo pakudhidha. bhabhangu .
bhumu 	KD 		ny 		bhumu KD ny . Kuti bhumu kudeuka kwezvinhu mushure mokunge munhu aputsa mudziyo wazvanga zviri.
bhurukutu bhurukutu 	D- 		ny 		bhurukutu bhurukutu D- ny . Kuti bhurukutu bhurukutu kufamba kunoratidza kuneta.
bhururu 	DKD 	1a 	z 		bhururu DKD z 1a . Bhururu ishamwari kana mumwe werudzi rwako.
bhuruu 	DKD 	5 	z 		bhuruu DKD z 5 . Bhuruu ruvara rwakaita sezvinenge zvakaita denga risina makore.
bibinu 	D- 		ny 		bibinu D- ny . Kuti bibinu kubuda kwezvinhu zvakawanda pamwe chete kubva mazvanga zviri. Pakapera musangano vanhu vakati bibinu kubuda munhandare.
bidyu 	KD 		ny 		bidyu KD ny . Kuti bidyu kusimudza nekutakura chinhu chinorema. Amai vakati bidyu saga rechibage ndokunanga kuchigayo. mhidzu .
biku 	KD 		ny 		biku KD ny . Kuti biku kubvuta chinhu chinoti remei.
biku 	KD 	5 	z 		biku KD z 5 . Biku kurara vanhu vakakwatidzirana.
bimvu 	KD 	5 	z 		bimvu KD z 5 . Bimvu inhango yenyama yakakura yakabikwa. bivhu 5, chinhindi 7 .
bindu 	DK 	5 	z 		bindu DK z 5 . Bindu inzvimbo inorimwa sezvakaita muriwo, hanyanisi, mapuno kana maruva.
bindu 	KD 		ny 		bindu KD ny . Kuti bindu kutsvaga chinhu nesimba uye neshungu.
bindupindu 	DKDD 	5 	z 		bindupindu DKDD z 5 . Uku kushena-shena kunoita munhu achida kuwana zvingamubatsire. upanga upanga 14 .
bishau 	DKD 	5 	z 		bishau DKD z 5 . katsi 9 .
bizu 	D- 		ny 		bizu D- ny . Kuti bizu kuita basa rinoshandiswa simba rakawanda.
bofu 	D- 	5>6 	z 		bofu D- z 5>6 . Bofu munhu kana mhuka isingaoni.
bou 	KD 	5 	z 		bou KD z 5 . Bou muchero unoberekwa nemuti wemubou.
bu bu 	K- 		ny 		bu bu bhu bhu K- ny . Kuti bu bu kubanda zvinhu zvakaomarara nemazino.
bu bu bu 	D- 		ny 		bu bu bu D- ny . Kuti bu bu bu kuombera, sezvinenge zvichiita vanhu panenge pachiitwa zvirango.
bubudu 	DDK 		ny 		bubudu DDK ny . Kuti bubudu kuzadza kunoita munhu kamudziyo kadiki nezvinhu.
bubundu 	DDK 		ny 		bubundu DDK ny . Kuti bubundu kutsenga kunoita munhu zvinhu zvakaoma, zvakaita senyimo.
bufu 	KD 		ny 		bufu KD ny . Kuti bufu kutaura izwi rokupikisa munhu anenge ati vanhu vanyarare. Kana uchiti ndinonyepa, iti bufu, uvaone vachipinda muno iye zvino.
bugumu 	KKD 		ny 		bugumu KKD ny . Kuti bugumu kudonhedza mudziyo pasi sezvakaita chirongo chemvura, chichibva chaputsika.
buku 	KD 		ny 		buku KD ny . Kuti buku kurutsa kunongoitika chiriporipocho munhu asingafungiri kuti angarutsa.
bumbu 	K- 	5 	z 		bumbu K- z 5 . Bumbu zvinhu zvinenge zvakaita dutu pamwe chete. Ndinoda bumbu iro remabhanana. dumbu 5 .
bumbunu 	D- 		ny 		bumbunu D- ny . Kuti bumbunu kusimba zvakare kunoita munhu mushure mokurwara.
bumburu 	K- 	5 	z 		bumburu K- z 5 . Bumburu chinhu chakaita chibhora chisina mavhuriro.
bumu pumu 	DK DD 		ny 		bumu pumu DK DD ny . Aya maurayiro aunoita huku kana chimwe chinhu.
bunduku 	KKD 		ny 		bunduku KKD ny . Kana munhu ati bunduku anenge azvikandira pasi nenzira yekutaridza kushushikana.
bundunu 	KKD 		ny 		bundunu KKD ny . Kuti bundunu kusimba kunoita munhu mushure mekurwara.
bungu 	K- 	5 	z 		bungu K- z 5 . Bungu chinhu chinotyisa chakaita senyoka kana rwizi rwakazara. chapungu 7 .
bupu 	DK 	5 	z 		bupu DK z 5 . Bupu imhashu hombe isingabhururuke inodyiwa nevakuru. Bupu imhepo yakasimba inodzura miti.
bupupu 	DKD 	5 	z 		bupupu DKD z 5 . Bupupu zvibhakera zvinenge zvichingonaya zvakatevedzana. Bupupu imhepo yakasimba.
buru 	KD 		ny 		buru KD ny . Kuti buru kubva pakakwirira uchienda pasi.
burumbu 	KKD 	5 	z 		burumbu KKD z 5 . Burumbu imhosva hombe.
burutu 	DKD 	5 	z 		burutu DKD z 5 . Burutu munhu asina kungwarira.
busungu 	K- 		ny 		busungu K- ny . Kuti busungu kuita zvinhu chinyararire.
butu 	KD 	5 	z 		butu KD z 5 . Butu mafifu anosara panodzvurwa chibage kana mapfunde. gufu 5 .
bvaju 	KD 		ny 		bvaju KD ny . Kuti bvaju kubvaruka kunoita saga kana chipepa chine zvinhu izvo zvichibva zvadeuka.
bvambu 	KD 		ny 		bvambu KD ny . Kuti chinhu bvambu kuchidambura nemazino.
bvandanu 	KKD 		ny 		bvandanu KKD ny . Kuti bvandanyu kuparadzanisa zvinhu zvinenge zvakaita dutu kana kurongedzwa. bvanganyu .
bvanyangu 	KKD 		ny 		bvanyangu KKD ny . Kuti bvanyangu maitiro anoita munhu achirongonora zvinhu zvanga zvakarongedzeka. bvanganyu .
bvanzu 	KD 		ny 		bvanzu KD ny . Kuti bvanzu kudimbura chinhu chakaita senyama. bvambu .
bvaranyu 	KKD 		ny 		bvaranyu KKD ny . Kuti bvaranyu kubvisa tudimbu tudiki pane chihombe uchiita kudambura.
bvaru 	KD 		ny 		bvaru KD ny . Kuti bvaru kumwauka kana kukaruka chinhu chakaita sebepa chava zvipenga zviviri.
bvendu 	KD 		ny 		bvendu KD ny . Kuti bvendu kupa kana kuwanisa zvakawanda. Kuti bvendu kusvika pane imwe nzvimbo usingafungidzirwe.
bvenyu 	DK 		ny 		bvenyu DK ny . Kuti bvenyu kupara kana kukuzvura zvinyoronyoro.
bveru 	KD 		ny 		bveru KD ny . Kuti bveru kugara munhu achiratidza kugadzikana. tendekeshe, dedede .
bvu bvu bvu 	D- 		ny 		bvu bvu bvu D- ny . Kuti bvu bvu bvu kuva neutano hwakadzikira. Muviri wanga wati bvu bvu bvu nokuda kwekurwara. Kuti bvu bvu bvu kuzunza muviri kwechimwe chinhu. Shiri yakati bvu bvu bvu ichibva yabhururuka.
bvuchu 	D- 		ny 		bvuchu D- ny . Kuti bvuchu kuburitsa zvinhu mumudziyo uchizviita dutu.
bvuju 	KD 		ny 		bvuju KD ny . Kuti bvuju kubuda kwezvinhu zvakawanda mumudziyo unenge wabvaruka. Shuga yakati bvuju ndokuti waa pasi.
bvukuchu 	D- 		ny 		bvukuchu D- ny . Kuti bvukuchu kupfava kwechinhu. Dehwe rakasukutwa ndiro rinenge rakati bvukuchu.
bvukupfuku 	D- 	5 	z 		bvukupfuku D- z 5 . iri ivhu rakaregedza uye rakatsetseka kwazvo.
bvukupfuku 	KKKD 	5 	z 		bvukupfuku KKKD z 5 . Ichi chinhu chinenge chava kuonekwa kusakara.
bvukutu 	KKD 		ny 		bvukutu KKD ny . Kuti bvukutu chinhu kuchitora muruoko memumwe pasina kutenderana. bvutu .
bvumbu 	DK 	5 	z 		bvumbu DK z 5 . Bvumbu ruvara rwuri pakati peuchena neutema sezvakaita dota. pfumbu .
bvumbunu 	D- 		ny 		bvumbunu D- ny . Kuti bvumbunu kuburitsa chinhu changa chakavigwa. vhumbunu .
bvumburu 	K- 		ny 		bvumburu K- ny . Kuti bvumburu kubidirika muvhu sezvinoitwa nemadhongi.
bvundu 	DK 		ny 		bvundu DK ny . Kuti bvundu kukodzonga zvinhu zvakaita mvura mvura zvanga zvakagadzikana, zvekuti zviri pasi zvinopedzisira zvakwira kumusoro.
bvundu 	DK 	5 	z 		bvundu DK z 5 . Bvundu imvura ine madhaka kana marara.
bvungupfungu 	DDKK 	5 	z 		bvungupfungu DDKK z 5 . bvungepfunge 5 .
bvurubvuju 	D- 		ny 		bvurubvuju D- ny . Kuti bvurubvuju kuvhunduka kwemhuka.
bvururu 	D- 		ny 		bvururu bvarara D- ny . Kuti bvururu kurasika-rasika kwezvinhu pese pese. Mateko enzungu anga akati bvururu paruvanze.
bvutu 	DK 		ny 		bvutu bvute DK ny . Kuti bvutu kutora chinhu zvine mukundo uye nechimbi-chimbi.
bvuu 	DK 		ny 		bvuu DK ny . Kuti bvuu kubatwa nokutya. Pandakaona shumba, hana yangu yakati bvuu.
bwadagu 	KKD 		ny 		bwadagu KKD ny . Chinhu chinonzi chati bwadagu kana chikarovera pakaoma chikabva chatsemuka-tsemuka. Nhanga rakadonha mungoro rikabva rati bwadagu.
bwagamu 	D- 		ny 		bwagamu D- ny . Kuti bwagamu kuputsira chimwe chinhu pasi.
bwatu 	KD 	5 	z 		bwatu KD z 5 . Bwatu inzvimbo inosara panenge pabviswa zino. vende 5 .
bwazhamu 	KKD 		ny 		bwazhamu KKD ny . Kuti bwazhamu kuputsa chinhu. Akati hari yaambuya vake yavaiumba bwazhamu. Kuti bwazhamu kurova munhu kana mhuka nesanzu diki risina kubviswa mashizha.
bwengezu 	KKD 		ny 		bwengezu KKD ny . Kuti bwengezu kutora chinhu mumaoko emumwe nokuchimbidza.
bwingu 	KD 		ny 		bwingu KD ny . Kuti bwingu kutaridza chiedza nokukasira wobva wachidzima pakarepo. nyetu .
bwinyu 	DK 		ny 		bwinyu DK ny . Kuti bwinyu kuvaima kunoita chiedza chinovako kwenguva pfupi.
bwiru 	KD 		ny 		bwiru KD ny . Kuti bwiru kudya zvinhu zvakaita sembwirembwire nekukasika. Paakati bwiru mukaka weupfu wakabva wamukachidza, zvekuti akaburitsa madzihwa nemisodzi.
chabhu chabhu 	DK DK 		ny 		chabhu chabhu DK DK ny . chabwi chabwi .
chabvu 	DK 		ny 		chabvu DK ny . Kuti chabvu kuwacha nhumbi usina sipo. Nherera isina vanoiriritira inowanza kuti hembe dzayo chabvu.
chachadu 	KKD 				chachadu KKD . Kuti chachadu kuzunungusa chinhu kuti chiite ruzha.
chachapu 	KKD 		ny 		chachapu KKD ny . Kuti chachapu kutorera munhu chaange akabata nokukasira uye uchishandisa chisimba. chapu, chachapuru, bvutu .
chachu 	DK 		ny 		chachu DK ny . Kuti chachu kutema mashanga seemabarwe nebadza kana chimwe chinobvira kutema nacho.
chahudu 	DKD 	7 	z 		chahudu DKD z 7 . Chahudu mafufu akaumbana anowanzowanikwa muduri pakutswa mhunga. hudu 9 .
chaku chaku 	KD+ 		ny 		chaku chaku KD+ ny . Uku kutsenga chokudya zvinyoronyoro asi chichisara chaota. Nguruve inodya ichiti chaku chaku.
chakuvhuvhu 	D- 	7 	z 		chakuvhuvhu D- z 7 . chahuvhe 7 .
chamudzungururu 	KKKDDD 	7 	z 		chamudzungururu KKKDDD z 7 . Uku kutamba kunoitwa nepwere panhu pamwe kusvika musoro wotenderera nedzungu.
chamujakujaku 	KKDKDD 	7 	z 		chamujakujaku KKDKDD z 7 . Uyu mutambo wokujanhuka-janhuka unowanzoitwa nevana vachibva pakakwirira vachienda pakadzikira.
chamunyurungundu 	KDKKKK 	7 	z 		chamunyurungundu KDKKKK z 7 . chamunhube 7 .
chamushapu-mushapu 	KDKDDKD 	7 	z 		chamushapu-mushapu KDKDDKD z 7 . Uku kubva panzvimbo vanhu vachiita mumwe mumwe kuri kuratidza kushatirwa.
chanyau 	KKD 		ny 		chanyau KKD ny . Kuti chanyau kucheka chinhu usingambotarisa kuti pauri kucheka ndipo pakafanira here.
chanyu chanyu 	KD+ 		ny 		chanyu chanyu KD+ ny . Kuti chanyu chanyu kutsenga chinhu mumuromo zvine karuzha.
chapu 	KD 	9>10 	z 		chapu KD z 9>10 . Chapu idemo duku risina mupini.
chapupu 	DKD 	7 	z 		chapupu DKD z 7 . Chapupu munhu anosheedzwa mudare kuzotaura zvaanoziva nezvenyaya inenge iri kutongwa. mboo 9, fakazi 9 .
chasusu 	DKK 	7 	z 		chasusu DKK z 7 . susu 5 .
chavangu 	DDK 		ny 		chavangu DDK ny . Kuti chavangu kutema kana kucheka chinhu zvakadzika. kabvau .
chavhuuvhuu 	DKD 	7 	z 		chavhuuvhuu DKD z 7 . Iyi imhepo yakasimba chaizvo inovhuvhuta ichitibura guruva. chamubhabhabha 7 .
chechepfu 	KKD 		ny 		chechepfu KKD ny . Kuti chechepfu kuruma chinhu chakanyorovera uye chisinganetsi kutsenga.
checheu 	KKD 		ny 		checheu KKD ny . chechene .
chechu 	D- 		ny 		chechu D- ny . Kuti chechu kuyeuka chinhu chakakosha chawambenge wakanganwa.
chedebu 	KKD 		ny 		chedebu KKD ny . Kuti chedebu kutema kana kuruma chinhu zvokubvisa ganda. Kuti chedebu kuvhura sikarudzi chemusikana anga asati amborara nemurume.
chehenu 	D- 		ny 		chehenu D- ny . cheenene .
chekepfu 	KKD 		ny 		chekepfu KKD ny . Kuti chekepfu kuruma chinhu chakanyorovera nemazino.
chenu 	DK 		ny 		chenu DK ny . Kuti chenu kupera kweruvara pahembe kana pamudziyo. Hembe yangu yati chenu nokuda kwezuva.
chenuru 	D- 		ny 		chenuru D- ny . chenu .
chenyengu 	KKD 		ny 		chenyengu KKD ny . Kuti chenyengu kubva kweganda pachionekwa zviri pasi. Akanzi chenyengu nereza akasara ava nezironda.
chepfenyu 	DDK 		ny 		chepfenyu DDK ny . Kuti chepfenyu kuruma chibandi uchisiya zvimwe.
cherengu 	KKD 		ny 		cherengu KKD ny . Kuti cherengu kukuvadza pachibva pasara vanga rinoonekwa.
chetu 	KD 		ny 		chetu KD ny . Kuti chetu kudambuka kunoita chinhu chachekwa nomudziyo unopinza. Mombe payanga yodzipwa mukomana asvikoti chetu chitoropo nebanga.
chevhu 	KD 		ny 		chevhu KD ny . Kuti chevhu kucheka zvakadzika nemudziyo unopinza. Akanzi chevhu paruoko nereza.
chezu 	KD 		ny 		chezu KD ny . Kuti chezu kuvesa moto muzhinji. Pavakangoti moto chezu mabhodho ose akabva avira.
chibhabhangu 	DDDK 	7 	z 		chibhabhangu DDDK z 7 . Uku kurova mvura namakumbo kunoita munhu anoshambira.
chibhamu 	D- 	7 	z 		chibhamu D- z 7 . Chibhamu munhu akasvika akanaka, kazhinji ari musikana.
chibharusu 	DKDD 	7 	z 		chibharusu DKDD z 7 . kepisi 7 .
chibhubhubhu 	D- 	7 	z 		chibhubhubhu D- z 7 . Ichi chirwere chehuku chinoita kuti dzinete dzichibuda masiriri.
chibhunu 	D- 	7 	z 		chibhunu D- z 7 . Chibhunu izita rekutsvinya rinoreva mutauro unotaurwa navanhu vechiAfrikaans kuSouth Africa.
chibububu 	D- 	7 	z 		chibububu D- z 7 . chibhubhubhu 7 .
chibubunu 	D- 	7 	z 		chibubunu D- z 7 . Chibubunu muti une mashizha madiki anokwasharara, unobereka muchero unodyiwa kana waoma. mubhubhunu 3, mupudzungwa 3 .
chibumuupfu 	D- 	7 	z 		chibumuupfu D- z 7 . Urwu rudzi rwechibage chichena.
chibutu 	D- 	7 	z 		chibutu D- z 7 . chibutwa 7 .
chichinu 	D- 		ny 		chichinu D- ny . Kuti chichinu kufamba kwavanhu vakawanda vakananga divi rimwe. Vanhu vakati chichinu vakananga kuguva kundoviga mushakabvu.
chidhunduru 	D- 	7 	z 		chidhunduru D- z 7 . Ichi ndechinoshandiswa kupatsanura nzvimbo ingava minda kana dunhu.
chidyachehuku 	DDKDD 	7 	z 		chidyachehuku DDKDD z 7 . Urwu rudzi rwebundo.
chidzimu 	DKK 	7 	z 		chidzimu DKK z 7 . Chidzimu ironda rinoita pamuromo, rinokonzerwa nekurwara nemusoro kana nedzihwa.
chidzvengu 	DDK 	7 	z 		chidzvengu DDK z 7 . dimikira 5 .
chidzvururu 	DDKD 	7 	z 		chidzvururu DDKD z 7 . Urwu rudzi rweshiri diki ine ruvara rwakacheneruka.
chifengu 	DKD 	7 	z 		chifengu DKD z 7 . Chifengu ibadza guru.
chifidu 	DKD 	7 	z 		chifidu DKD z 7 . Chifidu munhu akanyarara asingatani kushatirwa.
chifukuwu 	DKKD 	7 	z 		chifukuwu DKKD z 7 . chifakawi 7 .
chigaugau 	DKDKD 	7 	z 		chigaugau DKDKD z 7 . Uyu munhu anonyanya kutaura asinganyarari.
chigubhu 	DKD 	7 	z 		chigubhu DKD z 7 . Chigubhu mudziyo wakaita dende wakagadzirwa nepurasitiki.
chigumbukumbu 	DKKKK 	7 	z 		chigumbukumbu DKKKK z 7 . Uhwu hwowa hudiki hunenge husati hwapapa. humbukumbu 9 .
chigwedu 	DKD 	7 	z 		chigwedu DKD z 7 . Chigwedu chidimbu chinenge chabviswa pane chimwe.
chigwimbu 	DKD 	7 	z 		chigwimbu DKD z 7 . chidimbu 7 .
chihepu 	DKD 	7 	z 		chihepu DKD z 7 . chihwepu 7 .
chihomuhomu 	DKDKD 	7 	z 		chihomuhomu DKDKD z 7 . chipatapata 7 .
chihurududu 	D- 	7 	z 		chihurududu D- z 7 . Kana wakaita chihurududu unenge wakarukutika nokuda kwekusuwa.
chihwepu 	DKD 	7 	z 		chihwepu DKD z 7 . Chihwepu ishamhu ine kumberi kwakatetepa nokumubato kukobvu. shamhu 9 .
chikanyamupupu 	D- 	7 	z 		chikanyamupupu D- z 7 . Uyu munhu akashata zvikuru.
Chikristu 	DKD 	7 	z 		Chikristu DKD z 7 . Idzi itsika nemaitirwo anofanira kutevedzwa nevanhu vanopinda svondo.
chikuku 	DKK 	7 	z 		chikuku DKK z 7 . chibhokisi 7 .
chikumegumbu 	DDKDD 	7 	z 		chikumegumbu DDKDD z 7 . chikweguru 7 .
Chikunguru 	DKKK 	1a 	z 		Chikunguru DKKK z 1a . Uyu mwedzi wechinomwe mugore. Jurai 1a .
chikwangu 	DKD 	7 	z 		chikwangu DKD z 7 . chikwengu 7 .
chimbinyu 	DKD 	1a 	z 		chimbinyu DKD z 1a . Chimbinyu munhu asingatani kutsamwa nokupindura pfocho.
chimhushu 	DKD 	7 	z 		chimhushu DKD z 7 . Chimhushu chinhu chipfupi.
chimumumu 	DKKK 	7 	z 		chimumumu DKKK z 7 . Uyu munhu ane urema hwokusagona kutaura.
chinepfu 	DDK 	7 	z 		chinepfu DDK z 7 . Chinepfu kunzwa usingadi kuita zvimwe zvinhu.
chinu 	DK 	7 	z 		chinu DK z 7 . Chinu chitende chinochengeterwa mafuta ekuzora nevanhukadzi asi anowanza kusanganiswa nemishonga.
chinyamutanhatu 	DDDKDK 	7 	z 		chinyamutanhatu DDDKDK z 7 . chimutanhatu 7 .
chinyau 	D- 	7 	z 		chinyau D- z 7 . chigure 7 .
chipapadzungu 	DDDKD 	7 	z 		chipapadzungu DDDKD z 7 . Uku kuita zvinhu munhu achingokurumidza asi asingambofungi kuti zvaari kuita zvacho zvichamusvitsa kupi.
chipupupu 	DDKD 	7 	z 		chipupupu DDKD z 7 . Uyu muitiro wokubatsirana kugadzirisa zvakanganisika nechimbichimbi. Chakava chipupupu kudzimura moto paberere remba.
chirau 	DDK 	7 	z 		chirau DDK z 7 . Chirau panzvimbo panorara makudo manheru.
chiru 	KD 		ny 		chiru KD ny . Kuti chiru kuuruka.
Chishanu 	DKD 	7 	z 		Chishanu DKD z 7 . Chishanu izuva resvondo rinotevera China iro richiteverwawo noMugovera.
chisumbu 	DKK 	7 	z 		chisumbu DKK z 7 . Chisumbu kaputwa kakasungwa-sungwa. bundu 5 .
chitafu 	DKD 	7 	z 		chitafu DKD z 7 . Chitafu izerere rinokurira mumvura uye rinonyikwa mumvura, inogezwa navanhu vabva mukuviga chitunha.
chitanhatu 	DKDK 	7 	z 		chitanhatu DKDK z 7 . Iri izita rinoshandiswa kureva chiverengwa chinotevera chiri pakati pechishanu nechinomwe.
Chitanhatu 	DKDK 	7 	z 		Chitanhatu DKDK z 7 . Mugovera 3 .
chitataradzimu 	DDDDKK 	7 	z 		chitataradzimu DDDDKK z 7 . Urwu rudzi rwemhashu inobudisa muto unonhuhwa. bashupashu 5, shuwishuwi 5 .
Chitatu 	DDK 	7 	z 		Chitatu DDK z 7 . Chitatu izuva repasvondo riri pakati peChipiri neChina.
chitofu 	DKD 	7 	z 		chitofu DKD z 7 . Chitofu mudziyo wokubikira unokuhwidzwa moto kana kuti unoshanda nemagetsi.
chitsvuku 	DDK 	7 	z 		chitsvuku DDK z 7 . Chitsvuku izwi rinotaurwa kutsanangudza nhamo ingaonekwa nomunhu. Akaona chitsvuku awanikidzwa aine chikomba mumba.
chitumbumuteku 	DDDDKD 	7 	z 		chitumbumuteku DDDDKD z 7 . chimimbamutekwa 7 .
chiuru 	D- 	7 	z 		chiuru D- z 7 . Chiuru uwandu hwezvinhu zvinenge zvichisvika mazana gumi. churu 7 .
Chivabvu 	K- 	1a 	z 		Chivabvu K- z 1a . Chivabvu izita romwedzi wechishanu pagore. Panozosvika chivabvu vanhu vazhinji vanenge vapedza kukohwa. Meyi 1a .
chivhu 	KD 		ny 		chivhu KD ny . Kuti chivhu kucheka chinhu zvakadzika uye nokukasika.
chiwepu 	DKD 	7 	z 		chiwepu DKD z 7 . Chiwepu ityava inogadzirwa neganda remhuka. N'ombe dzinofambisa pakurima kana ukadzirova nechiwepu.
chizhuzhu 	D- 	7 	z 		chizhuzhu D- z 7 . Chizhuzhu muti une mashizha akapamhama neminzwa, unonzi ukaona waiswa pamba pako unenge uchinzi uri muroyi.
chizungu 	DDK 	7 	z 		chizungu DDK z 7 . Chizungu mutauro kana kuita kwevarungu vechiPutukezi.
chubhu 	KD 	9>10 	z 		chubhu KD z 9>10 . Chubhu indande yakaita denderedzwa, iine mwena mukati, inochengeta mweya unopomberwa muvhiri. Vhiri rebhasikoro kana remotokari haribati mweya kana chubhu yakabooka.
chubu 	DK 		ny 		chubu DK ny . Kuti chubu kuwira mumvura kwechinenge chapotserwa, kana chakaruka changopindamo. Ndakati chubu mumvura usiku ndichifunga kuti ndatsika paruware. chabwi .
chubvu 	DK 		ny 		chubvu DK ny . Kuti chubvu kukurunga zvinenge zviri muhari kana mugate nomugoti. Masvusvu aingunonzi chubvu chubvu kusvika aibva.
churu 	D- 	7 	z 		churu D- z 7 . Churu idutu remavhu rinoitwa pasi namajuru achigadzira musha wawo. Mbuya vajuruja majuru pachuru. chiuru 7 .
chuvhu 	DK 		ny 		chuvhu DK ny . Kuti chuvhu kukamira mukaka munenge mava kuzara nomumwe mukaka uye nefuro. Manzuma inosisa zvokuti mukaka unopedzisira wava kungoti chuvhu chuvhu zuva nezuva.
dadzu 	KD 		ny 		dadzu danzu KD ny . Kana ukati tambo kana nyama kana jira dadzu , unenge waita zvokudambura kana kubvarura zvine simba.
dakanu 	KKD 		ny 		dakanu KKD ny . Kuti dakanu kudya zvishoma nezvishoma, uchinatsotererera kunaka kwacho kwese kwechaunenge uchidya.
danangu 	DDK 		ny 		danangu DDK ny . Kana munhu achidya achiti danangu anenge achiita seanosema zvinhu zvaari kudya.
dandabvu 	KKD 	5 	z 		dandabvu KKD z 5 . Dandabvu munhu anorwara, akarukutika muviri wake, asinganatsogona kuzvibatsira. Mukomana wokufamba usiku akarohwa nematsotsi vakamusiya rangova dandabvu.
dandau 	KKD 		ny 		dandau KKD ny . Kuti dandau kuridza ngoma. Kuti dandau kuzvimba kana kufuta kunoitika panenge parohwa.
dau 	DK 	5 	z 		dau dao DK z 5 . Munhu anonzi ane ma dau kana achitaura, kana kupfeka, kana kuita mamwe maitiro anosekesa.
dazu 	KD 	5 	z 		dazu KD z 5 . davi 5. .
dedemu 	KKD 		ny 		dedemu KKD ny . Kana uchitaura uchiti dedemu unenge usingakakamiri uchitaura pasina kutya. Chapupu chakati dedemu zvose zvachaiziva maererano nezvokufa kwaErina, mutongi akagutsurira musoro.
dembutembu 	D- 	5 	z 		dembutembu D- z 5 . Ichi chinhu chinenge chisina kukakika chiri chakaregedzeka. Kana vanhu vanokaka waya vakaiita dembutembu, mombe dzinopinda mumunda.
denengu 	KKD 		ny 		denengu KKD ny . Kana uchiti denengu unenge uchirondedzera zvinhu zvose nemazvo, usingakakamiri.
dengu 	D- 		ny 		dengu D- ny . Kuti dengu kunyura nokuyangarara pamusoro pemvura kwechunhu chisingaremi. Ukanyudza patapata mumvura, unoona rati dengu pamusoro.
denyu 	KD 		ny 		denyu KD ny . Kuti denyu kunyangarika chiriporipocho uye zvachose.
deputepu 	KDKD 	5 	z 		deputepu KDKD z 5 . Uku kuzunguzika kana kufonyokera kunoita chinhu chisina kuomarara, sembariro nyoro.
deu 	KD 		ny 		deu KD ny . Kana mvura yati deu inenge yabuda mayakachengeterwa ichienda pasi. teu .
dhafu 	DK 	9>6 	z 		dhafu DK z 9>6 . Dhafu rudzi remabhazi nemarori makuru anogadzirwa nekambani ine zita rimwero.
