a 	K 	1a\9 	vm 		a K vm 1a\9 . Iri ivaramwana rinodaidzwa richinzi a-a , riri pekutanga mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
bhebhenu 	D- 		ny 		bhebhenu D- ny . Kuti bhebhenu kuvhura chinhu chakavharwa. bhedhenu .
bhebhi 	DK 	5 	z 		bhebhi DK z 5 . Bhebhi izwi rinonyanyoshandiswa nevechidiki kureva mudikani.
-bhebhudza 	D 				-bhebhudza D it . Ku bhebhudza kubatsira munhu kutakura mwana kumusana.
bhedhenu 	D- 		ny 		bhedhenu D- ny . Kuti bhedhenu kupetenuka kwechinhu changa chakavharwa.
-bhedhenura 	D 				-bhedhenura D it . Ku bhedhenura kuvhura chinhu changa chakapetwa kuti mukati macho muonekwe.
-bheka 	D 				-bheka D it . Ku bheka kudzika nguwani yakarerekera parutivi.
-bheka 	K 				-bheka K it . Ku bheka kubika chingwa kana zvimwewo zvingangobikirwa muhovhoni.
bheke 	KD 	5 	z 		bheke KD z 5 . Bheke ihomwe hombe yokutakurira zvinhu.
-bhema 	D 				-bhema D it . -puta .
-bhenda 	K 				-bhenda K itik . -kombama .
-bhendenura 	D 				-bhendenura D it . -bhedhenura .
bhenemene 	K- 		ny 		bhenemene K- ny . ngwerewere .
-bhenga 	K 				-bhenga K it . Ku bhenga kuisa mari yako muimba inochengeterwa mari wozoitora kana woda kuishandisa.
bhenji 	KD 	5 	z 		bhenji KD z 5 . Bhenji chigaro chinogara vanhu vazhinji, chinowanzosevenzeswa muzvikoro.
bhera 	KD 	5 	z 		bhera bhero KD z 5 . Bhera chisimbi kana huta kana chimwewo chinoridzwa kunyevera vanhu pamusoro pezvakasiyana. Pakasvika Mucha auya kuzonditora kuti tiende kumba, akangoridza bhera chete, ini ndichibva ndatotakura mabhegi ndomhanya kumota. dare 5 .
bherere 	D- 		ny 		bherere D- ny . Kuti bherere kuchema kwemakwai.
bheriya 	KKD 	9>10 	z 		bheriya KKD z 9>10 . Bheriya musangano wekuti nhengo dzinoisa mari muhomwe imwe chete kuitira kuzobatsirika kana mumwe afirwa kana kuti imwe yenhengo yafa.
bheshe 	D- 		ny 		bheshe D- ny . Kuti bheshe ruzha runoitwa nemunhu ari kufamba mujecha. zhwau .
bheu 	DK 		ny 		bheu DK ny . Kuti bheu kupidiguka kwechinhu.
bheura 	KKD 	5 	z 		bheura KKD z 5 . Bheura idemo hombe rinoitwa zvekupfekerwa mumupinyi.
bhezari 	KDD 	5 	z 		bhezari KDD z 5 . Bhezari imari inopihwa munhu nehurumende kana kambani kuti akwanise kudzidza.
bhi 	D 		ny 		bhi D ny . Kana chinhu chati bhi chinenge chadonhera pasi zvine mutsindo.
bhi bhi 	D- 		ny 		bhi bhi D- ny . Kuti bhi bhi kufamba zvine mutsindo.
bhibhiri 	D- 		ny 		bhibhiri D- ny . Kuti bhibhiri kutsika-tsika pasi kwemunhu ari kurwisana nemumwe. biribidi .
bhibho 	KD 	5/9>10 	z 		bhibho KD z 5/9>10 . Bhibho mugererwo wemusoro wekuti munhu anogera rimwe vhudzi rose osiya riri panhongonya rakadaro.
-bhidhaira 	D 				-bhidhaira D itik . Ku bhidhaira kufamba zvine hasha uchitsika pasi zvine simba.
bhidhiri bhidhiri 	D- 		ny 		bhidhiri bhidhiri D- ny . Kuti bhidhiri bhidhiri kukunguruka kwechinhu chinorema uye chinorira zvine ruzha. Dhiramu rakati bhidhiri bhidhiri pasi apo raikungurutswa nevana.
-bhidhirika 	D 				-bhidhirika D itik . Ku bhidhirika kukunguruka kana kungoshiringinya kwechinhu.
-bhigidhidza 	D 				-bhigidhidza D it . Ku bhigidhidza kurova pasi zvine simba pasina kumira.
bhigiri 	KDK 	5 	z 		bhigiri KDK z 5 . Bhigiri ikomichi huru.
bhii 	KD 	5 	z 		bhii KD z 5 . Bhii nderimwe chete chete remavara anonyoresa mutauro sezvakaita a, b, na z.
-bhimhidza 	K 				-bhimhidza K it . Ku bhimhidza kurova nechibhakera kumusana kana mudumbu.
bhimhu 	KD 		ny 		bhimhu KD ny . Kuti bhimhu kurova kumusana nechibhakera.
bhingo 	KD 	9 	z 		bhingo KD z 9 . Bhingo rumuti runoshandiswa nevanhu vakazvisungirira, kunyanya vachembera kana vanorwara pakufamba.
bhini 	KD 	5 	z 		bhini KD z 5 . Bhini igaba kana mumwewo mudziyo unoiswa marara.
bhinya 	D- 	5 	z 		bhinya D- z 5 . Bhinya munhu anoita zvekupamba zvinhu zvevamwe nechisimba. Bhinya munhu anobata mumwe chibharo achimumanikidza kurara naye iye asingadi.
bhinzi 	KD 	5 	z 		bhinzi KD z 5 . Bhinzi rudzi rwenyemba inogona kuitwa usavi kana kubikiswa mutakura.
-bhiridha 	K 				-bhiridha K itik . Ku bhiridha kupiringana kunoita mombe dzinenge dzakasungwa pajoko, imwe yakatarisa shure imwe mberi, asi dziri pajoki rimwe chete.
bhiridha 	KDD 	1a 	z 		bhiridha KDD z 1a . Bhiridha munhu anoita basa rekuvaka dzimba.
bhishopi 	KDD 	1a 	z 		bhishopi KDD z 1a . Bhishopi mufundisi mukuru anotungamirira kereke.
bhisikiti 	KDDD 	5 	z 		bhisikiti KDDD z 5 . Iyi imhando yezvipapata zvakabhekwa.
bhiti 	KD 	9 	z 		bhiti KD z 9 . Bhiti kukasika kana kunonoka kungaitwe nevanhu pakuimba.
bhizautare 	DKDKD 	5 	z 		bhizautare DKDKD z 5 . bhasikoro 5 .
bhizimisi 	KDDD 	5 	z 		bhizimisi KDDD z 5 . Ichi chitoro, hotera, bhawa kana imwewo nzira inopinza mari kumuridzi.
bho-o 	D- 		ny 		bho-o D- ny . Kuti bho-o kudzvova. Kana mombe ichiti bho-o inenge ichiita ruzha ichikuma. Mhou yakati bho-o ichichemera mhuru yayo yaive yarasika.
bhobhojani 	DDKD 	5 	z 		bhobhojani DDKD z 5 . Ichi chipanera chinofambiswa kuti chishame zvakaenzana nepaunoda kubata.
bhodhin'i 	KDD 	5/9>6 	z 		bhodhin'i KDD z 5/9>6 . bhodhingi 5/9 .
bhodho 	D- 	5 	z 		bhodho D- z 5 . Bhodho ipoto huru yesimbi ine makumbo matatu.
bhodhoro 	KDD 	5 	z 		bhodhoro bhodyera KDD z 5 . Bhodhoro mudziyo wekuchengetera zvinhu wakagadzirwa negirazi.
-bhodyora 	D 				-bhodyora -bhodyodza D it . Ku bhodyora kuboora chimwe chinhu.
-bhofodza 	D 				-bhofodza D it . Ku bhofodza kubvoora kana kuti kuita kuti munhu aboore chinhu chakatefeteka.
bhogadhi 	KDD 	9>10/6 	z 		bhogadhi KDD z 9>10/6 . Bhoghadhi rudzi rwebhurukwe resatani.
-bhogodza 	K 				-bhogodza K it . Ku bhogodza kudimura chinhu kuti chive zvimedu zvimedu.
bhokiseni 	KKDD 	5 	z 		bhokiseni KKDD z 5 . Uyu mutambo wevanhu vaviri vanenge vachirovana nezvibhakera vakapfeka magirovhisi.
bhoko bhoko 	DK+ 		ny 		bhoko bhoko DK+ ny . Kuti bhoko bhoko kufamba zvishoma.
-bhomudza 	K 				-bhomudza K it . Ku bhomudza kurova munhu nechibhakera kamwe chete zvine simba.
-bhonda 	D 				-bhonda D . Ku bhonda kurovera pane chimwe chinhu.
-bhongozhora 	K 				-bhongozhora K it . Ku bhongozhora kurova munhu nechitanda chikobvu.
bhosvo 	D- 	5 	z 		bhosvo D- z 5 . Bhosvo ndechinoridzwa nevanoita zvemimhanzi, chinorira chichiita zvekufuridzwa.
bhotai 	KDD 	9>10/6 	z 		bhotai KDD z 9>10/6 . Bhotai rudzi rwetai isingaremberi kudumbu yakagadzirwa nomucheka ichigara pabhatani rokumusoro rehembe.
bhovha 	KD 	5 	z 		bhovha KD z 5 . -bhinya 5 .
-bhovhora 	D 				-bhovhora D it . Ku bhovhora kuboora chinhu chakatefeteka.
bhu 	D 		ny 		bhu D ny . Kuti bhu kudhuuka kwechinhu.
bhu 	K- 		ny 		bhu K- ny . Kuti bhu kuburitsa mweya nemukanwa nekumashure zvinoita ruzha.
bhu bhu 	D- 		ny 		bhu bhu D- ny . Kuti bhu bhu kutsenga zvinhu zvakaoma zvakaita semaputi.
bhu bhu bhu 	K- 		ny 		bhu bhu bhu K- ny . Kuti bhu bhu bhu kuuchira maoko zvine rukudzo mukati.
bhu-u 	K- 		ny 		bhu-u K- ny . Kuti bhu-u kubudisa mweya nokumashure zvine ruzha. Ndianiko ati bhu-u anoda kutinhuhwidza tichidya? bhu .
-bhubhudyura 	D 				-bhubhudyura D it . Ku bhubhudyura kutsenga nyama yakaita serunda zvinoratidza kuti nyakudya mukari. -zhanyura .
-bhubhuma 	D 				-bhubhuma D itik . Ku bhubhuma kurovanisa mapapiro zvakanyanya kweshiri yavhunduka uye inenge ichida kutiza.
-bhucha 	D 				-bhucha D it . Ku bhucha kuita tsvina kwemunhu. Enda nemwana anobhucha kuchimbuzi.
bhucha 	KD 	5 	z 		bhucha KD z 5 . Bhucha imba inotengeserwa nyama.
bhudhiri 	D- 		ny 		bhudhiri D- ny . Kuti bhidhiri kukunguruka kwezvinhu zvinorema.
-bhuguja 	D 				-bhuguja D . Ku bhuguja kurova mvura nemakumbo nemaoko pakushambira. Nyanzvi chaidzo dzekushambira hadziiti zvekubhuguja kana kurova bhangu zvauri kuita izvi. Ko, zvakasiyana here?
bhuguju 	D- 		ny 		bhuguju D- ny . Kuti bhuguju kurova mvura nemakumbo pakudhidha. bhabhangu .
-bhugumuka 	K 				-bhugumuka K itik . Ku bhugumuka kuwira pasi kwechinhu chine zvinhu mukati chichiwira pasi.
-bhugumura 	K 				-bhugumura K it . Ku bhugumura kudonhedza chinhu chine zvinhu mukati chobva chaputsika.
bhumu 	KD 		ny 		bhumu KD ny . Kuti bhumu kudeuka kwezvinhu mushure mokunge munhu aputsa mudziyo wazvanga zviri.
-bhura 	K 				-bhura K . Ku bhura kurova munhu zvakanyanya.
bhurakwacha 	DKKD 	5 	z 		bhurakwacha DKKD z 5 . Iri izita raipihwa mapurisa echitema kare.
-bhurasha 	D 				-bhurasha bhuracha D it . Ku bhurasha kuchenesa chinhu uchiita sekunge uri kuchikama iwe uchishandisa chimudziyo chine zvipfari zvipfupi. Bhurasha bhachi rangu machira ari pariri abve.
bhurauzi 	DKDD 	5 	z 		bhurauzi DKDD z 5 . Bhurauzi ihembe yechikadzi inogumira muchiuno, inopfekwa nesiketi.
