grapheme	phoneme
Albach	_!'ɒlbɒtsh
Albely	_!'ɒlbɛj
Albeni	_!'ɒlbɛni
Alber	_!'ɒlbɛɐ̯
Albert	_!'ɒlbɛɐ̯t
Albertfalva	_!'ɒlbɛɐ̯tfɒlvɒ
Alberti	_!'ɒlbɛɐ̯ti
Albertirsa	_!'ɒlbɛɐ̯tiɐ̯ʃɒ
Albin	_!'ɒlbin
Albrich	_!'ɒlbɐ̯itsh
Albánia	_!'ɒlbaːni;ɒ
Alcsútdoboz	_!'ɒltʃuːtdoboz
Aldebrő	_!'ɒldɛbɐ̯øː
Aldi	_!'ɒldi
Alekszandr	_!'ɒlɛksɒndɐ̯
Alekszej	_!'ɒlɛksɛj
Aletta	_!'ɒlɛtɒ
Alex	_!'ɒlɛks
Alexa	_!'ɒlɛksɒ
Alexander	_!'ɒlɛksɒndɛɐ̯
Alexandra	_!'ɒlɛksɒndɐ̯ɒ
Alexandria	_!'ɒlɛksɒndɐ̯i;ɒ
Alexics	_!'ɒlɛksitʃ
Alexits	_!'ɒlɛksitʃ
Alexitscsal	_!'ɒlɛksitʃtʃɒl
Alexitscsá	_!'ɒlɛksitʃtʃaː
Alexitssal	_!'ɒlɛksitʃʃɒl
Alexitssá	_!'ɒlɛksitʃʃaː
Alexovics	_!'ɒlɛksovitʃ
Alexy	_!'ɒlɛksi
Alfonz	_!'ɒlfonz
Alfonzó	_!'ɒlfonzoː
Alfréd	_!'ɒlfɐ̯eːd
Alföldy	_!'ɒlføldi
Algol	_!'ɒlgol
Algopyrin	_!'ɒlgopiɐ̯in
Algyő	_!'ɒlɟøː
Algéria	_!'ɒlgeːɐ̯i;ɒ
Algír	_!'ɒlgiːɐ̯
Ali	_!'ɒli
Alibánfa	_!'ɒlibaːnfɒ
Alida	_!'ɒlidɒ
Aliz	_!'ɒliz
Allaga	_!'ɒllɒgɒ
Allah	_!'ɒllɒh
Alliquander	_!'ɒllikvɒndɛɐ̯
Allodiatoris	_!'ɒllodi;ɒtoɐ̯iʃ
Almafa	_!'ɒlmɒfɒ
Almamellék	_!'ɒlmɒmɛlleːk
Almati	_!'ɒlmɒti
Almádi	_!'ɒlmaːdi
Almár	_!'ɒlmaːɐ̯
Almás	_!'ɒlmaːʃ
Almásfüzitő	_!'ɒlmaːʃfyzitøː
Almásháza	_!'ɒlmaːʃhaːzɒ
Almáskamarás	_!'ɒlmaːʃkɒmɒɐ̯aːʃ
Almáskeresztúr	_!'ɒlmaːʃkɛɐ̯ɛstuːɐ̯
Almássy	_!'ɒlmaːʃʃi
Almásy	_!'ɒlmaːʃi
Alpok	_!'ɒlpok
Alpokalja	_!'ɒlpokɒl^jɒ
Alpár	_!'ɒlpaːɐ̯
Alsted	_!'ɒlʃtɛd
Alszeghy	_!'ɒlsɛghi
Alsáni	_!'ɒlʃaːni
Alsóberecki	_!'ɒlʃoːbɛɐ̯ɛtski
Alsóbogát	_!'ɒlʃoːbogaːt
Alsóbélatelep	_!'ɒlʃoːbeːlɒtɛlɛp
Alsódobsza	_!'ɒlʃoːdobsɒ
Alsógagy	_!'ɒlʃoːgɒɟ
Alsógalla	_!'ɒlʃoːgɒllɒ
Alsógöd	_!'ɒlʃoːgød
Alsókubin	_!'ɒlʃoːkubin
Alsólendva	_!'ɒlʃoːlɛndvɒ
Alsómocsolád	_!'ɒlʃoːmotʃolaːd
Alsónemesapáti	_!'ɒlʃoːnɛmɛʃɒpaːti
Alsónyék	_!'ɒlʃoːɲeːk
Alsónána	_!'ɒlʃoːnaːnɒ
Alsónémedi	_!'ɒlʃoːneːmɛdi
Alsópetény	_!'ɒlʃoːpɛteːɲ
Alsópáhok	_!'ɒlʃoːpaːhok
Alsórajk	_!'ɒlʃoːɐ̯ɒjk
Alsóregmec	_!'ɒlʃoːɐ̯ɛgmɛts
Alsórákos	_!'ɒlʃoːɐ̯aːkoʃ
Alsószenterzsébet	_!'ɒlʃoːsɛntɛɐ̯ʒeːbɛt
Alsószentiván	_!'ɒlʃoːsɛntivaːn
Alsószentmárton	_!'ɒlʃoːsɛntmaːɐ̯ton
Alsószuha	_!'ɒlʃoːsuhɒ
Alsószölnök	_!'ɒlʃoːsølnøk
Alsósófalva	_!'ɒlʃoːʃoːfɒlvɒ
Alsótelekes	_!'ɒlʃoːtɛlɛkɛʃ
Alsótold	_!'ɒlʃoːtold
Alsóvadász	_!'ɒlʃoːvɒdaːs
Alsózsolca	_!'ɒlʃoːʒoltsɒ
Alsóörs	_!'ɒlʃoːøɐ̯ʃ
Alsóújlak	_!'ɒlʃoːuːjlɒk
Alsóőr	_!'ɒlʃoːøːɐ̯
Alsóőrs	_!'ɒlʃoːøːɐ̯ʃ
Altai	_!'ɒltɒi
Altaj	_!'ɒltɒj
Altdorfer	_!'ɒltdoɐ̯fɛɐ̯
Altdörfer	_!'ɒltdøɐ̯fɛɐ̯
Altenburger	_!'ɒltɛnbuɐ̯gɛɐ̯
Althan	_!'ɒlthɒn
Altomáré	_!'ɒltomaːɐ̯eː
Altáj	_!'ɒltaːj
Altáró	_!'ɒltaːɐ̯oː
Alvinc	_!'ɒlvints
Alvinczi	_!'ɒlvintsi
Alvinczy	_!'ɒlvintsi
Alzheimer	_!'ɒlzhɛimɛɐ̯
Amade	_!'ɒmɒdɛ
Amadé	_!'ɒmɒdeː
Amazonas	_!'ɒmɒzonɒʃ
Amazonassal	_!'ɒmɒzonɒʃʃɒl
Amazonasszal	_!'ɒmɒzonɒssɒl
Amazonasszá	_!'ɒmɒzonɒssaː
Amazonassá	_!'ɒmɒzonɒʃʃaː
Ambrozovics	_!'ɒmbɐ̯ozovitʃ
Ambrus	_!'ɒmbɐ̯uʃ
Ambró	_!'ɒmbɐ̯oː
Ambrózfalva	_!'ɒmbɐ̯oːzfɒlvɒ
Ambrózi	_!'ɒmbɐ̯oːzi
Ambschell	_!'ɒmbʃtshɛll
Amerika	_!'ɒmɛɐ̯ikɒ
Ammán	_!'ɒmmaːn
Amsel	_!'ɒmʃɛl
Amszterdam	_!'ɒmstɛɐ̯dɒm
Amtmann	_!'ɒmtmɒnn
Amundsen	_!'ɒmuntʃɛn
Amália	_!'ɒmaːli;ɒ
Amálka	_!'ɒmaːlkɒ
Anakreón	_!'ɒnɒkɐ̯ɛoːn
Anarcs	_!'ɒnɒɐ̯tʃ
Anasztázia	_!'ɒnɒstaːzi;ɒ
Anatólia	_!'ɒnɒtoːli;ɒ
Ancsa	_!'ɒntʃɒ
Anda	_!'ɒndɒ
Andaházi	_!'ɒndɒhaːzi
Andai	_!'ɒndɒi
Andalúzia	_!'ɒndɒluːzi;ɒ
Anday	_!'ɒndɒi
Anderkó	_!'ɒndɛɐ̯koː
Anderlik	_!'ɒndɛɐ̯lik
Andersen	_!'ɒndɛɐ̯ʃɛn
Andi	_!'ɒndi
Andocs	_!'ɒndotʃ
Andok	_!'ɒndok
Andor	_!'ɒndoɐ̯
Andorffy	_!'ɒndoɐ̯ffi
Andorka	_!'ɒndoɐ̯kɒ
Andorkó	_!'ɒndoɐ̯koː
Andornak	_!'ɒndoɐ̯nɒk
Andornaktálya	_!'ɒndoɐ̯nɒktaːjɒ
Andorra	_!'ɒndorɒ
Andrasovszky	_!'ɒndɐ̯ɒʃovski
Andrea	_!'ɒndɐ̯ɛɒ
Andreas	_!'ɒndɐ̯ɛɒʃ
Andreich	_!'ɒndɐ̯ɛitsh
Andreánszky	_!'ɒndɐ̯ɛaːnski
Andris	_!'ɒndɐ̯iʃ
Andrád	_!'ɒndɐ̯aːd
András	_!'ɒndɐ̯aːʃ
Andrásfa	_!'ɒndɐ̯aːʃfɒ
Andrásfalva	_!'ɒndɐ̯aːʃfɒlvɒ
Andrásfi	_!'ɒndɐ̯aːʃfi
Andráshida	_!'ɒndɐ̯aːʃhidɒ
Andrási	_!'ɒndɐ̯aːʃi
Andráska	_!'ɒndɐ̯aːʃkɒ
Andrásofszky	_!'ɒndɐ̯aːʃofski
Andrássy	_!'ɒndɐ̯aːʃʃi
Andrássyak	_!'ɒndɐ̯aːʃʃi;ɒk
Anett	_!'ɒnɛt
Anettka	_!'ɒnɛttkɒ
Angehrn	_!'ɒŋgɛhɐ̯n
Angeles	_!'ɒŋgɛlɛʃ
Angelessel	_!'ɒŋgɛlɛʃʃɛl
Angelesszel	_!'ɒŋgɛlɛssɛl
Angelesszé	_!'ɒŋgɛlɛsseː
Angelessé	_!'ɒŋgɛlɛʃʃeː
Angeli	_!'ɒŋgɛli
Angelika	_!'ɒŋgɛlikɒ
Angelo	_!'ɒŋgɛlo
Anghi	_!'ɒŋghi
Angi	_!'ɒŋgi
Anglia	_!'ɒŋgli;ɒ
Angola	_!'ɒŋgolɒ
Angster	_!'ɒŋgʃtɛɐ̯
Angyalffy	_!'ɒŋɟɒlffi
Angyalos	_!'ɒŋɟɒloʃ
Angéla	_!'ɒŋgeːlɒ
Anikó	_!'ɒnikoː
Anita	_!'ɒnitɒ
Anjou	_!'ɒɲɲou
Ankara	_!'ɒŋkɒɐ̯ɒ
Anker	_!'ɒŋkɛɐ̯
Anna	_!'ɒnnɒ
Annabell	_!'ɒnnɒbɛll
Annabella	_!'ɒnnɒbɛllɒ
Annamari	_!'ɒnnɒmɒɐ̯i
Annamária	_!'ɒnnɒmaːɐ̯i;ɒ
Annavölgy	_!'ɒnnɒvølɟ
Annus	_!'ɒnnuʃ
Annuska	_!'ɒnnuʃkɒ
Anonymus	_!'ɒnoɲmuʃ
Anonymussal	_!'ɒnoɲmuʃʃɒl
Anonymusszal	_!'ɒnoɲmussɒl
Anonymusszá	_!'ɒnoɲmussaː
Anonymussá	_!'ɒnoɲmuʃʃaː
Antal	_!'ɒntɒl
Antalffy	_!'ɒntɒlffi
Antalik	_!'ɒntɒlik
Antall	_!'ɒntɒll
Antananarivo	_!'ɒntɒnɒnɒɐ̯ivo
Antarktisz	_!'ɒntɒɐ̯ktis
Anthes	_!'ɒnthɛʃ
Anti	_!'ɒnti
Antigoné	_!'ɒntigoneː
Antigua	_!'ɒntiguɒ
Antikrisztus	_!'ɒntikɐ̯istuʃ
Antilla	_!'ɒntillɒ
Antillák	_!'ɒntillaːk
Antl	_!'ɒntl
Antolik	_!'ɒntolik
Antoninus	_!'ɒntoninuʃ
Antonius	_!'ɒntoni;uʃ
Antoniussal	_!'ɒntoni;uʃʃɒl
Antoniusszal	_!'ɒntoni;ussɒl
Antoniusszá	_!'ɒntoni;ussaː
Antoniussá	_!'ɒntoni;uʃʃaː
Antos	_!'ɒntoʃ
Antwerpen	_!'ɒntvɛɐ̯pɛn
Antónia	_!'ɒntoːni;ɒ
Anyegin	_!'ɒɲɛgin
Apagy	_!'ɒpɒɟ
Apaj	_!'ɒpɒj
Aparhant	_!'ɒpɒɐ̯hɒnt
Apc	_!'ɒpts
Aphrodité	_!'ɒphɐ̯oditeː
Apod	_!'ɒpod
Apolló	_!'ɒpolloː
Apollónia	_!'ɒpolloːni;ɒ
Apor	_!'ɒpoɐ̯
Apostag	_!'ɒpoʃtɒg
AppArmor	_!'ɒp: _!'ɒɐ̯_moɐ̯
AppArmoros	_!'ɒp: _!'ɒɐ̯_moɐ̯oʃ
Appel	_!'ɒp:ɛl
Appennin	_!'ɒp:ɛnnin
Appenninek	_!'ɒp:ɛnninɛk
Apraxin	_!'ɒpɐ̯ɒksin
Apácatorna	_!'ɒpaːtsɒtoɐ̯nɒ
Apáczai	_!'ɒpaːtsɒi
Apátfalva	_!'ɒpaːtfɒlvɒ
Apáthi	_!'ɒpaːthi
Apáthy	_!'ɒpaːthi
Apáti	_!'ɒpaːti
Apátistvánfalva	_!'ɒpaːtiʃtvaːnfɒlvɒ
Apátvarasd	_!'ɒpaːtvɒɐ̯ɒʃd
Aquila	_!'ɒkvilɒ
Aquincum	_!'ɒkvintsum
Arabella	_!'ɒɐ̯ɒbɛllɒ
Aracs	_!'ɒɐ̯ɒtʃ
Arad	_!'ɒɐ̯ɒd
Arady	_!'ɒɐ̯ɒdi
Arafat	_!'ɒɐ̯ɒfɒt
Aragónia	_!'ɒɐ̯ɒgoːni;ɒ
Arak	_!'ɒɐ̯ɒk
Aral	_!'ɒɐ̯ɒl
Aranka	_!'ɒɐ̯ɒŋkɒ
Aranyasi	_!'ɒɐ̯ɒɲɒʃi
Aranyosapáti	_!'ɒɐ̯ɒɲoʃɒpaːti
Aranyosgadány	_!'ɒɐ̯ɒɲoʃgɒdaːɲ
Aranyossi	_!'ɒɐ̯ɒɲoʃʃi
Aranyossy	_!'ɒɐ̯ɒɲoʃʃi
Aranypatak	_!'ɒɐ̯ɒɲpɒtɒk
Aranyváry	_!'ɒɐ̯ɒɲvaːɐ̯i
Aranyág	_!'ɒɐ̯ɒɲaːg
Ararát	_!'ɒɐ̯ɒɐ̯aːt
Ardó	_!'ɒɐ̯doː
Arenstein	_!'ɒɐ̯ɛnʃtɛin
Argenti	_!'ɒɐ̯gɛnti
Argentína	_!'ɒɐ̯gɛntiːnɒ
Arhangelszk	_!'ɒɐ̯hɒŋgɛlsk
Ariadné	_!'ɒɐ̯i;ɒdneː
Arisztid	_!'ɒɐ̯istid
Arisztophanész	_!'ɒɐ̯istophɒneːs
Arisztotelész	_!'ɒɐ̯istotɛleːs
Arizona	_!'ɒɐ̯izonɒ
Arka	_!'ɒɐ̯kɒ
Arkansas	_!'ɒɐ̯kɒnʃɒʃ
Arkansassal	_!'ɒɐ̯kɒnʃɒʃʃɒl
Arkansasszal	_!'ɒɐ̯kɒnʃɒssɒl
Arkansasszá	_!'ɒɐ̯kɒnʃɒssaː
Arkansassá	_!'ɒɐ̯kɒnʃɒʃʃaː
Arkhimédész	_!'ɒɐ̯khimeːdeːs
Arktisz	_!'ɒɐ̯ktis
Arló	_!'ɒɐ̯loː
Arma	_!'ɒɐ̯_mɒ
Armand	_!'ɒɐ̯_mɒnd
Arnold	_!'ɒɐ̯nold
Arnót	_!'ɒɐ̯noːt
Artemisz	_!'ɒɐ̯tɛmis
Artner	_!'ɒɐ̯tnɛɐ̯
Artúr	_!'ɒɐ̯tuːɐ̯
Arz	_!'ɒɐ̯z
Arzt	_!'ɒɐ̯zt
Arábia	_!'ɒɐ̯aːbi;ɒ
Asboth	_!'ɒʃboth
Asbóth	_!'ɒʃboːth
Ascher	_!'ɒʃtshɛɐ̯
Aschner	_!'ɒʃtshnɛɐ̯
Asimov	_!'ɒʃimov
Asperger	_!'ɒʃpɛɐ̯gɛɐ̯
Astoria	_!'ɒʃtoɐ̯i;ɒ
Asunción	_!'ɒʃuntsi;oːn
Aszalai	_!'ɒsɒlɒi
Aszalay	_!'ɒsɒlɒi
Aszaló	_!'ɒsɒloː
Aszlányi	_!'ɒslaːɲi
Aszmara	_!'ɒsmɒɐ̯ɒ
Asztana	_!'ɒstɒnɒ
Asztrik	_!'ɒstɐ̯ik
Aszód	_!'ɒsoːd
Aszódy	_!'ɒsoːdi
Aszófő	_!'ɒsoːføː
Atala	_!'ɒtɒlɒ
Athenaeum	_!'ɒthɛnɒɛum
Athinai	_!'ɒthinɒi
Athén	_!'ɒtheːn
Athéné	_!'ɒtheːneː
Atkár	_!'ɒtkaːɐ̯
Atlanta	_!'ɒtlɒntɒ
Atlanti	_!'ɒtlɒnti
Atlantisz	_!'ɒtlɒntis
Attala	_!'ɒtɒlɒ
Attila	_!'ɒtilɒ
Attis	_!'ɒtiʃ
Atyha	_!'ɒçhɒ
Atzél	_!'ɒtzeːl
Atádi	_!'ɒtaːdi
Auchan	_!'ɒutshɒn
Audi	_!'ɒudi
Auer	_!'ɒuɛɐ̯
Auffenberg	_!'ɒuffɛnbɛɐ̯g
Augustin	_!'ɒuguʃtin
Augustini	_!'ɒuguʃtini
Augustus	_!'ɒuguʃtuʃ
Augustussal	_!'ɒuguʃtuʃʃɒl
Augustusszal	_!'ɒuguʃtussɒl
Augustusszá	_!'ɒuguʃtussaː
Augustussá	_!'ɒuguʃtuʃʃaː
Auguszt	_!'ɒugust
Auguszta	_!'ɒugustɒ
Aujerszky	_!'ɒujɛɐ̯ski
Aujeszky	_!'ɒujɛski
Aulich	_!'ɒulitsh
Aurél	_!'ɒuɐ̯eːl
Aurélia	_!'ɒuɐ̯eːli;ɒ
Auróra	_!'ɒuɐ̯oːɐ̯ɒ
Auschwitz	_!'ɒuʃtshvitz
Ausfeldt	_!'ɒuʃfɛldt
Austerweil	_!'ɒuʃtɛɐ̯vɛil
Ausztria	_!'ɒustɐ̯i;ɒ
Ausztrália	_!'ɒustɐ̯aːli;ɒ
Avedik	_!'ɒvɛdik
Avignon	_!'ɒvignon
Avogadro	_!'ɒvogɒdɐ̯o
Axelero	_!'ɒksɛlɛɐ̯o
Azary	_!'ɒzɒɐ̯i
Azerbajdzsán	_!'ɒzɛɐ̯bɒjdʒaːn
Aşgabat	_!'ɒʃgɒbɒt
Babarc	b'ɒbɒɐ̯ts
Babarcszőlős	b'ɒbɒɐ̯tʃzøːløːʃ
Babay	b'ɒbɒi
Babett	b'ɒbɛt
Babeș	b'ɒbɛʃ
Babeșsal	b'ɒbɛʃʃɒl
Babeșsel	b'ɒbɛʃʃɛl
Babeșsá	b'ɒbɛʃʃaː
Babeșsé	b'ɒbɛʃʃeː
Babics	b'ɒbitʃ
Babik	b'ɒbik
Babilon	b'ɒbilon
Babilónia	b'ɒbiloːni;ɒ
Babits	b'ɒbitʃ
Babitscsal	b'ɒbitʃtʃɒl
Babitscsá	b'ɒbitʃtʃaː
Babitssal	b'ɒbitʃʃɒl
Babitssá	b'ɒbitʃʃaː
Babocsay	b'ɒbotʃɒi
Babolcsai	b'ɒboltʃɒi
Babosdöbréte	b'ɒboʃdøbɐ̯eːtɛ
Babura	b'ɒbuɐ̯ɒ
Babócsa	b'ɒboːtʃɒ
Babócsay	b'ɒboːtʃɒi
Babót	b'ɒboːt
Bacchus	b'ɒts:huʃ
Bacchussal	b'ɒts:huʃʃɒl
Bacchusszal	b'ɒts:hussɒl
Bacchusszá	b'ɒts:hussaː
Bacchussá	b'ɒts:huʃʃaː
Bach	b'ɒtsh
Bachat	b'ɒtshɒt
Bacher	b'ɒtshɛɐ̯
Bachmann	b'ɒtshmɒnn
Bachmegyei	b'ɒtshmɛɟɛi
Bachrich	b'ɒtshɐ̯itsh
Bachó	b'ɒtshoː
Back	b'ɒtsk
Backhausz	b'ɒtskhɒus
Bacon	b'ɒtson
Bacsa	b'ɒtʃɒ
Bacsinszky	b'ɒtʃinski
Bacskó	b'ɒtʃkoː
Bacsák	b'ɒtʃaːk
Baczó	b'ɒtsoː
Bada	b'ɒdɒ
Badacsony	b'ɒdɒtʃoɲ
Badacsonylábdihegy	b'ɒdɒtʃoɲlaːbdihɛɟ
Badacsonytomaj	b'ɒdɒtʃoɲtomɒj
Badacsonytördemic	b'ɒdɒtʃoɲtøɐ̯dɛmits
Badacsonyörs	b'ɒdɒtʃoɲøɐ̯ʃ
Badalik	b'ɒdɒlik
Badari	b'ɒdɒɐ̯i
Badics	b'ɒditʃ
Baditz	b'ɒditz
Badzey	b'ɒd:zɛi
Badár	b'ɒdaːɐ̯
Bag	b'ɒg
Bagamér	b'ɒgɒmeːɐ̯
Bagdad	b'ɒgdɒd
Baghy	b'ɒghi
Baglad	b'ɒglɒd
Bagod	b'ɒgod
Bagos	b'ɒgoʃ
Bagossy	b'ɒgoʃʃi
Bagota	b'ɒgotɒ
Bahama	b'ɒhɒmɒ
Bahil	b'ɒhil
Bahnert	b'ɒhnɛɐ̯t
Bahrein	b'ɒhɐ̯ɛin
Baintner	b'ɒintnɛɐ̯
Bairiki	b'ɒiɐ̯iki
Baj	b'ɒj
Baja	b'ɒjɒ
Bajcsy	b'ɒjtʃi
Bajkonur	b'ɒjkonuɐ̯
Bajkál	b'ɒjkaːl
Bajmóc	b'ɒjmoːts
Bajna	b'ɒjnɒ
Bajnáczky	b'ɒjnaːtski
Bajnóczy	b'ɒjnoːtsi
Bajoni	b'ɒjoni
Bajorország	b'ɒjoɐ̯oɐ̯saːg
Bajtay	b'ɒjtɒi
Bajza	b'ɒjzɒ
Bajáki	b'ɒjaːki
Bajánsenye	b'ɒjaːnʃɛɲɛ
Bajári	b'ɒjaːɐ̯i
Bajót	b'ɒjoːt
Bak	b'ɒk
Bakacsi	b'ɒkɒtʃi
Bakalár	b'ɒkɒlaːɐ̯
Bakfark	b'ɒkfɒɐ̯k
Bakháza	b'ɒkhaːzɒ
Bakics	b'ɒkitʃ
Bakkhosz	b'ɒkkhos
Bakki	b'ɒk:i
Bakky	b'ɒk:i
Bakodi	b'ɒkodi
Bakody	b'ɒkodi
Bakonszeg	b'ɒkonsɛg
Bakony	b'ɒkoɲ
Bakonya	b'ɒkoɲɒ
Bakonyalja	b'ɒkoɲɒl^jɒ
Bakonybánk	b'ɒkoɲbaːŋk
Bakonybél	b'ɒkoɲbeːl
Bakonycsernye	b'ɒkoɲtʃɛɐ̯ɲɛ
Bakonygyirót	b'ɒkoɲɟiɐ̯oːt
Bakonyjákó	b'ɒkoɲjaːkoː
Bakonykoppány	b'ɒkoɲkop:aːɲ
Bakonykúti	b'ɒkoɲkuːti
Bakonynána	b'ɒkoɲnaːnɒ
Bakonyoszlop	b'ɒkoɲoslop
Bakonypéterd	b'ɒkoɲpeːtɛɐ̯d
Bakonypölöske	b'ɒkoɲpøløʃkɛ
Bakonyszentiván	b'ɒkoɲsɛntivaːn
Bakonyszentkirály	b'ɒkoɲsɛntkiɐ̯aːj
Bakonyszentlászló	b'ɒkoɲsɛntlaːsloː
Bakonyszombathely	b'ɒkoɲsombɒthɛj
Bakonyszücs	b'ɒkoɲsytʃ
Bakonyság	b'ɒkoɲʃaːg
Bakonysárkány	b'ɒkoɲʃaːɐ̯kaːɲ
Bakonytamási	b'ɒkoɲtɒmaːʃi
Bakoss	b'ɒkoʃʃ
Baks	b'ɒkʃ
Baksa	b'ɒkʃɒ
Baksay	b'ɒkʃɒi
Bakta	b'ɒktɒ
Baktakék	b'ɒktɒkeːk
Baktalórántháza	b'ɒktɒloːɐ̯aːnthaːzɒ
Baktay	b'ɒktɒi
Baktó	b'ɒktoː
Baktüttös	b'ɒktytøʃ
Baku	b'ɒku
Bakucz	b'ɒkuts
Bakách	b'ɒkaːtsh
Bakács	b'ɒkaːtʃ
Bakóca	b'ɒkoːtsɒ
Bakócz	b'ɒkoːts
Bakóczi	b'ɒkoːtsi
Bala	b'ɒlɒ
Balabán	b'ɒlɒbaːn
Balajt	b'ɒlɒjt
Balajthy	b'ɒlɒjthi
Balambér	b'ɒlɒmbeːɐ̯
Balanyi	b'ɒlɒɲi
Balassa	b'ɒlɒʃʃɒ
Balassagyarmat	b'ɒlɒʃʃɒɟɒɐ̯_mɒt
Balassi	b'ɒlɒʃʃi
Balaton	b'ɒlɒton
Balatonakali	b'ɒlɒtonɒkɒli
Balatonakarattya	b'ɒlɒtonɒkɒɐ̯ɒç:ɒ
Balatonaliga	b'ɒlɒtonɒligɒ
Balatonalmádi	b'ɒlɒtonɒlmaːdi
Balatonberény	b'ɒlɒtonbɛɐ̯eːɲ
Balatonboglár	b'ɒlɒtonboglaːɐ̯
