g e ʧ	гэж
g i x t e	Гэхдээ
e x	эх
m o ŋ	Мөн
tʰ ʊ s ɢ ai	тусгай
ɔ r ʧ	орж
χ aa ŋ	хаан
x i m e ŋ	хэмээн
i ɮ u	илүү
a ʧ	аж
i r s ə ŋ	ирсэн
ɢ a ʦ r ə ŋ	газрын
tʰ ʊ ɮ	тул
x i s ə g	хэсэг
a ɮ p ə ŋ	албан
ʊ ɮ s ə ŋ	Улсын
j ɔ s tʰ ɔi	ёстой
a ʧ ə ɮ	ажил
p ɔ ɮ ʧ e	болжээ
pʲ i j	бие
tʰʲ ii m	тийм
s i tʰ g ə ɮ	сэтгэл
ɢ a r ʧʰ	гарч
o n t ə r	өндөр
u r	үр
a w ə χ	авах
p a g	баг
p ɔ ɮ ə χ ə r	болохоор
x e ɮ	хэл
p a ɢ	бага
ii m	ийм
xʲ ii s ə ŋ	хийсэн
a w s ə ŋ	авсан
g e n	гэнэ
r ʊʊ	руу
xʲ ii x	хийх
p ɔ ɮ ɔ t	болоод
n ʊ tʰ ə g	нутаг
ʦ a rʲ ə m	зарим
x e ŋ	хэн
χ ɔ tʰ ə ŋ	хотын
a r ɢ	арга
χ a rʲ ə ŋ	харин
i s w ə ɮ	эсвэл
χ ɔ tʰ	хот
χ ʊ wʲ	хувь
tʰ uu nʲ i g	түүнийг
tʰ ʊ χ ai ŋ	тухайн
a ɴ χ ə n	анхны
s a j	сая
m a n ai	манай
χ ɔi ʃ	хойш
t a χ ə ŋ	дахин
p u xʲ i	бүхий
u j ə i ŋ	үеийн
ee	ээ
p ai ɢ a t	байгаад
n a s	нас
uu	үү
x u n t	хүнд
p ai χ ə t	байхад
ʊ g	уг
t ʊ n t	дунд
a ɮʲ	аль
i tʲ i ŋ	эдийн
χ ɔ tʰ ə t	хотод
χ ʊʊ ɮʲ	хууль
p ɔ ɮ ə w	болов
x o ɮ p ə m p ə gʲ i ŋ	хөлбөмбөгийн
tʰ o r s ə ŋ	төрсөн
t ee t	дээд
t ɔ tʰ ə r	дотор
p ai x g ui	байхгүй
tʰ i r e r	Тэрээр
m ɔ ɴ ɢ ə ɮ	монгол
tʰ o w	төв
p ʊ s	бус
ʦʰ a ɢ a ŋ	цагаан
tʰ ʊ ɮ t	тулд
χ a r	хар
gʲ i n	кино
a ɴ χ	анх
a ʧ ə ɮ ɮ ə ʧ	ажиллаж
s a n ə ɮ	санал
ʦ ɔ χ ɔ ŋ	зохион
ʧʰ ʊ χ ə ɮ	чухал
ʦʰ i r gʲ i ŋ	цэргийн
p a r ʊ ŋ	баруун
x i r ə g	хэрэг
ʦ uu ŋ	зүүн
i ŋ	ын
g e r	гэр
a w ə r ɢ	аварга
χ a m tʰ	хамт
x e t	хэд
oo r o	өөрөө
ɔ ɮ ʧ	олж
j a g	яг
ɢ a r ʊi	гаруй
ʦ a ɮ ʊ	залуу
ʊ r tʰ	урт
j a w ʧ	явж
u n t ə s nʲ i	үндэсний
u j	үе
ɢ a r s ə ŋ	гарсан
t i ɮ xʲ i ŋ	Дэлхийн
x u ɮ e ŋ	хүлээн
s a n a	санаа
mʲ i nʲ i	Миний
p ɔ ɮ t ə g	болдог
ɢ a t ə n	гадна
ɢ a n ʦʰ	ганц
ʃ i g ʃ e	шигшээ
tʰ i g e t	Тэгээд
n a m ai g	намайг
p ai t ə ɮ	байдал
x uu	хүү
s a r t	сард
ai m gʲ i ŋ	аймгийн
g e w ʧʰ	Гэвч
ɔ r ʧʰ ə m	орчим
p ɔ t ə ʧ	бодож
t a ɢ ʊ	дагуу
g i t gʲ i g	гэдгийг
e n t	энд
tʰ o ɮ o	төлөө
x ʊʊ ɮʲ i ŋ	хуулийн
u ʦ ə ʧ	үзэж
n ʊ tʰ gʲ i ŋ	нутгийн
χ ɔi t	хойд
tʰ ɔ t ə r χ ɔi	тодорхой
ʦ o w x ə ŋ	зөвхөн
j i r ə ŋ xʲ i	ерөнхий
a s ʊ t ə ɮ	асуудал
n e g	Нэг
x i m e x	хэмээх
x e ɮ ʧ	хэлж
tʰ i g e t	тэгээд
ɔ t ɔ	Одоо
n a t ə t	надад
i s r ə g	эсрэг
t ʊʊ	дуу
tʰ a ɮ	тал
x u m u s i ŋ	хүмүүсийн
p ɔ ɮ ɢ ə ŋ	болгон
m ʊʊ	муу
p ai t ɮ a r	байдлаар
a r t	ард
ʊ r ə ŋ	уран
u g ui	үгүй
ʊ ʧʰ ə r	учир
pʲ i ʧʰ s ə ŋ	бичсэн
m i t ə ɮ ə ɮ	мэдээлэл
a mʲ ə rʲ ə gʲ i ŋ	Америкийн
p a gʲ i ŋ	багийн
ʊ ɮ s ə t	улсад
n o g o	нөгөө
mʲ a ɴ ɢ ə ŋ	мянган
ɢ ʊ r w ə ŋ	гурван
ɔ r n	орны
nʲ ii tʰ	нийт
χ ɔɔ r ə n t	хооронд
i x ə ɮ s ə ŋ	эхэлсэн
ʃ ʊʊ t	шууд
p ai w ə ɮ	байвал
tʰ e t	Тэд
i r ʧ	ирж
aa	аа
tʰ uu nʲ i	Түүний
ɔ r ə s ə ŋ	Оросын
ʦ ʊ r ə g	зураг
ʦ o w ʃ ə r ə ɮ	зөвшөөрөл
p u r ə ŋ	бүрэн
ɔ n ɔ s	оноос
t a r ɢ	дарга
ɔ ŋ	он
j i w r ə pʰ ə ŋ	Европын
p a r ə g	бараг
ɢ a r ɢ ə ʧ	гаргаж
tʰ ɔɔ	тоо
j a w t ə ɮ	явдал
ʊ ɮ s	Улс
pʲ i ʦ	биз
ɔ ɮ ə ŋ	Олон
x uu x ə t	хүүхэд
n a r ə ŋ	нарын
n ai ʦ	найз
s ai t	сайд
o g s ə ŋ	өгсөн
u n ə ŋ	үнэн
o r g ə ŋ	өргөн
a n	АНУ
s a r	сар
x u ʧʰ	хүч
χ ɔ ɮ p ɔ tʰ ɔi	холбоотой
m o ɴ ɢ	мөнгө
a tʲ ə ɮ	адил
tʰ e t	тэд
a m	ам
u n t s ə ŋ	үндсэн
ʧʰ a t ə x g ui	чадахгүй
n ɔ m	ном
p u rʲ i ŋ	бүрийн
p ai χ t a	байхдаа
ɔ r s ə ŋ	орсон
χ ʊ ɢ ə ʦʰ a n t	хугацаанд
χ aa n	хааны
t ʊ ɢ a r	дугаар
p ai ɢ a g	байгааг
ʦ a m	зам
u ʦ t ə g	үздэг
x i m ʧ e	хэмжээ
s ɔ nʲ ə ŋ	сонин
χ a tʰ ə t ə ŋ	Хятадын
oo rʲ i g o	өөрийгөө
u ʦ ə ɮ	үзэл
a mʲ t r ə ɮ	амьдрал
j aa ʧ	яаж
x i s ə g tʰ	хэсэгт
ɢ a r	гар
χ a m ɢ a ɮ ə χ	хамгаалах
n ʊ tʰ ə ɢ tʰ	нутагт
a ŋ g ɮʲ i ŋ	Английн
x u ʧʰ ə ŋ	хүчин
ʊʊ ɮ	уул
ʊ ʧʰ r a s	учраас
g i x ə t	гэхэд
p ai ɢ ʊ ɮ ɮ ə ɢ	байгууллага
s ʊ r ɢ ʊ ɮʲ	сургууль
ʦ o w	зөв
i m ə g tʰ e	эмэгтэй
p ai r	байр
ʧ i ʧ ə g	жижиг
ɢ a t a t	гадаад
x u ŋ	Хүн
m a n ai	Манай
χ a r ʧ	харж
tʰ ɔ ɮ ɢ ɔi	толгой
s uu ɮʲ i ŋ	сүүлийн
ɢ a r ɢ ə s ə ŋ	гаргасан
a ʧ ə ɮ ɮ ə ɢ a	ажиллагаа
ʦ a s ə g	засаг
u j e r	үеэр
j i r ə ŋ xʲ i ɮ ə g ʧʰ	ерөнхийлөгч
ɔ r ə n t	оронд
ʊ s	ус
a ʧ e	ажээ
t ʊ r tʰ ai	дуртай
ɢ ɔ j	гоё
tʰ o r ɮʲ i ŋ	төрлийн
m i t e ɮ ɮʲ i ŋ	мэдээллийн
j a w s ə ŋ	явсан
g i tʰ ə ɮ	Гэтэл
x u nʲ i g	хүнийг
x i r x ə ŋ	хэрхэн
u ɮ	үл
e r	эр
s ʊ m	сум
nʲ ii g mʲ i ŋ	нийгмийн
i n ə x u	энэхүү
ɔ r ʃ ə ŋ	оршин
ʊ g	Уг
p ɔ ɮ ə x g ui	болохгүй
o m n ə t	өмнөд
t ee r e	дээрээ
tʰ i t nʲ i	тэдний
i r e t	ирээд
g i w ə ɮ	гэвэл
i n ə x u	Энэхүү
p ai ɢ ʊ ɮ s ə ŋ	байгуулсан
x i m ʧ e nʲ i	хэмжээний
ʊ χ a ŋ	ухаан
o g ə x	өгөх
x i ɮ s ə ŋ	хэлсэн
p ɔ ɮ ə m ʧ tʰ ɔi	боломжтой
p ɔ ɮ ə ɮ tʰ ɔi	бололтой
a w a t	аваад
ʦ a χ	зах
n a rʲ i ŋ	нарийн
t a ɮ ai ŋ	далайн
s ʊʊ ʧ	сууж
tʰ i r e r	тэрээр
pʲ i t nʲ i	бидний
x i ʦ e	хэзээ
o g ʧʰ	өгч
u n	үнэ
i ŋ g ə ʧ	ингэж
ee ʧ	ээж
x o r ə ɴ ɢ	хөрөнгө
ɔ χ ə ŋ	охин
j e r	ер
ʃ i n	Шинэ
pʲ i t	Бид
t i ɮ xʲ i	дэлхий
p u g t	бүгд
j a rʲ ʧ	ярьж
x ɔ n ə gʲ i ŋ	хоногийн
a ʃ ə ɢ ɮ ə χ	ашиглах
uu r ə g	үүрэг
x a m gʲ i ŋ	Хамгийн
t ɔ r	дор
tʰ ʊ s	Тус
a mʲ t ə r ʧʰ	амьдарч
a ʧ ɮ ə ŋ	ажлын
j a w ə χ	явах
pʲ i ʧʰ ə ʧ	бичиж
pʲ i ʧʰ ə g	бичиг
tʰ i m ʦʰ e ŋ	тэмцээн
p ɔ ɮ ɢ ə ʧ	болгож
χ a tʰ ə t	Хятад
ʧʰ i ŋ gʲ ə s	Чингис
m i t ə x g ui	мэдэхгүй
u n ə x ə r	үнэхээр
x ʊ wʲ i ŋ	хувийн
ɔ r ə ɮ ʦʰ ə ʧ	оролцож
oo r tʰ o	өөртөө
gʲ i ʃ u ŋ	гишүүн
ʊ n ʃ ə χ	унших
ʊ ɮ a ŋ	улаан
ʦʰ a ɢ tʰ	цагт
a r ai	арай
ʦʰ i r ə g	цэрэг
ʦʰ aa ʃ	цааш
ʊ ɮ ə m	улам
nʲ ii tʰʲ i ŋ	нийтийн
tʰ o r	төр
p a s	Бас
ʦ u g e r	зүгээр
a χ	ах
ʧ aa χ ə ŋ	жаахан
p a rʲ ʧ	барьж
m ɔ ɴ ɢ ə ɮ t	Монголд
tʰ ɔ m ə χ ə ŋ	томоохон
i r ə x	ирэх
ʃ i ɮ t ə g	шилдэг
ɢ a r ə χ	гарах
x u ʧʰ tʰ e	хүчтэй
g i x t e	гэхдээ
n a m	нам
n a s tʰ ai	настай
ʦ a s gʲ i ŋ	Засгийн
tʰ ɔ χ ə ɮ t ə ɮ t	тохиолдолд
a ɮ ɢ	алга
j aa ɢ a t	яагаад
e t	эд
ɔ r ə s	Орос
j ʊ m a	юмаа
p a ɢ ʃ	багш
r uu	рүү
ɮ ee	лээ
tʰ a ɮ a r a	талаараа
m ʊ ʧ	муж
t ai ŋ	дайн
χ ɔi t	Хойд
p ɔ t ə ɮ	бодол
ʃ a ɮ ɢ ə r ʊ ɮ ə χ	шалгаруулах
a m ʧ ə ɮ tʰ	амжилт
x i ʦʰ u	хэцүү
ʦ ʊʊ n	зууны
a ɮ tʰ ə ŋ	Алтан
i x nʲ i	эхний
ʃ i n ʧ ɮ ə x	шинжлэх
p ɔ ɮ ɮ ɔ	боллоо
o m n ə t	Өмнөд
ʊ χ a n	ухааны
j ɔ s ɔ r	ёсоор
χ ɔɔ ɮ	хоол
ɔ r ə χ	орох
t e x	дэх
a ʃ ə ɢ tʰ	ашигт
χ ʊ ɢ ə ʦʰ a	хугацаа
s ʊ m ə ŋ	сумын
p u s	бүс
nʲ ii s ɮ ə ɮ	нийслэл
o t rʲ i ŋ	өдрийн
ʦ ui ŋ	зүйн
tʰ ʊ ŋ	тун
χ ɔ n ə g	хоног
ɔ ʧʰ ə ʧ	очиж
o ŋ g ə r s ə ŋ	өнгөрсөн
i r u ɮ	эрүүл
s ʊ r g ʊ ɮʲ i ŋ	сургуулийн
g i r e	гэрээ
p ɮ ɔ g	блог
i x ə ŋ x	ихэнх
xʲ ii t ə g	хийдэг
m i t ə x	мэдэх
aa w	аав
n i g t s ə ŋ	Нэгдсэн
tʰ ʊ r ʃ	турш
a r g ə g ui	аргагүй
s ɔ j ə ɮ	соёл
ɔ r ʧʰ ə ŋ	орчин
tʰ uu n t	түүнд
a mʲ	амь
j a w t ə g	явдаг
i r tʰ nʲ i	эртний
ʊ t a ŋ	удаан
ʦ ui ɮʲ i g	зүйлийг
p ai g ə ɮʲ i ŋ	байгалийн
a ʧ ə ɮ ɮ ə χ	ажиллах
tʰ e n t	тэнд
s ʊ r ɢ ʊ ɮʲ t	сургуульд
t uu	дүү
x u ɮ e ʧ	хүлээж
ʦ aa s ə ŋ	заасан
j a pʰ ə n	Японы
i x ɮ e t	эхлээд
o n ə t ə r	өнөөдөр
χ a m tʰ r ə ŋ	хамтран
ʧ i ɮ t	жилд
j a n ʦ	янз
χ a r a t	хараад
tʰ uu x	түүх
ɔ r ʃ ə χ	орших
j ɔ s	ёс
n i r tʰ e	нэртэй
a mʲ tʰ ə ŋ	амьтан
i ʦ ə ŋ	эзэн
p ai ɢ ə ɮʲ	байгаль
j a pʰ ə ŋ	Япон
mʲ i t ə ɮʲ	медаль
j ɔ s ə n	ёсны
ʦʰ a gʲ i ŋ	цагийн
xʲ ii g e t	хийгээд
a ɮ tʰ ə ŋ	алтан
s ɔ nʲ ə r χ ə ɮ tʰ ɔi	сонирхолтой
t ee r x	дээрх
ɢ a r ɢ ə χ	гаргах
p uu	бүү
ʃ a r	шар
ɢ ɔ ɮ ə ŋ	голын
tʰ o r ə ɮ	төрөл
ɔ r ʊ ɮ ʧ	оруулж
t ɔ ɮ ɔ	долоо
ʊ ʧʰ ə r	Учир
ɔ r ɔ t	ороод
o m n ə x	өмнөх
m i t e	мэдээ
o n ə t ə r	Өнөөдөр
j aa χ	яах
i ʦʰ ə g	эцэг
χ a ɮ ʊ ŋ	халуун
ii m	Ийм
j e r	Ер
i ŋ g e t	Ингээд
p u s g ui	бүсгүй
p ai t ɮ ə g	байдлыг
ʦʰ a χ ə ɮ ɢ a ŋ	цахилгаан
x i ɮ ə x	хэлэх
p ɔ ɮ ə m ʧ	боломж
x i ɮ nʲ i	хэлний
ɢ a ʦ ə r tʰ	газарт
χ ɔ ɮ p ɔ n	холбооны
χ ɔ ɮ p ɔ	холбоо
p u x ə ŋ	бүхэн
a mʲ t ə r t ə g	амьдардаг
pʰ r a n ʦʰ ə ŋ	Францын
ʃ a ʃ ə ŋ	шашин
χ ai r	хайр
x e χ	хэхэ
p a ɢ tʰ	багт
m i r g ə ʧ ɮʲ i ŋ	мэргэжлийн
t ai n	дайны
ʊʊ r χ ai ŋ	уурхайн
tʰ ʊ s ɢ a r	тусгаар
p u g t	Бүгд
ʃ i n ʧ	шинж
a mʲ t r ə ɮ ə ŋ	амьдралын
tʰ i r g u ŋ	тэргүүн
χ a ɢ ə s	хагас
a s ʊ t ɮ ə g	асуудлыг
ʦ a m ə ŋ	замын
x oo r x ə ŋ	хөөрхөн
g u ŋ	гүн
i t g e r	Эдгээр
ʊ ɮ m a s	улмаас
ʦ aa w ə ɮ	заавал
j aa χ ə w	яахав
ʃ a ʃ ə n	шашны
tʰ a ɮ p ai	талбай
p ɔ t ɔ t	бодоод
ʊ s n	усны
ʦ a ŋ	зан
tʰ ɔ ɢ ɮ ə ʧ	тоглож
ii ŋ	ийн
i r g ə ŋ	эргэн
ɔ r ɔi	орой
uu nʲ i	Үүний
ʦ ui ɮʲ i ŋ	зүйлийн
u j ə t e	үедээ
t o r w ə ŋ	дөрвөн
n a s ə n	насны
a r w ə ŋ	арван
ɔ r ʊ ɮ s ə ŋ	оруулсан
m i t e ɮ ɮʲ i g	мэдээллийг
a m ə ŋ	амын
o ɴ ɢ	өнгө
χ ai r tʰ ai	хайртай
p a rʲ ə ɮ ɢ ə ŋ	барилгын
i ŋ gʲ i ŋ	энгийн
p ai ɴ ɢ	байнга
i r xʲ i g	эрхийг
tʰ a ɮ t	талд
x i r ə w	Хэрэв
uu nʲ i g	үүнийг
ʦ a rʲ ə m	Зарим
x u ʧʰ nʲ i	хүчний
x u r ʧʰ	хүрч
ʦ a χ ə r ɢ a n	захиргааны
j a m ə r	Ямар
gʲ i r m ə n	Германы
u ʦ s ə ŋ	үзсэн
j a rʲ a	яриа
ʃ ʊ w ʊ	шувуу
ʃ aa r t ɮ ə ɢ ə tʰ ai	шаардлагатай
s i tʰ g ə ɮʲ i ŋ	сэтгэлийн
p a j ə r	баяр
x u m u s i g	хүмүүсийг
m a g ə t g ui	магадгүй
m ɔ ɴ ɢ ə ɮ ʧʰ ʊ t	Монголчууд
o g ɮ o	өглөө
u ɮ t s ə ŋ	үлдсэн
χ ʊ r t ə ŋ	хурдан
a s ə r	асар
a mʲ t r ə χ	амьдрах
ʊ n ʃ ə ʧ	уншиж
tʰ a w ə ŋ	таван
a ʧ ɮ ə g	ажлыг
ʊ s ə ŋ	усан
ʦ a m a r	замаар
j a w a t	яваад
p ɔ ɮ ə χ ə g	болохыг
s uu ɮʲ i ŋ	Сүүлийн
oo rʲ i ŋ x o	өөрийнхөө
u ʦ ə x	үзэх
x u m u s tʰ	хүмүүст
tʰ a wʲ ʧ	тавьж
m a ɮ tʰ m ə ɮ ə ŋ	малтмалын
ɢ a r ə ŋ	гарын
x o ɮ	хөл
tʰ a n	таны
x i tʲ i	хэдий
n a m ə ŋ	намын
ʧʰ a n ə r	чанар
p ɔ t ɮ ɔ	бодлоо
nʲ ii tʰ	Нийт
ʧ i ŋ x ə n	жинхэнэ
p ai ɢ ʊ ɮ ə χ	байгуулах
x u r s ə ŋ	хүрсэн
i ʧ ə ɮ	ижил
i t g e r	эдгээр
ɔ t ɔ gʲ i ŋ	одоогийн
ɢ a ɮ	гал
a ʦ i ŋ	Азийн
i r x tʰ e	эрхтэй
i ʦ ə n tʰ	эзэнт
pʲ i ʧʰ gʲ i ŋ	бичгийн
ai m ə g	аймаг
χ a ŋ	хан
s ɔ ŋ g ʊ ɮʲ i ŋ	сонгуулийн
n o ɮ o	нөлөө
n i rʲ i g	нэрийг
ʦ ʊʊ ŋ	зуун
ɢ a r a t	гараад
p ai χ ə g	байхыг
χ ʊʊ ʧʰ ə ŋ	хуучин
p ʊ r ʊ	буруу
p ai ɢ ʊ ɮ ʧ	байгуулж
p ai ɢ ʊ ɮ ə ɢ t s ə ŋ	байгуулагдсан
p ɔ ɮ ɢ ə χ	болгох
s i tʰ g ə g t ə ɮ	Сэтгэгдэл
i x ɮ ə ŋ	эхлэн
x i ɮ p ə ɮ	хэлбэл
tʰ o m ə r	төмөр
p ai g a g ui	байгаагүй
a ʧʰ	ач
tʰʲ ii m	Тийм
j i r ə ŋ xʲ i	Ерөнхий
ɮ a m	лам
χ aa n	хаана
p u tʰ e ɮ	бүтээл
pʲ i ʧʰ ə x	бичих
p ai n a	байнаа
ɔ χ	ОХУ
u s ə g	үсэг
ʊ ɮʲ ə r ə ɮ t	улиралд
i r g ə t	иргэд
ʊʊ ɮ ə ŋ	уулын
e n t	Энд
tʰʲ ii m e s	Тиймээс
a w t ə g	авдаг
ɔ ɮʲ ə m pʰʲ i ŋ	олимпийн
n ʊʊ r	нуур
i ʦ ə m ʃ ə g ʧʰ	эзэмшигч
ɢ a r ə ɮ tʰ ai	гаралтай
g i r ə ɮ	гэрэл
p ɔ ɮ ɢ ə s ə ŋ	болгосон
j a w a	яваа
χ a tʰ ʊ	хатуу
tʰ a ɮ a s	талаас
m a ʃ ə ŋ	машин
n ʊʊ ʦʰ	нууц
t ee ʃ	дээш
a ʃ ə g	ашиг
ʊ tʰ ɢ	утга
m ɔ t	мод
m a ɮ	мал
t a r a χ	дараах
t e t	дэд
aa t	аад
ʊ ɮ m a r	улмаар
tʰ ɔ ɢ ɮ ə ɮ tʰ	тоглолт
ʧʰ a t s ə ŋ	чадсан
m i t t ə g	мэддэг
t ɔ ɮ ɮ ə r	доллар
g i x e r	гэхээр
g i r tʰ e	гэртээ
a ʧ ə ɮ ɮ ə t ə g	ажилладаг
ʊ ɮ s ə g	улсыг
i x ə x ə ŋ	ихээхэн
p a rʲ ə m tʰ	баримт
i x n ə r	эхнэр
n o x ʦʰ ə ɮ	нөхцөл
p u tʰ ə ŋ	бүтэн
x i r w e	Хэрвээ
s ʊ t ə ɮ ɢ a	судалгаа
p ai ɢ a ɢ a	байгаагаа
ʊ ɮ a n p a tʰ ə r	Улаанбаатар
oo r s tʲ i ŋ	өөрсдийн
x u r ə x	хүрэх
x u nʲ i	Хүний
tʰ o rʲ i ŋ	Төрийн
p ai ɢ ʊ ɮ ɮ ə ɢ ə ŋ	байгууллагын
n ai r ə m t ə χ	Найрамдах
p ɔ t t ə g	боддог
ʧʰ a t ə χ	чадах
χ ɔɔ r ə n t ɔ	хоорондоо
t ɔ tʰ ɔ t	дотоод
a ʧ ə ɮ ɮ ə ɢ a g	ажиллагааг
ʃ ii t w ə r	шийдвэр
s i tʰ g ə g t ə ɮ	сэтгэгдэл
m o ŋ g ə ŋ	мөнгөн
j a w ʊ ɮ ʧ	явуулж
x i r gʲ i ŋ	хэргийн
m i t ə ʧ	мэдэж
p ai s n ə g	байсныг
t ɔɔ	доо
a χ ʊi ŋ	ахуйн
x o g ʧ mʲ i ŋ	хөгжмийн
n o x ə r	нөхөр
s ɔ j ə ɮ ə ŋ	соёлын
tʰ o w	Төв
ʧ i ʃ e	жишээ
j a g	Яг
tʰ a ɮ ə ŋ	талын
s a ɮ p ə r	салбар
x u s ə ɮ	хүсэл
ɔ ɢ tʰ	огт
p ɔ ɢ ə n	богино
a ɮ p a	алба
x i w ɮ ə ɮ	хэвлэл
tʰ i g w ə ɮ	Тэгвэл
gʲ i r m ə ŋ	Герман
o ŋ g ə tʰ e	өнгөтэй
ʧʰ a t a g ui	чадаагүй
n u t	нүд
g ɔ m pʰ ə nʲ i	компани
a mʲ t	амьд
χ ɔ j ə r t ə ɢ a r	хоёрдугаар
ɔ r ə ɮ ʦʰ s ə ŋ	оролцсон
χ ai ɢ ʊ ɮ ə ŋ	хайгуулын
tʰ u m ə ŋ	түмэн
ʦ ʊ n	зуны
tʰ i g ə x ə r	Тэгэхээр
χ a tʰ ə ŋ	хатан
g i rʲ i ŋ	гэрийн
a r ə ɮ	арал
ʃ i n e r	шинээр
x i r ə g ɮ ə ʧ	хэрэглэж
a ɮ t ə r tʰ ai	алдартай
a ʧ ə ɮ t	ажилд
uu s s ə ŋ	үүссэн
u j e s	үеэс
u gʲ i g	үгийг
tʰ uu n e s	түүнээс
p ai	бай
a j ʊ ɮ g ui	аюулгүй
a m ʧ ə ɮ tʰ tʰ ai	амжилттай
x o g ʧ ɮʲ i ŋ	хөгжлийн
j aa ɢ a t	Яагаад
tʰ ʊ s ɢ ai	Тусгай
u n t ə s nʲ i	Үндэсний
x i s gʲ i g	хэсгийг
ʦ ɔ rʲ ə ɮ ɢ ɔ r	зорилгоор
χ ɔ ɮ p ɔ n	Холбооны
ʦ uu ŋ	Зүүн
ʧʰ a t t ə g	чаддаг
x u n tʰ e	хүнтэй
a mʲ t r ə ɮ t	амьдралд
p a r ʊ ŋ	Баруун
ʧʰ i nʲ i	чиний
x e tʰ	хэт
ɔi	ой
nʲ i ɮ e t	нилээд
m ɔ ɴ ɢ ə ɮ ə ŋ	монголын
ɢ a ʦ r ə g	газрыг
a ɮʲ ə w a	аливаа
i ʦʰ ə s tʰ	эцэст
tʰ i m ʦʰ e n t	тэмцээнд
ɔ r n ʊ t ə ŋ	орнуудын
ʦ ɔ χ ɔ ɮ ʧʰ	зохиолч
pʲ i ʧʰ ɮ ə g	бичлэг
n i g t s ə ŋ	нэгдсэн
t u n t	дүнд
x u r tʰ s ə ŋ	хүртсэн
tʰ ɔ t	тод
tʰ a wʲ ə χ	тавих
s a ɮ p ə r tʰ	салбарт
ɔ ɮ s ə ŋ	олсон
ɢ a r t ə g	гардаг
p ai t ə ɮ t	байдалд
s ai ŋ	Сайн
o g n	өгнө
χ a rʲ ə ɮ ʦʰ a	харилцаа
tʰ i r p ə m	тэрбум
tʰ ɔɔ n	тооны
i tʰ g ə ɮ	итгэл
ʦ ui ɮ s	зүйлс
x uu x tʲ i ŋ	хүүхдийн
tʰ ɔ ɢ tʰ ə s ə ŋ	тогтоосон
ɔ r t ə g	ордог
ɔi r	ойр
t uu r ə ŋ	дүүрэн
t a r a	Дараа
u n t ə s tʰ ə ŋ	үндэстэн
x o t o	хөдөө
χ a r ə χ	харах
m e n t	мэнд
m i o	МЭӨ
g i t g e	гэдгээ
pʲ i t ə n t	бидэнд
o g t ə g	өгдөг
ʃ o n	шөнө
tʰ uu x ə n t	түүхэнд
