A	ə
ABERNETHY	'æ b ə ɹ n ˌɛ θ ij
ABERRANT	æ b 'ɛ ɹ ə n t
ABERRATION	ˌæ b ə ɹ 'ej ʃ ə n
ABERRATIONAL	ˌæ b ə ɹ 'ej ʃ ə n ə l
ABERRATIONS	ˌæ b ə ɹ 'ej ʃ ə n z
ABERT	'æ b ə ɹ t
ABET	ə b 'ɛ t
ABETTED	ə b 'ɛ t ɪ d
ABETTING	ə b 'ɛ t ɪ ŋ
ABEX	'ej b ɛ k s
ABEYANCE	ə b 'ej ə n s
ABEYTA	ɑ b 'ej t ə
ABHOR	æ b h 'ɔ ɹ
ABHORRED	ə b h 'ɔ ɹ d
ABHORRENCE	ə b h 'ɔ ɹ ə n s
ABHORRENT	æ b h 'ɔ ɹ ə n t
ABHORS	ə b h 'ɔ ɹ z
ABIAM	'ej b ij ə m
ABIAM'S	'ej b ij ə m z
ABID	'ej b ɪ d
ABIDE	ə b 'aj d
ABIDED	ə b 'aj d ɪ d
ABIDES	ə b 'aj d z
ABIDING	ə b 'aj d ɪ ŋ
ABIDJAN	æ b ɪ ʤ 'ɑ n
ABIE	'æ b ij
ABIGAIL	'æ b ə g ˌej l
ABILA	ɑ b 'ij l ə
ABILENE	'æ b ɪ l ˌij n
ABILITIES	ə b 'ɪ l ə t ij z
ABILITY	ə b 'ɪ l ə t ij
ABIMAEL	æ b ɪ m 'ej l
ABIMAELS	æ b ɪ m 'ej l z
ABINGDON	'æ b ɪ ŋ d ə n
ABINGTON	'æ b ɪ ŋ t ə n
ABIO	'ɑ b ij ow
ABIOLA	ˌɑ b ij 'ow l ə
ABIOLA'S	ˌɑ b ij 'ow l ə z
ABIOMED	ej b 'ij ə m ɛ d
ABIQUIU	ə b 'ɪ k j uw
ABITIBI	ˌæ b ɪ t 'ij b ij
ABITZ	'æ b ɪ t s
ABJECT	'æ b ʤ ɛ k t
ABKHAZIA	æ b k 'ɑ z j ə
ABKHAZIA(1)	æ b k 'æ z j ə
ABKHAZIAN	æ b k 'ɑ z ij ə n
ABKHAZIAN(1)	æ b k 'æ z ij ə n
ABKHAZIAN(2)	æ b k 'ɑ z j ə n
ABKHAZIAN(3)	æ b k 'æ z j ə n
ABKHAZIANS	æ b k 'ɑ z ij ə n z
ABKHAZIANS(1)	æ b k 'æ z ij ə n z
ABLAZE	ə b l 'ej z
ABLE	'ej b ə l
ABLE-BODIED	'ej b ə l b 'ɑ d ij d
ABLED	'ej b ə l d
ABLER	'ej b ə l ə ɹ
ABLER(1)	'ej b l ə ɹ
ABLES	'ej b ə l z
ABLEST	'ej b ə l s t
ABLEST(1)	'ej b l ə s t
ABLOOM	ə b l 'uw m
ABLY	'ej b l ij
ABNER	'æ b n ə ɹ
ABNEY	'æ b n ij
ABNORMAL	æ b n 'ɔ ɹ m ə l
ABNORMALITIES	ˌæ b n ɔ ɹ m 'æ l ə t ij z
ABNORMALITY	ˌæ b n ɔ ɹ m 'æ l ə t ij
ABNORMALLY	æ b n 'ɔ ɹ m ə l ij
ABO	'ɑ b ow
ABO'S	'ɑ b ow z
ABOARD	ə b 'ɔ ɹ d
ABODE	ə b 'ow d
ABOHALIMA	æ b ə h ə l 'ij m ə
ABOLISH	ə b 'ɑ l ɪ ʃ
ABOLISHED	ə b 'ɑ l ɪ ʃ t
ABOLISHES	ə b 'ɑ l ɪ ʃ ɪ z
ABOLISHING	ə b 'ɑ l ɪ ʃ ɪ ŋ
ABOLITION	ˌæ b ə l 'ɪ ʃ ə n
ABOLITIONISM	ˌæ b ə l 'ɪ ʃ ə n ˌɪ z ə m
ABOLITIONIST	ˌæ b ə l 'ɪ ʃ ə n ə s t
ABOLITIONISTS	ˌæ b ə l 'ɪ ʃ ə n ə s t s
ABOLITIONISTS(1)	ˌæ b ə l 'ɪ ʃ ə n ə s
ABOMINABLE	ə b 'ɑ m ə n ə b ə l
ABOMINATION	ə b ˌɑ m ə n 'ej ʃ ə n
ABOOD	ə b 'uw d
ABOODI	ə b 'uw d ij
ABOR	ə b 'ɔ ɹ
ABORIGINAL	ˌæ b ə ɹ 'ɪ ʤ ə n ə l
ABORIGINE	ˌæ b ə ɹ 'ɪ ʤ ə n ij
ABORIGINES	ˌæ b ə ɹ 'ɪ ʤ ə n ij z
ABORN	ə b 'ɔ ɹ n
ABORT	ə b 'ɔ ɹ t
ABORTED	ə b 'ɔ ɹ t ɪ d
ABORTIFACIENT	ə b ˌɔ ɹ t ə f 'ej ʃ ə n t
ABORTIFACIENTS	ə b ˌɔ ɹ t ə f 'ej ʃ ə n t s
ABORTING	ə b 'ɔ ɹ t ɪ ŋ
ABORTION	ə b 'ɔ ɹ ʃ ə n
ABORTIONIST	ə b 'ɔ ɹ ʃ ə n ɪ s t
ABORTIONISTS	ə b 'ɔ ɹ ʃ ə n ɪ s t s
ABORTIONISTS(1)	ə b 'ɔ ɹ ʃ ə n ɪ s
ABORTIONS	ə b 'ɔ ɹ ʃ ə n z
ABORTIVE	ə b 'ɔ ɹ t ɪ v
ABORTS	ə b 'ɔ ɹ t s
ABOTT	ə b 'ɑ t
ABOU	ə b 'uw
ABOUD	ɑ b 'uw d
ABOUHALIMA	ˌɑ b uw h ɑ l 'ij m ə
ABOUHALIMA'S	ˌɑ b uw h ɑ l 'ij m ə z
ABOUND	ə b 'aw n d
ABOUNDED	ə b 'aw n d ɪ d
ABOUNDING	ə b 'aw n d ɪ ŋ
ABOUNDS	ə b 'aw n d z
ABOUT	ə b 'aw t
ABOUT'S	ə b 'aw t s
ABOVE	ə b 'ʌ v
ABOVE'S	ə b 'ʌ v z
ABOVEBOARD	ə b 'ʌ v b ˌɔ ɹ d
ABPLANALP	'æ b p l ə n æ l p
ABRA	'ɑ b ɹ ə
ABRACADABRA	ˌæ b ɹ ə k ə d 'æ b ɹ ə
ABRAHAM	'ej b ɹ ə h ˌæ m
ABRAHAMIAN	ˌæ b ɹ ə h 'ej m ij ə n
ABRAHAMS	'ej b ɹ ə h ˌæ m z
ABRAHAMSEN	æ b ɹ ə h 'æ m s ə n
ABRAHAMSON	ə b ɹ 'æ h ə m s ə n
ABRAM	ə b ɹ 'æ m
ABRAM'S	'ej b ɹ ə m z
ABRAMCZYK	'ɑ b ɹ ə m ʧ ɪ k
ABRAMO	ɑ b ɹ 'ɑ m ow
ABRAMOVITZ	ə b ɹ 'ɑ m ə v ɪ t s
ABRAMOWICZ	ə b ɹ 'ɑ m ə v ɪ ʧ
ABRAMOWITZ	ə b ɹ 'ɑ m ə w ɪ t s
ABRAMS	'ej b ɹ ə m z
ABRAMS'S	'ej b ɹ ə m z ɪ z
ABRAMSON	'ej b ɹ ə m s ə n
ABRASION	ə b ɹ 'ej ʒ ə n
ABRASIONS	ə b ɹ 'ej ʒ ə n z
ABRASIVE	ə b ɹ 'ej s ɪ v
ABRASIVES	ə b ɹ 'ej s ɪ v z
ABRAXA	ə b ɹ 'æ k s ə
ABRAXA'S	ə b ɹ 'æ k s ə z
ABRAXAS	ə b ɹ 'æ k s ə z
ABREAST	ə b ɹ 'ɛ s t
ABREGO	ɑ b ɹ 'ɛ g ow
ABREU	ə b ɹ 'uw
ABRIDGE	ə b ɹ 'ɪ ʤ
ABRIDGED	ə b ɹ 'ɪ ʤ d
ABRIDGEMENT	ə b ɹ 'ɪ ʤ m ə n t
ABRIDGES	ə b ɹ 'ɪ ʤ ə z
ABRIDGING	ə b ɹ 'ɪ ʤ ɪ ŋ
ABRIL	ə b ɹ 'ɪ l
ABROAD	ə b ɹ 'ɔ d
ABROGATE	'æ b ɹ ə g ˌej t
ABROGATED	'æ b ɹ ə g ˌej t ɪ d
ABROGATING	'æ b ɹ ə g ˌej t ɪ ŋ
ABROGATION	ˌæ b ɹ ə g 'ej ʃ ə n
ABROL	ə b ɹ 'ow l
ABRON	ə b ɹ 'ɑ n
ABRUPT	ə b ɹ 'ʌ p t
ABRUPTLY	ə b ɹ 'ʌ p t l ij
ABRUPTNESS	ə b ɹ 'ʌ p t n ə s
ABRUTYN	'ej b ɹ uw t ɪ n
ABRUZZESE	ɑ b ɹ uw t s 'ej z ij
ABRUZZO	ɑ b ɹ 'uw z ow
ABS	'ej b 'ij 'ɛ s
ABS(1)	'æ b z
ABSALOM	'æ b s ə l ə m
ABSARAKA	æ b s 'ɑ ɹ ə k ə
ABSCAM	'æ b s k æ m
ABSCESS	'æ b s ˌɛ s
ABSCOND	æ b s k 'ɑ n d
ABSCONDED	æ b s k 'ɑ n d ə d
ABSCONDING	æ b s k 'ɑ n d ɪ ŋ
ABSCONDS	æ b s k 'ɑ n d z
ABSECON	'æ b s ə k ɔ n
ABSENCE	'æ b s ə n s
ABSENCES	'æ b s ə n s ɪ z
ABSENT	'æ b s ə n t
ABSENTEE	ˌæ b s ə n t 'ij
ABSENTEEISM	ˌæ b s ə n t 'ij ɪ z ə m
ABSENTEES	ˌæ b s ə n t 'ij z
ABSENTIA	æ b s 'ɛ n ʃ ə
ABSHER	'æ b ʃ ə ɹ
ABSHIER	'æ b ʃ ij ə ɹ
ABSHIRE	'æ b ʃ ˌaj ɹ
ABSINTHE	'æ b s ɪ n θ
ABSO	'æ b s ow
ABSOLOM	'æ b s ə l ə m
ABSOLUT	ˌæ b s ə l 'uw t
ABSOLUT'S	ˌæ b s ə l 'uw t s
ABSOLUTE	'æ b s ə l ˌuw t
ABSOLUTELY	ˌæ b s ə l 'uw t l ij
ABSOLUTENESS	'æ b s ə l ˌuw t n ə s
ABSOLUTES	'æ b s ə l ˌuw t s
ABSOLUTION	ˌæ b s ə l 'uw ʃ ə n
ABSOLUTISM	'æ b s ə l ˌuw t ˌɪ z ə m
ABSOLUTIST	æ b s ɪ l 'uw t ɪ s t
ABSOLVE	ə b z 'ɑ l v
ABSOLVE(1)	æ b z 'ɑ l v
ABSOLVED	ə b z 'ɑ l v d
ABSOLVED(1)	æ b z 'ɑ l v d
ABSOLVES	ə b z 'ɑ l v z
ABSOLVES(1)	æ b z 'ɑ l v z
ABSOLVING	ə b z 'ɑ l v ɪ ŋ
ABSOLVING(1)	æ b z 'ɑ l v ɪ ŋ
ABSORB	ə b z 'ɔ ɹ b
ABSORBED	ə b z 'ɔ ɹ b d
ABSORBENCY	ə b z 'ɔ ɹ b ə n s ij
ABSORBENT	ə b z 'ɔ ɹ b ə n t
ABSORBER	ə b z 'ɔ ɹ b ə ɹ
ABSORBERS	ə b z 'ɔ ɹ b ə ɹ z
ABSORBING	ə b z 'ɔ ɹ b ɪ ŋ
ABSORBS	ə b z 'ɔ ɹ b z
ABSORPTION	ə b z 'ɔ ɹ p ʃ ə n
ABSORPTION(1)	ə b s 'ɔ ɹ p ʃ ə n
ABSTAIN	ə b s t 'ej n
ABSTAIN(1)	æ b s t 'ej n
ABSTAINED	ə b s t 'ej n d
ABSTAINED(1)	æ b s t 'ej n d
ABSTAINING	ə b s t 'ej n ɪ ŋ
ABSTAINING(1)	æ b s t 'ej n ɪ ŋ
ABSTENTION	ə b s t 'ɛ n ʧ ə n
ABSTENTION(1)	æ b s t 'ɛ n ʧ ə n
ABSTENTIONS	ə b s t 'ɛ n ʧ ə n z
ABSTENTIONS(1)	æ b s t 'ɛ n ʧ ə n z
ABSTINENCE	'æ b s t ə n ə n s
ABSTINENT	'æ b s t ə n ə n t
ABSTON	'æ b s t ə n
ABSTRACT	æ b s t ɹ 'æ k t
ABSTRACT(1)	'æ b s t ɹ ˌæ k t
ABSTRACTED	'æ b s t ɹ ˌæ k t ɪ d
ABSTRACTION	æ b s t ɹ 'æ k ʃ ə n
ABSTRACTIONS	æ b s t ɹ 'æ k ʃ ə n z
ABSTRACTS	'æ b s t ɹ æ k t s
ABSTRUSE	ə b s t ɹ 'uw s
ABSURD	ə b s 'ɛ ɹ d
ABSURDIST	ə b s 'ɛ ɹ d ɪ s t
ABSURDITIES	ə b s 'ɛ ɹ d ə t ij z
ABSURDITY	ə b s 'ɛ ɹ d ə t ij
ABSURDLY	ə b s 'ɛ ɹ d l ij
ABT	'æ b t
ABT(1)	'ej b 'ij t 'ij
ABTS	'æ b t s
ABTS(1)	'ej b 'ij t 'ij z
ABTS(2)	'ej b 'ij t 'ij 'ɛ s
ABU	'æ b uw
ABUDRAHM	ə b 'ʌ d ɹ ə m
ABUELLAH	ə b w 'ɛ l ə
ABUELLAH'S	ə b w 'ɛ l ə z
ABULADZE	ˌæ b j uw l 'æ d z ij
ABUNDANCE	ə b 'ʌ n d ə n s
ABUNDANT	ə b 'ʌ n d ə n t
ABUNDANTLY	ə b 'ʌ n d ə n t l ij
ABURTO	ə b 'ʊ ɹ t ˌow
ABURTO'S	ə b 'ʊ ɹ t ˌow z
ABUSE	ə b j 'uw s
ABUSE(1)	ə b j 'uw z
ABUSED	ə b j 'uw z d
ABUSER	ə b j 'uw z ə ɹ
ABUSERS	ə b j 'uw z ə ɹ z
ABUSES	ə b j 'uw s ɪ z
ABUSES(1)	ə b j 'uw z ɪ z
ABUSING	ə b j 'uw z ɪ ŋ
ABUSIVE	ə b j 'uw s ɪ v
ABUT	ə b 'ʌ t
ABUTS	ə b 'ʌ t s
ABUTTED	ə b 'ʌ t ə d
ABUTTING	ə b 'ʌ t ɪ ŋ
ABUZZ	ə b 'ʌ z
ABYSMAL	ə b 'ɪ z m ə l
ABYSMALLY	ə b 'ɪ z m ə l ij
ABYSS	ə b 'ɪ s
ABYSSINIA	æ b s 'ɪ n ˌij ə
ABYSSINIAN	æ b s 'ɪ n ˌij ə n
ABZUG	'æ b z ˌʌ g
ABZUG(1)	'æ b z ˌʊ g
AC	'ej s 'ij
ACA	'æ k ə
ACACIA	ə k 'ej ʃ ə
ACADEME	'æ k ə d ˌij m
ACADEMIA	ˌæ k ə d 'ij m ij ə
ACADEMIC	ˌæ k ə d 'ɛ m ɪ k
ACADEMICALLY	ˌæ k ə d 'ɛ m ɪ k l ij
ACADEMICIAN	ˌæ k ə d ə m 'ɪ ʃ ə n
ACADEMICIANS	ˌæ k ə d ə m 'ɪ ʃ ə n z
ACADEMICIANS(1)	ə k ˌæ d ə m 'ɪ ʃ ə n z
ACADEMICS	ˌæ k ə d 'ɛ m ɪ k s
ACADEMIES	ə k 'æ d ə m ij z
ACADEMY	ə k 'æ d ə m ij
ACADEMY'S	ə k 'æ d ə m ij z
ACADIA	ə k 'ej d ij ə
ACAMPO	ə k 'ɑ m p ow
ACAMPORA	ə k 'æ m p ə ɹ ə
ACAMPSIA	ə k 'æ m p s j ə
ACANTHA	ɑ k 'ɑ n ð ə
ACAPULCO	ˌæ k ə p 'ʊ l k ow
ACARY	'æ k ə ɹ ij
ACCARDI	ɑ k 'ɑ ɹ d ij
ACCARDO	ɑ k 'ɑ ɹ d ow
ACCEDE	æ k s 'ij d
ACCEDED	æ k s 'ij d ɪ d
ACCEDES	æ k s 'ij d z
ACCEDING	æ k s 'ij d ɪ ŋ
ACCEL	ə k s 'ɛ l
ACCELERANT	æ k s 'ɛ l ə ɹ ə n t
ACCELERANTS	æ k s 'ɛ l ə ɹ ə n t s
ACCELERATE	æ k s 'ɛ l ə ɹ ˌej t
ACCELERATED	æ k s 'ɛ l ə ɹ ˌej t ɪ d
ACCELERATES	æ k s 'ɛ l ə ɹ ˌej t s
ACCELERATING	æ k s 'ɛ l ə ɹ ˌej t ɪ ŋ
ACCELERATION	ˌæ k s ˌɛ l ə ɹ 'ej ʃ ə n
ACCELERATOR	æ k s 'ɛ l ə ɹ ˌej t ə ɹ
ACCELERATORS	æ k s 'ɛ l ə ɹ ˌej t ə ɹ z
ACCELEROMETER	æ k s ˌɛ l ə ɹ 'ɑ m ə t ə ɹ
ACCELEROMETERS	æ k s ˌɛ l ə ɹ 'ɑ m ə t ə ɹ z
ACCENT	ə k s 'ɛ n t
ACCENT(1)	'æ k s ˌɛ n t
ACCENTED	'æ k s ɛ n t ɪ d
ACCENTING	'æ k s ɛ n t ɪ ŋ
ACCENTS	'æ k s ɛ n t s
ACCENTUATE	æ k s 'ɛ n ʧ uw ej t
ACCENTUATED	æ k s 'ɛ n ʧ ə w ˌej t ɪ d
ACCENTUATES	æ k s 'ɛ n ʧ uw ej t s
ACCENTUATING	æ k s 'ɛ n ʧ ə w ˌej t ɪ ŋ
ACCEPT	æ k s 'ɛ p t
ACCEPT(1)	ə k s 'ɛ p t
ACCEPTABILITY	ə k s ˌɛ p t ə b 'ɪ l ə t ij
ACCEPTABLE	æ k s 'ɛ p t ə b ə l
ACCEPTABLE(1)	ə k s 'ɛ p t ə b ə l
ACCEPTABLY	æ k s 'ɛ p t ə b l ij
ACCEPTABLY(1)	ə k s 'ɛ p t ə b l ij
ACCEPTANCE	æ k s 'ɛ p t ə n s
ACCEPTANCE(1)	ə k s 'ɛ p t ə n s
ACCEPTANCES	æ k s 'ɛ p t ə n s ɪ z
ACCEPTED	æ k s 'ɛ p t ɪ d
ACCEPTED(1)	ə k s 'ɛ p t ə d
ACCEPTING	æ k s 'ɛ p t ɪ ŋ
ACCEPTING(1)	ə k s 'ɛ p t ɪ ŋ
ACCEPTS	æ k s 'ɛ p t s
ACCESS	'æ k s ˌɛ s
ACCESSED	'æ k s ˌɛ s t
ACCESSIBILITY	ˌæ k s ɛ s ə b 'ɪ l ɪ t ij
ACCESSIBLE	æ k s 'ɛ s ə b ə l
ACCESSING	'æ k s ˌɛ s ɪ ŋ
ACCESSION	ə k s 'ɛ ʃ ə n
ACCESSORIES	æ k s 'ɛ s ə ɹ ij z
ACCESSORIZE	æ k s 'ɛ s ə ɹ ˌaj z
ACCESSORIZED	æ k s 'ɛ s ə ɹ ˌaj z d
ACCESSORY	æ k s 'ɛ s ə ɹ ij
ACCETTA	ɑ ʧ 'ɛ t ə
ACCIDENT	'æ k s ə d ə n t
ACCIDENT'S	'æ k s ə d ə n t s
ACCIDENTAL	ˌæ k s ə d 'ɛ n t ə l
ACCIDENTAL(1)	ˌæ k s ə d 'ɛ n ə l
ACCIDENTALLY	ˌæ k s ə d 'ɛ n t ə l ij
ACCIDENTALLY(1)	ˌæ k s ə d 'ɛ n ə l ij
ACCIDENTLY	'æ k s ə d ə n t l ij
ACCIDENTS	'æ k s ə d ə n t s
ACCION	'æ ʧ ij ə n
ACCIVAL	'æ s ɪ v ˌɑ l
ACCLAIM	ə k l 'ej m
ACCLAIM'S	ə k l 'ej m z
ACCLAIMED	ə k l 'ej m d
ACCLAIMING	ə k l 'ej m ɪ ŋ
ACCLAIMS	ə k l 'ej m z
ACCLAMATION	ˌæ k l ə m 'ej ʃ ə n
ACCLIMATE	'æ k l ə m ˌej t
ACCLIMATED	'æ k l ə m ˌej t ɪ d
ACCLIMATION	ˌæ k l ə m 'ej ʃ ə n
ACCO	'æ k ow
ACCOKEEK	'æ k ow k ij k
ACCOLA	ɑ k 'ow l ə
ACCOLADE	'æ k ə l ˌej d
ACCOLADES	'æ k ə l ˌej d z
ACCOMANDO	ɑ k ow m 'ɑ n d ow
ACCOMMODATE	ə k 'ɑ m ə d ˌej t
ACCOMMODATED	ə k 'ɑ m ə d ˌej t ə d
ACCOMMODATES	ə k 'ɑ m ə d ˌej t s
ACCOMMODATING	ə k 'ɑ m ə d ˌej t ɪ ŋ
ACCOMMODATION	ə k ˌɑ m ə d 'ej ʃ ə n
ACCOMMODATIONS	ə k ˌɑ m ə d 'ej ʃ ə n z
ACCOMMODATIVE	ə k 'ɑ m ə d ˌej t ɪ v
ACCOMPANIED	ə k 'ʌ m p ə n ij d
ACCOMPANIES	ə k 'ʌ m p ə n ij z
ACCOMPANIMENT	ə k 'ʌ m p n ɪ m ə n t
ACCOMPANIMENT(1)	ə k 'ʌ m p n ij m ə n t
ACCOMPANIMENTS	ə k 'ʌ m p n ɪ m ə n t s
ACCOMPANIMENTS(1)	ə k 'ʌ m p n ij m ə n t s
ACCOMPANIST	ə k 'ʌ m p ə n ə s t
ACCOMPANY	ə k 'ʌ m p ə n ij
ACCOMPANYING	ə k 'ʌ m p ə n ij ɪ ŋ
ACCOMPLI	ˌɑ k 'ɑ m p l ij
ACCOMPLI(1)	ə k 'ɑ m p l ij
ACCOMPLICE	ə k 'ɑ m p l ə s
ACCOMPLICES	ə k 'ɑ m p l ə s ə z
ACCOMPLISH	ə k 'ɑ m p l ɪ ʃ
ACCOMPLISHED	ə k 'ɑ m p l ɪ ʃ t
ACCOMPLISHES	ə k 'ɑ m p l ɪ ʃ ɪ z
ACCOMPLISHING	ə k 'ɑ m p l ɪ ʃ ɪ ŋ
ACCOMPLISHMENT	ə k 'ɑ m p l ɪ ʃ m ə n t
ACCOMPLISHMENTS	ə k 'ɑ m p l ɪ ʃ m ə n t s
ACCOR	'æ k ˌɔ ɹ
ACCOR'S	'æ k ə ɹ z
ACCORD	ə k 'ɔ ɹ d
ACCORD'S	ə k 'ɔ ɹ d z
ACCORDANCE	ə k 'ɔ ɹ d ə n s
ACCORDED	ə k 'ɔ ɹ d ɪ d
ACCORDING	ə k 'ɔ ɹ d ɪ ŋ
ACCORDINGLY	ə k 'ɔ ɹ d ɪ ŋ l ij
ACCORDION	ə k 'ɔ ɹ d ij ə n
