word	prefix	stem	part of speech	french
aˋlaˋɸaˋ		aˋlaˋɸaˋ	v	soigner, agir sur, guérir, traiter.
aˋlaˋɸɛˋsɛˋxaˋ		aˋlaˋɸɛˋsɛˋxaˋ	v	se guérir, être guérissable.
aˋlɪˊŋˋkwɪˊ		aˋlɪˊŋˋkwɪˊ	NA	pourtant.
aˋleˋtʃaˋ		aˋleˋtʃaˋ	v	attacher ensemble, généraliser.
aˋlʊˋxaˋ		aˋlʊˋxaˋ	v	terminer l'initiation, terminer un cycle d'études, devenir adulte.
aˋlʊˋlaˋ		aˋlʊˋlaˋ	v	replier (une couverture).
aˋlʊˋlaˋ		aˋlʊˋlaˋ	v	courir après.
aˋlʊˋsaˋ		aˋlʊˋsaˋ	v	former.
aˊmaˊ		aˊmaˊ	v	toucher, atteindre, concerner. - ama mo go botlhoko : blesser. - mo go amang : á l'égard de, envers.
aˊmˊbuˊlɛˊnˋsɪˊ		aˊmˊbuˊlɛˊnˋsɪˊ	NA	ambulance.
aˊmɛˊxaˊ		aˊmɛˊxaˊ	v	être sensible.
aˋmeˊriˋkaˊ		aˋmeˊriˋkaˊ	n	Amérique.
aˊmˋmaˊaˋruˊriˊ		aˊmˋmaˊaˋruˊriˊ	NA	naturellement, en réalité.
aˋmʊˋxaˋ		aˋmʊˋxaˋ	v	enlever qc á qn, priver qn de qc.
aˋmʊˋxaˋnaˋ		aˋmʊˋxaˋnaˋ	v	utiliser alternativement.
aˋmʊˋxɛˋlaˋ		aˋmʊˋxɛˋlaˋ	v	accepter, accueillir, admettre, agréer, avouer, gagner, recevoir, reconnaitre, toucher (un salaire), vouloir bien.
aˋmʊˋxɛˋlɛˋsɛˋxaˋ		aˋmʊˋxɛˋlɛˋsɛˋxaˋ	v	être acceptable, être admissible, être raisonnable.
aˋmʊˋlaˋ		aˋmʊˋlaˋ	v	porter secours.
aˋmˋpoˊ		aˋmˋpoˊ	NA	ou.
aˊmuˊsaˊ		aˊmuˊsaˊ	v	allaiter, nourrir.
aˋnaˋ		aˋnaˋ	v	vénérer.
aˊnaˊmaˊ		aˊnaˊmaˊ	v	se répandre, se communiquer, s'étendre.
aˊnaˊmiˊsaˋ		aˊnaˊmiˊsaˋ	v	répandre, diffuser.
aˊnaˊɲaˊ		aˊnaˊɲaˊ	v	changer, échanger.
aˊnaˊɲɛˊsɛˋxaˋ		aˊnaˊɲɛˊsɛˋxaˋ	v	être échangeable.
aˊnɛˊxaˊ		aˊnɛˊxaˊ	v	pendre ou étendre pour sécher.
aˊnɛˊxʊˊlʊˋlaˋ		aˊnɛˊxʊˊlʊˋlaˋ	v	ramasser ce qui est pendu ou étendu.
aˊɲaˊ		aˊɲaˊ	v	téter.
aˊɲaˊnˋsɪˊ		aˊɲaˊnˋsɪˊ	NA	oignon.
aˋpaˋaˋpaˋ		aˋpaˋaˋpaˋ	v	chercher á tâtons.
aˋpaˋraˋ		aˋpaˋraˋ	v	s'habiller, mettre (un habit), passer (un habit), porter (un habit).
aˊpaˋraˊtaˊ		aˊpaˋraˊtaˊ	n	appareil.
aˋpaˋrɛˋxaˋ		aˋpaˋrɛˋxaˋ	v	être mettable.
aˋpaˋrɛˋsɛˋxaˋ		aˋpaˋrɛˋsɛˋxaˋ	v	être mettable.
aˋpaˋjaˋ		aˋpaˋjaˋ	v	cuire (tr.), faire la cuisine.
aˋpɛˋɛˋxaˋ		aˋpɛˋɛˋxaˋ	v	cuire (intr.).
aˋpeˋsaˋ		aˋpeˋsaˋ	v	habiller, couvrir.
aˋpʊˋxaˋ		aˋpʊˋxaˋ	v	être nu, être clair (temps), s'éclaircir.
aˋpʊˋlaˋ		aˋpʊˋlaˋ	v	déshabiller, enlever, quitter.
aˊpʊˋlɛˊ		aˊpʊˋlɛˊ	NA	pomme.
aˊraˊ		aˊraˊ	v	inciser, opérer, tatouer.
aˊraˊbaˊ		aˊraˊbaˊ	v	répondre.
aˊraˊbɛˊlaˋ		aˊraˊbɛˊlaˋ	v	être responsable.
aˊraˊmɛˊlaˋ		aˊraˊmɛˊlaˋ	v	se chauffer, se réchauffer, se soigner par inhalations.
aˊrɛˊxaˊ		aˊrɛˊxaˊ	v	être opérable.
aˋseˊiˋnɪˊ		aˋseˊiˋnɪˊ	NA	vinaigre.
eˊiˊʃiˋaˊ		eˊiˊʃiˋaˊ	n	Asie.
aˋtaˋ		aˋtaˋ	v	augmenter (intr.), s'accroitre.
aˋtaˋmɛˋlaˋ		aˋtaˋmɛˋlaˋ	v	s'approcher, avancer, se rapprocher.
aˋtaˋmeˋtsaˋ		aˋtaˋmeˋtsaˋ	v	approcher, avancer, rapprocher.
aˋtaˋmɛˋlɛˋsɛˋxaˋ		aˋtaˋmɛˋlɛˋsɛˋxaˋ	v	être approchable.
aˋtɪˋrɛˊsɛˊ		aˋtɪˋrɛˊsɛˊ	NA	adresse.
aˋtiˋsaˋ		aˋtiˋsaˋ	v	augmenter (tr.).
aˋtaˋ		aˋtaˋ	v	embrasser, caliner.
aˋtaˋɸaˋlaˋ		aˋtaˋɸaˋlaˋ	v	agir maladroitement.
aˋtaˋnɛˋxaˋ		aˋtaˋnɛˋxaˋ	v	être facile á obtenir.
aˊtaˊrɛˊlaˋ		aˊtaˊrɛˊlaˋ	v	recevoir avec les deux mains tendues.
aˋtɛˋxaˋ		aˋtɛˋxaˋ	v	réussir.
aˊthaˊmaˊ		aˊthaˊmaˊ	v	ouvrir (largement), être large.
aˊthʊˊlaˊ		aˊthʊˊlaˊ	v	juger, condamner.
aˊtɔˋmʊˊ		aˊtɔˋmʊˊ	NA	atome.
aˊtʃwaˊ		aˊtʃwaˊ	v	faire l'aumône.
baˊ		baˊ	d	ces (cl.2 & cl.2a).
baˊ		baˊ	d	les gens de É - ba losika : la famille.
baˋaˊxiˊ		baˋaˊxiˊ	NA	apopulation.
baˊaˊkaˊɲaˋ		baˊaˊkaˊɲaˋ	v	préparer, arranger, corriger, fixer, organiser, ranger, régler, réparer.
baˊaˊkaˊɲɛˋsɛˋxaˋ		baˊaˊkaˊɲɛˋsɛˋxaˋ	v	être réparable.
baˊbaˊ		baˊbaˊ	v	démanger, gratter, cuire, être piquant.
baˊbaˊlɛˊlaˋ		baˊbaˊlɛˊlaˋ	v	entretenir, prendre soin de, protéger.
baˊbaˊlɛˊlaˋ		baˊbaˊlɛˊlaˋ	v	être insupportable.
baˊbaˊlɛˊsɛˋxaˋ		baˊbaˊlɛˊsɛˋxaˋ	v	être en sécurité.
baˊbʊˊxaˊ		baˊbʊˊxaˊ	v	subir l'effet du gel (plantes).
baˋbʊˊxeˊdiˊ		baˋbʊˊxeˊdiˊ	NA	assistance.
baˊbʊˊlaˊ		baˊbʊˊlaˊ	v	faire roussir, faire flétrir.
baˋdiˊmʊˊ		baˋdiˊmʊˊ	NA	ancêtres, esprits.
baˋdiˋraˋsɪˋɸʊˋɸaˊnɪˊŋˋ		baˋdiˋraˋsɪˋɸʊˋɸaˊnɪˊŋˋ	NA	équipage (d'avion).
baˋdiˋraˋsɪˋkeˊpeˊŋˋ		baˋdiˋraˋsɪˋkeˊpeˊŋˋ	NA	équipage (de bateau).
baˋdiˋriˋ		baˋdiˋriˋ	NA	personnel.
baˋɪˊbɪˋlɪˊ		baˋɪˊbɪˋlɪˊ	NA	bible
baˊɪˋsɪˊkɪˋlɪˊ		baˊɪˋsɪˊkɪˋlɪˊ	NA	bicyclette, vélo.
baˊɪˊsɪˋkɔˊpɔˊ		baˊɪˊsɪˋkɔˊpɔˊ	NA	cinéma, film.
baˋxaˊ		baˋxaˊ	n	les gens de chez É
baˋkaˋ		baˋkaˋ	v	dire les louanges de qn.
baˋkaˋ		baˋkaˋ	v	causer, entrainer, provoquer.
baˊkaˊ		baˊkaˊ	v	cesser définitivement.
baˊkaˊ		baˊkaˊ	v	cuire au four.
baˋkiˋ		baˋkiˋ	NA	veste.
baˋkwaˋ		baˋkwaˋ	v	naitre.
baˋlaˋ		baˋlaˋ	v	calculer, compter, lire.
baˋlaˋbaˋlaˋ		baˋlaˋbaˋlaˋ	v	bavarder.
baˋlɛˋxaˋ		baˋlɛˋxaˋ	v	être lisible.
baˋlɛˋlaˋ		baˋlɛˋlaˋ	v	préparer la charpente afin de pouvoir poser le chaume.
baˊlɛˊlaˊ		baˊlɛˊlaˊ	v	faire s'étouffer (nourriture ou boisson qui passe de travers).
baˊmˊbaˊɲɛˋxaˋ		baˊmˊbaˊɲɛˋxaˋ	v	gratter fort.
baˋpaˋ		baˋpaˋ	v	être côte á côte, être parallèle, être voisin.
baˋpaˋlaˋ		baˋpaˋlaˋ	v	acquérir.
baˋpaˊtiˊ		baˋpaˊtiˊ	NA	suite.
baˋpaˋtʃaˋ		baˋpaˋtʃaˋ	v	faire du commerce.
baˋpiˋsaˋ		baˋpiˋsaˋ	v	placer côte á côte, comparer.
baˋpʊˋxaˋ		baˋpʊˋxaˋ	v	s'étendre, s'étirer.
baˋpʊˋlaˋ		baˋpʊˋlaˋ	v	étendre, étirer.
baˊraˊ		baˊraˊ	v	bar.
baˋreˊkiˊ		baˋreˊkiˊ	NA	clientèle.
baˊtaˊ		baˊtaˊ	v	frapper.
baˊtaˊ		baˊtaˊ	v	baignoire.
baˊtaˊlaˊlaˋ		baˊtaˊlaˊlaˋ	v	se tapir.
baˋthʊˋ		baˋthʊˋ	NA	gens, humanité, monde, peuple, public, société. - -a batho : aimable.
baˋtaˋ		baˋtaˋ	v	chercher, avoir envie, demander, faillir, s'en falloir de peu, être sur le point de, rechercher, vouloir.
baˋtsaˊdiˊ		baˋtsaˊdiˊ	NA	parents (père et mère).
baˊjaˊ		baˊjaˊ	v	poser, déposer, installer, loger, mettre, nommer, placer, ranger. - baya mmogo : mettre en commun. - baya molato : accuser, porter plainte.
bɪˊ		bɪˊ	NA	laid, méchant.
beˋdiˊ		beˋdiˊ	NA	deux.
bɪˋdiˋsaˋ		bɪˋdiˋsaˋ	v	faire bouillir.
bɛˊɛˊlaˊ		bɛˊɛˊlaˊ	v	garder, louer, réserver. - beela fa thoko : classer, écarter. - beelana go kopana : donner un rendez-vous.
beˊeˊleˊtsaˋnaˋ		beˊeˊleˊtsaˋnaˋ	v	se fiancer.
bɪˊɸaˊ		bɪˊɸaˊ	v	avoir l'air fâché.
bɪˊxaˊ		bɪˊxaˊ	v	apprendre qch á qn, informer, rapporter.
beˊiˋnɪˊ		beˊiˋnɪˊ	NA	vin.
bɪˊkɪˊ		bɪˊkɪˊ	NA	semaine.
bɪˋlaˋ		bɪˋlaˋ	v	bouillir, fermenter, lever.
bɪˊlaˊɛˊlaˋ		bɪˊlaˊɛˊlaˋ	v	douter.
bɪˊlaˊɛˊsɛˋxaˋ		bɪˊlaˊɛˊsɛˋxaˋ	v	être douteux, être curieux.
bɪˊlaˊeˊtʃaˋ		bɪˊlaˊeˊtʃaˋ	v	faire douter.
bɪˋlaˋɸaˋlaˋ		bɪˋlaˋɸaˋlaˋ	v	être content de soi, être suffisant.
bɛˊlɪˊbɛˋtɛˊ		bɛˊlɪˊbɛˋtɛˊ	NA	velours.
bɛˋlɛˋxaˋ		bɛˋlɛˋxaˋ	v	porter (une charge), mettre au monde.
bɛˋlɛˋxaˋnaˋ		bɛˋlɛˋxaˋnaˋ	v	se soutenir mutuellement.
beˋleˋxiˋsaˋ		beˋleˋxiˋsaˋ	v	aider á l'accouchement.
beˋleˋxʊˋlʊˋlaˋ		beˋleˋxʊˋlʊˋlaˋ	v	soulager.
bɛˋlɛˋxwaˋ		bɛˋlɛˋxwaˋ	v	naitre.
beˋleˋsaˋ		beˋleˋsaˋ	v	charger.
bɪˋlwaˋ		bɪˋlwaˋ	v	- go belwa ka khumo : être fier de ses richesses.
bɛˊnɛˊ		bɛˊnɛˊ	NA	camionnette.
beˊʊˊlaˊ		beˊʊˊlaˊ	v	raser.
bɛˊrɛˊkaˊ		bɛˊrɛˊkaˊ	v	travailler, exercer, fonctionner.
beˋsaˋ		beˋsaˋ	v	griller, rôtir.
bɪˊsɪˊ		bɪˊsɪˊ	NA	autobus, autocar, car.
beˋseˋleˋtsaˋ		beˋseˋleˋtsaˋ	v	alimenter un feu.
bɪˊtaˊ		bɪˊtaˊ	v	faire étouffer.
bɪˊtaˊbɪˊtaˋnaˋ		bɪˊtaˊbɪˊtaˋnaˋ	v	se battre.
bɪˊtaˊxaˊnaˋ		bɪˊtaˊxaˊnaˋ	v	être serrés les uns contre les autres.
bɪˊtɛˊlɛˊlaˋ		bɪˊtɛˊlɛˊlaˋ	v	immobiliser (dans la lutte), violer.
beˊtiˋriˊ		beˊtiˋriˊ	NA	pile électique.
bɪˊtiˊsaˊ		bɪˊtiˊsaˊ	v	noyer.
beˋtaˋ		beˋtaˋ	v	sculpter, tailler.
beˊtʊˊxaˊ		beˊtʊˊxaˊ	v	pleurnicher.
beˊtʊˊlʊˊxaˋ		beˊtʊˊlʊˊxaˋ	v	être visible (partie du corps qui doit rester cachée).
bɪˋtsaˋ		bɪˋtsaˋ	v	battre, frapper.
bɪˋtsɛˋxaˋ		bɪˋtsɛˋxaˋ	v	battre, jaillir.
bɪˊtwaˊ		bɪˊtwaˊ	v	s'étouffer, s'étrangler, se noyer.
biˊdiˊkaˊmaˋ		biˊdiˊkaˊmaˋ	v	se rouler par terre.
biˊɸaˊ		biˊɸaˊ	v	être impoli, grossier, rude.
biˊɸaˊ		biˊɸaˊ	v	pourrir.
biˊleˊtsaˊ		biˊleˊtsaˊ	v	épeler.
biˊlʊˊxaˊ		biˊlʊˊxaˊ	v	jaillir, remonter á la surface.
biˊnaˊ		biˊnaˊ	v	danser.
biˊniˊkaˊ		biˊniˊkaˊ	n	vinaigre.
biˋpaˋ		biˋpaˋ	v	couvrir.
biˊriˊ		biˊriˊ	NA	bière.
biˊsaˊ		biˊsaˊ	v	- ka go bisa : sans (+ inf.).
biˊsiˋkiˊtiˊ		biˊsiˋkiˊtiˊ	NA	biscuit.
biˋtiˋaˋ		biˋtiˋaˋ	v	rapiécer.
biˋtaˋ		biˋtaˋ	v	frotter du bout du doigt (oeil, É).
biˊtsaˊ		biˊtsaˊ	v	appeler, nommer, prononcer.
bʊˊaˊ		bʊˊaˊ	v	revenir de, repartir de.
boˋaˊxɔˊ	boˋ	aˊxɔˊ	NA	lieu d'habitation.
boˋaˊxɛˊlɔˊ	boˋ	aˊxɛˊlɔˊ	NA	chantier.
boˋaˊkaˊ	boˋ	aˊkaˊ	NA	adultère.
boˋaˋlaˋɸɛˋlɔˋ	boˋ	aˋlaˋɸɛˋlɔˋ	NA	infirmerie.
boˋaˋlɔˋ	boˋ	aˋlɔˋ	NA	paysage.
boˋaˊmˋmaˊaˋruˊriˊ	boˋ	aˊmˋmaˊaˋruˊriˊ	NA	vérité. - nna boammaaruri : être honnête, être pur.
boˋaˋpɛˋɛˋlɔˋ	boˋ	aˋpɛˋɛˋlɔˋ	NA	cuisine.
boˋaˋtaˋmɛˋlɔˋ	boˋ	aˋtaˋmɛˋlɔˋ	NA	approche.
boˋaˋtaˋ	boˋ	aˋtaˋ	NA	maladresse. - nna boatla : être grossier, être maladroit.
boˋaˊthaˊmɔˊ	boˋ	aˊthaˊmɔˊ	NA	largeur.
boˋbaˋ	boˋ	baˋ	NA	se tapir.
boˋbaˊaˊkaˊɲeˋtʃoˋ	boˋ	baˊaˊkaˊɲeˋtʃoˋ	NA	atelier de réparation, garage.
boˋbaˋbaˊ	boˋ	baˋbaˊ	NA	hostilité.
boˋbɪˊ	boˋ	bɪˊ	NA	méchanceté, trop.
boˋbeˋdiˊ	boˋ	beˋdiˊ	NA	deux, couple. - -a bobedi : deuxième, second. - sa bobedi : deuxièmement, en deuxième lieu.
boˋbɛˊɛˊlɔˊ	boˋ	bɛˊɛˊlɔˊ	NA	entrepôt, cave, garage, rayon, réservoir.
boˋbeˋseˋtsoˋ	boˋ	beˋseˋtsoˋ	NA	four.
boˋbeˋtʊˊ	boˋ	beˋtʊˊ	NA	pleurnicheries. - nna bobeto : être pleurnichard.
boˋbiˋpɔˋ	boˋ	biˋpɔˋ	NA	l'au-delá.
boˋbʊˋaˊ	boˋ	bʊˋaˊ	NA	laine, pelage, toison.
boˋboˋduˊ	boˋ	boˋduˊ	NA	pourriture, paresse.
boˋboˋiˊ	boˋ	boˋiˊ	NA	timidité. - nna boboi : être craintif, être peureux, être timide.
boˋbɔˋkɔˊ	boˋ	bɔˋkɔˊ	NA	cerveau.
bʊˊbʊˊlaˊ		bʊˊbʊˊlaˊ	v	gémir, se plaindre.
boˋbʊˊlʊˊkɛˊlɔˋ	boˋ	bʊˊlʊˊkɛˊlɔˋ	NA	armoire, entrepôt.
boˋbɔˋnɛˊ	boˋ	bɔˋnɛˊ	NA	- ka bobone : par eux/elles-mêmes.
boˋbɔˋtaˊnaˊ	boˋ	bɔˋtaˊnaˊ	NA	petitesse.
boˋdiˋbaˋ	boˋ	diˋbaˋ	NA	étang.
boˋdiˊkʊˊlʊˊxɔˋ	boˋ	diˊkʊˊlʊˊxɔˋ	NA	circuit, rond-point.
boˋdiˊlaˊ	boˋ	diˊlaˊ	NA	aigreur. - nna bodila : être aigre.
boˋdiˊlɔˊ	boˋ	diˊlɔˊ	NA	sol enduit d'un mélange de terre et de bouse de vache.
boˋdiˋpaˋ	boˋ	diˋpaˋ	NA	insolence, obstination. - nna bodipa : être insolent, être obstiné.
boˋdiˋphaˋtsaˋ	boˋ	diˋphaˋtsaˋ	NA	risque.
boˋdiˋrɛˋlɔˋ	boˋ	diˋrɛˋlɔˋ	NA	atelier, chantier, entreprise, usine.
boˋdiˋsaˋ		boˋdiˋsaˋ	v	pourrir.
boˊdiˋsiˊ		boˊdiˋsiˊ	NA	soutien-gorge.
boˋdiˋtʃɪˊ	boˋ	diˋtʃɪˊ	NA	crins.
boˋdiˊtʃhaˊbaˋ	boˋ	diˊtʃhaˊbaˋ	NA	étranger.
boˋduˋbɛˋlɔˋ	boˋ	duˋbɛˋlɔˋ	NA	pétrin.
boˋduˋɸaˋlaˋ		boˋduˋɸaˋlaˋ	v	être paresseux.
boˋduˊlɔˊ	boˋ	duˊlɔˊ	NA	habitation, demeure.
boˋduˋmeˋdiˋ	boˋ	duˋmeˋdiˋ	NA	croyance, religion.
boˋduˋpaˋ	boˋ	duˋpaˋ	NA	mauvaise odeur.
boˋduˊtuˊ	boˋ	duˊtuˊ	NA	ennui, solitude. - nna bodutu : être ennuyeux.
bʊˊɛˊlaˊ		bʊˊɛˊlaˊ	v	retourner, rentrer, remonter á. - boela maemong : se remettre. - boela morago : être en retrait, reculer.
boˋɪˋlɪˊɪˋlɪˊ	boˋ	ɪˋlɪˊɪˋlɪˊ	NA	stupidité. - nna boeleele : être stupide.
bʊˊɛˊlɛˊlaˋ		bʊˊɛˊlɛˊlaˋ	v	reprendre, redoubler (une classe), réviser (une leçon).
bʊˊeˊleˊtsaˋ		bʊˊeˊleˊtsaˋ	v	répéter.
boˋɛˊmaˊdiˋkɛˊpɛˊ	boˋ	ɛˊmaˊdiˋkɛˊpɛˊ	NA	port.
boˋeˊmeˊdiˊ	boˋ	eˊmeˊdiˊ	NA	ambassade.
boˋɛˊmɛˊlaˊtɪˋrɪˊnaˊ	boˋ	ɛˊmɛˊlaˊtɪˋrɪˊnaˊ	NA	gare
boˋɛˊmɛˊlɔˊ	boˋ	ɛˊmɛˊlɔˊ	NA	arrêt, station.
boˋɛˊmɔˊ	boˋ	ɛˊmɔˊ	NA	niveau. - mo boemong jwa : en échange de, au lieu de, plutôt que.
boˋɛˋnɛˊ	boˋ	ɛˋnɛˊ	NA	- ka boene : par lui/elle-même, par soi-même.
bɔˊɸaˊ		bɔˊɸaˊ	v	attacher, serrer.
boˋɸaˋɸaˋlɛˋlɛˋ	boˋ	ɸaˋɸaˋlɛˋlɛˋ	NA	prodigalité.
boˋɸaˋthaˋ	boˋ	ɸaˋthaˋ	NA	effronterie, insolence. - nna bofatlha : être effronté, insolent.
boˋɸeˋɸʊˊ	boˋ	ɸeˋɸʊˊ	NA	rapidité. - nna bofefo : être rapide. - ka bofefo : immédiatement, vite, á toute allure. - diragala ka bofefo : être immédiat.
boˋɸɛˊlɔˊ	boˋ	ɸɛˊlɔˊ	NA	fin, épuisement, finale. - -a bofelo : dernier. - la bofelo : enfin, finalement, en dernier lieu. - kwa bofelong jwa : au bout de.
boˋɸɛˋraˋbʊˋbeˋdiˊ	boˋ	ɸɛˋraˋbʊˋbeˋdiˊ	NA	huit.
boˋɸɛˋraˋbʊˋŋwɪˋ	boˋ	ɸɛˋraˋbʊˋŋwɪˋ	NA	neuf.
boˋɸɪˋrɪˋɸɪˋrɪˋ	boˋ	ɸɪˋrɪˋɸɪˋrɪˋ	NA	ruse, tour.
boˋɸɪˋtɔˋ	boˋ	ɸɪˋtɔˋ	NA	passage.
boˋɸeˋtʊˋxɛˋlɔˋ	boˋ	ɸeˋtʊˋxɛˋlɔˋ	NA	tournant.
boˋɸiˊɸaˊduˊ	boˋ	ɸiˊɸaˊduˊ	NA	couleur foncée, sombre.
boˋɸiˊthaˊ	boˋ	ɸiˊthaˊ	NA	obscurité. - nna bofitlha : être peu visible.
boˋɸoˋɸuˋ	boˋ	ɸoˋɸuˋ	NA	cécité.
boˊɸʊˊlʊˊxaˋ		boˊɸʊˊlʊˊxaˋ	v	se détacher.
boˋɸʊˋlʊˋxɔˋ	boˋ	ɸʊˋlʊˋxɔˋ	NA	descente.
boˊɸʊˊlʊˊlaˋ		boˊɸʊˊlʊˊlaˋ	v	détacher, lâcher.
boˋɸuˋdiˋsɔˋ	boˋ	ɸuˋdiˋsɔˋ	NA	pâturage.
boˋɸuˊlaˊ	boˋ	ɸuˊlaˊ	NA	avarice. - nna bofula : être avare.
bʊˊxaˊ		bʊˊxaˊ	v	souffrir.
boˋxaˊdiˊ	boˋ	xaˊdiˊ	NA	dot.
boˋxaˊxaˊpaˊ	boˋ	xaˊxaˊpaˊ	NA	extorsion.
boˋxaˋxaˋruˊ	boˋ	xaˋxaˋruˊ	NA	cupidité. - nna bogagaru : être cupide.
boˋxaˊlɪˊ	boˋ	xaˊlɪˊ	NA	lame, pointe, tranchant, sévérité, férocité. - nna bogale : être coupant, aigu, féroce, pointu, sévère, vif.
boˋxaˊmɔˊ	boˋ	xaˊmɔˊ	NA	- -a bogamo : qui donne beaucoup de lait.
boˋxaˋŋˋkaˋ	boˋ	xaˋŋˋkaˋ	NA	brutalité. - nna boganka : être brutal.
boˋxaˋrɪˊ	boˋ	xaˋrɪˊ	NA	centre, milieu.
boˋxaˋtaˋpaˋ	boˋ	xaˋtaˋpaˋ	NA	couardise.
boˋxaˊtɔˊ	boˋ	xaˊtɔˊ	NA	plante du pied, semelle.
boˋxaˊtsuˊ	boˋ	xaˊtsuˊ	NA	crampe.
boˋxaˋuˊɸiˊ	boˋ	xaˋuˊɸiˊ	NA	proximité.
boˋxaˋuˊtshwaˋnɪˊ	boˋ	xaˋuˊtshwaˋnɪˊ	NA	proximité immédiate. - nna bogautshwane : être tout près, tout récent.
bʊˊxɛˊlaˊ		bʊˊxɛˊlaˊ	v	assister.
bʊˊxiˊsaˊ		bʊˊxiˊsaˊ	v	persécuter, être pénible, mettre á l'épreuve.
bʊˊxiˊsiˊwaˋ		bʊˊxiˊsiˊwaˋ	v	être victime, souffrir.
boˋxɔˊbɛˊ	boˋ	xɔˊbɛˊ	NA	bouillie. - nna bogobe : être compact.
boˋxʊˊdiˊ	boˋ	xʊˊdiˊ	NA	vieillesse.
boˋxʊˋdiˊmʊˊ	boˋ	xʊˋdiˊmʊˊ	NA	dessus, altitude, haut, hauteur, niveau, surface.
boˋxoˋduˋ	boˋ	xoˋduˋ	NA	vol.
boˋxɔˊxɔˊ	boˋ	xɔˊxɔˊ	NA	croûte au fond de la marmite.
boˊxʊˊlaˊ		boˊxʊˊlaˊ	v	aboyer.
boˋxɔˊlɛˊ	boˋ	xɔˊlɛˊ	NA	infirmité.
boˋxʊˊlʊˊ	boˋ	xʊˊlʊˊ	NA	grosseur, majorité, vieillesse. - ka bogolo : énormément.
boˋxʊˊlʊˊbʊˋxʊˊlʊˊ	boˋ	xʊˊlʊˊbʊˋxʊˊlʊˊ	NA	notamment, en particulier, spécialement, surtout.
boˋxʊˊlʊˊxʊˊlʊˊ	boˋ	xʊˊlʊˊxʊˊlʊˊ	NA	autrefois, il y a très longtemps. - le bogologolo : jamais.
boˋxʊˊlwaˋnɪˊ	boˋ	xʊˊlwaˋnɪˊ	NA	ainesse.
